Entity,Code,Year,"Share (richest decile, before tax)"
Afghanistan,AFG,2008,41.94
Afghanistan,AFG,2012,38.76
Afghanistan,AFG,2018,41.01
Albania,ALB,1996,32.53
Albania,ALB,2002,33.59
Albania,ALB,2005,33.09
Albania,ALB,2008,33.03
Albania,ALB,2012,32.97
Albania,ALB,2015,35.21
Albania,ALB,2016,35.77
Albania,ALB,2017,35.45
Albania,ALB,2018,35.03
Albania,ALB,2019,34.48
Albania,ALB,2020,34.48
Albania,ALB,2021,34.35
Albania,ALB,2022,34.66
Algeria,DZA,2006,46.6
Algeria,DZA,2011,43.27
Algeria,DZA,2013,50.1
Angola,AGO,2000,58.03
Angola,AGO,2008,49.32
Angola,AGO,2018,58.01
Argentina,ARG,2001,51.66
Argentina,ARG,2002,53.24
Argentina,ARG,2003,50.25
Argentina,ARG,2004,49.5
Argentina,ARG,2005,46.74
Argentina,ARG,2006,44.55
Argentina,ARG,2007,47.42
Argentina,ARG,2008,41.4
Argentina,ARG,2009,41.71
Argentina,ARG,2010,42.58
Argentina,ARG,2011,40.03
Argentina,ARG,2012,38.81
Argentina,ARG,2013,39.85
Argentina,ARG,2014,41.6
Argentina,ARG,2017,41.79
Argentina,ARG,2018,41.76
Argentina,ARG,2019,43.7
Argentina,ARG,2020,45.11
Argentina,ARG,2021,42.67
Argentina,ARG,2022,43.23
Armenia,ARM,1996,46.77
Armenia,ARM,1999,44.17
Australia,AUS,1910,50
Australia,AUS,1930,32.53
Australia,AUS,1940,34.36
Australia,AUS,1950,33.41
Australia,AUS,1951,27.35
Australia,AUS,1952,26.95
Australia,AUS,1953,26.62
Australia,AUS,1954,26.29
Australia,AUS,1955,25.98
Australia,AUS,1956,26.23
Australia,AUS,1957,24.11
Australia,AUS,1958,30.38
Australia,AUS,1959,28.64
Australia,AUS,1960,28.45
Australia,AUS,1961,28.46
Australia,AUS,1962,28.95
Australia,AUS,1963,29.35
Australia,AUS,1964,28.69
Australia,AUS,1965,28.35
Australia,AUS,1966,27.54
Australia,AUS,1967,27.75
Australia,AUS,1968,27.44
Australia,AUS,1969,27.15
Australia,AUS,1970,26.88
Australia,AUS,1971,27.13
Australia,AUS,1972,26.74
Australia,AUS,1973,26.12
Australia,AUS,1974,25.27
Australia,AUS,1975,24.47
Australia,AUS,1976,24.09
Australia,AUS,1977,24.12
Australia,AUS,1978,24
Australia,AUS,1979,24.43
Australia,AUS,1980,24.85
Australia,AUS,1981,24.79
Australia,AUS,1982,25.09
Australia,AUS,1983,24.83
Australia,AUS,1984,25.3
Australia,AUS,1985,25.52
Australia,AUS,1986,26.29
Australia,AUS,1987,27.87
Australia,AUS,1988,29.48
Australia,AUS,1989,27.53
Australia,AUS,1990,26.9
Australia,AUS,1991,29.59
Australia,AUS,1992,29.26
Australia,AUS,1993,29.88
Australia,AUS,1994,30.34
Australia,AUS,1995,30.87
Australia,AUS,1996,30.94
Australia,AUS,1997,30.34
Australia,AUS,1998,31.07
Australia,AUS,1999,31.15
Australia,AUS,2000,31.89
Australia,AUS,2001,31.71
Australia,AUS,2002,32.64
Australia,AUS,2003,32.61
Australia,AUS,2004,33.29
Australia,AUS,2005,33.69
Australia,AUS,2006,33.83
Australia,AUS,2007,34.14
Australia,AUS,2008,34.31
Australia,AUS,2009,35.12
Australia,AUS,2010,34.87
Australia,AUS,2011,35.15
Australia,AUS,2012,35.08
Australia,AUS,2013,34.82
Australia,AUS,2014,34.86
Australia,AUS,2015,34.48
Australia,AUS,2016,33.74
Australia,AUS,2017,34.36
Australia,AUS,2018,33.76
Australia,AUS,2019,32.91
Australia,AUS,2020,34.06
Australia,AUS,2021,35.41
Australia,AUS,2022,35.17
Austria,AUT,2004,32.61
Austria,AUT,2005,32.05
Austria,AUT,2006,32.84
Austria,AUT,2007,32.67
Austria,AUT,2008,32.53
Austria,AUT,2009,31.31
Austria,AUT,2010,32.57
Austria,AUT,2011,32.23
Austria,AUT,2012,31.79
Austria,AUT,2015,31.26
Austria,AUT,2016,32.67
Austria,AUT,2017,31.58
Azerbaijan,AZE,1995,42.87
Bahrain,BHR,1995,56.52
Bahrain,BHR,2005,59.7
Bahrain,BHR,2009,49.23
Bahrain,BHR,2015,57.75
Bangladesh,BGD,1983,36.52
Bangladesh,BGD,1985,38.91
Bangladesh,BGD,1988,40.54
Bangladesh,BGD,1991,38.54
Bangladesh,BGD,1995,44.88
Bangladesh,BGD,2000,44.49
Bangladesh,BGD,2005,45.48
Bangladesh,BGD,2010,43.63
Bangladesh,BGD,2016,42.39
Belgium,BEL,1985,31.2
Belgium,BEL,1988,33.37
Belgium,BEL,1991,32.38
Belgium,BEL,1992,32.01
Belgium,BEL,1993,32.1
Belgium,BEL,1994,32.97
Belgium,BEL,1995,32.47
Belgium,BEL,1996,32.75
Belgium,BEL,1997,32.85
Belgium,BEL,1998,32.6
Belgium,BEL,1999,32.74
Belgium,BEL,2000,32.6
Belgium,BEL,2001,32.18
Belgium,BEL,2002,31.57
Belgium,BEL,2003,31.54
Belgium,BEL,2004,32.21
Belgium,BEL,2005,31.97
