openalex_id,doi,job,oa_status,host,result,note,title
W2804566355,10.1016/j.fertnstert.2018.01.029,A_primary,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC5973807),"Major depression, antidepressant use, and male and female fertility"
W2013874757,10.1016/s0306-4530(99)00038-4,A_primary,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Antidepressant medications, mood and male fertility"
W2165508657,10.1093/humrep/des383,A_primary,bronze,Human Reproduction,FAILED,"Human Reproduction:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",The risks of selective serotonin reuptake inhibitor use in infertile women: a review of th
W2342461626,10.1016/j.ajog.2016.04.022,A_primary,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC11064128),"Depression, anxiety, and psychotropic medication use and fecundability"
W2083659963,10.1097/00001648-199303000-00011,A_primary,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Self-Reported Use of Pharmaceuticals and Primary Ovulatory Infertility
W2080412411,10.1016/j.fertnstert.2011.11.027,A_primary,bronze,Fertility and Sterility,FAILED,"Fertility and Sterilit:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Male fertility: psychiatric considerations
W2957096317,10.1097/hrp.0000000000000204,A_primary,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Selective Serotonin Reuptake Inhibitors and Fertility: Considerations for Couples Trying t
W3197213469,10.1016/j.fertnstert.2021.07.1202,A_primary,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Medical therapies causing iatrogenic male infertility
W2913546723,10.1097/pra.0000000000000353,A_primary,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),The Association Between Psychotropic Drug Use and Fertility Problems Among Male Subjects
W3125932895,10.1080/13651501.2021.1872647,A_primary,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),The effects of selective serotonin reuptake inhibitors on male and female fertility: a bri
W3092864991,10.1016/j.fertnstert.2020.06.037,A_primary,bronze,Fertility and Sterility,FAILED,"Fertility and Sterilit:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC8094179)",Urinary selective serotonin reuptake inhibitors across critical windows of pregnancy estab
W7126064928,10.3389/fphar.2026.1765071,A_primary,gold,Frontiers in Pharmacology,OK/OK,already present,Drug-induced male infertility: a real-world study using FAERS and EudraVigilance databases
W4211211986,10.1177/15579883221075520,A_primary,gold,American Journal of Men s Health,OK/OK,"europepmc:Europe PMC PMC8841933, 58 KB text","A Prospective Study of Male Depression, Psychotropic Medication Use, and Fecundability"
W4394578177,10.3390/jcm13072129,A_primary,gold,Journal of Clinical Medicine,OK/OK,"Journal of Clinical Me:http 403, body too small; PubMed Central:http 200, body too small; europepmc:Europe PMC PMC11012779, 38 KB text",Evaluating the Use of Selective Serotonin Reuptake Inhibitors (SSRIs) and Male Infertility
W4389143339,10.3390/brainsci13121652,A_primary,gold,Brain Sciences,OK/OK,"Brain Sciences:http 403, body too small; IrInSubria (University:http 200, 1578 KB; text: 63 KB text","The Possible Role of Prescribing Medications, Including Central Nervous System Drugs, in C"
W2562048746,10.17816/uroved6319-25,A_primary,hybrid,Urology reports (St - Petersburg),FAILED,"Urology reports (St - :http 000, body too small; europepmc:not in Europe PMC",Selective serotonin reuptake inhibitor and fertility potential of the men. Psychiatry and 
W4416434253,10.7759/cureus.97360,A_primary,diamond,Cureus,OK/OK,already present,Unraveling the Cycle: A Scoping Review Exploring the Impact of Antidepressants on the Fema
W4388681810,10.20944/preprints202311.0910.v1,A_primary,green,Preprints.org,FAILED,"Preprints.org:http 403, body too small; europepmc:epmc hit but not OA (pmcid=none)",Impact of Selective Serotonin Reuptake Inhibitor on Male Infertility: A Retrospective Pilo
W7166526610,10.33719/nju1797653,A_primary,diamond,Yeni Üroloji Dergisi,OK/OK,already present,The Effects of Paternal Selective Serotonin Reuptake Inhibitor Use on Male Fertility and P
W3091946512,10.1016/j.fertnstert.2020.09.008,A_primary,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Rubik’s cube of depression, antidepressants, and fertility"
W2235481714,10.1007/s00213-015-4198-1,B_held,hybrid,Psychopharmacology,OK/OK,"Psychopharmacology:http 200, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC4759230, 42 KB text",Differential effects of vilazodone versus citalopram and paroxetine on sexual behaviors an
W4210967122,10.1007/978-3-319-74604-3_4,B_held,closed,,FAILED,europepmc:not in Europe PMC,Antidepressants
