openalex_id,doi,year,title,venue,cell,tier,verdict,n_seeds,cited_by,screen_note,RA_DECISION(RETRIEVE/EXCLUDE/UNSURE),RA_NOTE
W2804566355,10.1016/j.fertnstert.2018.01.029,2018,"Major depression, antidepressant use, and male and female fertility",Fertility and Sterility,PRIMARY_MEDICATION_TO_FERTILITY,1,RELEVANT,2,73,"KEY RECORD. Major depression AND antidepressant use against male and female fertility in one estimate — the Wall 1 contrast the chapter needs, and the only record so far that names both exposures. Record carries no abstract; version of record must be located.",,
W2013874757,10.1016/s0306-4530(99)00038-4,2000,"Antidepressant medications, mood and male fertility",Psychoneuroendocrinology,PRIMARY_MALE_FECUNDITY,1,RELEVANT,2,71,"Psychoneuroendocrinology, antidepressant medications, mood AND male fertility together. Both exposures named; no abstract on the record.",,
W2165508657,10.1093/humrep/des383,2012,"The risks of selective serotonin reuptake inhibitor use in infertile women: a review of the impact on fertility, pregnancy, neonatal health and beyond",Human Reproduction,PRIMARY_MEDICATION_TO_FERTILITY,1,RELEVANT,3,69,"Human Reproduction review of SSRI use in INFERTILE women, covering the impact on fertility. Female primary-cell channel-1 seed; LEAKAGE WALL applies. Population is selected on subfecundity, so transport to a general population needs an argument.",,
W2342461626,10.1016/j.ajog.2016.04.022,2016,"Depression, anxiety, and psychotropic medication use and fecundability",American Journal of Obstetrics and Gynecology,PRIMARY_MEDICATION_TO_FERTILITY,2,RELEVANT,1,61,"KEY RECORD. Depression, anxiety, and psychotropic medication use against FECUNDABILITY, in AJOG. Female-side counterpart to W4211211986, and it carries both exposures. No abstract on the record; version of record must be located.",,
W2083659963,10.1097/00001648-199303000-00011,1993,Self-Reported Use of Pharmaceuticals and Primary Ovulatory Infertility,Epidemiology,PRIMARY_MEDICATION_TO_FERTILITY,2,RELEVANT,1,48,"Self-reported pharmaceutical use and primary OVULATORY infertility, case-control. Female, and a fertility outcome. Predates the SSRI era, so the exposure is largely tricyclic and the record informs the pre-1988 baseline rather than the SDT cell.",,
W2080412411,10.1016/j.fertnstert.2011.11.027,2011,Male fertility: psychiatric considerations,Fertility and Sterility,PRIMARY_MALE_FECUNDITY,1,RELEVANT,4,32,"Fertility and Sterility, psychiatric considerations in male fertility. No abstract on the record.",,
W2957096317,10.1097/hrp.0000000000000204,2019,Selective Serotonin Reuptake Inhibitors and Fertility: Considerations for Couples Trying to Conceive,Harvard Review of Psychiatry,PRIMARY_MEDICATION_TO_FERTILITY,1,RELEVANT,6,20,Harvard Review of Psychiatry review of SSRIs and conception in couples. Channel-1 seed the A3 set did not hold; LEAKAGE WALL applies.,,
W3197213469,10.1016/j.fertnstert.2021.07.1202,2021,Medical therapies causing iatrogenic male infertility,Fertility and Sterility,PRIMARY_MALE_FECUNDITY,1,RELEVANT,2,18,"Medical therapies causing IATROGENIC male infertility, Fertility and Sterility. Frames B.7's claim as one entry in a drug list; no abstract on the record.",,
W2913546723,10.1097/pra.0000000000000353,2019,The Association Between Psychotropic Drug Use and Fertility Problems Among Male Subjects,Journal of Psychiatric Practice,PRIMARY_MALE_FECUNDITY,2,RELEVANT,1,18,"KEY RECORD. Psychotropic drug use and FERTILITY PROBLEMS among male subjects. A fertility outcome rather than a semen parameter, and the exposure is the drug class.",,
W3125932895,10.1080/13651501.2021.1872647,2021,The effects of selective serotonin reuptake inhibitors on male and female fertility: a brief literature review,International Journal of Psychiatry in Clinical Practice,PRIMARY_MEDICATION_TO_FERTILITY,1,RELEVANT,6,17,"Brief review, both sexes, ability to conceive. Channel-1.",,
