id,job,year,arm,title,A1_1_counterfactual,A1_2_denominator,A1_3_ascertainment,A1_4_postponement_feedback,A2_1_treatment_attenuation,A2_2_exposure_estimand_distance,A2_3_policy_endogeneity,A2_4_shock_direction,overall
W4383264299,A3_SHARE,2023,arm1_counting,The influence of the increasing use of assisted reproduction technologies on the,SERIOUS,MODERATE,MODERATE,SERIOUS,,,,,SERIOUS
W4319939934,A3_SHARE,2023,arm1_counting,Projecting the Contribution of Assisted Reproductive Technology to Completed Coh,SERIOUS,SERIOUS,MODERATE,SERIOUS,,,,,SERIOUS
W7169859806,A3_SHARE,2026,arm1_counting,The future of births via medically assisted reproduction in Italy:Scenarios to 2,SERIOUS,SERIOUS,MODERATE,SERIOUS,,,,,SERIOUS
W4206510889,A3_SHARE,2020,arm1_counting,Assessment of the contribution of assisted reproduction methods for the future d,SERIOUS,SERIOUS,MODERATE,SERIOUS,,,,,SERIOUS
W2888653606,A3_SHARE,2018,arm1_counting,Contribution of the Assisted Reproductive Technologies to the Fertility in Ukrai,SERIOUS,SERIOUS,MODERATE,SERIOUS,,,,,SERIOUS
W4390964890,A3_SHARE,2024,arm1_counting,Impacts of COVID-19 on Medically Assisted Live Birth Rates in the United States ,SERIOUS,SERIOUS,MODERATE,SERIOUS,,,,,SERIOUS
W4397049710,A3_SHARE,2024,arm1_counting,Educational gradients in the prevalence of medically assisted reproduction birth,SERIOUS,SERIOUS,MODERATE,SERIOUS,,,,,SERIOUS
W4387472984,A3_SHARE,2023,arm1_counting,Probability of second live birth after first natural and medically assisted repr,MODERATE,MODERATE,MODERATE,SERIOUS,,,,,SERIOUS
W2997596347,A3_SHARE,2019,arm1_counting,The limits to fertility recuperation,LOW,MODERATE,MODERATE,SERIOUS,,,,,SERIOUS
W2284249410,A1_COUNTERFACTUAL,2016,arm1_counting,"In-vitro fertilization and spontaneous pregnancies: matching outcomes in Douala,",LOW,MODERATE,MODERATE,SERIOUS,,,,,SERIOUS
W4415618346,A1_COUNTERFACTUAL,2025,arm1_counting,Time to birth for spontaneous and ART births among infertile groups,LOW,MODERATE,MODERATE,SERIOUS,,,,,SERIOUS
W1860640930,A2_IDENTIFIED,2007,arm2_estimate,Mandated Health Insurance Benefits and the Utilization and Outcomes of Infertili,,,,,LOW,SERIOUS,MODERATE,LOW,SERIOUS
W2058178715,A2_IDENTIFIED,2011,arm2_estimate,Utilization of Infertility Treatments: The Effects of Insurance Mandates,,,,,LOW,SERIOUS,MODERATE,LOW,SERIOUS
W2134649289,A2_IDENTIFIED,2012,arm2_estimate,A reduction in public funding for fertility treatment - an econometric analysis ,,,,,LOW,MODERATE,MODERATE,LOW,MODERATE
W2429169488,A2_IDENTIFIED,2016,arm2_estimate,Decision making about infertility treatment: does unlimited access lead to inapp,,,,,LOW,MODERATE,MODERATE,LOW,MODERATE
