band,access_class,doi,work_id,year,venue,detail,title
diffusion_independent_of_structure,oa_but_blocked,10.1016/j.labeco.2024.102640,W4403532902,2024,Labour Economics,not_pdf_html_paywall,Television and family demography: Evidence from a natural experiment in East Germany
diffusion_independent_of_structure,oa_but_blocked,10.1007/s00181-022-02278-6,W4286794531,2022,Empirical Economics,not_pdf_html_paywall,Television and fertility: evidence from a natural experiment
diffusion_independent_of_structure,oa_but_blocked,10.1007/s13524-017-0588-9,W2733367730,2017,Demography,"not_pdf_html_paywall,empty_or_tiny",Postmarital Living Arrangements in Historically Patrilocal Settings: Integrating Household Fission and Migration Perspec
diffusion_independent_of_structure,oa_but_blocked,10.1007/s13524-013-0221-5,W2017775266,2013,Demography,"not_pdf_html_paywall,empty_or_tiny","Marital Processes, Arranged Marriage, and Contraception to Limit Fertility"
diffusion_independent_of_structure,closed,10.1080/17441730.2023.2287336,W4389150456,2023,Asian Population Studies,closed,"Responsibility, social aspirations, and contemporary low fertility: a case study of rural West Bengal, India"
realized_fertility,oa_but_blocked,10.1080/00324728.2024.2345059,W4401222389,2024,Population Studies,not_pdf_html_paywall,Family trajectories among immigrants and their descendants in three European countries: A multistate approach in compara
realized_fertility,oa_but_blocked,10.1111/imig.13347,W4403845184,2024,International Migration,not_pdf_html_paywall,International migration and the advent of a new demographic era
realized_fertility,oa_but_blocked,10.1080/00220388.2018.1506581,W2890075677,2018,The Journal of Development Studies,not_pdf_html_paywall,All You Need is Cable TV?
realized_fertility,oa_but_blocked,,W1552777139,2001,Duo Research Archive (University of Oslo),not_pdf_html_paywall,The importance of education for fertility in Sub-Saharan Africa is substantially underestimated when community effects a
realized_fertility,oa_but_blocked,10.2307/2061849,W2056855601,1992,Demography,not_pdf_html_paywall,Family organization and fertility limitation in Nepal
realized_fertility,closed,10.1111/cwe.12558,W4404567126,2024,China & World Economy,closed,The Multifaceted Impact of Education on Fertility: Unpacking the “BASIC” Effects in China
realized_fertility,closed,10.1002/soej.12727,W4401595574,2024,Southern Economic Journal,closed,"Harmony in diplomacy, convergence in choices: Low fertility diffusion through Sino‐Korean normalization"
realized_fertility,closed,10.1093/migration/mnad025,W4386758606,2023,Migration Studies,closed,Fertility of immigrants and their descendants in Spain: intergenerational convergence to the native population’s behavio
realized_fertility,closed,10.1111/j.1728-4457.2012.00496.x,W2043124662,2012,Population and Development Review,closed,Immigration to the UK from High‐Fertility Countries: Intergenerational Adaptation and Fertility Convergence
realized_fertility,closed,10.1080/00324728.2012.721518,W2057100435,2012,Population Studies,"empty_or_tiny,not_pdf_html_paywall","The impact of outmigration of men on fertility and marriage in the migrant-sending states of Mexico, 1995–2000"
realized_fertility,closed,,W2466969149,2011,,closed,The impact of television and radio on reproductive behavior and on HIV / AIDS knowledge and behavior.
realized_fertility,closed,10.1111/j.1728-4457.2011.00455.x,W2043185881,2011,Population and Development Review,"empty_or_tiny,not_pdf_html_paywall",The Association of Television and Radio with Reproductive Behavior
realized_fertility,closed,10.1111/j.1549-0831.2010.00019.x,W1503799874,2010,Rural Sociology,"empty_or_tiny,not_pdf_html_paywall","Community Context, Land Use, and First Birth"
realized_fertility,closed,10.2307/3088337,W3144412698,2002,Demography,closed,Education and Fertility in Sub-Saharan Africa: Individual and Community Effects
realized_fertility,closed,10.2307/3088919,W2334348451,2001,American Sociological Review,closed,Mass Education and Fertility Transition
realized_fertility,closed,10.1080/19485565.1994.9988878,W2006422041,1994,Biodemography and Social Biology,closed,Fertility attitudes and behavior of Saudi Arabian students enrolled in U.S. universities
realized_fertility,closed,10.1177/019791839202600104,W2063689625,1992,International Migration Review,closed,"Assimilation, Disruption and the Fertility of Mexican-Origin Women in the United States <sup/>"
realized_fertility,closed,10.1111/j.1549-0831.1992.tb00472.x,W2068298470,1992,Rural Sociology,closed,Rural Income‐Generating Programs and Fertility Limitation: Evidence from a Microdemographic Study in Nepal<sup>1</sup>
wall5_unresolved_schooling,oa_but_blocked,10.1215/00703370-12191344,W4413110980,2025,,not_pdf_html_paywall,How Is Fertility Behavior in Africa Different?
wall5_unresolved_schooling,oa_but_blocked,10.1016/j.ssaho.2025.102109,W4415317108,2025,,not_pdf_html_paywall,Does reducing the length of school cycles affect Women's fertility? Quasi-Experimental evidence from Ghana
