work_id,doi,band,cell,in_realized_pool,in_stated_pool,in_family_pool,in_wall5_sample,outcome_level,year,venue,oa_status,pdf_url,download_status,detail,bytes,file,title
W4403532902,10.1016/j.labeco.2024.102640,diffusion_independent_of_structure,DIFFUSION_INDEPENDENT_OF_STRUCTURE,True,True,True,False,MULTIPLE,2024,Labour Economics,hybrid,,failed,not_pdf_html_paywall,0,,Television and family demography: Evidence from a natural experiment in East Germany
W4389150456,10.1080/17441730.2023.2287336,diffusion_independent_of_structure,DIFFUSION_INDEPENDENT_OF_STRUCTURE,True,False,False,False,REALIZED_FERTILITY,2023,Asian Population Studies,closed,,no_oa_url,closed,0,,"Responsibility, social aspirations, and contemporary low fertility: a case study of rural West Bengal, India"
W4286794531,10.1007/s00181-022-02278-6,diffusion_independent_of_structure,DIFFUSION_INDEPENDENT_OF_STRUCTURE,True,False,False,False,REALIZED_FERTILITY,2022,Empirical Economics,hybrid,,failed,not_pdf_html_paywall,0,,Television and fertility: evidence from a natural experiment
W3000461591,10.1257/mac.20180296,diffusion_independent_of_structure,DIFFUSION_INDEPENDENT_OF_STRUCTURE,True,False,False,False,REALIZED_FERTILITY,2020,American Economic Journal Macroeconomics,bronze,http://eprints.lse.ac.uk/103077/1/fertility2.pdf,downloaded,ok,910276,W3000461591__the-fall-in-global-fertility-a-quantitative-model.pdf,The Fall in Global Fertility: A Quantitative Model
W2733367730,10.1007/s13524-017-0588-9,diffusion_independent_of_structure,DIFFUSION_INDEPENDENT_OF_STRUCTURE,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,2017,Demography,bronze,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Postmarital Living Arrangements in Historically Patrilocal Settings: Integrating Household Fission and Migration Perspec
W2017775266,10.1007/s13524-013-0221-5,diffusion_independent_of_structure,DIFFUSION_INDEPENDENT_OF_STRUCTURE,True,False,False,False,REALIZED_FERTILITY,2013,Demography,bronze,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,"Marital Processes, Arranged Marriage, and Contraception to Limit Fertility"
W4404567126,10.1111/cwe.12558,realized_fertility,PRIMARY_SCHOOLING_IDEATIONAL,True,True,True,True,MULTIPLE,2024,China & World Economy,closed,,no_oa_url,closed,0,,The Multifaceted Impact of Education on Fertility: Unpacking the “BASIC” Effects in China
W4401595574,10.1002/soej.12727,realized_fertility,PRIMARY_WESTERN_CONTACT,True,True,True,False,MULTIPLE,2024,Southern Economic Journal,closed,,no_oa_url,closed,0,,"Harmony in diplomacy, convergence in choices: Low fertility diffusion through Sino‐Korean normalization"
W4401222389,10.1080/00324728.2024.2345059,realized_fertility,PRIMARY_WESTERN_CONTACT,True,True,True,False,MULTIPLE,2024,Population Studies,hybrid,,failed,not_pdf_html_paywall,0,,Family trajectories among immigrants and their descendants in three European countries: A multistate approach in compara
W4403845184,10.1111/imig.13347,realized_fertility,PRIMARY_WESTERN_CONTACT,True,False,False,False,REALIZED_FERTILITY,2024,International Migration,hybrid,,failed,not_pdf_html_paywall,0,,International migration and the advent of a new demographic era
W4386758606,10.1093/migration/mnad025,realized_fertility,PRIMARY_WESTERN_CONTACT,True,False,False,False,REALIZED_FERTILITY,2023,Migration Studies,closed,,no_oa_url,closed,0,,Fertility of immigrants and their descendants in Spain: intergenerational convergence to the native population’s behavio
W4379516845,10.1177/01979183231161600,realized_fertility,PRIMARY_WESTERN_CONTACT,True,True,True,False,MULTIPLE,2023,International Migration Review,hybrid,https://research-repository.st-andrews.ac.uk/bitstream/10023/27759/1/Liu_2023_IMR_Competing_family_CC.pdf,downloaded,ok,1203640,W4379516845__competing-family-pathways-for-immigrants-and-their-descendan.pdf,Competing Family Pathways for Immigrants and Their Descendants in Germany
W4220760611,10.1017/dem.2022.6,realized_fertility,PRIMARY_MEDIA_WESTERN_MODEL,True,False,False,False,REALIZED_FERTILITY,2022,Journal of Demographic Economics,hybrid,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/65B43B0D650BEF5B78AFEDEE15CBFCF5/S2054089222000062a.pdf/div-class-title-fertility-electricity-and-television-is-there-a-link-evidence-from-pakistan-1990-2018-div.pdf,downloaded,ok,301546,W4220760611__fertility-electricity-and-television-is-there-a-link-evidenc.pdf,"Fertility, electricity and television: is there a link? Evidence from Pakistan, 1990–2018"
W3021988804,10.3386/w24856,realized_fertility,PRIMARY_MEDIA_WESTERN_MODEL,True,False,False,False,REALIZED_FERTILITY,2018,National Bureau of Economic Research,green,https://doi.org/10.3386/w24856,downloaded,ok,867440,W3021988804__a-cautionary-tale-of-evaluating-identifying-assumptions-did-.pdf,A Cautionary Tale of Evaluating Identifying Assumptions: Did Reality TV Really Cause a Decline in Teenage Childbearing?
W2890075677,10.1080/00220388.2018.1506581,realized_fertility,PRIMARY_MEDIA_WESTERN_MODEL,True,False,False,False,REALIZED_FERTILITY,2018,The Journal of Development Studies,hybrid,,failed,not_pdf_html_paywall,0,,All You Need is Cable TV?
W2765272380,10.1257/jep.31.4.205,realized_fertility,PRIMARY_WESTERN_CONTACT,True,False,False,False,REALIZED_FERTILITY,2017,The Journal of Economic Perspectives,bronze,https://researchonline.lse.ac.uk/id/eprint/86623/1/Tenreyro_Population%20control%20policies%20and%20fertility.pdf,downloaded,ok,1178163,W2765272380__population-control-policies-and-fertility-convergence.pdf,Population Control Policies and Fertility Convergence
W2144464409,10.1007/s13524-015-0420-3,realized_fertility,PRIMARY_MEDIA_WESTERN_MODEL,True,True,True,False,MULTIPLE,2015,Demography,hybrid,https://europepmc.org/articles/PMC4605992?pdf=render,downloaded,ok,6132476,W2144464409__does-electrification-spur-the-fertility-transition-evidence-.pdf,Does Electrification Spur the Fertility Transition? Evidence From Indonesia
W2043124662,10.1111/j.1728-4457.2012.00496.x,realized_fertility,PRIMARY_WESTERN_CONTACT,True,False,False,False,REALIZED_FERTILITY,2012,Population and Development Review,closed,,no_oa_url,closed,0,,Immigration to the UK from High‐Fertility Countries: Intergenerational Adaptation and Fertility Convergence
W2057100435,10.1080/00324728.2012.721518,realized_fertility,PRIMARY_WESTERN_CONTACT,True,True,True,False,MULTIPLE,2012,Population Studies,closed,,failed,"empty_or_tiny,not_pdf_html_paywall",0,,"The impact of outmigration of men on fertility and marriage in the migrant-sending states of Mexico, 1995–2000"
W2466969149,,realized_fertility,PRIMARY_MEDIA_WESTERN_MODEL,True,True,True,False,MULTIPLE,2011,,closed,,no_oa_url,closed,0,,The impact of television and radio on reproductive behavior and on HIV / AIDS knowledge and behavior.
W2043185881,10.1111/j.1728-4457.2011.00455.x,realized_fertility,PRIMARY_MEDIA_WESTERN_MODEL,True,True,True,False,MULTIPLE,2011,Population and Development Review,closed,,failed,"empty_or_tiny,not_pdf_html_paywall",0,,The Association of Television and Radio with Reproductive Behavior
W1503799874,10.1111/j.1549-0831.2010.00019.x,realized_fertility,PRIMARY_WESTERN_CONTACT,True,False,False,False,REALIZED_FERTILITY,2010,Rural Sociology,closed,,failed,"empty_or_tiny,not_pdf_html_paywall",0,,"Community Context, Land Use, and First Birth"
W3144412698,10.2307/3088337,realized_fertility,PRIMARY_SCHOOLING_IDEATIONAL,True,False,False,True,REALIZED_FERTILITY,2002,Demography,closed,,no_oa_url,closed,0,,Education and Fertility in Sub-Saharan Africa: Individual and Community Effects
W1552777139,,realized_fertility,PRIMARY_SCHOOLING_IDEATIONAL,True,False,False,True,REALIZED_FERTILITY,2001,Duo Research Archive (University of Oslo),green,,failed,not_pdf_html_paywall,0,,The importance of education for fertility in Sub-Saharan Africa is substantially underestimated when community effects a
W2334348451,10.2307/3088919,realized_fertility,PRIMARY_SCHOOLING_IDEATIONAL,True,False,False,True,REALIZED_FERTILITY,2001,American Sociological Review,closed,,no_oa_url,closed,0,,Mass Education and Fertility Transition
W2014423935,10.4054/demres.2000.3.3,realized_fertility,PRIMARY_SCHOOLING_IDEATIONAL,True,True,True,True,MULTIPLE,2000,Demographic Research,diamond,https://www.demographic-research.org/volumes/vol3/3/3-3.pdf,downloaded,ok,237287,W2014423935__a-search-for-aggregate-level-effects-of-education-on-fertili.pdf,"A search for aggregate-level effects of education on fertility, using data from Zimbabwe"
W2006422041,10.1080/19485565.1994.9988878,realized_fertility,PRIMARY_WESTERN_CONTACT,True,True,True,False,MULTIPLE,1994,Biodemography and Social Biology,closed,,no_oa_url,closed,0,,Fertility attitudes and behavior of Saudi Arabian students enrolled in U.S. universities
W2063689625,10.1177/019791839202600104,realized_fertility,PRIMARY_WESTERN_CONTACT,True,False,False,False,REALIZED_FERTILITY,1992,International Migration Review,closed,,no_oa_url,closed,0,,"Assimilation, Disruption and the Fertility of Mexican-Origin Women in the United States <sup/>"
W2068298470,10.1111/j.1549-0831.1992.tb00472.x,realized_fertility,PRIMARY_WESTERN_CONTACT,True,False,False,False,REALIZED_FERTILITY,1992,Rural Sociology,closed,,no_oa_url,closed,0,,Rural Income‐Generating Programs and Fertility Limitation: Evidence from a Microdemographic Study in Nepal<sup>1</sup>
W2056855601,10.2307/2061849,realized_fertility,PRIMARY_WESTERN_CONTACT,True,False,False,False,REALIZED_FERTILITY,1992,Demography,bronze,,failed,not_pdf_html_paywall,0,,Family organization and fertility limitation in Nepal
W4413110980,10.1215/00703370-12191344,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2025,,gold,,failed,not_pdf_html_paywall,0,,How Is Fertility Behavior in Africa Different?
W4409029977,10.1093/ereh/heae023,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2025,,bronze,http://eprints.lse.ac.uk/126514/3/heae023.pdf,downloaded,ok,2613135,W4409029977__the-causal-effects-of-education-on-age-at-marriage-and-marit.pdf,The Causal Effects of Education on Age at Marriage and Marital Fertility
W4415317108,10.1016/j.ssaho.2025.102109,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2025,,gold,,failed,not_pdf_html_paywall,0,,Does reducing the length of school cycles affect Women's fertility? Quasi-Experimental evidence from Ghana
W4414887011,10.1215/00703370-12250354,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2025,,gold,,failed,not_pdf_html_paywall,0,,Fertility Decline and Educational Progress Among African Women and Children
W4408224057,10.1007/s12546-025-09369-y,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2025,,hybrid,,failed,not_pdf_html_paywall,0,,Effects of diffusion and education on women’s fertility in India
W4401323454,10.32468/chee.63,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2024,,closed,,no_oa_url,closed,0,,Understanding the relationship between women's education and fertility decline: Evidence from Colombia
W4391348058,10.1007/s10680-023-09691-2,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2024,,hybrid,https://europepmc.org/articles/PMC10828303?pdf=render,downloaded,ok,1995757,W4391348058__the-impact-of-education-on-fertility-during-the-chinese-refo.pdf,The Impact of Education on Fertility During the Chinese Reform Era (1980–2018): Changes Across Birth Cohorts and Interac
W4294343530,10.1007/978-3-031-11840-1_4,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2022,,hybrid,,failed,not_pdf_html_paywall,0,,Socio-Economic Determinants of Fertility
W4313316299,10.1371/journal.pone.0279773,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2022,,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0279773&type=printable,downloaded,ok,918134,W4313316299__exploring-reproductive-trajectories-of-youths-of-oromia-ethi.pdf,"Exploring reproductive trajectories of youths of Oromia, Ethiopia: A life course approach"
W4285042530,10.1111/fare.12718,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2022,,closed,,no_oa_url,closed,0,,Mate selection in China: Trends and determinants
W4200564011,10.1111/jomf.12815,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2021,,green,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Desired fertility and educational aspirations: Adolescent goals in rapidly changing social contexts
W4226309858,10.1596/36792,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2021,,bronze,,failed,not_pdf_html_paywall,0,,Improving the Well-Being of Adolescent Girls in Developing Countries
W3096378151,10.1177/0021909620966778,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2020,,closed,,no_oa_url,closed,0,,Early Marriage and Correlates among Young Women in Sub-Saharan African Countries
W2896739472,10.1007/s13524-018-0722-3,wall5_unresolved_schooling,PRIMARY_SCHOOLING_IDEATIONAL,False,False,True,True,FAMILY_FORMATION_BEHAVIOUR,2018,Demography,bronze,https://europepmc.org/articles/PMC11864352?pdf=render,downloaded,ok,1541108,W2896739472__from-privilege-to-prevalence-contextual-effects-of-women-s-s.pdf,From Privilege to Prevalence: Contextual Effects of Women’s Schooling on African Marital Timing
W2790358149,10.1017/dem.2016.12,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2018,,closed,,no_oa_url,closed,0,,THE IMPACT OF EDUCATION ON WOMEN'S PREFERENCES FOR GENDER EQUALITY: EVIDENCE FROM SIERRA LEONE
W2892678806,10.4054/demres.2018.39.20,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2018,,diamond,https://www.demographic-research.org/volumes/vol39/20/39-20.pdf,downloaded,ok,2761601,W2892678806__fewer-mothers-with-more-colleges-the-impacts-of-expansion-in.pdf,Fewer mothers with more colleges? The impacts of expansion in higher education on first marriage and first childbirth
W2805245235,10.3389/fpubh.2018.00172,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2018,,gold,https://www.frontiersin.org/articles/10.3389/fpubh.2018.00172/pdf,downloaded,ok,1122366,W2805245235__is-educating-girls-the-best-investment-for-south-asia-associ.pdf,Is Educating Girls the Best Investment for South Asia? Association Between Female Education and Fertility Choices in Sou
W2807117404,10.1007/s10144-018-0626-5,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2018,,hybrid,,failed,not_pdf_html_paywall,0,,Variation in wealth and educational drivers of fertility decline across 45 countries
W2345861931,10.1093/oso/9780198813422.003.0006,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2017,,green,,no_oa_url,closed,0,,How Education Drives Demography and Knowledge Informs Projections
W658899937,10.1007/s13524-015-0392-3,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2015,,bronze,,failed,not_pdf_html_paywall,0,,"Does Schooling Affect Women’s Desired Fertility? Evidence From Malawi, Uganda, and Ethiopia"
W2042718166,10.1163/15691497-12341298,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2014,,closed,,no_oa_url,closed,0,,"The Effect of Education, Employment, and Income on Reproductive Attitudes and Behavior of United Arab Emirates Married W"
