stratum,priority,read_level,work_id,doi,year,venue,screen_verdict,screen_cell,outcome_level,setting_era,structural_change_held_fixed,evidence_type,screen_reason,ra_verdict,ra_cell,ra_outcome_level,ra_route_to,agree_or_overturn,mechanism_decomposed,ra_reason,send_to_fulltext,ra_initials,ra_date,title
A_DECISIVE,1,full_text,W4403532902,10.1016/j.labeco.2024.102640,2024,Labour Economics,RELEVANT,DIFFUSION_INDEPENDENT_OF_STRUCTURE,MULTIPLE,SDT,yes,quasi-experimental,Signal-geography natural experiment within one economy attributes reduced marriage and childbearing to Western TV role models via attitude change.,,,,,,,,,,,Television and family demography: Evidence from a natural experiment in East Germany
A_DECISIVE,1,full_text,W4403845184,10.1111/imig.13347,2024,International Migration,RELEVANT,PRIMARY_WESTERN_CONTACT,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,Tests transmission of destination family and gender norms to origin fertility via migration corridors; bivariate correlations only.,,,,,,,,,,,International migration and the advent of a new demographic era
A_DECISIVE,1,full_text,W4386758606,10.1093/migration/mnad025,2023,Migration Studies,RELEVANT,PRIMARY_WESTERN_CONTACT,REALIZED_FERTILITY,SDT,unclear,observational,"Estimand is intergenerational convergence to native fertility with exposure, tested against socialization hypotheses (Wall 2 migrant seam).",,,,,,,,,,,Fertility of immigrants and their descendants in Spain: intergenerational convergence to the native population’s behaviour?
A_DECISIVE,1,full_text,W4389150456,10.1080/17441730.2023.2287336,2023,Asian Population Studies,RELEVANT,DIFFUSION_INDEPENDENT_OF_STRUCTURE,REALIZED_FERTILITY,SDT,yes,observational,"Ideal of investing heavily in few children drives sub-replacement fertility in a rural, economically insecure setting where structural development has not moved.",,,,,,,,,,,"Responsibility, social aspirations, and contemporary low fertility: a case study of rural West Bengal, India"
A_DECISIVE,1,full_text,W4220760611,10.1017/dem.2022.6,2022,Journal of Demographic Economics,RELEVANT,PRIMARY_MEDIA_WESTERN_MODEL,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"TV access reduces fertility with the effect attributed to soap-opera role models and household forms, though wealth/education adjustment is covariate control rather than design.",,,,,,,,,,,"Fertility, electricity and television: is there a link? Evidence from Pakistan, 1990–2018"
A_DECISIVE,1,full_text,W4286794531,10.1007/s00181-022-02278-6,2022,Empirical Economics,RELEVANT,DIFFUSION_INDEPENDENT_OF_STRUCTURE,REALIZED_FERTILITY,SDT,yes,quasi-experimental,"Natural experiment isolating exposure to a Western small-family model within a single economy, with the effect attributed to depicted role models.",,,,,,,,,,,Television and fertility: evidence from a natural experiment
A_DECISIVE,1,full_text,W3000461591,10.1257/mac.20180296,2020,American Economic Journal Macroeconomics,RELEVANT,DIFFUSION_INDEPENDENT_OF_STRUCTURE,REALIZED_FERTILITY,DIFFUSED_FDT,yes,structural,"Quantitative model simulates the norm-shifting channel of development-institution population programmes separately from human capital, income, and contraceptive access.",,,,,,,,,,,The Fall in Global Fertility: A Quantitative Model
A_DECISIVE,1,full_text,W2788466063,10.35188/unu-wider/2018/467-4,2018,Working Paper Series,RELEVANT,PRIMARY_WESTERN_CONTACT,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,review,"Reviews the cultural sway of emigrants on origin-country fertility, i.e. contact-mediated import of an external family model.",,,,,,,,,,,Diaspora externalities: A view from the South
A_DECISIVE,1,full_text,W2890075677,10.1080/00220388.2018.1506581,2018,The Journal of Development Studies,RELEVANT,PRIMARY_MEDIA_WESTERN_MODEL,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,quasi-experimental,Replication of a cable-TV introduction design attributing fertility and gender-attitude change to televised depictions of modern family life; channel reading equally live.,,,,,,,,,,,All You Need is Cable TV?
A_DECISIVE,1,full_text,W3021988804,10.3386/w24856,2018,National Bureau of Economic Research,RELEVANT,PRIMARY_MEDIA_WESTERN_MODEL,REALIZED_FERTILITY,SDT,no,quasi-experimental,Re-examination of a televised family-model depiction on teen childbearing; dual-home media case tagged shared with A.20.,,,,,,,,,,,A Cautionary Tale of Evaluating Identifying Assumptions: Did Reality TV Really Cause a Decline in Teenage Childbearing?
A_DECISIVE,1,full_text,W2733367730,10.1007/s13524-017-0588-9,2017,Demography,RELEVANT,DIFFUSION_INDEPENDENT_OF_STRUCTURE,FAMILY_FORMATION_BEHAVIOUR,DIFFUSED_FDT,yes,observational,Nonfamily-exposure measures predict nuclear residence in rural Nepal while community market and employment access and household wealth are separately modelled.,,,,,,,,,,,Postmarital Living Arrangements in Historically Patrilocal Settings: Integrating Household Fission and Migration Perspectives
A_DECISIVE,1,full_text,W2765272380,10.1257/jep.31.4.205,2017,The Journal of Economic Perspectives,RELEVANT,PRIMARY_WESTERN_CONTACT,REALIZED_FERTILITY,DIFFUSED_FDT,yes,structural,"Western-elite-originated development programmes altering family-size norms are argued to drive fertility convergence despite large differences in GDP, education, urbanization, and female employment.",,,,,,,,,,,Population Control Policies and Fertility Convergence
A_DECISIVE,1,full_text,W2017775266,10.1007/s13524-013-0221-5,2013,Demography,RELEVANT,DIFFUSION_INDEPENDENT_OF_STRUCTURE,REALIZED_FERTILITY,DIFFUSED_FDT,yes,observational,"Spread of the conjugal marriage form through rural Asia as a determinant of long-term fertility limitation, estimated net of the contemporaneous social changes that shape both.",,,,,,,,,,,"Marital Processes, Arranged Marriage, and Contraception to Limit Fertility"
A_DECISIVE,1,full_text,W2043124662,10.1111/j.1728-4457.2012.00496.x,2012,Population and Development Review,RELEVANT,PRIMARY_WESTERN_CONTACT,REALIZED_FERTILITY,SDT,no,observational,"Estimand is intergenerational adaptation and convergence on host childbearing norms with exposure, the migrant-seam case assigned to D.1.b.",,,,,,,,,,,Immigration to the UK from High‐Fertility Countries: Intergenerational Adaptation and Fertility Convergence
A_DECISIVE,1,full_text,W1503799874,10.1111/j.1549-0831.2010.00019.x,2010,Rural Sociology,RELEVANT,PRIMARY_WESTERN_CONTACT,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"Exposure to modern non-family institutions said to spread new expectations about family life, estimated on first-birth timing against agricultural child-labour returns",,,,,,,,,,,"Community Context, Land Use, and First Birth"
A_DECISIVE,1,full_text,W3144412698,10.2307/3088337,2002,Demography,RELEVANT,PRIMARY_SCHOOLING_IDEATIONAL,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"Aggregate schooling spillover onto women whose own education did not change — Caldwell's mass-education mechanism, net of own education and urbanization (Wall 5).",,,,,,,,,,,Education and Fertility in Sub-Saharan Africa: Individual and Community Effects
A_DECISIVE,1,full_text,W1552777139,,2001,Duo Research Archive (University of Oslo),RELEVANT,PRIMARY_SCHOOLING_IDEATIONAL,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"Estimates schooling spillovers onto women whose own education did not change, net of urbanization — the design isolates a non-individual, non-wage schooling channel.",,,,,,,,,,,The importance of education for fertility in Sub-Saharan Africa is substantially underestimated when community effects are ignored
