work_id,doi,year,venue,title,screen_cell,adjudicated_cell,agree_or_overturn,outcome_level,setting_era,mechanism_decomposed,structural_controls_adjusted,finding,adjudication_reason,reviewer,review_date
W2014423935,10.4054/demres.2000.3.3,2000,Demographic Research,"A search for aggregate-level effects of education on fertility, using data from Zimbabwe",PRIMARY_SCHOOLING_IDEATIONAL,PRIMARY_SCHOOLING_IDEATIONAL,agree,REALIZED_FERTILITY,DIFFUSED_FDT,yes,"own education; urbanization; district composition","NULL. District mean schooling and district literacy have no effect on a woman's birth rate beyond her own education, once urbanization is controlled.","The design is a direct test of the contextual/ideational claim: it asks whether community education moves fertility net of individual human capital. That is exactly the D.1.b estimand, and it is one of very few papers built to answer it. Confirmed in cell; the result is negative.",claude-assisted,2026-08-07
W2896739472,10.1007/s13524-018-0722-3,2018,Demography,From Privilege to Prevalence: Contextual Effects of Women's Schooling on African Marital Timing,PRIMARY_SCHOOLING_IDEATIONAL,PRIMARY_SCHOOLING_IDEATIONAL,agree,FAMILY_FORMATION_BEHAVIOUR,DIFFUSED_FDT,yes,"individual educational attainment; cohort; country","Contextual effect present: the social meaning of a woman's schooling depends on her agemates' attainment, shifting marital timing beyond her own attainment. 30 countries.","Same contextual-versus-individual design logic as Kravdal, on a family-formation outcome rather than births. In cell, but the outcome level bars it from any fertility pool.",claude-assisted,2026-08-07
W4412065385,10.1093/sf/soaf100,2025,Social Forces,Shifting partnership ideals with online technologies among unmarried women in India,PRIMARY_MEDIA_WESTERN_MODEL,PRIMARY_MEDIA_WESTERN_MODEL,agree,STATED_INTENTION_OR_IDEAL,SDT,no,"not established from full text","Online-technology exposure associated with shifted partnership ideals among unmarried Indian women.","Treatment delivers family-model content (partnership ideals), which is the Wall-3 discriminator, so it stays. Outcome is a stated ideal, not a birth.",claude-assisted,2026-08-07
W3000461591,10.1257/mac.20180296,2020,American Economic Journal: Macroeconomics,The Fall in Global Fertility: A Quantitative Model,DIFFUSION_INDEPENDENT_OF_STRUCTURE,DI_THEORY,OVERTURN,NA,NA,n/a,n/a,"Calibrated structural model of global fertility decline; no empirical estimate of an ideational exposure.","This was the ONLY retrieved record in the value-added cell, and it is not an empirical design separating ideation from structure -- it is a quantitative model. The value-added cell is empty among retrieved records.",claude-assisted,2026-08-07
W2765272380,10.1257/jep.31.4.205,2017,Journal of Economic Perspectives,Population Control Policies and Fertility Convergence,PRIMARY_WESTERN_CONTACT,OFF_OTHER,OVERTURN,NA,NA,n/a,n/a,"Reviews population-control policy and cross-country fertility convergence.","The operative variable is state population-control policy, not exposure to an external family model. Routes to A.5 (organized family planning programmes).",claude-assisted,2026-08-07
W2144464409,10.1007/s13524-015-0420-3,2015,Demography,Does Electrification Spur the Fertility Transition? Evidence From Indonesia,PRIMARY_MEDIA_WESTERN_MODEL,OFF_DIFFUSION_CHANNEL_A20,OVERTURN,REALIZED_FERTILITY,DIFFUSED_FDT,partial,"district DiD; child mortality; contraception","Electrification accounts for 18-24% of the fertility decline; TV exposure is a key channel, acting on preferences and contraceptive use; reduced child mortality is another pathway.","Wall 3 asks what the treatment delivers. Electrification delivers television ACCESS; the paper never establishes what content did the work, and it names contraceptive use (A.3) and child mortality (A.1) as co-equal pathways. This is channel geometry, not family-model content. Routes to A.20 with a cross-reference here.",claude-assisted,2026-08-07
W4220760611,10.1017/dem.2022.6,2024,Journal of Demographic Economics,"Fertility, electricity and television: is there a link? Evidence from Pakistan, 1990-2018",PRIMARY_MEDIA_WESTERN_MODEL,OFF_DIFFUSION_CHANNEL_A20,OVERTURN,REALIZED_FERTILITY,DIFFUSED_FDT,no,"not established from full text","Associates electricity and television access with fertility decline in Pakistan.","Same Wall-3 defect as the Indonesia paper: infrastructural treatment, unspecified content.",claude-assisted,2026-08-07
W3021988804,10.3386/w24856,2018,NBER Working Paper,A Cautionary Tale of Evaluating Identifying Assumptions: Did Reality TV Really Cause a Decline in Teenage Childbearing?,PRIMARY_MEDIA_WESTERN_MODEL,OFF_OTHER,OVERTURN,REALIZED_FERTILITY,SDT,n/a,n/a,"Methodological critique of the Kearney-Levine reality-TV result on US teen births.","The setting is the United States, which is a source of the diffused package rather than a recipient, and the content is teen-pregnancy programming rather than a modern-family ideal. Fails the setting_era rule and Wall 3 together.",claude-assisted,2026-08-07
W4379516845,10.1177/01979183231161600,2023,International Migration Review,Competing Family Pathways for Immigrants and Their Descendants in Germany,PRIMARY_WESTERN_CONTACT,OFF_OTHER,OVERTURN,MULTIPLE,SDT,n/a,n/a,"Compares partnership and fertility trajectories by origin group (Turkish, Russian, Kazak, Polish, Southern European), German SOEP.","The Wall-2 migrant seam: this is origin-norm persistence and differential trajectories, not convergence WITH exposure. Routes to A.19.",claude-assisted,2026-08-07
W2006705160,10.1016/j.jdeveco.2007.10.003,2007,Journal of Development Economics,Does Female Schooling Reduce Fertility? Evidence from Nigeria,MECHANISM_UNRESOLVED_SCHOOLING,MECHANISM_UNRESOLVED_SCHOOLING,agree,REALIZED_FERTILITY,DIFFUSED_FDT,no,"UPE-based IV; region; cohort","Female schooling reduces fertility (IV, Universal Primary Education).","Enumerates three candidate channels in the introduction -- opportunity cost, contraceptive knowledge, female autonomy -- and tests none of them separately. Enumerating channels is not decomposing them. Stays unresolved.",claude-assisted,2026-08-07
