screen_id,study,year,venue,setting,policy_or_shock,design,exposure_type,exposure_distance,exposure_direction,cost_component,outcome_level,outcome,channel,estimator_class,phenomenon_window,effect,sign_vs_c2b,cell_after_fulltext,routing,extractor,date
C2B0257,"Burlando & Bbaale, Fertility Responses to Schooling Costs: Uganda's UPE",2021,Economic Development and Cultural Change,"Uganda, UPE 1997",UPE waived primary fees for up to FOUR children per household; a 5th child's schooling still cost money,"generalized difference-in-differences: mothers with 4+ primary-age children at onset vs fewer, x policy timing",PRICE_POLICY,PRICE_MEASURED,FALL,SCHOOLING,REALIZED,probability of an additional birth within 46 months,PRICE_OF_CHILD,DiD_two_way_FE,PM/FDT-like (Uganda TFR ~6.2 at study time),-4.2 pp probability of another birth within 46 months for mothers whose MARGINAL child would not be fee-exempt; = 8% of the mean,CONSISTENT — the group facing the higher marginal price of a child had fewer births,SCHOOL_COST_FERTILITY,ADMIT,claude-opus-5,2026-09-03
C2B0022,"Keats, Women's schooling, fertility and child health: Uganda's FPE",2018,Journal of Development Economics,"Uganda, FPE 1997","elimination of primary school fees, used as a shock to the WOMAN'S OWN schooling",regression discontinuity on the woman's own year of birth / exposure to the reform,PRICE_POLICY,NOT_A_COST,FALL,OTHER_CHAPTER,REALIZED,"own fertility, child health",MATERNAL_SCHOOLING,fuzzy_RD,PM/FDT-like,+~1 year of schooling at the cutoff; women with more schooling delay and reduce fertility,"NOT APPLICABLE — the estimand is the mother's education, not the price of a child",OFF_OTHER,ROUTE OUT,claude-opus-5,2026-09-03
C2B0953,"Wakano & Yamada, Terminating universal primary education: Kenya",2025,International Journal of Educational Development,"Kenya, UPE termination","TERMINATION of UPE — a fee REINTRODUCTION, the rare RISE direction",fuzzy regression discontinuity; UPE termination instruments female years of education,PRICE_POLICY,NOT_A_COST,RISE,OTHER_CHAPTER,REALIZED,"onset of fertility, total fertility",MATERNAL_SCHOOLING,fuzzy_RD,PM/FDT-like,"termination -> -0.57 years female education; 1 extra year of education -> -0.21 children by age 46, onset delayed 0.67 years","NOT APPLICABLE — estimand is female education, despite the RISE-direction fee shock",OFF_OTHER,ROUTE OUT,claude-opus-5,2026-09-03
C2B0131,"Winegarden & Murray, Early health-insurance programs, European mortality and fertility",2004,Social Science & Medicine,"five European countries, 1875-1913",government-sponsored health insurance lowering the cost of bearing and rearing children,time-series regression on five countries with counterfactual simulation (coverage set to zero),PRICE_POLICY,PRICE_PROXIED,FALL,HEALTH,REALIZED,marital fertility trend,PRICE_OF_CHILD,time_series_regression_with_simulation,FDT (1875-1913),widening coverage RETARDED the secular decline in marital fertility; the mortality/replacement channel worked the other way,CONSISTENT — a lower cost of children slowed the fertility decline,CHILD_HEALTH_COST_FERTILITY,ADMIT,claude-opus-5,2026-09-03
C2B0199,"Ito & Tanaka, Abolishing user fees, fertility choice and educational attainment",2018,Journal of Development Economics,"South Africa, post-apartheid MCH fee abolition",abolition of user fees for maternal and child health services,difference-in-differences on exogenous variation in exposure (health-facility availability x timing),PRICE_POLICY,PRICE_MEASURED,FALL,HEALTH,REALIZED,"fertility, children's educational attainment",PRICE_OF_CHILD,DiD_two_way_FE,PM/FDT-like,27-32% reduction in fertility; greater educational attainment of children a decade later,"INCONSISTENT with the simple price mechanism — the price of children FELL and fertility FELL. The authors read it as quantity-quality: cheaper child QUALITY induces substitution toward fewer, better children",CHILD_HEALTH_COST_FERTILITY,"ADMIT, sign flagged; jointly informative for C.3.d",claude-opus-5,2026-09-03
C2B0405,"Xia, Infant Mortality and Desired Fertility: Sierra Leone's Free Health Care Initiative",2022,Journal of Development Studies,"Sierra Leone, FHCI 2010",abolition of health user fees for pregnant/breastfeeding women and under-fives,difference-in-differences on birth timing x transportation cost to a public facility,PRICE_POLICY,PRICE_MEASURED,FALL,HEALTH,DESIRED,desired fertility; infant mortality,BOTH_UNSEPARATED,DiD_two_way_FE,PM/FDT-like,"no reduction in infant mortality; significant DECLINE in desired fertility, attributed to parents revising infant-mortality expectations (hoarding)","INCONSISTENT — price fell and desired fertility fell; the stated channel is mortality EXPECTATIONS, which is A.1's replacement/insurance mechanism, not a price effect",CHILD_HEALTH_COST_FERTILITY,"BOUNDARY — jointly claimed with A.1, unallocated; DESIRED outcome, never pooled with realized",claude-opus-5,2026-09-03
C2B0128,"Wanamaker, Fertility and the Price of Children: Slavery and Slave Emancipation",2014,Journal of Economic History,"antebellum and postbellum US, 1850-1870","changes in slaveholdings alter the marginal product of the slaveowner's OWN children, and hence their net price","panel data on slaveowning households, 1850-1870, exploiting exogenous changes in slaveholdings",PRICE_EXOGENOUS,PRICE_PROXIED,RISE,TOTAL_BUNDLE,REALIZED,own fertility of slaveowning households,PRICE_OF_CHILD,household_panel_FE,PM/FDT (US demographic transition),strong NEGATIVE correlation between own-child prices and fertility,CONSISTENT — a higher price of children lowers fertility,MIXED_PRICE_VALUE,"RE-CELLED from PRICE_SHOCK_FERTILITY. The 'price' here is a SHADOW price net of the child's marginal product as a labour input; scope section 3 assigns the productive VALUE of a child to C.3.a, so this is jointly claimed and unallocated",claude-opus-5,2026-09-03
C2B0032,"Duflo, Dupas & Kremer, The Impact of Free Secondary Education: Ghana (twins C2B0105, C2B0866)",2021,NBER WP 28937,"Ghana, secondary school scholarship lottery","randomised secondary-school scholarships to 2,064 youths; the scholarship pays for the RECIPIENT'S OWN schooling","RCT, 12 years of follow-up",PRICE_POLICY,NOT_A_COST,FALL,OTHER_CHAPTER,REALIZED,"ever pregnant by age 22, persisting to 28",MATERNAL_SCHOOLING,RCT_ITT,PM/FDT-like,"female winners 7.0pp less likely to have ever been pregnant by 22, a 14.6% drop on a 47.9% base","NOT APPLICABLE — the price that fell is the WOMAN'S OWN education, not the price of her children",OFF_OTHER,ROUTE OUT — third fee-abolition study to route out on the maternal-schooling channel,claude-opus-5,2026-09-03
C2B0184,"Ebenstein, Hazan & Simhon, Changing the Cost of Children and Fertility: the Israeli Kibbutz (twin C2B0849)",2015,The Economic Journal,"Israeli kibbutzim, privatisation from 1996","kibbutzim abandoned equal COST-SHARING of child-rearing, shifting the cost of children onto the parents themselves — a price RISE","universal microdata on kibbutz members, exploiting variation in the increase in cost sharing ACROSS kibbutzim",PRICE_EXOGENOUS,PRICE_MEASURED,RISE,TOTAL_BUNDLE,REALIZED,lifetime fertility of affected cohorts,PRICE_OF_CHILD,household_panel_FE,"SDT (Israel, post-1996)",lifetime fertility declined by 0.59 children in the cohorts of affected parents; selective exit by higher-income and lower-fertility couples is examined separately,CONSISTENT — the cost of children rose and fertility fell,PRICE_SHOCK_FERTILITY,"ADMIT. The only SDT-window study in the primary cell, and one of only two clean RISE-direction designs",claude-opus-5,2026-09-03
C2B0694,"Wanamaker, The United States Fertility Decline: Slavery and Slave Emancipation (MPRA working paper)",2009,MPRA 42390,"US South, 1850-1870",same study as C2B0128,same study as C2B0128,PRICE_EXOGENOUS,PRICE_PROXIED,RISE,TOTAL_BUNDLE,REALIZED,same study as C2B0128,PRICE_OF_CHILD,household_panel_FE,PM/FDT (US demographic transition),same study as C2B0128,CONSISTENT,MIXED_PRICE_VALUE,TWIN of C2B0128 — the working-paper version of the same study. Counted ONCE,claude-opus-5,2026-09-03
