effect_id,study_id,pdf_filename,estimand,predictor,predictor_wall1_class,outcome,sample,period,model,adjusts_politics,effect_type,effect_value,se,ci_lower,ci_upper,n,direction,is_primary_estimate,poolable,exclude,extract_page,source_type,needs_pi,verified_by,notes
gol_01,golovina_2024_soep_worries,W4400217632__personal-and-social-worries-associated-with-the-likelihood-o.pdf,climate-change worry -> likelihood of having children,"Worry about impact of climate change, very worried vs not worried",ecological_fear,Likelihood of having children (Cox),Total sample,2009-2020,Model 2 (adjusted for gender/partnership/parity/immigration/region + education/income/employment/personality/POLITICAL ATTITUDES; stratified by birth cohort),yes,hazard_ratio,0.82,NR,NR,NR,NR,negative,yes,no,no,"p.1258 text; point estimate DERIVED from the reported '18 percent lower'",text_statement_figure_not_extractable,yes,claude_first_pass,"EFFECT VALUE IS DERIVED, NOT READ. The paper reports 'the likelihood of having children was 18 percent lower' in running text; the estimate and its CI live in FIGURE 1, which pdftotext cannot recover. HR=0.82 is 1-0.18 and is an inference from the text, not a transcribed coefficient. CI UNAVAILABLE — this cannot enter a pool until the figure is read by a human or the underlying value obtained. Flagged needs_pi for exactly the failure mode B.1 hit (a number quoted from prose rather than read off a table)."
gol_02,golovina_2024_soep_worries,W4400217632__personal-and-social-worries-associated-with-the-likelihood-o.pdf,climate-change worry -> likelihood of first birth,"Worry about impact of climate change, very worried vs not worried",ecological_fear,Likelihood of becoming a parent (Cox),Childless subsample,2009-2020,Model 2 as above,yes,hazard_ratio,0.84,NR,NR,NR,NR,negative,no,no,no,"abstract + p.1258; DERIVED from the reported '16 percent lower'",text_statement_figure_not_extractable,yes,claude_first_pass,"Same derivation caveat as gol_01. This is the 16% figure quoted in the abstract and reproduced in chapter section 5.2."
gol_03,golovina_2024_soep_worries,W4400217632__personal-and-social-worries-associated-with-the-likelihood-o.pdf,ROBUSTNESS: climate worry net of all other worries,"Worry about impact of climate change, adjusted for summary score of ALL other worries",ecological_fear,Likelihood of having children (Cox),Total sample,2009-2020,online Figure A4,yes,significance_only,NOT_SIGNIFICANT,NR,NR,NR,NR,null,no,no,no,p.1257 text; online Figure A4,text_statement,yes,claude_first_pass,"THE MOST CONSEQUENTIAL ROW IN THIS TABLE. Quoting the paper: 'After adjusting the models for the summary score of all other worries except the worry of interest ... only worries about own health, crime in Germany, and immigration to Germany remained statistically significant.' Climate change did NOT survive. The load-bearing D.3.b estimate in the load-bearing D.3.b study is not separable from general worry — a within-study failure of exactly the ecological-specificity claim the hypothesis rests on (Wall 2). TICK-051 and TICK-053 must both carry this."
gol_04,golovina_2024_soep_worries,W4400217632__personal-and-social-worries-associated-with-the-likelihood-o.pdf,climate-change worry -> first birth over the full span,"Worry about impact of climate change",ecological_fear,Likelihood of becoming a parent,Childless subsample,1984-2020,online Figure A6,yes,significance_only,NOT_SIGNIFICANT,NR,NR,NR,NR,null,no,no,no,p.1259 text; online Figure A6,text_statement,yes,claude_first_pass,"Quoting: 'In the childless sample, only worries about the economy in general and own health were associated with the lower likelihood of becoming a parent using the whole timespan ... whereas the associations with worries about the impact of climate change ... were not significant.' The headline 16% is specific to the 2009-2020 window."
gol_05,golovina_2024_soep_worries,W4400217632__personal-and-social-worries-associated-with-the-likelihood-o.pdf,BENCHMARK: economic worry -> likelihood of having children,"Worry about the economy in general, highly worried",economic,Likelihood of becoming a parent,Childless subsample,2009-2020,as above,yes,percent_change,-25,NR,NR,NR,NR,negative,no,no,yes,abstract,text_statement,no,claude_first_pass,"OFF-POOL, RECORDED AS A WALL 3 BENCHMARK. 25% for economic worry against 16% for climate worry IN THE SAME SAMPLE AND MODEL is the cleanest C.5.a comparison in the review. Belongs in the TICK-052 demographic-significance discussion: the feared object with the larger measured association here is personal economic, not planetary."
jyl_01,jylha_2025_swedish_ggs,W4412670275__attitudes-towards-childbearing-population-and-the-environmen.pdf,climate-change worry -> number of children,Climate change worry,ecological_fear,Actual number of children,Swedish GGS,NR,bivariate correlation,no,correlation_r,-0.04,NR,NR,NR,8027,negative,yes,no,no,"Results, bivariate correlations paragraph",text_statement,no,claude_first_pass,"Statistically significant (p<0.001) but very weak, and the authors describe the overall finding as no clear evidence. The multivariate coefficient for climate-change worry specifically sits in Table 1 Model 1 and was NOT recoverable from the text layer — needs a human read of that table before pooling."
jyl_02,jylha_2025_swedish_ggs,W4412670275__attitudes-towards-childbearing-population-and-the-environmen.pdf,overpopulation worry -> number of children,Worry about overpopulation,eco_ethical_concern,Actual number of children,Swedish GGS,NR,OLS Model 1 (all worries + sociodemographics controlled),yes,unstandardized_b,-0.11,NR,NR,NR,8027,negative,no,no,no,Table 1 Model 1 via text,text_statement,yes,claude_first_pass,"p=0.00. This is the carbon-ethics/overpopulation channel rather than habitability dread; note the cell distinction if it is pooled."
jyl_03,jylha_2025_swedish_ggs,W4412670275__attitudes-towards-childbearing-population-and-the-environmen.pdf,future-generations worry -> number of children,Worry about future generations,ecological_fear,Actual number of children,Swedish GGS,NR,OLS Model 1,yes,unstandardized_b,0.12,NR,NR,NR,8027,POSITIVE,no,no,no,Table 1 Model 1 via text,text_statement,yes,claude_first_pass,"SIGN RUNS AGAINST THE HYPOTHESIS and it is not a rounding artefact: p=0.00, and the bivariate correlation is also positive (r=+0.06, p<0.001). People more worried about future generations have MORE children. Any pooled estimate that silently averages this with the negative overpopulation coefficient is combining two channels that move in opposite directions, which is a substantive modelling decision and not a mechanical one."
pet_01,peters_2023_soep_reciprocal,W4376638239__too-worried-about-the-environment-to-have-children-or-more-w.pdf,environmental concern -> first birth quantum and timing,Environmental concerns early in and throughout the life course,ecological_fear,First birth quantum and timing,"Born 1965-2000; 1476 first births",1984-2020,piecewise-constant hazard,NR,significance_only,NOT_SIGNIFICANT,NR,NR,NR,NR,null,yes,no,no,Abstract p.1,text_statement,yes,claude_first_pass,"NULL. 'Results show no significant relationship between environmental concerns early in or throughout the life course and first birth timing or quantum, except for individuals born before 1970, who delayed parenthood if they had substantial environmental concerns.' NOT INDEPENDENT of golovina_2024 — same GSOEP."
pet_02,peters_2023_soep_reciprocal,W4376638239__too-worried-about-the-environment-to-have-children-or-more-w.pdf,REVERSE DIRECTION: parenthood -> environmental concern trajectory,Eventual parenthood,n/a,Environmental concern trajectory,Same,1984-2020,trajectory models,NR,narrative,SOME_DIFFERENCES_ATTRIBUTED_TO_UNOBSERVED_HETEROGENEITY,NR,NR,NR,NR,unclear,no,no,yes,Abstract p.1,text_statement,yes,claude_first_pass,"OFF-POOL, recorded because this is the review's only test of the reverse-causality threat named in chapter section 9. The authors attribute the observed trajectory differences largely to unobserved heterogeneity, so the reverse channel is neither confirmed nor cleanly ruled out."
wey_01,weychert_2026_ukhls_news,W7166509859__climate-change-narratives-and-first-births-in-the-uk.pdf,climate news exposure x pro-environmental intention -> first birth,High climate-news exposure among those expressing a desire to do more for the environment,mixed,Probability of first birth,UKHLS,NR,event history; risk ratios,yes,risk_ratio,0.38,NR,NR,NR,NR,negative,yes,no,no,"Table 2; p. with 'RR = 0.38'",table_via_text,yes,claude_first_pass,"Large — roughly a 62% reduction relative to the reference group — but it is an INTERACTION SUBGROUP estimate, not a main effect. The paper states climate news coverage had no significant effect across political orientation. Exposure is media coverage volume rather than expressed dread (wall1_class=mixed). Preprint, not peer reviewed. Pooling this alongside main-effect estimates from other studies would compare different estimands."
