effect_id,study_id,work_id,estimand,exposure_measure,exposure_items_quoted,wall1_class,outcome,design,n,country,adjusts_politics,effect_type,effect_value,direction,significant,poolable,exclude,extract_page,needs_pi,verified_by,notes
rackin_01,rackin_2022_jmf_adolescents,W4307051760,environmental attitude -> fertility desires,"Endorsement that GOVERNMENT SHOULD DEAL WITH environmental problems",""government should deal with environmental problems"",environmental_values_or_behaviour,Fertility desires (desired number),Repeated cross-section Monitoring the Future 2005-2019,NR,USA,NR,narrative,lower average fertility desires; driven by decreased desire for LARGE families,negative,yes,no,yes,Results,yes,claude_first_pass,"WALL 1 BLEED-IN, AND IT IS THE SAME MEASURE THAT ROUTED TRAYLOR & CHAE OUT OF THE REALIZED POOL. The exposure is a government-environmental-policy preference, not ecological fear, not habitability concern, and not eco-ethical concern about procreation. Under Wall 1 clause (a) this measures D.1.a's construct. Recommend routing to D.1.a on the same grounds and for the same reason; flagged rather than moved unilaterally because the gate is the RA's call. Counted as a bleed-in in the rate."
fasfous_01,fasfous_2025_palestine_ccas,W4413006942,climate change awareness -> fertility intentions,"Climate Change Awareness Scale (CCAS), 25 items in FIVE subscales","climate-friendly behavior, knowledge, personal concern, attitude, and multiplicative action",mixed,Fertility intentions (threat perception as mediator),Cross-sectional survey with mediation,NR,Palestine,NR,narrative,NOT_EXTRACTED,negative,NR,no,no,Abstract; Methods,yes,claude_first_pass,"MIXED MEASURE, PARTIAL BLEED-IN. Two of the five CCAS subscales -- climate-friendly BEHAVIOR and KNOWLEDGE -- are not fear content; personal concern and attitude are closer. A composite that averages behaviour with concern cannot be assigned cleanly to D.3.b, and the paper reports on the composite. Extraction of the subscale-level coefficients is required before this can be used, otherwise the chapter would import a partly-D.1.a construct."
kurowska_01,kurowska_2026_poland_factorial,W7130732337,climate change vs five other constraints -> childbearing intentions,"Factorial-survey vignette dimension: the pace of climate change, varied against employment stability, housing affordability, childcare availability, men's domestic contribution, and abortion rights","employment stability, housing affordability, childcare availability, men's share in childcare and housework, the pace of climate change, abortion rights",ecological_fear,Intentions to have a first or second child,Factorial survey experiment,1337,Poland,NR,narrative,"climate concerns LESS INFLUENTIAL than economic security and reproductive autonomy",negative,NR,no,no,Abstract,yes,claude_first_pass,"THE STATED TRACK'S WALL 3 TEST, AND IT POINTS AGAINST D.3.b. This is a randomised vignette design that holds six constraints against each other in one instrument, so the comparison is internal rather than across studies. Authors: 'Results confirm the enduring salience of economic security for fertility intentions ... Climate concerns are less influential.' READ ALONGSIDE gol_05: Golovina's fully adjusted GSOEP models found climate worry significant where economic worry was not. Two within-study Wall 3 comparisons pointing OPPOSITE WAYS -- one on realized births in Germany, one on stated intentions in Poland. The chapter should report the conflict, not average it."
bastianelli_01,bastianelli_2024_eu3,W4391690801,climate change worry -> intention to remain childless,Climate change worry (very worried vs not/somewhat worried),"very worried about climate change",ecological_fear,Intention to remain childless,Multinomial logistic; representative samples,NR,"Finland, Estonia, Sweden",NR,narrative,"more likely to intend to remain childless; less likely to intend to have children",negative,yes,no,no,Abstract Results,yes,claude_first_pass,"Positive finding on the EXTENSIVE margin, and the author notes it is the first representative-sample European evidence. Driven by the 18-24 and 25-34 age groups. Effect sizes not yet extracted from the body."
bastianelli_02,bastianelli_2024_eu3,W4391690801,climate change worry -> total intended number of children,Climate change worry,"very worried about climate change",ecological_fear,Total intended number of children,Multinomial logistic,NR,"Finland, Estonia, Sweden",NR,narrative,NO_ASSOCIATION,null,no,no,no,Abstract Results,no,claude_first_pass,"NULL ON THE INTENSIVE MARGIN, in the same study and sample that finds an extensive-margin effect. 'there is no association between climate worries and the total intended number of children.' The margin distinction matters for TICK-052: an effect on whether to have any children and no effect on how many is a different demographic object from a uniform reduction in family size."
daeninck_01,daeninck_2023_uk_students,W4385317685,climate anxiety -> family planning,"Climate Anxiety Scale (Clayton & Karazsia), cognitive-emotional impairment + functional impairment subscales","CAS ... two subscales representing Cognitive-Emotional Impairment",ecological_fear,"Family planning, among four 'future planning' domains",Cross-sectional survey of environmental degree students,NR,United Kingdom,NR,narrative,NO_EFFECT_ON_FAMILY_PLANNING,null,no,no,no,Discussion,no,claude_first_pass,"NULL, AND INFORMATIVE BECAUSE THE SAMPLE IS THE MOST LIKELY PLACE TO FIND AN EFFECT. Quoting: 'we did not find that environmental degree students' concerns about climate change more strongly affected other life choices such as family planning, long-term habitation, financial decisions and travel plans.' Climate anxiety DID strongly affect career/future planning in the same study, so the null is specific to family planning rather than a failure of the exposure measure."
vercammen_01,vercammen_2025_pnas_youth,W4409538607,eco-anxiety -> questioning whether to have children,Hogg Eco-anxiety Scale (range 0-39),"Hogg Eco-anxiety Scale (possible score range: 0 to 39), mean = 13.1, SD = 10.1",ecological_fear,"Agreement that climate change makes them question whether they will have children",Cross-sectional survey,2834,USA,no,prevalence,"25.2% agree; a further 32.2% say maybe",negative,NR,no,no,"Fig 2D",yes,claude_first_pass,"PREVALENCE, NOT AN ASSOCIATION. This is the single best prevalence estimate available to the chapter -- n=2834 US youth 16-24, published in PNAS -- and TICK-052 needs exactly this quantity: the share of the population holding the dread strongly enough for it to bear on childbearing. But 'questions whether they will have children' is a long way from a birth, and the chapter must not convert it into one. Models adjust for age, sex, education, family affluence, rural/urban and ethnicity -- NOT political orientation."
gordon_01,gordon_2021_uk_covid_climate,W3170942965,climate change beliefs -> ideal number of children,Climate change belief scales alongside COVID-19 experience,"a series of scales with which to assess their beliefs about climate change",mixed,Ideal number of children,Cross-sectional survey,297,United Kingdom,NR,narrative,"the SIGNIFICANT predictor was COVID-19 experience, not climate belief",null,no,no,no,Results,yes,claude_first_pass,"THE REPORTED SIGNIFICANT RESULT IS NOT THE CLIMATE ONE. Knowing someone hospitalised or dead from COVID-19 predicted a GREATER ideal number of children (Adj R2 = 0.06). The climate-belief coefficient is not the headline and needs extraction from the body. Classified mixed because 'beliefs about climate change' spans risk perception and general belief rather than dread specifically. The COVID comparison is incidentally a mortality-salience benchmark worth noting."
grant_01,grant_2025_malawi_cyclone,W4409101049,post-cyclone environmental disruption -> fertility intentions,"Exposure to Cyclone Idai and the household instability it caused","Environmental disruptions such as extreme weather events ... financial, marital, and housing instability",mixed,Fertility intentions,Qualitative interviews,NR,Malawi,NR,narrative,NOT_EXTRACTED,NR,NR,no,no,Abstract,yes,claude_first_pass,"PRECISION-RULE-3 BOUNDARY, SAME CLASS AS THE AEA AIR-POLLUTION STUDY THE RA CHOSE TO KEEP. The exposure is physical (a cyclone) rather than expressed ecological dread, and the mechanism the authors describe is financial, marital and housing instability -- which is C.5.a's mechanism, not D.3.b's. The seam rule keeps it in scope because the OUTCOME is an intention. Retained for consistency with the AEA decision and flagged; if the RA reconsiders that decision, this study moves with it. Note it is also the ONLY sub-Saharan African study in the sample and the only high-fertility setting besides Bangladesh."
bielawska_01,bielawska_2022_poland_death,W4303613812,perceptions of climate change -> reproductive intentions,"Perceptions of climate change and attitudes toward death",Reproductive Intentions Affected by Perceptions of Climate Change and Attitudes toward Death,ecological_fear,Reproductive intentions,Cross-sectional survey,NR,Poland,NR,narrative,"contradicts the legacy hypothesis; only those who already [had children] ...",NR,NR,no,no,Results,yes,claude_first_pass,"Reports a CONTRADICTION with the legacy hypothesis (that people leave an environmental legacy for offspring): having children was associated with increased environmental attitudes and behaviours, which is the REVERSE direction. Relevant to the reverse-causality domain in TICK-050 and to the Peters reciprocal design. Coefficients need extraction."
