band,access_class,doi,work_id,year,venue,detail,title
realized_fertility,oa_but_blocked,10.1111/sjpe.12125,W2590537621,2017,Scottish Journal of Political Economy,"not_pdf_html_paywall,empty_or_tiny",A simple endogenous growth model with endogenous fertility and environmental concern
realized_fertility,closed,10.1257/pandp.20251127,W4410884918,2025,AEA Papers and Proceedings,closed,The Impact of Air Pollution and Information Access on Women’s Fertility Decisions: Evidence from Thailand
desire_independence,closed,10.1080/23251042.2024.2408779,W4403512936,2024,Environmental Sociology,closed,Exploring climate-reproductive concern: factors influencing hesitancy towards parenthood in the context of the climate c
stated_intention,oa_but_blocked,10.1111/padr.70046,W7130732337,2026,Population and Development Review,not_pdf_html_paywall,Beyond Usual Suspects: Revisiting Barriers to Childbearing Decisions in a Low Fertility Setting
stated_intention,oa_but_blocked,10.1177/11033088261418378,W7128694191,2026,Young,not_pdf_html_paywall,From Anger to Adaptation: The Process of Eco-anxiety in Young Australians
stated_intention,oa_but_blocked,10.1088/2515-7620/ade03d,W4410980627,2025,Environmental Research Communications,not_pdf_html_paywall,Carbon footprints of different household types: the sharing benefit illusion
stated_intention,oa_but_blocked,10.1111/phn.13568,W4410404692,2025,Public Health Nursing,not_pdf_html_paywall,Climate Change Awareness: Does It Affect the Fertility Desire?
stated_intention,oa_but_blocked,10.1111/ssqu.70017,W4409161965,2025,Social Science Quarterly,not_pdf_html_paywall,Climate Concern and Americans’ Ideal Number of Children: The Moderating Role of Religious Involvement
stated_intention,oa_but_blocked,10.1007/s11111-025-00487-6,W4409101049,2025,Population and Environment,not_pdf_html_paywall,Fertility intentions in rural Malawi after Cyclone Idai
stated_intention,oa_but_blocked,10.1073/pnas.2311400122,W4409538607,2025,Proceedings of the National Academy of Sciences,not_pdf_html_paywall,Psychological impacts of climate change on US youth
stated_intention,oa_but_blocked,10.3390/ijerph22081228,W4413006942,2025,International Journal of Environmental Research and Public Health,"not_pdf_html_paywall,empty_or_tiny",The Impact of Climate Change Awareness on Fertility Intentions in Palestinian Society: Mediating Role of Threat Percepti
stated_intention,oa_but_blocked,10.1080/02646838.2025.2508875,W4410600610,2025,Journal of Reproductive and Infant Psychology,not_pdf_html_paywall,The role of eco-anxiety in reproductive wish during emerging adulthood
stated_intention,oa_but_blocked,10.1111/jep.14265,W4405294310,2024,Journal of Evaluation in Clinical Practice,not_pdf_html_paywall,Is Ecological Anxiety Due to Climate Change Associated With the Fertility Preferences of Women?
stated_intention,oa_but_blocked,10.1111/jomf.12885,W4307051760,2022,Journal of Marriage and the Family,not_pdf_html_paywall,Environmental attitudes and fertility desires among US adolescents from 2005–2019
stated_intention,oa_but_blocked,10.3390/bs12100374,W4303613812,2022,Behavioral Sciences,"not_pdf_html_paywall,empty_or_tiny",Reproductive Intentions Affected by Perceptions of Climate Change and Attitudes toward Death
stated_intention,oa_but_blocked,10.1016/j.socscimed.2022.114985,W4224281873,2022,Social Science & Medicine,not_pdf_html_paywall,“Can I take responsibility for bringing a person to this world who will be part of the apocalypse!?”: Ideological dilemm
stated_intention,oa_but_blocked,10.1080/01459740.2022.2083510,W4282933710,2022,Medical Anthropology,not_pdf_html_paywall,Ringing the Existential Alarm: Exploring BirthStrike for Climate
