work_id,doi,band,cell,in_stated_pool,in_realized_pool,outcome_level,year,venue,oa_status,pdf_url,download_status,detail,bytes,file,title
W7165518406,10.1111/jomf.70095,realized_fertility,PRIMARY_ECO_PESSIMISM,True,True,BOTH,2026,Journal of Marriage and the Family,hybrid,,already_present,skip,1289999,W7165518406__do-environmentalists-forgo-parenthood-a-life-course-perspect.pdf,Do Environmentalists Forgo Parenthood? A Life Course Perspective on Fertility Expectations and Behaviors in the <scp>UK<
W7166509859,10.21203/rs.3.rs-9482091/v1,realized_fertility,PRIMARY_ECO_PESSIMISM,False,True,REALIZED_FERTILITY,2026,Research Square,green,,already_present,skip,539540,W7166509859__climate-change-narratives-and-first-births-in-the-uk.pdf,Climate change narratives and first births in the UK
W4412670275,10.1007/s11111-025-00503-9,realized_fertility,PRIMARY_ECO_PESSIMISM,True,True,BOTH,2025,Population and Environment,hybrid,,already_present,skip,1012284,W4412670275__attitudes-towards-childbearing-population-and-the-environmen.pdf,"Attitudes towards childbearing, population, and the environment: prevalence, correlates, and connections with fertility "
W4410884918,10.1257/pandp.20251127,realized_fertility,PRIMARY_ECO_PESSIMISM,False,True,REALIZED_FERTILITY,2025,AEA Papers and Proceedings,closed,,no_oa_url,closed,0,,The Impact of Air Pollution and Information Access on Women’s Fertility Decisions: Evidence from Thailand
W4414495777,10.1007/s11111-025-00505-7,realized_fertility,PRIMARY_ECO_PESSIMISM,True,True,BOTH,2025,Population and Environment,hybrid,,already_present,skip,984921,W4414495777__the-effects-of-environmentalism-on-fertility-in-the-united-s.pdf,The effects of environmentalism on fertility in the United States: changing trends and causality
W4400217632,10.1111/padr.12646,realized_fertility,PRIMARY_ECO_PESSIMISM,False,True,REALIZED_FERTILITY,2024,Population and Development Review,hybrid,,already_present,skip,728605,W4400217632__personal-and-social-worries-associated-with-the-likelihood-o.pdf,Personal and Social Worries Associated with the Likelihood of Having Children
W4376638239,10.4054/mpidr-wp-2023-023,realized_fertility,PRIMARY_ECO_PESSIMISM,False,True,REALIZED_FERTILITY,2023,,green,,already_present,skip,1334890,W4376638239__too-worried-about-the-environment-to-have-children-or-more-w.pdf,Too worried about the environment to have children? Or more worried about the environment after having children? The rec
W2590537621,10.1111/sjpe.12125,realized_fertility,PRIMARY_CARBON_ETHICS,False,True,REALIZED_FERTILITY,2017,Scottish Journal of Political Economy,green,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,A simple endogenous growth model with endogenous fertility and environmental concern
W4412706512,10.1215/22011919-11713414,desire_independence,DESIRE_INDEPENDENCE,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Environmental Humanities,diamond,,already_present,skip,390469,W4412706512__a-crude-cruel-crisis.pdf,"A Crude, Cruel Crisis"
W4411020223,10.1371/journal.pone.0325369,desire_independence,DESIRE_INDEPENDENCE,True,False,STATED_INTENTION_OR_ATTITUDE,2025,PLoS ONE,gold,,already_present,skip,1044111,W4411020223__the-nexus-between-environmental-concern-and-future-childbear.pdf,The nexus between environmental concern and future childbearing aspirations among university students in Bangladesh
W4402549764,10.1016/j.joclim.2024.100346,desire_independence,DESIRE_INDEPENDENCE,True,False,STATED_INTENTION_OR_ATTITUDE,2024,The Journal of Climate Change and Health,gold,,already_present,skip,2072231,W4402549764__climate-emotions-parenting-plans-and-racial-difference-in-th.pdf,"Climate emotions, parenting plans, and racial difference in the United States"
W4403512936,10.1080/23251042.2024.2408779,desire_independence,DESIRE_INDEPENDENCE,True,False,STATED_INTENTION_OR_ATTITUDE,2024,Environmental Sociology,closed,,no_oa_url,closed,0,,Exploring climate-reproductive concern: factors influencing hesitancy towards parenthood in the context of the climate c
W7135042863,10.1177/14647001261421068,stated_intention,PRIMARY_CARBON_ETHICS,True,False,STATED_INTENTION_OR_ATTITUDE,2026,Feminist Theory,hybrid,,already_present,skip,270008,W7135042863__adoption-climate-crisis-and-making-kin-australian-young-peop.pdf,"Adoption, climate crisis and making kin: Australian young people discuss their reproductive futures"
W7130732337,10.1111/padr.70046,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2026,Population and Development Review,hybrid,,failed,not_pdf_html_paywall,0,,Beyond Usual Suspects: Revisiting Barriers to Childbearing Decisions in a Low Fertility Setting
