stratum,priority,work_id,doi,year,venue,screen_verdict,screen_cell,screen_route_to,outcome_level,evidence_type,desire_for_children_held_fixed,screen_reason,preflagged_issue,ra_verdict,ra_cell,ra_route_to,agree_or_overturn,ra_reason,send_to_fulltext,ra_initials,ra_date,title
A_DECISIVE_12_desire_independence,0,W4411020223,10.1371/journal.pone.0325369,2025,PLoS ONE,RELEVANT,DESIRE_INDEPENDENCE,,STATED_INTENTION_OR_ATTITUDE,observational,yes,environmentally concerned students report wanting children yet planning to limit family size for those reasons,,RELEVANT,DESIRE_INDEPENDENCE,,agree_with_qualification,"DI defensible under rubric rule 6 clause 2 (desire reported positive alongside the decline) because the two outcomes are separately modelled rather than self-reported as a pair. But it is the weak form of DI, not a design that holds desire fixed. TWO FLAGS. (1) SETTING IS BANGLADESH - this contradicts chapter 8 (evidence 'concentrate[s] in Europe, North America') and chapter 12, which lists a high-fertility-setting study as a missing extension. The chapter must be corrected at TICK-053. (2) The only significant environmental predictor in the logistic model is a carbon-ethics item ('childlessness has a positive impact on the environment'), which argues for PRIMARY_CARBON_ETHICS over DESIRE_INDEPENDENCE. Single-item dichotomous measures, convenience sample, cross-sectional.",no,claude-proposed,2026-07-27,The nexus between environmental concern and future childbearing aspirations among university students in Bangladesh
A_DECISIVE_12_desire_independence,0,W4412706512,10.1215/22011919-11713414,2025,Environmental Humanities,RELEVANT,DESIRE_INDEPENDENCE,,STATED_INTENTION_OR_ATTITUDE,mechanism,yes,"Interviews frame children as simultaneously desirable and impossible under climate crisis, separating persisting desire from forgone childbearing.",,PENDING,DESIRE_INDEPENDENCE,,pending_fulltext,"Cannot verify on full text. Independent of cell, a qualitative interview study yields no poolable effect, so it is narrative evidence for the DI cell rather than a pooling-set member. Recommend TICK-051 treat it as non-poolable regardless of how the cell resolves.",yes,claude-proposed,2026-07-27,"A Crude, Cruel Crisis"
A_DECISIVE_12_desire_independence,0,W4402549764,10.1016/j.joclim.2024.100346,2024,The Journal of Climate Change and Health,RELEVANT,DESIRE_INDEPENDENCE,,STATED_INTENTION_OR_ATTITUDE,observational,yes,"Survey item elicits planned births falling below the wanted number specifically as a result of climate emotions, separating fear from desire.",,PENDING,PRIMARY_ECO_PESSIMISM,,proposed_overturn_pending_fulltext,PROPOSED OVERTURN out of DESIRE_INDEPENDENCE. The DI cell definition requires the DESIGN to separate fear from desire and says explicitly that a respondent subgroup saying so is the relevant PRIMARY cell instead. A single survey item asking respondents to attribute a shortfall to climate emotions is exactly that subgroup self-report. HIGH RETRIEVAL PRIORITY - this is one of only four studies in the cell the hypothesis is named for.,yes,claude-proposed,2026-07-27,"Climate emotions, parenting plans, and racial difference in the United States"
A_DECISIVE_12_desire_independence,0,W4403512936,10.1080/23251042.2024.2408779,2024,Environmental Sociology,RELEVANT,DESIRE_INDEPENDENCE,,STATED_INTENTION_OR_ATTITUDE,observational,yes,Design measures pro-reproductive/parenthood attitudes separately and finds them undifferentiated across levels of climate-reproductive concern.,,PENDING,DESIRE_INDEPENDENCE,,pending_fulltext,"On the screen record this is the strongest DI candidate of the four - separately measured parenthood attitudes shown flat across concern levels is design-level separation, not a subgroup report. Needs full text to confirm. Genuinely closed, so it needs the UChicago proxy rather than a browser.",yes,claude-proposed,2026-07-27,Exploring climate-reproductive concern: factors influencing hesitancy towards parenthood in the context of the climate crisis
A_DECISIVE_12_realized,0,W7165518406,10.1111/jomf.70095,2026,Journal of Marriage and the Family,RELEVANT,PRIMARY_ECO_PESSIMISM,,BOTH,observational,no,UKHLS panel estimates environmental concern on both stated fertility expectations and realized parenthood.,,PENDING,PRIMARY_ECO_PESSIMISM,,pending_fulltext,HIGH RETRIEVAL PRIORITY. A life-course panel measuring both outcome levels is among the most informative designs in the set. oa_but_blocked - a browser should get it.,yes,claude-proposed,2026-07-27,Do Environmentalists Forgo Parenthood? A Life Course Perspective on Fertility Expectations and Behaviors in the <scp>UK</scp>
A_DECISIVE_12_realized,0,W7166509859,10.21203/rs.3.rs-9482091/v1,2026,Research Square,RELEVANT,PRIMARY_ECO_PESSIMISM,,REALIZED_FERTILITY,observational,unclear,title states the estimand verbatim: climate narratives as determinant of first births,,RELEVANT,PRIMARY_ECO_PESSIMISM,,agree_with_qualification,"Realized-fertility classification CONFIRMED on full text. Boundary note: the treatment is media exposure, not expressed personal dread - the same family of concern as the air-pollution study, but materially weaker, because the effect is identified off the interaction with pro-environmental attitudes, which restores the affective channel. Two further notes for downstream: it is a preprint with no peer review, and the paper reports that left-leaning identity moderates the association, so the D.1.a confound is live and measured here.",no,claude-proposed,2026-07-27,Climate change narratives and first births in the UK
A_DECISIVE_12_realized,0,W4410884918,10.1257/pandp.20251127,2025,AEA Papers and Proceedings,RELEVANT,PRIMARY_ECO_PESSIMISM,,REALIZED_FERTILITY,quasi-experimental,no,IV design routing pollution exposure through climate-anxiety-driven information seeking to lower fertility,"Identifies from air-pollution exposure, not expressed ecological dread. Precision-rule 3 boundary.",SHRAVAN_TO_DECIDE,PRIMARY_ECO_PESSIMISM,,escalated_to_ra,"PRE-FLAGGED CALL, ESCALATED RATHER THAN DECIDED - the rubric cuts both ways and this is a judgement about scope, not a lookup. FOR EXCLUSION: the identifying variation is physical environmental exposure, which is what precision rule 3 was written to keep out, and the seam rule does not rescue it because the outcome here is realized fertility rather than an intention. FOR RETENTION: rule 3 excludes physical exposure 'with no affective or attitudinal mechanism', and this design explicitly routes through information access and climate anxiety, so the rule does not straightforwardly bite. My weak lean is EXCLUDE, on the ground that what the estimate identifies is exposure, whatever the narrated channel. Your call.",no,claude-escalated,2026-07-27,The Impact of Air Pollution and Information Access on Women’s Fertility Decisions: Evidence from Thailand
A_DECISIVE_12_realized,0,W4412670275,10.1007/s11111-025-00503-9,2025,Population and Environment,RELEVANT,PRIMARY_ECO_PESSIMISM,,BOTH,observational,no,directly estimates climate worry and eco-reproductive concern against Swedish fertility outcomes and childbearing views,,RELEVANT,PRIMARY_ECO_PESSIMISM,,agree,"CONFIRMED as screened, no change. Recorded here because it matters downstream and not because it is contested: this is a well-powered NULL on realized fertility, and it is the largest sample in the realized stratum. TICK-051 must not let the small positive studies pool without it.",no,claude-proposed,2026-07-27,"Attitudes towards childbearing, population, and the environment: prevalence, correlates, and connections with fertility outcomes in Sweden"
A_DECISIVE_12_realized,0,W4414495777,10.1007/s11111-025-00505-7,2025,Population and Environment,RELEVANT,PRIMARY_ECO_PESSIMISM,,BOTH,observational,no,Estimates the effect of environmental concern on both realized childbearing and stated ideal family size in GSS panels.,,RELEVANT,PRIMARY_ECO_PESSIMISM,D.1.a,proposed_overturn_wall1,"THE MOST CONSEQUENTIAL PROPOSED OVERTURN IN STRATUM A, AND A WALL 1 FAILURE. The headline estimand is environmentalism-as-value, framed by the authors themselves in Inglehart postmaterialist values theory - not ecological fear and not eco-ethical concern about one's own child. Under Wall 1 clause (a) that routes to OFF_POSTMATERIALIST_D1a. The paper's ONLY D.3.b-shaped estimate, climate-danger perception, is null and sits in a supplement. RECOMMENDED RESOLUTION: retain the study in the D.3.b pool but extract ONLY the supplementary climate-danger null, and record explicitly that the headline environmental-spending coefficient belongs to D.1.a. Taking the headline into a D.3.b pool would report a postmaterialist value effect as evidence for ecological dread - the exact failure chapter section 9 warns about. Alternative, cleaner but lossier: route the whole study to D.1.a and drop it.",no,claude-proposed,2026-07-27,The effects of environmentalism on fertility in the United States: changing trends and causality
A_DECISIVE_12_realized,0,W4400217632,10.1111/padr.12646,2024,Population and Development Review,RELEVANT,PRIMARY_ECO_PESSIMISM,,REALIZED_FERTILITY,observational,no,"SOEP Cox models show climate-change worry linked to 16 percent lower likelihood of parenthood, net of economic worry.",,PENDING,PRIMARY_ECO_PESSIMISM,,pending_fulltext,"HIGH RETRIEVAL PRIORITY. On the screen record this is the single best-identified positive finding in the realized stratum and it already nets out economic worry, which is Wall 3 handled inside the design. It is also the study most likely to carry the pooled estimate, so it must not be the one we fail to retrieve. oa_but_blocked - a browser should get it.",yes,claude-proposed,2026-07-27,Personal and Social Worries Associated with the Likelihood of Having Children
A_DECISIVE_12_realized,0,W4376638239,10.4054/mpidr-wp-2023-023,2023,,RELEVANT,PRIMARY_ECO_PESSIMISM,,REALIZED_FERTILITY,observational,no,Panel test of whether environmental concern predicts realized first-birth quantum and timing.,,RELEVANT,PRIMARY_ECO_PESSIMISM,,agree,"CONFIRMED as screened. This is the reverse-causality design chapter section 5.2 identifies as the most valuable in the set, and full text supports that description: full fertility histories against annual concern measures over 36 years is the only design here that can separate the two directions. Downstream note: it is a working paper with limited review, per its own cover page.",no,claude-proposed,2026-07-27,Too worried about the environment to have children? Or more worried about the environment after having children? The reciprocal relationship between environment
A_DECISIVE_12_realized,0,W2590537621,10.1111/sjpe.12125,2017,Scottish Journal of Political Economy,RELEVANT,PRIMARY_CARBON_ETHICS,,REALIZED_FERTILITY,structural,no,Growth model in which agents who care about the environment internalise the pollution of added population when choosing fertility.,Formal endogenous-growth model; no empirical realized fertility. Candidate move to theory stream.,RELEVANT,ECO_ETHICS_THEORY,,proposed_overturn,"PRE-FLAGGED CALL, PROPOSED FOR OVERTURN OUT OF THE REALIZED POOL. It contains no empirical realized fertility, so its presence in a realized-fertility pooling set is a category error. CONSISTENCY ARGUMENT, which is why I propose this rather than escalate it: the structurally identical Gerlagh, Lupi and Galeotti 'Fertility and climate change' (Scandinavian Journal of Economics) is ALREADY in this review's theory stream as ECO_ETHICS_THEORY / structural. Treating the two differently would be indefensible. Moving it takes the realized pool to 7 and the empirical realized base to 7 or 6 depending on the AEA call.",no,claude-proposed,2026-07-27,A simple endogenous growth model with endogenous fertility and environmental concern
B_WALL1_D1A_SAMPLE,1,W4417320555,10.1080/23293691.2026.2692131,2026,Women s Reproductive Health,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,no,"Childfree self-determination and autonomy with no ecological fear content, Wall 1.",,,,,,,,,,Sexuality After Voluntary Sterilization: Lived Experiences of Childfree Women
B_WALL1_D1A_SAMPLE,1,W7135074988,10.1177/0192513x261432573,2026,Journal of Family Issues,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,other,no,Reported reasons are freedom and lifestyle with no ecological content (Wall 1).,,,,,,,,,,A Preliminary Qualitative Study: Exploring the Lived Experiences of Malaysian Chinese Dual-Earner Married Couples Who Choose to Be Childfree
B_WALL1_D1A_SAMPLE,1,W4406215783,10.1080/13229400.2025.2450030,2025,Journal of Family Studies,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,no,value-shift estimand with environmental priority only as a correlate (Wall 1),,,,,,,,,,Postmaterialism and voluntary childlessness
B_WALL1_D1A_SAMPLE,1,W4406848414,10.1093/9780197777763.003.0005,2025,,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,no,"Reported operative reasons for childlessness are career, care and giving up freedom, with no ecological content (Wall 1).",,,,,,,,,,‘You Have to Kind of Give Up Everything for a Kid’: Established Adulthood With (or Without) Children
B_WALL1_D1A_SAMPLE,1,W4411178307,10.1080/13691058.2025.2512855,2025,Culture Health & Sexuality,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,no,Climate is one discourse but the estimand is childfree-as-empowering-lifestyle advocacy (Wall 1).,,,,,,,,,,Childfree activism and reproductive norms in the 21st century
B_WALL1_D1A_SAMPLE,1,W4386409876,10.1177/10664807231198869,2023,The Family Journal,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,review,no,"Positive child-free preference with no ecological-fear content, routing to D.1.a under Wall 1.",,,,,,,,,,A Framework for Studying Adults who Neither have Nor Want Children
B_WALL1_D1A_SAMPLE,1,W4390554861,10.51716/ta.v42i1.165,2023,Tashwirul Afkar,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,other,no,"reported motives are autonomy and freedom set against religious norms, no ecological content",,,,,,,,,,Between Liberty and Faith: Exploring the Dynamics of Childfree Choices in the Islamic Perspective of Malaysia
B_WALL1_D1A_SAMPLE,1,W4293589717,10.17645/si.v10i3.5504,2022,Social Inclusion,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,other,no,"reported motive is satisfied preference with no need for children, a positive child-free stance (Wall 1)",,,,,,,,,,When Family Policy Doesn’t Work: Motives and Welfare Attitudes Among Childfree Persons in Poland
B_WALL1_D1A_SAMPLE,1,W3169456725,10.1371/journal.pone.0252528,2021,PLoS ONE,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,no,"Positive childfree preference and its correlates, no ecological fear content (Wall 1).",,,,,,,,,,Prevalence and characteristics of childfree adults in Michigan (USA)
B_WALL1_D1A_SAMPLE,1,W1648681198,10.1073/pnas.1420441111,2014,Proceedings of the National Academy of Sciences,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,review,no,SDT value-shift framework with no fear content (Wall 1).,,,,,,,,,,The second demographic transition: A concise overview of its development
B_WALL1_D1A_SAMPLE,1,W1501775746,,2002,Data Archiving and Networked Services (DANS),NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,unclear,"Value-orientation determinant of reproduction with no ecological-fear content, routing to D.1.a.",,,,,,,,,,"Investments in Familiy Life: the Impact of Value Orientations on Patterns of Consumption, Production and Reproduction in Married and Cohabiting Couples"
B_WALL1_D1A_SAMPLE,1,W1995285114,10.1525/sop.2002.45.1.21,2002,Sociological Perspectives,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,no,"Voluntary childlessness justified by a right to self-fulfilment, a positive childfree preference routing to D.1.a.",,,,,,,,,,Stigma Management among the Voluntarily Childless
B_WALL1_D1A_SAMPLE,1,W2240984062,10.13060/00380288.2001.37.11.15,2001,Czech Sociological Review,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,no,"second-demographic-transition value shift with no fear content, routes to D.1.a under Wall 1",,,,,,,,,,Value Change and Demographic Behaviour in the Czech Republic
B_WALL1_D1A_SAMPLE,1,W2521756558,,2000,Research portal (Tilburg University),NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,no,"Emancipatory value shift and postponement of parenthood, a D.1.a preference-shift estimand (Wall 1).",,,,,,,,,,Emancipatiewaarden en de levensloop van jong-volwassen vrouwen: een panelanalyse van wederzijdse invloeden
B_WALL1_D1A_SAMPLE,1,W2048074530,10.1016/s0968-8080(99)90111-8,1999,Reproductive Health Matters,NOT_RELEVANT,OFF_POSTMATERIALIST_D1a,D.1.a,NA,observational,no,"positive child-free lifestyle preference with no ecological fear, routing to D.1.a under Wall 1",,,,,,,,,,Voluntary childlessness in the United Kingdom
C_INSUFFICIENT_INFO,2,W7118516407,10.1016/b978-0-443-14082-2.00151-4,2026,Elsevier eBooks,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,"Abstract-less general population-growth-and-control entry; possible eco-population content, unroutable.",,,,,,,,,,"Population: Growth, decline, and control"
C_INSUFFICIENT_INFO,2,W7160079229,10.3917/reco.766.0981,2026,Revue économique,UNCERTAIN,INSUFFICIENT_INFO,,NA,review,unclear,"Review of environment-fertility links but abstract names only reproductive health and endogenous fertility channels, not affective ecological fear.",,,,,,,,,,The Environment-Fertility Nexus: A Literature Review
C_INSUFFICIENT_INFO,2,W7160558797,10.1186/s41118-026-00290-7,2026,Genus,UNCERTAIN,INSUFFICIENT_INFO,,NA,review,unclear,"Series introduction whose feared object spans economic, social and environmental domains without an identifiable ecological estimand (rule 8).",,,,,,,,,,Introduction to the Genus thematic series: The Inequality of uncertainty
C_INSUFFICIENT_INFO,2,W7161277882,10.1038/s41562-026-02455-y,2026,Nature Human Behaviour,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,no abstract and the title does not state any estimand,,,,,,,,,,Climate change and social health
