work_id,doi,cell,venue,version_status,note
W4411020223,10.1371/journal.pone.0325369,DESIRE_INDEPENDENCE,PLoS ONE,version_of_record,
W7135042863,10.1177/14647001261421068,PRIMARY_CARBON_ETHICS,Feminist Theory,version_of_record,
W4353078199,10.1007/s12144-023-04295-9,PRIMARY_CARBON_ETHICS,Current Psychology,version_of_record,
W7128694191,10.1177/11033088261418378,PRIMARY_ECO_PESSIMISM,Young,version_of_record,
W7130732337,10.1111/padr.70046,PRIMARY_ECO_PESSIMISM,Population and Development Review,version_of_record,
W4409538607,10.1073/pnas.2311400122,PRIMARY_ECO_PESSIMISM,Proceedings of the National Academy of S,version_of_record,
W4413006942,10.3390/ijerph22081228,PRIMARY_ECO_PESSIMISM,International Journal of Environmental R,version_of_record,
W4391690801,10.31235/osf.io/pv7mz,PRIMARY_ECO_PESSIMISM,,version_of_record,
W4385317685,10.3389/fpsyg.2023.1126031,PRIMARY_ECO_PESSIMISM,Frontiers in Psychology,version_of_record,
W4283831900,10.21203/rs.3.rs-1574310/v2,PRIMARY_ECO_PESSIMISM,Research Square,preprint,Coefficients may differ from the published version; extraction must record which version each number came from.
W4307051760,10.1111/jomf.12885,PRIMARY_ECO_PESSIMISM,Journal of Marriage and the Family,version_of_record,
W3170942965,10.3389/fpsyg.2021.644600,PRIMARY_ECO_PESSIMISM,Frontiers in Psychology,version_of_record,
W7150039859,10.1186/s12889-026-27173-y,PRIMARY_HABITABILITY_FEAR,BMC Public Health,version_of_record,
W4409101049,10.1007/s11111-025-00487-6,PRIMARY_HABITABILITY_FEAR,Population and Environment,author_manuscript,Coefficients may differ from the published version; extraction must record which version each number came from.
W4303613812,10.3390/bs12100374,PRIMARY_HABITABILITY_FEAR,Behavioral Sciences,version_of_record,
W2498819264,10.1007/978-1-137-56077-3_9,PRIMARY_HABITABILITY_FEAR,Palgrave Macmillan UK eBooks,working_paper,Coefficients may differ from the published version; extraction must record which version each number came from.
