access_class,cell_post_gate,doi,work_id,year,venue,title
oa_but_blocked,PRIMARY_ECO_PESSIMISM,10.1177/11033088261418378,W7128694191,2026,Young,From Anger to Adaptation: The Process of Eco-anxiety in Young Australians
oa_but_blocked,PRIMARY_ECO_PESSIMISM,10.1111/padr.70046,W7130732337,2026,Population and Development Review,Beyond Usual Suspects: Revisiting Barriers to Childbearing Decisions in a Low Fertility Setting
oa_but_blocked,PRIMARY_ECO_PESSIMISM,10.1073/pnas.2311400122,W4409538607,2025,Proceedings of the National Academy of Sciences,Psychological impacts of climate change on US youth
oa_but_blocked,PRIMARY_ECO_PESSIMISM,10.1080/02646838.2025.2508875,W4410600610,2025,Journal of Reproductive and Infant Psychology,The role of eco-anxiety in reproductive wish during emerging adulthood
oa_but_blocked,PRIMARY_ECO_PESSIMISM,10.3390/ijerph22081228,W4413006942,2025,International Journal of Environmental Research and Public Health,The Impact of Climate Change Awareness on Fertility Intentions in Palestinian Society: Mediating Role of Threat Perception
oa_but_blocked,PRIMARY_ECO_PESSIMISM,10.1111/jomf.12885,W4307051760,2022,Journal of Marriage and the Family,Environmental attitudes and fertility desires among US adolescents from 2005–2019
oa_but_blocked,PRIMARY_HABITABILITY_FEAR,10.1007/s11111-025-00487-6,W4409101049,2025,Population and Environment,Fertility intentions in rural Malawi after Cyclone Idai
oa_but_blocked,PRIMARY_HABITABILITY_FEAR,10.3390/bs12100374,W4303613812,2022,Behavioral Sciences,Reproductive Intentions Affected by Perceptions of Climate Change and Attitudes toward Death
closed,DESIRE_INDEPENDENCE,10.1080/23251042.2024.2408779,W4403512936,2024,Environmental Sociology,Exploring climate-reproductive concern: factors influencing hesitancy towards parenthood in the context of the climate crisis
closed,PRIMARY_ECO_PESSIMISM,10.1007/s12144-025-08750-7,W7118895554,2026,Current Psychology,Do environmental concerns play an important role in the desire for children?
closed,PRIMARY_ECO_PESSIMISM,10.1111/padr.70019,W4413343342,2025,Population and Development Review,Dimensions of Environmental Attitudes and General Fertility Ideals
closed,PRIMARY_HABITABILITY_FEAR,10.1016/j.eiar.2025.108114,W4413013449,2025,Environmental Impact Assessment Review,Breathing and breeding: How air pollution shapes fertility intentions in China
closed,PRIMARY_HABITABILITY_FEAR,10.1353/prv.2019.0007,W2979354641,2019,Population review,"Is Fertility Preference Related to Perception of the Risk of Child Mortality, Changes in Landholding, and Type of Family? A Compar"
closed,PRIMARY_HABITABILITY_FEAR,10.1007/978-1-137-56077-3_9,W2498819264,2015,Palgrave Macmillan UK eBooks,Climate Change and Reproductive Intentions in Europe
