work_id,selection,cell_post_gate,doi,year,venue,evidence_type,desire_for_children_held_fixed,pdf_in_hand,oa_status,access_class,title
W4403512936,census,DESIRE_INDEPENDENCE,10.1080/23251042.2024.2408779,2024,Environmental Sociology,observational,yes,no,closed,closed,Exploring climate-reproductive concern: factors influencing hesitancy towards parenthood in the context of the climate crisis
W7118895554,sampled,PRIMARY_ECO_PESSIMISM,10.1007/s12144-025-08750-7,2026,Current Psychology,observational,no,no,closed,closed,Do environmental concerns play an important role in the desire for children?
W7128694191,sampled,PRIMARY_ECO_PESSIMISM,10.1177/11033088261418378,2026,Young,observational,unclear,no,diamond,oa_but_blocked,From Anger to Adaptation: The Process of Eco-anxiety in Young Australians
W4410600610,sampled,PRIMARY_ECO_PESSIMISM,10.1080/02646838.2025.2508875,2025,Journal of Reproductive and Infant Psychology,observational,no,no,hybrid,oa_but_blocked,The role of eco-anxiety in reproductive wish during emerging adulthood
W4413343342,sampled,PRIMARY_ECO_PESSIMISM,10.1111/padr.70019,2025,Population and Development Review,observational,no,no,closed,closed,Dimensions of Environmental Attitudes and General Fertility Ideals
W4307051760,sampled,PRIMARY_ECO_PESSIMISM,10.1111/jomf.12885,2022,Journal of Marriage and the Family,observational,no,no,green,oa_but_blocked,Environmental attitudes and fertility desires among US adolescents from 2005–2019
W4413013449,sampled,PRIMARY_HABITABILITY_FEAR,10.1016/j.eiar.2025.108114,2025,Environmental Impact Assessment Review,observational,unclear,no,closed,closed,Breathing and breeding: How air pollution shapes fertility intentions in China
W2979354641,sampled,PRIMARY_HABITABILITY_FEAR,10.1353/prv.2019.0007,2019,Population review,observational,unclear,no,closed,closed,"Is Fertility Preference Related to Perception of the Risk of Child Mortality, Changes in Landholding, and Type of Family? A Compar"
W4411020223,census,DESIRE_INDEPENDENCE,10.1371/journal.pone.0325369,2025,PLoS ONE,observational,yes,yes,gold,in_hand,The nexus between environmental concern and future childbearing aspirations among university students in Bangladesh
W7135042863,sampled,PRIMARY_CARBON_ETHICS,10.1177/14647001261421068,2026,Feminist Theory,observational,unclear,yes,hybrid,in_hand,"Adoption, climate crisis and making kin: Australian young people discuss their reproductive futures"
W4353078199,sampled,PRIMARY_CARBON_ETHICS,10.1007/s12144-023-04295-9,2023,Current Psychology,observational,unclear,yes,hybrid,in_hand,"Choosing to live environmentally childfree: private-sphere environmentalism, environmental activism, or both?"
W7130732337,sampled,PRIMARY_ECO_PESSIMISM,10.1111/padr.70046,2026,Population and Development Review,quasi-experimental,no,yes,hybrid,in_hand,Beyond Usual Suspects: Revisiting Barriers to Childbearing Decisions in a Low Fertility Setting
W4409538607,sampled,PRIMARY_ECO_PESSIMISM,10.1073/pnas.2311400122,2025,Proceedings of the National Academy of Sciences,observational,unclear,yes,hybrid,in_hand,Psychological impacts of climate change on US youth
W4413006942,sampled,PRIMARY_ECO_PESSIMISM,10.3390/ijerph22081228,2025,International Journal of Environmental Research and Public Health,observational,no,yes,gold,in_hand,The Impact of Climate Change Awareness on Fertility Intentions in Palestinian Society: Mediating Role of Threat Perception
W4391690801,sampled,PRIMARY_ECO_PESSIMISM,10.31235/osf.io/pv7mz,2024,,observational,no,yes,gold,in_hand,Climate change worries and fertility intentions. Insights from three EU countries.
W4385317685,sampled,PRIMARY_ECO_PESSIMISM,10.3389/fpsyg.2023.1126031,2023,Frontiers in Psychology,observational,no,yes,gold,in_hand,"Climate anxiety, coping strategies and planning for the future in environmental degree students in the UK"
W4283831900,sampled,PRIMARY_ECO_PESSIMISM,10.21203/rs.3.rs-1574310/v2,2022,Research Square,observational,unclear,yes,green,in_hand,Pregnancy Intentions of Youth in the Era of Climate Change: A Qualitative Auto- Photography Study
W3170942965,sampled,PRIMARY_ECO_PESSIMISM,10.3389/fpsyg.2021.644600,2021,Frontiers in Psychology,observational,no,yes,gold,in_hand,Extrinsic and Existential Mortality Risk in Reproductive Decision-Making: Examining the Effects of COVID-19 Experience and Climate
W7150039859,sampled,PRIMARY_HABITABILITY_FEAR,10.1186/s12889-026-27173-y,2026,BMC Public Health,observational,no,yes,gold,in_hand,"The association between women’s climate change anxiety, awareness of maternal–fetal health impacts, and their desire to avoid preg"
W4409101049,sampled,PRIMARY_HABITABILITY_FEAR,10.1007/s11111-025-00487-6,2025,Population and Environment,observational,unclear,yes,green,in_hand,Fertility intentions in rural Malawi after Cyclone Idai
W4303613812,sampled,PRIMARY_HABITABILITY_FEAR,10.3390/bs12100374,2022,Behavioral Sciences,observational,no,yes,gold,in_hand,Reproductive Intentions Affected by Perceptions of Climate Change and Attitudes toward Death
W2498819264,sampled,PRIMARY_HABITABILITY_FEAR,10.1007/978-1-137-56077-3_9,2015,Palgrave Macmillan UK eBooks,observational,no,yes,closed,in_hand,Climate Change and Reproductive Intentions in Europe
