work,tier,design,route,verdict,id,doi,year,venue,type,is_oa,outcome,last_url,title
W1_browser,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,RELEVANT,W1983947289,10.1515/bejeap-2014-0003,2014,The B E Journal of Economic Analysis & Policy,article,True,route_blocked,https://www.degruyter.com/document/doi/10.1515/bejeap-2014-0003/pdf,Fostering Household Formation: Evidence from a Spanish Rental Subsidy
W1_browser,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,RELEVANT,W2791040281,10.1007/s13524-018-0656-9,2018,Demography,article,True,route_blocked,https://read.dukeupress.edu/demography/article-pdf/55/2/617/840387/617kucheva.pdf,Subsidized Housing and the Transition to Adulthood
W1_browser,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,RELEVANT,W3125671386,10.1111/jmcb.12408,2017,Journal of money credit and banking,article,True,route_blocked,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jmcb.12408,Waking Up from the American Dream: On the Experience of Young Americans during the Housing Boom of the 2000s
W1_browser,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,RELEVANT,W3160060909,10.17045/sthlmuni.14555868.v1,2021,Figshare,article,True,route_blocked,https://figshare.com/articles/preprint/Childbearing_Behavior_in_the_Light_of_Different_Housing_Regimes_First_Births_in_Sweden_1975-2004/14555868,Childbearing Behavior in the Light of Different Housing Regimes: First Births in Sweden 1975-2004
W1_browser,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,RELEVANT,W4385496510,10.7454/jessd.v6i1.1145,2023,Journal of Environmental Science and Sustainable Development,article,True,route_blocked,https://scholarhub.ui.ac.id/cgi/viewcontent.cgi?article=1145&context=jessd,LIVING ARRANGEMENT AND HOMEOWNERSHIP IMPACTS ON FERTILITY INTENTION TO ACHIEVE THE SUSTAINABLE DEVELOPMENT GOALS
W1_browser,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,UNCERTAIN,W2230722406,10.1080/14445921.2014.11104385,2014,Pacific Rim Property Research Journal,article,True,route_blocked,https://figshare.com/articles/journal_contribution/The_marginal_cost_of_a_bedroom_An_Australian_case_study/27606084,The Marginal Cost of a Bedroom: An Australian Case Study
W1_browser,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,RELEVANT,W4386826586,10.1016/j.alcr.2023.100577,2023,Advances in Life Course Research,article,True,route_blocked,https://doi.org/10.1016/j.alcr.2023.100577,"The trifecta of adulthood: Housing, partnering and childbearing trajectories"
W1_browser,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,RELEVANT,W4389069534,10.1111/1540-6229.12467,2023,Real Estate Economics,article,True,route_blocked,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1540-6229.12467,Why do young adults coreside with their parents?
W1_browser,T1_wall1_packet,cannot_tell,MIXED_PRICE_ARRANGEMENT,UNCERTAIN,W7161410500,10.2139/ssrn.6754062,2026,SSRN Electronic Journal,preprint,True,route_blocked,https://doi.org/10.2139/ssrn.6754062,"Infrastructure and the American Family: Material Conditions, Household Structure, and the Visibility Gap, 1973–2024"
W1_browser,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,UNCERTAIN,W4226201035,10.36004/nier.cdr.2021.15-20,2021,,conference-paper,True,empty_or_tiny,https://doi.org/10.36004/nier.cdr.2021.15-20,ЖИЛИЩНЫЕ УСЛОВИЯ И ДЕТНОСТЬ: СВЯЗЬ И ВОЗМОЖНОСТИ ВЛИЯНИЯ
