study,id,cell,overall,confounding,reverse_causation_and_anticipation,exposure_measurement,outcome_measurement,selection,reporting,ecological_fallacy
Nguyen & Duong 2026,W7151883327,PRIMARY_EXTENDED_COUPLE,moderate,moderate,moderate,low,low,low,low,low
Du et al. 2023,W4353018187,PRIMARY_EXTENDED_COUPLE,high,high,high,low,low,low,low,low
"Chu, Xie & Yu 2014",W2099331743,PRIMARY_EXTENDED_COUPLE,low,low,low,low,low,low,low,low
"Ustyuzhanin, Zinkina & Korotayev",W4416112024,PRIMARY_EXTENDED_COUPLE,high,high,high,high,low,moderate,low,high
Mulema 2025,W4412663412,PRIMARY_EXTENDED_COUPLE,high,high,high,low,low,low,low,low
"Hacker, Helgertz, Nelson & Roberts 2021",W3202049426,PRIMARY_PROXIMITY,high,high,high,low,low,low,low,low
"Nguyen, Dang, Buh & Buber-Ennser 2023",W4386401447,PRIMARY_EXTENDED_COUPLE,high,high,high,low,moderate,low,low,low
Aparicio-Fenoll & Oppedisano 2012/2014,W3124528217,MIXED_PRICE_ARRANGEMENT,high,low,low,low,low,high,low,low
"Bulman, Goodman & Isen 2022",W4311207666,MIXED_PRICE_ARRANGEMENT,low,low,low,low,low,low,low,low
Laeven & Popov 2016/2017,W3125671386,MIXED_PRICE_ARRANGEMENT,low,low,low,low,low,low,low,low
"Gihleb, Giuntella & Lonsky 2023",W4367056753,LINK1_DRIVER_TO_ARRANGEMENT,low,low,low,low,low,low,low,low
"Chen, Eggleston & Sun 2017",W2605550871,LINK1_DRIVER_TO_ARRANGEMENT,low,low,low,low,low,low,low,low
"Cerruti, Mazzarella & Migliavacca 2022",W4297199911,LINK1_DRIVER_TO_ARRANGEMENT,moderate,low,low,low,moderate,low,low,low
"Acolin, Lin & Wachter 2024",W4321371524,LINK1_DRIVER_TO_ARRANGEMENT,high,high,high,low,low,low,high,low
"del Rey, Garcia-Gomez, Orfao & Wu 2025",W4414070493,PRIMARY_PRELAUNCH,high,high,high,low,low,low,low,low
Nunez Medina 2022,W4289654889,PRIMARY_PRELAUNCH,high,high,high,high,low,moderate,low,high
Kucheva 2018,W2791040281,MIXED_PRICE_ARRANGEMENT,high,high,high,low,low,low,low,low
