band,access_class,doi,work_id,year,oa_status,detail,title
identified_core,oa_but_blocked,https://doi.org/10.1093/humrep/14.7.1835,W1979069271,1999,bronze,not_pdf_html_paywall,Day-specific probabilities of clinical pregnancy based on two studies with imperfect measures of ovulation
identified_core,oa_but_blocked,https://doi.org/10.1016/s0010-7824(99)00106-7,W2017645414,1999,hybrid,not_pdf_html_paywall,A fixed formula to define the fertile window of the menstrual cycle as the basis of a simple method of natural family pl
identified_core,oa_but_blocked,https://doi.org/10.1007/s13524-011-0039-y,W2061187823,2011,bronze,not_pdf_html_paywall,Men’s Migration and Women’s Fertility in Rural Mozambique
identified_core,oa_but_blocked,https://doi.org/10.1093/ije/26.3.601,W2116252457,1997,bronze,not_pdf_html_paywall,Time to pregnancy and occupation in a group of Italian women
identified_core,oa_but_blocked,https://doi.org/10.1530/jrf.0.0790495,W2156427728,1987,bronze,not_pdf_html_paywall,Relationship between longevity of spermatozoa after insemination and the percentage of normal embryos in brown marsupial
identified_core,oa_but_blocked,https://doi.org/10.1093/humrep/13.5.1397,W2142732199,1998,bronze,not_pdf_html_paywall,Sex ratio associated with timing of insemination and length of the follicular phase in planned and unplanned pregnancies
identified_core,oa_but_blocked,https://doi.org/10.1093/humrep/des449,W2115970407,2013,bronze,not_pdf_html_paywall,Day-specific probabilities of conception in fertile cycles resulting in spontaneous pregnancies
identified_core,oa_but_blocked,https://doi.org/10.1080/09513590.2017.1390737,W2765548329,2017,hybrid,not_pdf_html_paywall,Identification and prediction of the fertile window with a new web-based medical device using a vaginal biosensor for me
identified_core,oa_but_blocked,https://doi.org/10.2196/jmir.7468,W2769873857,2017,gold,"not_pdf_html_paywall,empty_or_tiny",Relationship Between the Menstrual Cycle and Timing of Ovulation Revealed by New Protocols: Analysis of Data from a Self
identified_core,oa_but_blocked,https://doi.org/10.1191/0962280206sm437oa,W2109453071,2006,green,not_pdf_html_paywall,Cervical mucus symptom and daily fecundability: first results from a new database
identified_core,oa_but_blocked,https://doi.org/10.1089/jwh.2019.7850,W2971583705,2019,hybrid,"not_pdf_html_paywall,empty_or_tiny",Increased Likelihood of Pregnancy Using an App-Connected Ovulation Test System: A Randomized Controlled Trial
identified_core,oa_but_blocked,https://doi.org/10.1353/dem.2007.0040,W2039890233,2007,green,not_pdf_html_paywall,The seasonality of conception
identified_core,oa_but_blocked,https://doi.org/10.1093/humrep/deab049,W3160517764,2021,green,"not_pdf_html_paywall,empty_or_tiny",Cervical mucus patterns and the fertile window in women without known subfertility: a pooled analysis of three cohorts
identified_core,oa_but_blocked,https://doi.org/10.1016/s0015-0282(16)59348-0,W196374126,1987,bronze,not_pdf_html_paywall,Peak coital rate coincides with onset of luteinizing hormone surge
identified_core,oa_but_blocked,https://doi.org/10.1016/j.fertnstert.2009.05.054,W1973365442,2009,bronze,not_pdf_html_paywall,Conception probabilities at different days of menstrual cycle in Chinese women
identified_core,oa_but_blocked,https://doi.org/10.1186/s40834-018-0066-9,W2807585325,2018,gold,"not_pdf_html_paywall,empty_or_tiny",Postpartum fertility behaviours and contraceptive use among women in rural Ghana
identified_core,oa_but_blocked,https://doi.org/10.3390/ijerph17144985,W3041112196,2020,gold,"not_pdf_html_paywall,empty_or_tiny",Coital Frequency and the Probability of Pregnancy in Couples Trying to Conceive Their First Child: A Prospective Cohort 
identified_core,oa_but_blocked,https://doi.org/10.2147/oajc.s11805,W1965198899,2010,gold,not_pdf_html_paywall,Factors associated with contraceptive use and initiation of coital activity after childbirth
