work_id,doi,band,estimand_cell,identification,sub_mechanism,year,cited_by_count,oa_status,pdf_url,download_status,detail,bytes,file,title
W2031969780,https://doi.org/10.1080/00324728.1969.10405297,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,1969,289,closed,,no_oa_url,closed,0,,The risk of conception on different days of the menstrual cycle
W2144853611,https://doi.org/10.1093/humrep/15.12.2478,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,2000,242,closed,,no_oa_url,closed,0,,Prediction of ovulation by urinary hormone measurements with the home use ClearPlan® Fertility Monitor: comparison with 
W1979069271,https://doi.org/10.1093/humrep/14.7.1835,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,1999,237,bronze,,failed,not_pdf_html_paywall,0,,Day-specific probabilities of clinical pregnancy based on two studies with imperfect measures of ovulation
W2069267204,https://doi.org/10.1093/humrep/13.2.394,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,1998,215,closed,,no_oa_url,closed,0,,Post-ovulatory ageing of the human oocyte and embryo failure
W45210384,,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,1996,207,closed,,no_oa_url,closed,0,,Estimates of human fertility and pregnancy loss.
W2152804981,https://doi.org/10.1093/humrep/deh173,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,2004,190,closed,,no_oa_url,closed,0,,Mucus observations in the fertile window: a better predictor of conception than timing of intercourse
W2037851474,https://doi.org/10.1016/s0029-7844(02)02382-7,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,2002,159,closed,,no_oa_url,closed,0,,Timing intercourse to achieve pregnancy Current evidence
W2066979448,https://doi.org/10.2307/1972469,identified_core,PRIMARY_ABSTINENCE_WINDOW,EXOGENOUS_FREQUENCY_SHOCK,ABSTINENCE,1982,148,closed,,no_oa_url,closed,0,,The Causes of Demographic Change in Rural South India: A Micro Approach
W2130207527,https://doi.org/10.1002/hon.802,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,2006,144,closed,,no_oa_url,closed,0,,Fertility among female hodgkin lymphoma survivors attempting pregnancy following ABVD chemotherapy
W2013703404,https://doi.org/10.2307/2530453,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,1982,143,closed,,no_oa_url,closed,0,,"Basal Body Temperature, Ovulation and the Risk of Conception, with Special Reference to the Lifetimes of Sperm and Egg"
W2141955160,https://doi.org/10.1353/sof.2002.0030,identified_core,PRIMARY_SEPARATION_SHOCK,EXOGENOUS_FREQUENCY_SHOCK,SEPARATION,2002,142,closed,,no_oa_url,closed,0,,The Short- and Long-Term Effects of U.S. Migration Experience on Mexican Women's Fertility
W2017361757,https://doi.org/10.1097/01.ede.0000190540.95748.e6,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,2005,129,closed,,no_oa_url,closed,0,,Menstrual Cycle Characteristics
W2003657793,https://doi.org/10.1080/00324728.1980.10410398,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,1980,125,closed,,no_oa_url,closed,0,,"Fecundability, coital frequency and the viability of Ova"
W1988924576,https://doi.org/10.1001/jama.1956.02970090081016,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,1956,119,closed,,no_oa_url,closed,0,,FACTORS AFFECTING NORMAL EXPECTANCY OF CONCEPTION
W2093589521,https://doi.org/10.2307/1973052,identified_core,PRIMARY_FREQ_BIOMETRIC,EXOGENOUS_FREQUENCY_SHOCK,LIBIDO_HEALTH,1983,100,closed,,no_oa_url,closed,0,,"Marriage, Sex, and the First Birth Interval: The Quiet Revolution in Asia"
W2017645414,https://doi.org/10.1016/s0010-7824(99)00106-7,identified_core,PRIMARY_ABSTINENCE_WINDOW,PROSPECTIVE_MEASUREMENT,ABSTINENCE,1999,99,hybrid,,failed,not_pdf_html_paywall,0,,A fixed formula to define the fertile window of the menstrual cycle as the basis of a simple method of natural family pl
W2126316827,https://doi.org/10.3109/13625187.2014.988210,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,2015,94,closed,,no_oa_url,closed,0,,Identification and prediction of the fertile window using NaturalCycles
W1994177621,https://doi.org/10.1016/s0029-7844(03)00358-2,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,2003,92,closed,,no_oa_url,closed,0,,Vulvar mucus observations and the probability of pregnancy
W1967818337,https://doi.org/10.1093/humrep/12.12.2607,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,BIOMETRIC_TIMING,1997,86,closed,,no_oa_url,closed,0,,Preimplantation hormonal differences between the conception and non- conception menstrual cycles of 32 normal women
W2155438812,https://doi.org/10.1093/humrep/12.10.2324,identified_core,PRIMARY_FREQ_BIOMETRIC,PROSPECTIVE_MEASUREMENT,LIBIDO_HEALTH,1997,83,closed,,no_oa_url,closed,0,,A prospective study of psychosocial stress and fertility in women
W1986512561,https://doi.org/10.1080/19485565.1994.9988857,identified_core,PRIMARY_SEPARATION_SHOCK,EXOGENOUS_FREQUENCY_SHOCK,SEPARATION,1994,80,closed,,no_oa_url,closed,0,,Impact of migration on fertility in sub‐Saharan Africa
