effect_id,study_id,study,pdf_filename,cell,estimand,predictor,outcome,sample,period,design,adjusts_contraception,adjusts_age,effect_type,effect_value,ci_lower,ci_upper,se,direction,significant,is_primary_estimate,poolable,sign_vs_a14,source_locator,source_type,verified_by,notes
A14-001,nie_2020_fujian,"Nie (2020), Effect of spousal separation and reunification on fertility, Demographic Research 43(29)",W3086522635__the-effect-of-spousal-separation-and-reunification-on-fertil.pdf,PRIMARY_SEPARATION_SHOCK,"1st birth odds, internal separation 0-3y vs cohabiting",internal migration separation 0-3y,odds of 1st marital birth,"632 Fujianese couples, China",~1965-2005,discrete-time logit multi-process (aML),partial (no direct control; family-policy dummies for 2nd/3rd only),yes,odds ratio,0.26,0.18,0.37,,reduces births,p<0.01,TRUE,FALSE,supports,"Table 3 Panel 1, multi-process col",pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,~74% lower odds of first birth under short internal separation
A14-002,nie_2020_fujian,"Nie (2020), Effect of spousal separation and reunification on fertility, Demographic Research 43(29)",W3086522635__the-effect-of-spousal-separation-and-reunification-on-fertil.pdf,PRIMARY_SEPARATION_SHOCK,"1st birth odds, international separation 0-3y vs cohabiting",international migration separation 0-3y,odds of 1st marital birth,"632 Fujianese couples, China",~1965-2005,discrete-time logit multi-process,partial,yes,odds ratio,0.03,0.0,0.25,,reduces births,p<0.01,TRUE,FALSE,supports,Table 3 Panel 1,pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,long-distance separation more strongly depresses fertility; small cells
A14-003,nie_2020_fujian,"Nie (2020), Effect of spousal separation and reunification on fertility, Demographic Research 43(29)",W3086522635__the-effect-of-spousal-separation-and-reunification-on-fertil.pdf,PRIMARY_SEPARATION_SHOCK,"1st birth odds, international separation >3y vs cohabiting",international migration separation >3y,odds of 1st marital birth,"632 Fujianese couples, China",~1965-2005,discrete-time logit multi-process,partial,yes,odds ratio,0.18,0.08,0.42,,reduces births,p<0.01,TRUE,FALSE,supports,Table 3 Panel 1,pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,~82% lower odds
A14-004,nie_2020_fujian,"Nie (2020), Effect of spousal separation and reunification on fertility, Demographic Research 43(29)",W3086522635__the-effect-of-spousal-separation-and-reunification-on-fertil.pdf,PRIMARY_SEPARATION_SHOCK,"1st birth odds, reunified vs never separated",reunified after separation,odds of 1st marital birth,"632 Fujianese couples, China",~1965-2005,discrete-time logit multi-process,partial,yes,odds ratio,0.42,0.29,0.61,,reduces births,p<0.01,TRUE,FALSE,supports,Table 3 Panel 1 (reunified),pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,KEY: no fertility catch-up after reunification (H2 rejected)
A14-005,nie_2020_fujian,"Nie (2020), Effect of spousal separation and reunification on fertility, Demographic Research 43(29)",W3086522635__the-effect-of-spousal-separation-and-reunification-on-fertil.pdf,PRIMARY_SEPARATION_SHOCK,"2nd birth odds, internal separation 0-3y vs cohabiting",internal migration separation 0-3y,odds of 2nd marital birth,"632 Fujianese couples, China",~1965-2005,discrete-time logit multi-process,partial (family-policy dummies),yes,odds ratio,0.3,0.14,0.68,,reduces births,p<0.01,FALSE,FALSE,supports,Table 3 Panel 2,pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,~70% lower
A14-006,nie_2020_fujian,"Nie (2020), Effect of spousal separation and reunification on fertility, Demographic Research 43(29)",W3086522635__the-effect-of-spousal-separation-and-reunification-on-fertil.pdf,PRIMARY_SEPARATION_SHOCK,"2nd birth odds, international separation vs cohabiting",international migration separation,odds of 2nd marital birth,"632 Fujianese couples, China",~1965-2005,discrete-time logit multi-process,partial,yes,odds ratio,0.12,0.02,0.65,,reduces births,p<0.05,FALSE,FALSE,supports,Table 3 Panel 2,pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,annual 2nd-birth odds ~12% of unseparated
A14-007,nie_2020_fujian,"Nie (2020), Effect of spousal separation and reunification on fertility, Demographic Research 43(29)",W3086522635__the-effect-of-spousal-separation-and-reunification-on-fertil.pdf,PRIMARY_SEPARATION_SHOCK,"2nd birth odds, reunified vs never separated",reunified after separation,odds of 2nd marital birth,"632 Fujianese couples, China",~1965-2005,discrete-time logit multi-process,partial,yes,odds ratio,0.65,0.44,0.97,,reduces births,p<0.05,FALSE,FALSE,supports,Table 3 Panel 2 (reunified),pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,no catch-up for 2nd birth either
A14-008,nie_2020_fujian,"Nie (2020), Effect of spousal separation and reunification on fertility, Demographic Research 43(29)",W3086522635__the-effect-of-spousal-separation-and-reunification-on-fertil.pdf,PRIMARY_SEPARATION_SHOCK,"3rd birth odds, separated vs cohabiting",separated due to migration,odds of 3rd marital birth,"632 Fujianese couples, China",~1965-2005,discrete-time logit multi-process,partial,yes,odds ratio,0.83,0.53,1.29,,null,ns,FALSE,FALSE,null,Table 3 Panel 3,pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,3rd-birth effect not significant; small cells
A14-009,clifford_2009_tajikistan,"Clifford (2009), Spousal separation, selectivity and contextual effects, Demographic Research 21(32)",W2012967441__spousal-separation-selectivity-and-contextual-effects-explor.pdf,PRIMARY_SEPARATION_SHOCK,"higher-order conception, full-year (12mo) spousal absence (single-process)",spousal absence 12 months,odds of higher-order conception in year,"3,509 couples, Tajikistan TLSS 2003 (TFR~4, contraception ~30%)",1998-2002,multilevel single-process logit,no,yes,odds ratio,0.25,,,0.404,reduces conception,p<0.01,TRUE,FALSE,supports,"Table 4, row 'Spousal absence 12'",pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,75% lower odds for full-year absence; SE on log-odds scale
A14-010,clifford_2009_tajikistan,"Clifford (2009), Spousal separation, selectivity and contextual effects, Demographic Research 21(32)",W2012967441__spousal-separation-selectivity-and-contextual-effects-explor.pdf,PRIMARY_SEPARATION_SHOCK,"higher-order conception, >=6mo spousal absence, fully adjusted multi-process",spousal absence 6-12 months (ref 0-5),odds of higher-order conception in year,"3,509 couples, Tajikistan; 1999-2002 couple-years",1999-2002,multilevel bivariate multi-process logit (selection-corrected),no,yes,odds ratio,0.58,,,0.164,reduces conception,p<0.01,TRUE,FALSE,supports,Table 7 multi-process col (author preferred),pdf_table_or_text_read,ai_fulltext_extraction_2026-09-23_single_reader,~42% lower; multi-process MORE negative than single-process (positive community selection biases naive toward 0)
