openalex,doi,year,title,venue,stratum,cell,arm,screened_by,screened_on,note
W7150016014,10.12692/ijaar/28.3.7-14,2026,"Effects of access to agricultural microcredit on the multidimensional well-being of households in Borgou, Benin",International Journal of Agronomy and Agricultural Research (IJAAR),both_channels,MECHANISM_NO_FERTILITY,,Shravan/Claude,2026-09-01,"Agricultural microcredit and multidimensional well-being, Benin."
W2998214102,10.1016/j.euroecorev.2021.104019,2022,Mortgage cash-flows and employment,European Economic Review,both_channels,MECHANISM_NO_FERTILITY,,Shravan/Claude,2026-09-01,"Mortgage cash-flows and employment. Arm B exposure, employment outcome."
W2964520071,10.1016/j.ssmph.2019.100467,2019,More than credit: Exploring associations between microcredit programs and maternal and reproductive health service utilization in India,SSM - Population Health,both_channels,MECHANISM_NO_FERTILITY,,Shravan/Claude,2026-09-01,"More than credit: microcredit and maternal/reproductive health outcomes. Outcome is health, not fertility - mechanism/context unless a birth outcome appears at full text."
W4406083342,10.1002/psp.2883,2025,Parental Dependency and Costly Offspring: Housing and Fertility of Young Adults in China's Large City,Population Space and Place,both_channels,OFF_HOUSING_C2c,,Shravan/Claude,2026-09-01,"Parental dependency and costly offspring, China. Housing; also A.23."
W3037455063,10.1016/j.jpubeco.2021.104366,2021,"Home prices, fertility, and early-life health outcomes",Journal of Public Economics,both_channels,OFF_HOUSING_C2c,,Shravan/Claude,2026-09-01,"Home prices, fertility and early-life health, Denmark. Price variation - C.2.c under Wall 2."
W4307711611,10.1257/pol.20200466,2022,The Old-Age Security Motive for Fertility: Evidence from the Extension of Social Pensions in Namibia,American Economic Journal Economic Policy,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,The old-age security motive for fertility: extension of social pensions in Namibia (AEJ:EP). Strong identified design on C.3.c's exposure.
W1983191203,10.1177/1468018111421283,2011,Fertility impact of high-coverage public pensions in sub-Saharan Africa,Global Social Policy,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,Fertility impact of high-coverage public pensions in sub-Saharan Africa.
W2115994022,10.2202/1935-1690.2042,2011,"Social Security, Differential Fertility, and the Dynamics of the Earnings Distribution",The B E Journal of Macroeconomics,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,"Social security, differential fertility and the earnings distribution."
W2145982329,10.1093/oep/54.4.636,2002,Insecure old-age security,Oxford Economic Papers,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,Insecure old-age security.
W1982325724,10.1007/bf03031955,2001,"Old-age security, religious celibacy, and aggregate fertility in a Tibetan population",Journal of Population Research,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,"Old-age security, religious celibacy and aggregate fertility, Tibetan population."
W70236327,10.1007/978-3-642-58654-5_11,1999,Hungarian Old-Age Security Prior to the 1998 Reform,Contributions to economics,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,Hungarian old-age security prior to the 1998 reform.
W1998298078,10.2307/2807975,1998,An Old-Age Security Motive for Fertility in the United States?,Population and Development Review,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,An old-age security motive for fertility in the United States?
W2012053867,10.1080/19485565.1995.9988906,1995,"Son and daughter preferences in Benighat, Nepal: Implications for fertility transition",Social Biology,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,"Son and daughter preferences, Nepal; old-age security reasons. Also D.2.c."
W1991766456,10.1016/0304-3878(93)90047-q,1993,The old-age security hypothesis revisited,Journal of Development Economics,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,The old-age security hypothesis revisited.
W1980624915,10.2307/2527024,1990,An Econometric Analysis of the Old-Age Security Motive for Childbearing,International Economic Review,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,An econometric analysis of the old-age security motive for childbearing.
W2036636895,10.1016/0014-4983(88)90015-0,1988,"Old-age security motives, labor markets, and farm family fertility in antebellum American",Explorations in Economic History,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,"Old-age security motives, labor markets and farm family fertility in antebellum America. NOTE: FDT-era and identified-ish; if C.3.c does not take it, revisit."
W2170777707,10.1177/0022022182131004,1982,Old-Age Security Value of Children,Journal of Cross-Cultural Psychology,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,Old-age security value of children (Value of Children Study).
W1965959030,10.1080/00324728.1980.10410457,1980,Old age security and the utility of children in Rural India,Population Studies,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,Old age security and the utility of children in rural India.
W1555707317,10.3386/w0372,1979,The Old Age Security Hypothesis and Population Growth,National Bureau of Economic Research,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,The old age security hypothesis and population growth (NBER 1979).
W2057107469,10.2307/2060513,1976,Comment on charles F. Hohm’s “social security and fertility: An international perspective”,Demography,both_channels,OFF_OLDAGE_C3c,,Shravan/Claude,2026-09-01,"Comment on Hohm, social security and fertility."
W7140925528,10.1016/j.habitatint.2026.103790,2026,Fintech agglomeration and urban labor markets: Evidence from Chinese cities,Habitat International,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4417102578,10.1111/ehr.70072,2025,Review of periodical literature published in 2024: 1945–present,The Economic History Review,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3172115052,10.1016/j.jeconom.2025.105997,2025,Subjective expectations and demand for contraception,Journal of Econometrics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4408340425,10.1007/978-3-031-75405-0_11,2025,Gender Equality in the Sustainable Development Framework,Sustainable landscape planning and natural resources management,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4409592516,10.1177/09720634251332672,2025,Women’s Financial Inclusion and Sequential Continuum of Care for Maternal and Child Health in India: An Intervention Approach,Journal of Health Management,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4410418458,10.1111/1467-8454.12403,2025,Can Digital Finance Narrow Regional Economic Disparities? Evidence From Urban Agglomerations in China,Australian Economic Papers,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4410522289,10.1186/s12889-025-23000-y,2025,Women’s empowerment and intentions for additional children among reproductive-aged women: an analysis of demographic and health surveys in South Asia,BMC Public Health,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4411177542,10.1016/j.psep.2025.107433,2025,Can integrative nudge strategies promote green transportation and trigger spillover effects? A field experiment,Process Safety and Environmental Protection,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4413242736,10.1111/gwao.70031,2025,Microfinance: The Political Project of Global Finance and Liberal Feminism,Gender Work and Organization,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4414314642,10.1016/j.irfa.2025.104616,2025,Social trust and fertility intentions: Evidence from China with causal and structural insights,International Review of Financial Analysis,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4390904490,10.1162/rest_a_01404,2024,Harvesting the Rain: The Adoption of Environmental Technologies in the Sahel,The Review of Economics and Statistics,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4392128437,10.2139/ssrn.4731094,2024,Tradeoff between Entrepreneurship and Fertility: Evidence from China’s Nationwide Two-Child Policy,SSRN Electronic Journal,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4396849323,10.3386/w32427,2024,The Negligible Effect of Free Contraception on Fertility: Experimental Evidence from Burkina Faso,National Bureau of Economic Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4396867999,10.1111/jors.12708,2024,Building bridges of trust: Impact of regional digital financial inclusion on social capital in China,Journal of Regional Science,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4400962547,10.1080/00036846.2024.2383331,2024,How digital inclusive finance affects the health of the migrant population –evidence from China migrants dynamic survey,Applied Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4402404260,10.1016/j.iref.2024.103631,2024,Interest rate liberalization and household investment in China,International Review of Economics & Finance,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4403616828,10.3389/fsufs.2024.1345549,2024,The intermediate role of farmland transfer in the impact of digital financial inclusion on agricultural total factor productivity in China,Frontiers in Sustainable Food Systems,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4405020843,10.1111/padr.12693,2024,A Narrative Review of the Impact of Public Family Planning Policies and Programs on the Contraceptive Transition in Low‐ and Middle‐Income Countries,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W7167205808,10.58213/jf6ct379,2024,An Empirical Investigation of The Factors Affecting Women's Empowerment in The Karur District,Vidhyayana,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
