effect_id,study_id,paper_id,outcome_family,outcome_measure,exposure_contrast,subgroup,coefficient,se,ci_low,ci_high,p_value,units,sign_vs_v5,model,adjusted_for,era,notes
dtb2020_e1,danielsbacka_2020_pairfam_online_partnering,W4205510192,fertility,entry into parenthood (first birth during panel),met online vs met offline,youngest cohort 1991-93 (reference),-0.02,,,,0.439,linear probability coefficient,NULL,Model 3 (fully adjusted incl. Big Five),"cohort, gender, age, East Germany, education, ethnicity, partner, personality",spans,NULL in the cohort most exposed to apps. Model 1 -0.0003 (p=0.990) and Model 2 -0.01 (p=0.448) agree.
dtb2020_e2,danielsbacka_2020_pairfam_online_partnering,W4205510192,fertility,entry into parenthood (first birth during panel),met online vs met offline,OLDEST cohort 1971-73 (interaction),0.11,,,,0.006,linear probability interaction coefficient,AGAINST v5 (positive),Model 3,as above,spans,Model 2 interaction +0.09 (p=0.016). Meeting online associated with MORE first births among older childless persons.
dtb2020_e3,danielsbacka_2020_pairfam_online_partnering,W4205510192,fertility,intention to have a FIRST child,met online vs met offline,youngest cohort 1991-93 (reference),0.07,,0.01,,0.017,linear coefficient,AGAINST v5 (positive),Model 3,as above,spans,"Model 1 +0.09 (p=0.001, CI 0.04-0.15); Model 2 +0.07 (p=0.018)."
dtb2020_e4,danielsbacka_2020_pairfam_online_partnering,W4205510192,union stability,separation during panel,met online vs met offline,youngest cohort 1991-93 (reference),0.06,,,,0.012,linear probability coefficient,FOR v5 (positive separation),Model 4,as above,spans,"MODEL-DEPENDENT: Model 1 +0.07 (p=0.019, CI 0.01-0.12), Model 2 +0.03 (p=0.209, NOT significant), Model 4 +0.06 (p=0.012). The only outcome in the study that points v5's way, and it does not survive one of the four specifications."
dtb2020_e5_REVERSE,danielsbacka_2020_pairfam_online_partnering,W4205510192,REVERSE — exposure as outcome,meeting a NEW partner online in the subsequent wave,higher intention to have a child at baseline,"childless persons, youngest cohorts",0.22,,0.092,0.343,0.001,linear coefficient,REVERSE CAUSATION,Appendix Table 2,as above,spans,THE RISK-OF-BIAS FACT OF THE CHAPTER. The authors test the reverse arrow themselves and find it significant and ROUGHLY THREE TIMES the size of their own forward coefficient (0.22 vs 0.07) in the same data. People who want children go online to find a partner.
kb2021_e1,kolk_billari_2021_nlsy_cps_internet_partnership,W3096306306,union formation,partnership formation hazard (NLSY97),has Internet access vs not,younger ages (late teens to early 20s),negative (direction reported; magnitude not extracted),,,,,,FOR v5 (delay),age-interacted event history,,spans,"Authors: ""at younger ages ... those with Internet access experience delayed partnership formation""."
kb2021_e2,kolk_billari_2021_nlsy_cps_internet_partnership,W3096306306,union formation,partnership formation hazard (NLSY97); partnership status (CPS),has Internet access vs not,mid-to-late 20s and older,positive (direction reported; magnitude not extracted),,,,,,AGAINST v5,age-interacted event history,,spans,"Sign REVERSES with age, in both data sources and for both heterosexual and homosexual partnerships. A single-sign summary of this study would be false whichever sign was chosen."
oecd2026_e1,oecd_2026_spatial_digitalization_tfr,W7128439818,fertility,total fertility rate,fixed broadband subscriptions per 100 people,OECD countries 2000-2021,positive (robust across spatial and non-spatial specifications; magnitude not extracted),,,,,,AGAINST v5,spatial error model,,spans,"Macro association. Ecological inference problem is severe; treat as a sign, not a magnitude."
thalberg2018_e1,thalberg_2018_sweden_distance_education_parenthood,W2902982992,fertility,first-parity conception hazard during university enrolment,CAMPUS enrolment vs non-enrolment,Swedish women born 1968-1991,-70%,,,,,hazard reduction,n/a (baseline),survival analysis,,pre_app,"N=938,768 register observations, 2004-2012."
thalberg2018_e2,thalberg_2018_sweden_distance_education_parenthood,W2902982992,fertility,first-parity conception hazard during university enrolment,ONLINE DISTANCE enrolment vs non-enrolment,Swedish women born 1968-1991,-43%,,,,,hazard reduction,AGAINST v5,survival analysis,,pre_app,"The online mode ATTENUATES the postponement effect by 27 percentage points of hazard reduction relative to campus. Mechanism is enrolment flexibility, not partner search — PI Call 2 may assign it to C.3.b."
china2025_e1,china_2025_fertility_information_browsing,W4409623628,fertility,fertility intentions,browsing POSITIVE fertility information online,Chinese university students,0.058,,,,<0.001,standardised beta,AGAINST v5,cross-sectional regression,,app_era,N=314.
china2025_e2,china_2025_fertility_information_browsing,W4409623628,fertility,fertility intentions,browsing NEGATIVE fertility information online,Chinese university students,-0.749,,,,<0.001,standardised beta,FOR v5,cross-sectional regression,,app_era,An order of magnitude larger than the positive-content coefficient. The asymmetry is the finding; the design cannot separate exposure from prior disposition.
japan2025_e1,japan_2025_ibj_matching_efficiency,W4414286340,union formation,monthly matching efficiency of a structured marriage platform,2025 vs 2014 (digital intermediation deepening),"IBJ users, Japan; 3.3% of national marriages annually",x3,,,,,ratio of matching efficiency,AGAINST v5,nonparametric time-varying matching function,,app_era,"MATCHING EFFICIENCY TRIPLES 2014-2025. The most direct measurement of v5's claimed quantity in the readable set, in the lowest-fertility rich country, moving the opposite way. Weight-limiting caveat: users are highly selected into serious marriage search by costly screening."
eharmony2009_e1,eharmony_2009_matchmaking_marital_adjustment,W2053775881,union quality,marital adjustment,introduced by an online matchmaking site vs met offline,married US couples,significantly higher (magnitude not extracted),,,,,,AGAINST v5,cross-sectional comparison,,pre_app,Same evidence line and same industry-proximity concern as Cacioppo et al. 2013.
