study_id,paper_id,doi,title,authors,year,venue,cell,era,shared_with,country,exposure_period_start,exposure_period_end,data_source,population,n_analytic,exposure_measure,outcome_family,outcome_measure,design,evidence_type,identification_source,link_graded,fulltext_decision,fulltext_reason,reverse_causality_tested,pdf_filename,extraction_status,needs_pi,notes
danielsbacka_2020_pairfam_online_partnering,W4205510192,10.31235/osf.io/938ve,Online partnering and family related outcomes in Germany,Mirkka Danielsbacka; Antti O. Tanskanen; Francesco C. Billari,2020,INVEST Working Papers 11/2020,PRIMARY_APP_FERTILITY,spans,,Germany,2009,2016,Pairfam (German Family Panel) waves 1-8,"8,177 persons from three birth cohorts (1971-73, 1981-83, 1991-93)",8177,"Met current partner ONLINE vs OFFLINE (venue of meeting; internet in general, not only dating sites)",fertility; union formation and stability,relationship satisfaction; intention to separate; separation; moving in together; intention to have a first/another child; entry into parenthood,between-person regressions with forward-lagged dependent variables; 4 nested models adding covariates incl. Big Five,observational,none — no exogenous variation; meeting venue is chosen,link3_direct_but_unidentified,INCLUDE,THE ONLY study in the frame estimating an online-meeting exposure against a realized fertility outcome. It is observational and the authors say so.,YES — and it is significant,W4205510192__online-partnering-and-family-related-outcomes-in-germany.pdf,extracted,no,"THE CHAPTER TURNS ON THIS PAPER. (1) Actual first birth: NULL in the youngest cohort in every model; POSITIVE in the OLDEST cohort (interaction +0.11, p=0.006, fully adjusted). (2) Intention to have a first child: POSITIVE and robust (+0.07, p=0.017 fully adjusted). (3) Separation: HIGHER for online-met in the youngest cohort in models 1 and 4 but not model 2. (4) Satisfaction, intention to separate, moving in together: all null after full adjustment. SO THE ONE STUDY IN THE DEFINING CELL POINTS THE OPPOSITE WAY TO v5 ON BIRTHS AND INTENTIONS, AND v5's WAY ONLY ON SEPARATION. (5) THE AUTHORS RUN THE REVERSE TEST THEMSELVES: higher fertility intentions at baseline predict meeting a new partner online in the next wave, beta=0.22, p=0.001, CI 0.092-0.343 — ROUGHLY THREE TIMES the forward coefficient of 0.07 from the same data. This is the version-of-record caveat too: this is the working paper; the Journal of Family Studies version is P0 and unread."
oecd_2026_spatial_digitalization_tfr,W7128439818,10.1007/s12061-026-09807-1,A Spatial Analysis of Factors Affecting Total Fertility Rates in OECD Countries: The Role of Digitalization,NR_in_extract,2026,Applied Spatial Analysis and Policy,SECONDARY_TECH_FERTILITY,spans,C.2.h,OECD (cross-national panel),2000,2021,OECD macro panel,OECD countries,NR_in_text,Fixed broadband subscriptions per 100 people; mobile broadband penetration and ICT goods exports as robustness,fertility,total fertility rate,spatial panel econometrics (spatial error model) vs non-spatial fixed effects,observational macro,none — macro association with spatial dependence modelled,link3_imported_from_A7,INCLUDE_WITH_CAUTION,"Macro association, no identification, and the ecological inference problem is severe at country-year level.",no,W7128439818__a-spatial-analysis-of-factors-affecting-total-fertility-rate.pdf,extracted,no,"ROBUST POSITIVE association between digitalization and REALIZED fertility at the macro level, against v5. Also finds an inverted-U in income per capita. Treat as a bound on the sign of the aggregate correlation, not as an effect estimate — country-year broadband against country-year TFR cannot separate the technology from everything else that trends with it."
kalabikhina_2024_russian_regions_digitalization,W4393322196,10.17059/ekon.reg.2024-1-7,Statistical Analysis of Uneven Digitalization Across Russian Regions and Its Impact on the Total Fertility Rate,NR_in_extract,2024,Economy of Regions,SECONDARY_TECH_FERTILITY,app_era,C.2.h,Russia,2014,2019,Rosstat regional ICT indicators,Russian regions,regions,"16 regional digital-development indicators, clustered",fertility,regional TFR,cluster analysis and multivariate description,descriptive,none,link3_imported_from_A7,EXCLUDE_FROM_POOLING,Descriptive clustering with no effect estimate; carries no coefficient to extract.,no,W4393322196__statistical-analysis-of-uneven-digitalization-across-russian.pdf,extracted,no,"Included in the narrative as evidence that the digitalization-fertility question is being asked in a second country, not as an estimate. No poolable quantity."
kolk_billari_2021_nlsy_cps_internet_partnership_preprint,W3215766353,10.1080/00324728.2021.1999485,Internet and Partnership Formation in the United States,Martin Kolk; Francesco C. Billari (DisCont project),2022,Padua Research Archive preprint,SECONDARY_TECH_UNION,spans,C.2.h,United States,1997,2017,NLSY97; Current Population Survey,"US young adults, heterosexual and homosexual",NR_in_text,Internet ACCESS (not dating-app use),union formation,partnership formation (NLSY97); partnership status (CPS),discrete-time event history (NLSY97); cross-sectional association (CPS),observational,"none — association, age-interacted",link2_tech_to_union,INCLUDE,"Nationally representative, two data sources, and the outcome is union formation itself.",no,W3215766353__internet-and-partnership-formation-in-the-united-states.pdf,extracted,no,"AGE-DEPENDENT AND THAT IS THE FINDING: the association is NEGATIVE at younger ages (delayed partnership formation) and turns POSITIVE from the mid-to-late 20s, for both heterosexual and homosexual partnerships. Authors read it as the Internet FACILITATING union formation once people feel ready to commit. So it supports v5 at young ages and contradicts it at older ones, which is a shape no single sign can summarise. Duplicate pair: W3096306306 is the version of record and W3215766353 its preprint — DO NOT POOL."
kolk_billari_2021_nlsy_cps_internet_partnership,W3096306306,10.1080/00324728.2021.1999485,Internet access and partnership formation in the United States,Martin Kolk; Francesco C. Billari (DisCont project),2021,Population Studies (2021),SECONDARY_TECH_UNION,spans,C.2.h,United States,1997,2017,NLSY97; Current Population Survey,"US young adults, heterosexual and homosexual",NR_in_text,Internet ACCESS (not dating-app use),union formation,partnership formation (NLSY97); partnership status (CPS),discrete-time event history (NLSY97); cross-sectional association (CPS),observational,"none — association, age-interacted",link2_tech_to_union,INCLUDE,"Nationally representative, two data sources, and the outcome is union formation itself.",no,W3096306306__internet-access-and-partnership-formation-in-the-united-stat.pdf,extracted,no,"AGE-DEPENDENT AND THAT IS THE FINDING: the association is NEGATIVE at younger ages (delayed partnership formation) and turns POSITIVE from the mid-to-late 20s, for both heterosexual and homosexual partnerships. Authors read it as the Internet FACILITATING union formation once people feel ready to commit. So it supports v5 at young ages and contradicts it at older ones, which is a shape no single sign can summarise. Duplicate pair: W3096306306 is the version of record and W3215766353 its preprint — DO NOT POOL."
thalberg_2018_sweden_distance_education_parenthood,W2902982992,10.1007/s10680-018-9503-3,Online Distance Education and Transition to Parenthood Among Female University Students in Sweden,NR_in_extract,2018,European Journal of Population,SECONDARY_TECH_FERTILITY,pre_app,C.2.h,Sweden,2004,2012,Swedish population registers,Female cohorts 1968-1991 enrolled at university,938768,ONLINE DISTANCE education enrolment vs CAMPUS enrolment vs non-enrolment,fertility,first-parity conception hazard during enrolment,survival analysis on register data,observational,none — enrolment mode is chosen,link3_imported_from_A7,INCLUDE_WITH_CAUTION,"Large register study with a clean fertility outcome, but the technology here is educational delivery, not partner search. Shared with C.3.b as well as C.2.h.",no,W2902982992__online-distance-education-and-transition-to-parenthood-among.pdf,extracted,yes,"Hazard of first-parity conception is 70% LOWER during campus enrolment but only 43% lower during DISTANCE enrolment, both against non-enrolment. So the online mode ATTENUATES the postponement effect of being a student — technology raising fertility relative to its offline counterpart. Directionally against v5, but the mechanism is enrolment flexibility rather than partner search, and PI Call 2 may put it wholly in C.3.b."
jmf_2024_digitalization_of_family_life_framework,W4392896989,10.1111/jomf.12983,The digitalization of family life: A multilevel conceptual framework,NR_in_extract,2024,Journal of Marriage and Family,SECONDARY_TECH_UNION,spans,C.2.h,conceptual,NA,NA,NA,NA,NA,NA — conceptual framework,NA,NA,conceptual multilevel framework,theoretical,none,,INCLUDE_AS_FRAMING,No estimate. It is the framing paper for the A.24 / C.2.h boundary and should be cited where PI Call 2 is explained.,no,W4392896989__the-digitalization-of-family-life-a-multilevel-conceptual-fr.pdf,extracted,no,"Carries no quantity; cite, do not pool."
china_2025_fertility_information_browsing,W4409623628,10.12677/ass.2025.144325,The Impact of Fertility Information Browsing on College Students’ Fertility Intentions—The Mediating Role of Parenting Sense of Competence,NR_in_extract,2025,Advances in Social Sciences,SECONDARY_TECH_FERTILITY,app_era,C.2.h,China,NR,NR,questionnaire survey,"University students, mean age 21.24",314,Browsing positive vs negative fertility information online,fertility,fertility intentions,cross-sectional survey regression with mediation,observational,none,link3_imported_from_A7,INCLUDE_WITH_CAUTION,"Cross-sectional, small, single-institution, self-reported exposure and outcome.",no,W4409623628__the-impact-of-fertility-information-browsing-on-college-stud.pdf,extracted,no,"Positive fertility information beta=+0.058 (p<0.001), NEGATIVE fertility information beta=-0.749 (p<0.001) on fertility intentions. The asymmetry is the interesting part — negative online content is an order of magnitude more predictive than positive — but the design cannot separate content exposure from prior disposition."
ning_2022_china_media_use_fertility_intentions,W4229457429,10.3389/fpubh.2022.882009,How Media Use Influences the Fertility Intentions Among Chinese Women of Reproductive Age: A Perspective of Social Trust,Chuanlin Ning; Jing Wu; Yijie Ye; Nan Yang; Huacheng Pei; Hao Gao,2022,Frontiers in Public Health,SECONDARY_TECH_FERTILITY,app_era,C.2.h,China,NR,NR,survey,Chinese women of reproductive age,NR_in_extract,"Media use, with social trust as the framing mechanism",fertility,fertility intentions,cross-sectional survey,observational,none,link3_imported_from_A7,INCLUDE_WITH_CAUTION,Cross-sectional; exposure is media use in general rather than partner-search technology.,no,W4229457429__how-media-use-influences-the-fertility-intentions-among-chin.pdf,extracted,no,Coefficients not yet pulled from tables; row is study-level only.
zhao_2024_cgss_online_social_capital_fertility,W4402185638,10.1057/s41599-024-03643-9,"Offline social capital, online social capital, and fertility intentions: evidence from China",Jing Zhao; Zhijie Zou; Jianfei Chen; Yujia Chen; Wanfa Lin; Xianbo Pei; Enjing Li; Yajing Dong; Xiaoli Chen,2024,Humanities and Social Sciences Communications,SECONDARY_TECH_FERTILITY,app_era,C.2.h,China,NR,NR,Chinese General Social Survey,CGSS respondents,7500_approx,"OFFLINE social capital vs ONLINE social capital, entered jointly",fertility,fertility intentions,cross-sectional survey regression with mediation,observational,none,link3_imported_from_A7,INCLUDE,"The only record in the frame that separates the ONLINE and OFFLINE channels of the same construct, which is the comparison A.24 needs and almost never gets.",no,W4402185638__offline-social-capital-online-social-capital-and-fertility-i.pdf,extracted,no,"Coefficients not yet pulled. Its value is the design: online and offline social capital entered together against the same outcome, which is the closest thing available to holding the non-digital channel fixed."
