stratum,access_class,doi,work_id,year,venue,detail,title
identified_core,oa_but_blocked,10.1016/j.socscimed.2026.119145,W7133940025,2026,Social Science & Medicine,"not_pdf_html_paywall,empty_or_tiny","Social influence on women's contraceptive use: Population-based, sociocentric network study in rural Uganda"
identified_core,oa_but_blocked,10.1080/1081602x.2024.2438171,W4406189953,2025,The History of the Family,"not_pdf_html_paywall,empty_or_tiny",Did migration alter the path of the demographic transition for French Canadians in the United States?
identified_core,oa_but_blocked,10.1111/sifp.70032,W4414135234,2025,Studies in Family Planning,"not_pdf_html_paywall,empty_or_tiny",Unveiling Mexico's Demographic Transitions
identified_core,oa_but_blocked,10.1111/padr.12609,W4392231579,2024,Population and Development Review,not_pdf_html_paywall,"Rural–Urban Migration and Fertility Ideation in Senegal: Comparing Returned, Current, and Future Migrants to Dakar to Ru"
identified_core,oa_but_blocked,10.1007/s10680-023-09655-6,W4366351506,2023,European Journal of Population / Revue européenne de Démographie,"not_pdf_html_paywall,empty_or_tiny",Explaining Residential Clustering of Large Families
identified_core,oa_but_blocked,10.1002/psp.2550,W4210517329,2022,Population Space and Place,not_pdf_html_paywall,Decline in fertility in Paris: An intraurban spatial analysis
identified_core,oa_but_blocked,10.1111/padr.12395,W3132085944,2021,Population and Development Review,not_pdf_html_paywall,The Contribution of Diffusion to the Fertility Transition in Belgium (1887–1934)
identified_core,oa_but_blocked,10.1007/s13524-019-00841-y,W2997788989,2020,Demography,not_pdf_html_paywall,"Family, Firms, and Fertility: A Study of Social Interaction Effects"
identified_core,oa_but_blocked,10.1007/s13524-020-00884-6,W3026054265,2020,Demography,"not_pdf_html_paywall,empty_or_tiny",The Examination of Diffusion Effects on Modern Contraceptive Use in Nigeria
identified_core,oa_but_blocked,10.1093/sf/sox044,W2619544758,2017,Social Forces,"not_pdf_html_paywall,empty_or_tiny",Globalization and Contemporary Fertility Convergence
identified_core,oa_but_blocked,10.1080/17441692.2016.1147589,W2296278882,2016,Global Public Health,not_pdf_html_paywall,Moving from theory to practice: A participatory social network mapping approach to address unmet need for family plannin
identified_core,oa_but_blocked,10.1098/rspb.2013.2732,W2119420594,2014,Proceedings of the Royal Society B Biological Sciences,"not_pdf_html_paywall,empty_or_tiny",Community-level education accelerates the cultural evolution of fertility decline
identified_core,oa_but_blocked,10.1177/0003122414531596,W2142548216,2014,American Sociological Review,not_pdf_html_paywall,Does Fertility Behavior Spread among Friends?
identified_core,oa_but_blocked,10.1111/caje.12062,W3124025479,2013,Canadian Journal of Economics/Revue canadienne d économique,curl_error:7,"International migration, transfer of norms and home country fertility"
identified_core,oa_but_blocked,10.1162/rest_a_00423,W2119376659,2013,The Review of Economics and Statistics,not_pdf_html_paywall,Learning from Teen Childbearing Experiences of Close Friends: Evidence using Miscarriages as a Natural Experiment
identified_core,oa_but_blocked,,W2154213918,2010,RePEc: Research Papers in Economics,not_pdf_html_paywall,"Businesses, buddies and babies: social ties and fertility at work"
identified_core,oa_but_blocked,10.1353/prv.0.0017,W2022205403,2009,Population review,not_pdf_html_paywall,"The Influence of Changes in Fertility Related Norms on Contraceptive Use in Egypt, 1995–2005"
identified_core,oa_but_blocked,10.1353/dem.2001.0005,W2039205983,2001,Demography,not_pdf_html_paywall,"The density of social networks and fertility decisions: Evidence from South Nyanza district, Kenya"
identified_core,closed,10.12688/verixiv.2838.1,W7136620518,2026,,closed,Protocol for cluster randomized control trial of a social network-based intervention to increase contraceptive use among
identified_core,closed,10.1257/aer.20231286,W4414662257,2025,American Economic Review,closed,Diffusion of Reproductive Health Behavior through International Migration: Effects on Origin-Country Fertility
identified_core,closed,10.1002/soej.12727,W4401595574,2024,Southern Economic Journal,closed,"Harmony in diplomacy, convergence in choices: Low fertility diffusion through Sino‐Korean normalization"
identified_core,closed,10.1002/psp.2555,W4210892400,2022,Population Space and Place,closed,Low fertility spread in China: A blended adaptation and diffusion explanation
identified_core,closed,10.3386/w25752,W2940085245,2019,National Bureau of Economic Research,closed,"Censorship, Family Planning, and the Historical Fertility Transition"
identified_core,closed,10.1257/app.20150540,W2586491076,2017,American Economic Journal Applied Economics,closed,Persuasion: A Case Study of Papal Influences on Fertility-Related Beliefs and Behavior
identified_core,closed,10.1111/j.1728-4457.2014.00695.x,W2051432816,2014,Population and Development Review,closed,Spatial Analysis of the Causes of Fertility Decline in Prussia
identified_core,closed,10.1080/00324728.2013.774435,W1966808359,2013,Population Studies,closed,The effects of social interactions on fertility decline in nineteenth-century France: An agent-based simulation experime
identified_core,closed,10.1080/21632324.2013.800701,W3121628933,2013,Migration and Development,closed,Cultural transmission and contraceptive use: evidence from USA-Mexico migration
identified_core,closed,10.1016/j.alcr.2013.10.001,W2090995792,2013,Advances in Life Course Research,closed,Is fertility contagious? Using panel data to disentangle mechanisms of social network influences on fertility decisions
identified_core,closed,10.1007/s13524-012-0172-2,W2001021105,2012,Demography,closed,"Family Planning and Women’s and Children’s Health: Long-Term Consequences of an Outreach Program in Matlab, Bangladesh"
identified_core,closed,10.1002/ajhb.22348,W2052028310,2012,American Journal of Human Biology,closed,"Fertility, parental investment, and the early adoption of modern contraception in rural ethiopia"
identified_core,closed,10.1097/dbp.0b013e318231cf03,W2017682951,2011,Journal of Developmental & Behavioral Pediatrics,closed,Social Network Effects in Contraceptive Behavior Among Adolescents
identified_core,closed,,W1603027288,2011,UNM’s Digital Repository (University of New Mexico),closed,"TESTING HYPOTHESES OF THE DEMOGRAPHIC TRANSITION IN SAN BORJA, BOLIVIA"
identified_core,closed,10.1353/jhr.2009.0031,W1994322174,2009,The Journal of Human Resources,closed,Testing the External Effect of Household Behavior: The Case of the Demand for Children
identified_core,closed,10.1080/0032472032000061703,W2167340672,2003,Population Studies,closed,Why are uneducated women in India using contraception? A multilevel analysis
descriptive_residual,oa_but_blocked,10.1111/tesg.70068,W7129290255,2026,Tijdschrift voor Economische en Sociale Geografie,not_pdf_html_paywall,Do Family Changes Constitute a Comprehensive Demographic Shift? A Comparison of the Spatial Dynamics of Five Family Chan
descriptive_residual,oa_but_blocked,10.1002/psp.70230,W7130502574,2026,Population Space and Place,not_pdf_html_paywall,Fertility Norms as Unifying Framework: Coordinating Migration and Fertility Decisions in China′s Internal Migration
descriptive_residual,oa_but_blocked,10.1002/psp.70158,W4416383057,2025,Population Space and Place,not_pdf_html_paywall,"Changing Fertility Patterns in Poland: Urban, Suburban, and Rural Dimensions"
descriptive_residual,oa_but_blocked,10.1017/s0021932025100424,W4414448002,2025,Journal of Biosocial Science,not_pdf_html_paywall,Composition and structure of women’s family and personal networks in Ouagadougou: what are the effects on current fertil
descriptive_residual,oa_but_blocked,10.1007/s12546-025-09369-y,W4408224057,2025,Journal of Population Research,not_pdf_html_paywall,Effects of diffusion and education on women’s fertility in India
descriptive_residual,oa_but_blocked,10.1093/pnasnexus/pgaf113,W4409151237,2025,PNAS Nexus,"not_pdf_html_paywall,empty_or_tiny",Female friendship and the cultural transmission of low-fertility values: Evidence from rural Poland
descriptive_residual,oa_but_blocked,10.1186/s12889-025-23473-x,W4411967836,2025,BMC Public Health,"not_pdf_html_paywall,empty_or_tiny",Influence of social networks on women’s contraceptive decision-making and action: a qualitative study in two districts i
descriptive_residual,oa_but_blocked,10.1002/psp.70031,W4410069628,2025,Population Space and Place,"not_pdf_html_paywall,empty_or_tiny",The Diffusion of Late Fertility Across European Regions (2006–2018)
descriptive_residual,oa_but_blocked,10.1016/j.socscimed.2024.117159,W4401391594,2024,Social Science & Medicine,not_pdf_html_paywall,Social capital mediates knowledge gaps in informing sexual and reproductive health behaviours across Africa
descriptive_residual,oa_but_blocked,10.5463/thesis.322,W4390646468,2024,,not_pdf_html_paywall,Contraceptive use and method choice among young people in sub-Saharan Africa
descriptive_residual,oa_but_blocked,10.1098/rsos.230988,W4390009316,2023,Royal Society Open Science,"not_pdf_html_paywall,empty_or_tiny",A data-driven approach shows that individuals' characteristics are more important than their networks in predicting fert
descriptive_residual,oa_but_blocked,10.1016/j.ssmph.2022.101203,W4291824651,2022,SSM - Population Health,"not_pdf_html_paywall,empty_or_tiny",Characterizing Nigerien men's social networks and their influence on family planning-related attitudes and behaviors
descriptive_residual,oa_but_blocked,10.1186/s12978-022-01331-y,W4225784187,2022,Reproductive Health,"not_pdf_html_paywall,curl_error:56,empty_or_tiny",Perceptions of peer contraceptive use and its influence on contraceptive method use and choice among young women and men
descriptive_residual,oa_but_blocked,10.1007/978-3-031-11840-1_4,W4294343530,2022,SpringerBriefs in population studies,not_pdf_html_paywall,Socio-Economic Determinants of Fertility
descriptive_residual,oa_but_blocked,10.1186/s12889-022-12681-4,W4223431367,2022,BMC Public Health,"not_pdf_html_paywall,empty_or_tiny",The power of women’s and men’s Social Networks to catalyse normative and behavioural change: evaluation of an interventi
descriptive_residual,oa_but_blocked,10.1111/sifp.12174,W3201662518,2021,Studies in Family Planning,"not_pdf_html_paywall,empty_or_tiny","Contraceptive Conversations among Adolescent Girls and Young Women and Their Partners, Peers, and Older Female Family Me"
descriptive_residual,oa_but_blocked,10.3390/socsci10050177,W3160196352,2021,Social Sciences,"not_pdf_html_paywall,empty_or_tiny",Do Data from Large Personal Networks Support Cultural Evolutionary Ideas about Kin and Fertility?
descriptive_residual,oa_but_blocked,10.1080/17441692.2021.1933125,W3164691754,2021,Global Public Health,"not_pdf_html_paywall,empty_or_tiny","Men’s social networks, social norms, & family planning in Benin"
descriptive_residual,oa_but_blocked,10.2478/jos-2021-0028,W3080257843,2021,Journal of Official Statistics,not_pdf_html_paywall,Spatio-Temporal Patterns in Portuguese Regional Fertility Rates: A Bayesian Approach for Spatial Clustering of Curves
descriptive_residual,oa_but_blocked,10.34023/2313-6383-2021-28-5-39-48,W3208307790,2021,Вопросы статистики,curl_error:28,Statistical Estimates of the Decline of the Russian Fertility: Regional Specifcs
descriptive_residual,oa_but_blocked,10.1186/s12889-021-10180-6,W3121771074,2021,BMC Public Health,"not_pdf_html_paywall,empty_or_tiny",The association between men’s family planning networks and contraceptive use among their female partners: an egocentric 
descriptive_residual,oa_but_blocked,10.1186/s41118-021-00131-9,W3199999619,2021,Genus,not_pdf_html_paywall,The spatial diffusion of fertility decline in Egypt (1950–2006)
descriptive_residual,oa_but_blocked,10.1093/emph/eoaa029,W3046518775,2020,Evolution Medicine and Public Health,"not_pdf_html_paywall,empty_or_tiny",Adoption of outgroup norms provides evidence for social transmission in perinatal care practices among rural Namibian wo
descriptive_residual,oa_but_blocked,10.1007/s10680-020-09569-7,W3034430116,2020,European Journal of Population / Revue européenne de Démographie,"not_pdf_html_paywall,empty_or_tiny",Analysis of Latin American Fertility in Terms of Probable Social Classes
descriptive_residual,oa_but_blocked,10.36004/nier.es.2020.1-10,W3123041465,2020,Economie şi Sociologie,not_pdf_html_paywall,DEMOGRAPHIC TRANSITION AT THE REGIONAL LEVEL IN CZECH LANDS
descriptive_residual,oa_but_blocked,10.1111/jomf.12668,W3009068771,2020,Journal of Marriage and the Family,not_pdf_html_paywall,Exploring the Mechanisms Through Which Social Ties Affect Fertility Decisions in Turkey
descriptive_residual,oa_but_blocked,10.1080/17441692.2020.1836245,W3093557303,2020,Global Public Health,"not_pdf_html_paywall,empty_or_tiny","Social network and social normative characteristics of married female adolescents in Dosso, Niger: Associations with mod"
