work_id,doi,stratum,cell,year,venue,oa_status,pdf_url,download_status,detail,bytes,file,title
W7133940025,10.1016/j.socscimed.2026.119145,identified_core,PRIMARY_SOCIAL_EXPOSURE,2026,Social Science & Medicine,hybrid,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,"Social influence on women's contraceptive use: Population-based, sociocentric network study in rural Uganda"
W7136620518,10.12688/verixiv.2838.1,identified_core,PRIMARY_SOCIAL_EXPOSURE,2026,,closed,,no_oa_url,closed,0,,Protocol for cluster randomized control trial of a social network-based intervention to increase contraceptive use among
W4406189953,10.1080/1081602x.2024.2438171,identified_core,PRIMARY_SPATIAL_DIFFUSION,2025,The History of the Family,green,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Did migration alter the path of the demographic transition for French Canadians in the United States?
W4414662257,10.1257/aer.20231286,identified_core,PRIMARY_SPATIAL_DIFFUSION,2025,American Economic Review,closed,,no_oa_url,closed,0,,Diffusion of Reproductive Health Behavior through International Migration: Effects on Origin-Country Fertility
W4414135234,10.1111/sifp.70032,identified_core,PRIMARY_SPATIAL_DIFFUSION,2025,Studies in Family Planning,hybrid,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Unveiling Mexico's Demographic Transitions
W4401595574,10.1002/soej.12727,identified_core,PRIMARY_SOCIAL_EXPOSURE,2024,Southern Economic Journal,closed,,no_oa_url,closed,0,,"Harmony in diplomacy, convergence in choices: Low fertility diffusion through Sino‐Korean normalization"
W4392231579,10.1111/padr.12609,identified_core,PRIMARY_SPATIAL_DIFFUSION,2024,Population and Development Review,hybrid,,failed,not_pdf_html_paywall,0,,"Rural–Urban Migration and Fertility Ideation in Senegal: Comparing Returned, Current, and Future Migrants to Dakar to Ru"
W4366351506,10.1007/s10680-023-09655-6,identified_core,PRIMARY_SOCIAL_EXPOSURE,2023,European Journal of Population / Revue européenne de Démographie,hybrid,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Explaining Residential Clustering of Large Families
W3036455314,10.1093/jeea/jvad025,identified_core,PRIMARY_SOCIAL_EXPOSURE,2023,Journal of the European Economic Association,hybrid,https://papers.tinbergen.nl/20031.pdf,downloaded,ok,2631319,W3036455314__spillovers-in-childbearing-decisions-and-fertility-transitio.pdf,Spillovers in Childbearing Decisions and Fertility Transitions: Evidence from China
W4285406628,10.1596/1813-9450-10107,identified_core,PRIMARY_SOCIAL_EXPOSURE,2022,World Bank policy research working paper,hybrid,https://docs.iza.org/dp15381.pdf,downloaded,ok,3106172,W4285406628__bring-a-friend-strengthening-women-s-social-networks-and-rep.pdf,Bring a Friend: Strengthening Women's Social Networks and Reproductive Autonomy in India
