paperId,title,year,venue,design_class,exposure,outcome,effect_estimate,effect_se_or_ci,direction,identifies_diffusion_vs_common_shock,phenomenon,setting_sample,routing_check,risk_of_bias,notes
W1557995479,"How Can We Measure the Causal Effects of Social Networks Using Observational Data? Evidence from the Diffusion of Family Planning and AIDS Worries in South Nyanza District, Kenya",2001,Max Planck Institute for Demographic Research (MPIDR) Working Paper WP 2001-022,observational (individual fixed-effects panel / linear probability model; OLS comparison),"number (and presence) of a woman's informal family-planning conversational-network partners who use contraception, measured prior to time t; also spatial/AIDS-worry network composition","probability a woman is currently using modern contraception (also ever-use, want-no-more-children, and own perceived AIDS risk)",Individual fixed-effects LPM: probability of current contraceptive use rises by 'a little more than 0.038' per network partner who is a user on average; 'having one contraceptive user among the network partners increases the probability of the female respondent being a current user significantly by about 0.054'; each additional user beyond the first raises probability 'by about 0.032'. OLS estimate of the average per-user effect is biased upward by '180 percent' relative to FE. Effects are larger for men than for women.,"n/a in text (point estimates significant; SEs/robust SEs reported in Table 5, not reproduced in narrative). One related regression: past use predicts 0.63 more current user-partners, t-ratio 4.43 in OLS, collapsing to ~0 with fixed effects.",yes — more network partners who are contraceptive users RAISES the respondent's own probability of adopting/using contraception,"partial — individual fixed effects sweep out time-invariant homophily/selection and fixed community unobservables (authors show OLS is upward-biased 180%), but there is no instrument or exogenous shock; identification rests on a maintained (untested) assumption that within-person changes in network composition are uncorrelated with period-specific random shocks, so time-varying common shocks are not fully excluded",SDT,"Rural South Nyanza District, Nyanza Province, Kenya (Luo agro-pastoralists); Kenyan Diffusion and Ideational Change Project 3-wave longitudinal survey 1994/95, 1996/97, 2000; 497 women (324 men) present in all three waves used for family-planning FE estimates","confirmed A.3 — person-to-person social diffusion of modern family planning through conversational networks, net of individual/community controls. Note: despite the methodological title it delivers an APPLIED fertility-control estimate (not method/theory only). Radio (A.20) and schooling are controls, not the diffusion channel of interest.","ROBINS-I overall: moderate — FE addresses selection/homophily and confounding by fixed traits (main strength); residual threats are time-varying confounding (period shocks), recall/systematic measurement error in reported networks, and sample attrition (authors test attrition, find little bias)","Strongest-identified of the four A.3 PDFs. Best available FE estimates that social networks have a significant, substantial causal effect on contraceptive use (raising probability of use by ~one-third at sample means) and on AIDS-risk perception; effects nonlinear/asymmetric and larger for men. Applied, not merely methodological."
W1852387840,The Fertility Transition in Bavaria,2001,Yale University Economic Growth Center Discussion Paper No. 821,"observational (county-level fixed-effects panel regression of marital fertility, 1880-1910, with IV for infant mortality using elevation and milch-cows-per-capita, and year dummies)",none direct for diffusion — the innovation/diffusion ('Princeton') hypothesis is tested only indirectly via whether year dummies ('time itself') retain explanatory power for marital fertility net of measured economic/social change; no measure of social/spatial exposure to prior adopters is constructed,index of marital fertility (Ig) / marital fertility rate at the county and urban-district level,"none reported for diffusion. Descriptive decline: overall Bavarian marital fertility fell ~19.6% 1880-1910 (rural ~11.5%, urban ~36.8%). Key finding against pure diffusion: once economic/social variables are included, the year dummies 'tell us nothing' — i.e., the residual time trend that diffusion theories rely on vanishes. Textile employment and rising female wages exert strong downward effects on fertility; Catholicism and secularization (SPD vote) matter; urbanization eventually lowers fertility.","n/a (elasticities and coefficients in Tables 3-4, not extracted; adjusted R-squared .94 rural, .79 urban)","n/a — no social-diffusion exposure estimated; the paper argues economic/structural + cultural (religion/secularization) change, not diffusion, drives the transition","no — no diffusion exposure variable exists; the residual time/'simultaneity' effect that would proxy diffusion is precisely the common-shock/reflection confound, and the authors show it disappears once economic and social change are measured (evidence against, not for, a distinct diffusion effect)",FDT,"Kingdom of Bavaria, Germany; 176 rural counties (Bezirksaemter) and urban districts; census years 1880, 1885, 1895, 1900, 1910; period 1880-1910 (broader descriptive series 1846-1912)",confirmed A.3-relevant — an explicit econometric test/critique of the European Fertility Project (Princeton) innovation/diffusion interpretation of the fertility transition; bears directly on the A.3 hypothesis by rebutting the 'time itself'/diffusion residual. Provides no diffusion parameter of its own.,"ROBINS-I overall (for the A.3 diffusion question): serious to critical — no diffusion measure; the reflection problem is not solved but rather shown to dissolve into measured economics. (The IV is for infant mortality, a control, not for diffusion.)","This is the Princeton-tradition descriptive-residual case flagged in the brief: it works by asking whether the aggregate synchrony/time-effect that diffusion theory invokes survives better economic and social measurement, and finds it does not. Its contribution to A.3 is as counter-evidence to pure diffusion, not as an identified diffusion estimate. Identification of diffusion = no."
W2016489761,Social Transmission and the Spread of Modern Contraception in Rural Ethiopia,2011,PLoS ONE 6(7): e22515,observational (discrete-time event-history hazard model with AIC-based model comparison / model averaging),proportion of ever-users of modern contraception within a woman's (and her husband's) friendship network at time t-1 (unbiased and prestige-biased); minimum spatial distance to a contraceptive ever-user at t-1; network centrality (in/out-degree),hazard of first-ever uptake of modern contraception (year of first use),"Social-diffusion variables do NOT improve model fit: best model is individual factors + social environment (excludes network social-interaction terms; Akaike weight 0.29). Only a weak conditional interaction is detected: Parity x unbiased proportion of ever-users in women's network OR = 1.30. Non-interacted network exposure, spatial distance, and centrality are effectively null with high model uncertainty. By contrast individual/environment predictors are strong: parity OR = 1.43; education OR = 2.16; Orthodox Christian (vs Muslim) OR = 0.22; frequent radio use OR = 2.12.",Parity x prop.ever-users WNT: 95% CI [1.14; 1.51]. Comparators: parity [1.28;1.62]; education [1.53;3.03]; religion (Christian) [0.10;0.52]; radio [1.18;3.78],mixed/no — person-to-person social diffusion (friendship/spatial networks) does NOT robustly raise adoption; its role is marginal and only conditionally positive for high-parity women,no — cross-sectional survey-reconstructed networks; uses t-1 network composition to argue temporal ordering but has no instrument/exogenous variation and cannot separate genuine contagion from shared local conditions or homophily (authors themselves cite the Manski reflection problem and Shalizi-Thomas homophily-contagion confounding),SDT,"Community of agro-pastoralists in 4 villages, Arsi zone, southern rural Ethiopia; 936 ever-married women aged 15-52 surveyed 2008/9; adoption histories 1995-2008; contraceptive prevalence reached 18.8% by 2008",confirmed A.3 — direct micro-level test of social transmission/diffusion of fertility control through friendship and spatial networks. Radio (A.20 media) and religion (A.6/D.1) enter only as controls; the A.3 diffusion channel is the object of study and is found marginal.,"ROBINS-I overall: serious — reflection/homophily confounding unaddressed, recall-based retrospective adoption dates, censored/incomplete network data, association-only. (Result is a well-executed but non-identified micro test.)","IMPORTANT: this file is titled 'Correction:...' but the PDF is the COMPLETE standalone article carrying all data, tables and results (not a content-free erratum) — usable as a full study. A rare 'first-cases' micro-diffusion test whose honest conclusion is that person-to-person diffusion contributes little to early contraceptive uptake once individual and religious/media factors are controlled; phenomenon is a contemporary (post-1965) developing-country early transition, coded SDT by era though structurally an FDT-type onset."
W2610405201,Playing the Fertility Game at Work: An Equilibrium Model of Peer Effects,2013,"MPRA Paper No. 45914 (Munich Personal RePEc Archive); working paper, March 2013","structural/simulation (game-theoretic Nash-equilibrium peer-effects model with multiple equilibria, estimated via Ciliberto-Tamer partial-identification bounds; establishment/firm random effects for common shocks; sister-fertility exclusion restriction; individual Probit as reduced-form benchmark)",number (or share) of a woman's fertile-aged female coworkers at the same work establishment who have a child in the period (endogenous peer fertility),probability of / number of women having a child (indicator for a birth between Dec 2002 and Nov 2005),"Naive individual Probit: each additional coworker with a child raises own fertility propensity ~1.0 pp (basic), ~0.3 pp with individual controls, ~0.5 pp with contextual controls, positive and significant. Full structural model with firm/establishment random effects: sign REVERSES to negative average peer effects; turning on (homogeneous) peer effects yields a '5-percentage point decline' in the share predicted to have a child. Heterogeneous model: positive across worker types defined by age/education, but negative within age groups and among low-education women (who dominate the sample). Reported as parameter BOUNDS, not point estimates; equilibrium selection matters: two-type-by-education average peer combination changes fertility by +25 pp (highest-fertility equilibrium) vs -7.5 pp (lowest); ~40-50% of workplaces have multiple equilibria.",n/a — partially identified; 95% confidence parameter bounds reported in Tables 4/6/7 (not point estimates or SEs),"mixed — negative average/homogeneous peer effect once common shocks are absorbed (more coworker childbearing LOWERS own childbearing), but positive within some subgroups and across types; net sign depends on model and equilibrium selection","partial — the structural game plus firm/establishment random effects explicitly absorb workplace common shocks (naive positive effect flips to negative when they are added), and a sister-fertility exclusion restriction separates endogenous from contextual effects; but effects are only set-identified (bounds), residual peer self-selection/sorting into workplaces is only partly tested (public vs private sector), and the mechanism is a mix of economic (career competition, replacement/scale diseconomies) and social (conformity) channels",SDT,"Denmark; merged administrative employer-employee + fertility register; fertile-aged women (20-40) working in medium establishments (10-50 employees) as of Nov 2002; 151,494 women across 31,725 establishments; birth outcomes 2003-2005","confirmed A.3-adjacent (social-interaction/peer-effects evidence on fertility) but FLAG mechanism mismatch: the peer effect concerns the decision to HAVE a child among coworkers, driven substantially by economic channels (labor-market competition, leave/replacement costs) as much as social conformity — it is NOT specifically diffusion/social-learning of fertility CONTROL knowledge or acceptability. Borderline with A.3's core parameter; largest signal is workplace/career, not contraceptive diffusion.","n/a (theory/structural) for the modelling core; for its applied Danish estimates, ROBINS-I overall: moderate — strong design against common shocks and reflection, but only partial identification (bounds), possible residual sorting, and mixed/uninterpretable mechanism","One of the two method/structural papers. It DOES deliver an applied fertility estimate (Danish register data), so it is not theory-only. Central methodological lesson relevant to A.3: naive peer-fertility correlations are positive but reverse to negative once workplace common shocks are absorbed — a clean illustration of the reflection/common-shock problem. Multiple equilibria and partial identification mean no single point estimate exists."
W2750569904,Residential segregation and the fertility of immigrants and their descendants,2018,"Population, Space and Place","observational — hierarchical (multilevel) Poisson log-linear model with random Local-Authority intercepts on linked longitudinal census + birth-register data; no exogenous variation, but childhood community composition is measured before childbearing to remove reverse causation/simultaneity","childhood community population composition / residential segregation, measured in the 1971 census (before childbearing): (a) size and (b) proportion of foreign-born or same-country-of-birth-group population in the Local Authority, and (c) ward-level index of dissimilarity, each ranked into top 5% / 5-25% / bottom 75% (top 2% / 3-5% / bottom 95% for South Asians)",completed fertility (total children born to each woman by 2009),"All migrants (Table 2, IRR vs ancestral natives=1.0): child migrants raised in top-5% most foreign-born LAs IRR 1.14*** (size, Model A1); index-of-dissimilarity top 5% IRR 1.25*** (Model A5, ~25% more children than natives); least-segregated migrants not significantly different from natives. Pakistani/Bangladeshi (Table 3): top-2% size IRR 1.61*** (first gen), 1.57*** (second gen); index of dissimilarity top 40% IRR 1.75***. Indian (Table 4): top-2% size IRR 1.28**. Higher segregation/co-ethnic concentration in childhood -> higher completed fertility (i.e., less exposure to the native low-fertility norm).","SEs reported. Table 2: A1 top 5% SE 0.03; A5 top 5% SE 0.06. Table 3 (Pak/Bangladeshi): top 2% size SE 0.16 (1st gen), 0.13 (2nd gen); IoD top 40% SE 0.15. Table 4 (Indian): top 2% SE 0.10. Significance stars: *p<.05, **p<.01, ***p<.001.",yes,no — no exogenous variation in segregation; it is a multilevel association. The childhood-exposure design removes reverse causation and simultaneity (exposure measured before the woman's own childbearing) but does not separate true socialisation/diffusion from parental residential selection into co-ethnic areas or common cultural shocks; authors concede community composition as norm-exposure is a construct-validity assumption and flag the modifiable areal unit problem.,SDT,"England & Wales; ONS Longitudinal Study (1% sample) linked 1971-2009; women under 16 in 1971 followed to completed fertility in 2009; N=50,152 (44,168 ancestral natives, 1,074 first-generation child migrants, 4,910 second generation), with a South Asian (Pakistani/Bangladeshi, Indian) focus.","confirmed A.3 — Wall-1 residential-segregation paper whose estimand is diffusion of fertility norms: it tests the childhood-socialisation hypothesis, treating segregation as a diffusion-limiting social structure that governs childhood exposure to the native low-fertility norm versus the origin-culture high-fertility norm (‘cultural entrenchment’). This is diffusion-of-fertility-behaviour content, not pure composition, and not a content-agnostic channel (so not A.20).","serious — confounding: residual selection from parents sorting into co-ethnic/segregated neighbourhoods on unobserved fertility preferences, plus construct-validity of composition as a proxy for norm exposure and the modifiable areal unit problem; the childhood-timing design is a genuine strength that removes reverse causation but provides no exogenous variation.","All estimates are full-text (Tables 2-4), not abstract-only. Methodologically careful (completed fertility, pre-childbearing exposure, multiple composition measures giving consistent results), and the strongest observational design of the segregation pair, but still unidentified in the diffusion-vs-common-shock sense. Findings support the childhood-socialisation / diffusion reading: fertility of immigrants is closer to native fertility when they grow up in less segregated areas."
W3036455314,Spillovers in Childbearing Decisions and Fertility Transitions: Evidence from China,2020,Tinbergen Institute Discussion Paper TI 2020-031/V (working paper),quasi-experimental (partial-population experiment; IV with DiD/event-study support). Instrument = Han policy-exposure (ER) x local Han share; endogenous regressor = leave-me-out reference-group mean completed fertility,"reference-group average completed fertility of peers (women in same prefecture, same hukou, same birth cohort); peer exposure driven by Han family-planning-policy shock interacted with local Han share",completed fertility (children ever born) of ethnic-minority women,"IV estimate theta = 0.648 (Table 4, col 3): a minority woman gives birth to 0.65 fewer children when her reference-group average completed fertility is exogenously reduced by one child. Reduced-form Han-share x Exposure coefficient = -0.193 (Table 4, col 1). Direct Han policy effect (Han sample) rho = -0.22 births per one-birth expected reduction.","theta: SE 0.102, 95% CI [0.45, 0.85]; reduced-form -0.193 SE 0.041; both significant at 1%; first-stage F > 100 (=103.1)",yes — a peer (reference-group) reduction in fertility causally lowers a woman's own fertility (social multiplier); indirect/spillover component is ~one third of total policy effect,"yes — exogenous variation from staggered LLF-campaign rollout across provinces and cohorts (Han were subject to quotas, minorities exempt) interacted with local Han share; parallel pre-trends shown via event study and placebo test on older cohorts, and confounders (Great Famine, Cultural Revolution, Send-down movement) explicitly controlled",FDT,"China, 1970s-1980s family-planning era; 1% sample of 1990 census, cohorts born 1926-1945 (women aged 45-64); 57,570 minority and 726,907 Han women","confirmed A.3 — provides an identified estimate of a peer/spillover (social-multiplier) effect on fertility; note the authors decompose it into a SOCIAL (conformism) channel and an ECONOMIC (quantity-quality / equilibrium price of a child) channel, and explicitly test and rule out 'social learning about birth control' as the mechanism, so part of theta is economic rather than pure social diffusion","low to moderate — strong quasi-experimental design with rich robustness (event study, placebo, confounding-shock controls); main residual threat is the non-testable exclusion restriction (that Han-share x exposure affects minority fertility only through peer mean fertility, e.g. imperfect enforcement of minority exemptions), which the authors address but cannot fully prove","Full-text working paper with complete regression tables (Table 4). theta stable across specifications: 0.65 baseline, 0.63 controlling ER directly, 0.55 in most conservative spec, 0.74 in the 12-cohort placebo-matched sample. Phenomenon coded FDT because this is China's first (marital) fertility transition from high to low deliberate-control fertility, but note the calendar timing (1970s) falls inside the review's SDT window rather than the 1870-1965 FDT window."
W3088494297,"Social interactions, ethnicity, religion, and fertility in Kenya",2020,Journal of Demographic Economics,structural/econometric GMM social-interactions model (Manski endogenous/exogenous/correlated decomposition made non-linear via Poisson/GMM) with quasi-experimental IV — mean rainfall and rainfall seasonality (District Rainfall Seasonality index) instrument the endogenous conformist effect,two diffusion terms: (1) endogenous conformist effect = deviation of own children-ever-born from the mean CEB of other women in the same village cluster / ethnic group (social contagion in fertility norms); (2) exogenous interaction = mean education of other women in the cluster; plus ethnicity and religion group membership,children ever born (CEB) / completed fertility (analysis restricted to women aged 30-49),"Endogenous conformist effects positive and significant (Table 8, spec III, coefficient with IRR): Kikuyu 0.237*** (IRR 1.267), Kamba 0.221** (1.247), Kalenjin 0.190** (1.209), Luhya 0.179* (1.196), Kissi 0.159*** (1.172), Luo 0.123* (1.131) — i.e. a one-unit rise in the group-mean fertility deviation raises expected CEB by ~13-27%. Ethnic effects (Table 8 III) relative to Kikuyu: Luo 0.279** (1.321), Luhya 0.240** (1.272), Kalenjin 0.200** (1.221). Exogenous (ethnic-level education) effects mostly insignificant.","Reported as p-values under each coefficient (not SEs). Conformist effects (Table 8 III): Kikuyu p=0.000, Kamba p=0.003, Kalenjin p=0.003, Luhya p=0.011, Kissi p=0.000, Luo p=0.049. Standard errors robust to intra-cluster correlation. Overidentification: J-stat 7.803 (p=0.253) Table 8, 7.493 (p=0.278) Table 10 (pass); religion-only model J=19.046 (p=0.004) fails.",mixed,"partial — the paper explicitly confronts Manski's reflection problem and separates the endogenous social-interaction (conformist) effect from exogenous/correlated effects using (a) the non-linearity of the Poisson/GMM conditional mean and (b) rainfall mean & seasonality as excluded instruments, validated with a J-test; identification still rests on functional-form and the exclusion restriction (rainfall may affect fertility through income/agriculture beyond the modeled channel).",FDT,"Kenya, 1998 Kenya DHS (TFR ~4.7); 5,994 rural women aged 15-49 (completed-fertility analysis restricted to 30-49) across 6 main ethnic groups and 3 religions; matched to 1930-2000 monthly rainfall from 31 meteorological stations.","confirmed A.3 — core estimand is the social-interaction/social-learning effect of socially proximate others' fertility (village-cluster and ethnic-group peers) on own completed fertility; the endogenous conformist effect is precisely peer adoption raising/lowering own fertility. Not A.20 (models the substantive fertility norm, not a content-agnostic media/network-architecture channel); religion (A.6/D.1-adjacent) effects tested and found largely insignificant, so it is not primarily a religion paper.","moderate — main threat: identification of the endogenous effect relies on the rainfall exclusion restriction and on non-linear functional form; residual confounding/correlated effects possible, and the religion specification fails the overidentification test (though the ethnicity specifications pass).","All estimates are full-text (Tables 8-10). This is the strongest-identified of the three PDFs: it directly targets the reflection problem with an instrument. Kikuyu (lowest-fertility group) show the strongest endogenous/conformist effect, consistent with social multipliers sustaining a low-fertility norm; conformity is symmetric (amplifies whichever norm prevails), hence direction coded mixed. Coefficients are proportional changes in CEB; IRRs shown in tables."
W3134978614,"Segregation, fertility, and son preference: the case of the Roma in Serbia",2021,Journal of Demographic Economics,observational (OLS on number of children + Cox proportional-hazard model of birth spacing; no exogenous/quasi-experimental variation in segregation),"residential segregation of Roma settlements, coded categorically as only Roma / mostly Roma / few Roma (interpreted as exposure to the low-fertility Serbian majority culture and thus to cultural diffusion of the small-family and son-preference norms)","marital/completed fertility (number of living children, intensive margin); also birth-spacing hazard and sex ratio at last birth (son preference)","Descriptive: households in 'few Roma' settlements have ~0.8 fewer children (Table 1: 2.811 vs 3.581 in 'only Roma'). OLS baseline (Table 2, col 1): few Roma -0.791*** children, mostly Roma -0.341*; with full controls (col 7): few Roma -0.459***, mostly Roma -0.215**. Birth spacing (Table 3, Panel B, col 1): few Roma coefficient -0.449*** on subsequent-birth hazard (~36% less likely to have an extra child). Son preference: 'few Roma-male' spacing coefficient -0.604* (Table 4).","OLS col 1: few Roma SE 0.189, mostly Roma SE 0.185; col 7: few Roma SE 0.140, mostly Roma SE 0.094. Hazard Table 3 col 1: few Roma SE 0.156. Table 4 few Roma-male SE 0.260. Robust SEs clustered at settlement level with Moulton confidence intervals.",yes,"no — authors explicitly state segregation 'does not stem from quasi-experimental variation' and that they 'do not estimate causal effects'; the diffusion interpretation is a descriptive residual (controls shrink but do not close the gap), and selection/common-cause confounding is conceded.",FDT,"Belgrade, Serbia; primary survey Fall 2010; 300 Roma households across 13 settlements (with MICS 2010 non-Roma Serb comparison); women observed at intensive margin.","confirmed A.3 — Wall-1 residential-segregation paper, but its estimand is genuinely diffusion-of-fertility-control content: segregation is framed as a diffusion-limiting social structure governing exposure to the Serbian majority's low-fertility and son-preference norms, and the paper documents cultural transmission (not just composition). Not A.20 (content is the norm itself, not a content-agnostic channel).","serious — confounding: no exogenous variation in segregation and self-acknowledged omitted-variable/common-shock confounding; also selection (sample trimmed of most desegregated households, non-representative).","All estimates are full-text (Tables 1-4), not abstract-only. Authors' own framing is associational, not causal. Mechanism evidence for diffusion is indirect: less-segregated Roma both have lower fertility and stronger son preference matching the surrounding Serbs, which they read as cultural assimilation from majority to minority. Useful as suggestive/descriptive support for A.3 but must be graded as unidentified."
W4223963695,Diffusion Test of Fertility Decline in Arab Countries of the Middle East and North Africa (MENA) Region,2022,"Journal of Population and Social Studies (JPSS), Vol. 30, pp. 562-590","descriptive (spatiotemporal Knox statistic with 1,000 Monte Carlo simulations; supported by a random-effects panel regression to impute the Ig marital-fertility index)","spatiotemporal proximity of countries — Knox pairing of geographic closeness (shared border or centroid distance < first quartile, 1,130 km) with temporal closeness (onset of fertility decline in the same 5-year period)",onset/timing of marital fertility decline dated two ways: Schmertmann et al. 2010 method on TFR (SA) and Coale & Treadway 1986 method on Coale's Ig marital-fertility index (CT),none reported (no effect size). The paper reports two Knox test results only: CT method p-value = 0.3796 (contingency 9/18/36/90); SA method p-value = 0.0549 (contingency 8/8/37/100),"n/a (Knox test p-values via Monte Carlo; no coefficient, SE, or CI)","mixed — CT method finds NO significant spatiotemporal clustering (contagion rejected, p=0.38); SA method finds weak clustering significant only at the 6% level (p=0.055)","no — a Knox spatiotemporal-clustering test cannot separate true contagion from a common regional shock; the authors themselves state spatiotemporal interaction is only evidence 'if it is not explained by the spatiotemporal patterns of other relevant variables', and they fall back on descriptive 'favorable context' / elite-first narrative (a descriptive-residual argument)",FDT,"18 Arab MENA countries, fertility transition c. 1965-2019; UN World Population Prospects estimates 1950-2025, supplemented for pre-1970 nuptiality",confirmed A.3 — the paper's explicit aim is to test whether the MENA marital-fertility decline resulted from spatiotemporal diffusion (contagion) of deliberate birth control among countries,serious — inconclusive/contradictory results across the two dating methods; ecological country-level analysis with no control for common economic/cultural determinants (confounding); arbitrary spatial-proximity thresholds; cannot rule out simultaneous common shocks,"Full-text article; all numeric content is descriptive (Knox p-values in Tables 3-4, onset dates in Tables 1-2, Ig maps in Fig 4). No usable causal effect size. Conclusion is agnostic: authors say the decline was EITHER contagious (SA) OR an intrinsic within-country social/vertical diffusion led by urban elites (CT); they lean on contextual descriptives (elites/cities transitioning first). Phenomenon coded FDT as MENA's first marital-fertility transition, but the calendar timing (1965-2019) lies in the review's SDT window."
W4285406628,Bring a Friend: Strengthening Women's Social Networks and Reproductive Autonomy in India,2022,IZA Discussion Paper No. 15381 (working paper); study registered AEARCTR-0003283,RCT — individual-level stratified randomization into 3 arms (control n=350; 'Own' voucher n=156; 'Bring-a-Friend' (BAF) voucher n=165); OLS on endline outcomes with village fixed effects,"randomized inducement to expand/strengthen female peer social ties: the BAF voucher lets a woman offer accompanying female peers their own FP voucher (peer-engagement treatment), benchmarked against the 'Own' voucher (financial access only). Clean social-network parameter = BAF minus Own","modern contraceptive adoption (also: FP clinic visits, number of close peers in village, FP-related peer engagement, fear of stigma)","Modern contraceptive use rose 6 percentage points for both voucher arms vs control (a 56% increase over the 12% control mean). BAF vs Own difference not significant on average (peer effect significant only in subgroups facing social barriers, e.g. +11 p.p. for women valuing concealability). BAF expanded close peers in village by 0.13 (21% over control mean 0.64) and cut fear of stigma by 38%.","6 p.p. contraceptive effect NOT significant at conventional levels: p-values 0.116 (Own) and 0.106 (BAF). Close-peers +0.13 and stigma -38% reported as significant (SEs not transcribed from tables; robust SEs, robust to village clustering and wild-cluster bootstrap)",yes (for adoption) — voucher access raises modern-contraceptive adoption; the incremental peer-support (BAF) channel raises adoption/network size only for socially constrained subgroups,yes — randomized assignment eliminates the reflection/common-shock problem by design; the BAF-vs-Own contrast cleanly isolates the peer-network channel net of the financial (voucher) channel,SDT,"Rural India, Jaunpur district, Uttar Pradesh; 671 married women aged 18-30, 28 villages; 10-month intervention, baseline 2018","confirmed A.3 for the BAF-vs-Own contrast (identified peer/social-network channel raising contraceptive adoption net of the FP program), but blended with A.5 (the voucher IS a family-planning-program subsidy and drives the headline 6 p.p. / 56% adoption effect) and A.6 (measures fear-of-stigma, cut 38% by BAF). The pooled contraceptive headline is the A.5 voucher effect, not the A.3 peer effect.","moderate — well-conducted registered RCT with balance checks and Lee bounds; but statistically underpowered (headline contraceptive effect only marginally significant, p~0.11; peer effect significant only in subgroups), small cluster count (28 villages), and some baseline imbalance in mother-in-law opposition and baseline FP use","Full-text working paper. Note the mechanism is peer accompaniment/support to physically access an FP clinic and overcome mother-in-law opposition (instrumental social support), NOT the informational/normative social learning about the acceptability of limiting births that A.3 centrally describes; the paper does not measure peer adoption -> own adoption. Study is on contemporary unmet-need FP access, hence SDT-era developing-country context."
