openalex,cell,stratum,year,title,venue,cited_by,is_anchor,note
W1981297366,BENCHMARK_MEASURED,arm_only_easterlin,1981,Scarcity and Prosperity in Postwar Childbearing: Explorations From a Life Course Perspective,Journal of Family History,8,,"Depression scarcity then postwar prosperity, two 1920s birth cohorts -- the parental-era standard is measured, not proxied"
W2085438457,INSUFFICIENT_INFO,arm_only_marriage-boundary,2012,Superstition effects versus cohort effects: is it bad luck to be born in the year of the fire horse in Japan?,Review of Economics of the Household,9,,"superstition vs cohort effects, fire-horse year; no abstract, outcome not visible"
W1986108524,INSUFFICIENT_INFO,arm_only_rival,2002,A note on the changing relationship between fertility and female employment rates in developed countries,Journal of Population Economics,632,,fertility and female employment rates in developed countries; no abstract
W2262483616,INSUFFICIENT_INFO,arm_only_easterlin,1981,A stock adjustment model of U.S. marital fertility.,PubMed,2,,stock-adjustment model of US marital fertility; cannot tell from the abstract whether it tests oscillation
W2182382055,INSUFFICIENT_INFO,arm_only_easterlin,2014,What Are the Prospects for Continued Low Fertility in Japan?,,6,,prospects for continued low fertility in Japan; no abstract
W2089371094,LINK1_LABOUR,anchor_only,1979,Effects of Cohort Size on Earnings: The Baby Boom Babies' Financial Bust,Journal of Political Economy,659,yes,Welch: cohort size -> earnings. No fertility outcome
W1506832854,LINK1_LABOUR,anchor_only,1997,Cohort Crowding and Youth Labor Markets: A Cross-National Analysis,National Bureau of Economic Research,100,yes,Korenman and Neumark: cohort crowding -> youth labour markets. No fertility outcome
W2900130933,LINK1_LABOUR,arm_only_easterlin,1990,The effects of decline in relative income on labor force participation rates of married women in the united states,Atlanta University Center Robert W. Woodruff Library (Atlanta University Center Robert W. Woodruff Library),0,,declining relative income -> married women's LFP. Outcome is participation
W196318369,LINK1_LABOUR,arm_only_easterlin,1998,Comparing the Labor Market Success of Young Adults from Two Generations.,Monthly labor review,17,,"labour-market success of two generations, baby boom framing"
W2005943790,LINK1_LABOUR,arm_only_easterlin,1994,Demographic aspects on the labour market situation in Sweden during the interwar period,Scandinavian Economic History Review,1,,demographic aspects of the Swedish interwar labour market
