openalex,cell,year,study,country,period,phenomenon,exposure_measure,exposure_distance,benchmark_measured,outcome_level,outcome_measure,design,estimator_class,identified,sign,magnitude,cycle_tested,rival_model_tested,notes
W1981297366,BENCHMARK_MEASURED,1981,"Elder, Scarcity and Prosperity in Postwar Childbearing",USA,1947-1960,FDT-like,Depression deprivation of the parental household vs postwar prosperity,RELATIVE_MEASURED,yes,realized,completed family size,"two-cohort life-course comparison (Oakland b.1920-21, Berkeley b.1928-29)",adjusted means with class origin as covariate,no,mixed,completed family size mean 2.9 both cohorts; adult status x deprivation interaction p<.10; intergenerational correlation of family size <.12,no,no,"Descriptive/ANOVA, not an Easterlin test as such. The benchmark (Depression scarcity in the household of origin) is measured rather than proxied, which is why it is in this cell. No effect estimate on a relative-income parameter."
W1987353646,BENCHMARK_MEASURED,1989,"Behrman & Taubman, A Test of the Easterlin Fertility Model Using Income for Two Generations",USA,"offspring b. ~1953, completed fertility observed to 1980s",SDT,income of parents AND grandparents (two generations observed directly),RELATIVE_MEASURED,yes,realized,completed family size,"NAS-NRC twin registry + offspring survey, N=1463 couples",OLS with Heckman selection correction (probit for subsample inclusion),no,null/against,parents' income -0.032 (t=1.5); grandparents' income -1.0 (t=0.7) and 0.92 (t=0.7); own income NOT positively significant; R2=0.04,no,yes,"THE decisive record for this cell. The only study with income for two generations, i.e. the only direct test of Easterlin's own benchmark. Authors' verdict: the test 'favors the Becker formulation'. Selection is acknowledged and corrected; the twin sample is censored (both twins healthy enough for military service)."
W3123292807,BENCHMARK_MEASURED,2021,"Comolli, Resources, aspirations and first births during the Great Recession",USA,2003-2017,SDT,own occupational prestige relative to the parental household's when growing up (intergenerational mobility),RELATIVE_MEASURED,yes,realized,first birth (hazard),"event history on PSID 2003-2017; men N=2709 subjects/184672 person-months, women N=2956/218348",Cox proportional hazards,no,positive,"relative status HR 1.17*** (1.05-1.31) to 1.27*** (1.11-1.45) for men across specifications; attenuates and loses significance in younger-cohort and working-only subsamples (1.12, 1.21, 1.26, all ns)",no,no,"Supports the mechanism: holding a position as prestigious as one's parents' raises first-birth hazard vs downward mobility. Moderated by aggregate labour-market conditions, differently for men and women."
W3014487108,BENCHMARK_MEASURED,2020,"Comolli, Resources and aspirations during the Great Recession (Stockholm working paper)",USA,2003-2017,SDT,as W3123292807,RELATIVE_MEASURED,yes,realized,first birth (hazard),"as W3123292807, women only",Cox proportional hazards,no,positive,working-paper version; women only,no,no,"VERSION TWIN of W3123292807 - not an independent study. Counted once in synthesis. Retained because the two versions differ in scope (the WP is women-only, the journal version adds men)."
W1564268483,RIVAL_TEST,1979,"Butz & Ward, The Emergence of Countercyclical U.S. Fertility",USA,1948-1974,FDT|SDT,"female wage and male income, with PROXIES FOR THE RELATIVE ECONOMIC STATUS VARIABLE added in Table 4",RELATIVE_PROXIED,no,realized,"age-specific fertility rates (20-24, 25-34, 35-39) and total rate","aggregate annual time-series regression, US 1948-74",OLS/GLS on aggregate series with asymptotic t-statistics,no,against (for Easterlin),"female wage elasticity -1.759 (t=-2.25) age 20-24, -2.578 (-2.14) 25-34, -4.745 (-2.93) total rate; male income -0.448 (-3.01) 20-24; income term +0.876 (4.54)",no,yes,"THE rival model, and the founding horse race: Table 4 adds proxies for Easterlin's relative-economic-status variable to the Butz-Ward specification. Publication year is 1979 (AER 69(3) 318-328) per the PDF title page; OpenAlex dates the 438-citation record 1977 - see MATCH_VERSION_TWIN in the anchor log. Tables read from a JSTOR scan via OCR; RA verification needed on the coefficients."
W2734359938,RIVAL_TEST,1991,Countercyclical Fertility in Canada: Some Empirical Results,Canada,1948-1984,NOT ASSIGNED,NOT EXTRACTED,NOT EXTRACTED,unknown,unknown,unknown,NOT EXTRACTED,NOT EXTRACTED,unknown,NOT EXTRACTED,NOT EXTRACTED,unknown,yes (per screen),RETRIEVED BUT NOT EXTRACTABLE: the PDF is a scan with no text layer. Needs OCR or a human read. Recorded as an explicit hole so the cell's denominator stays honest - a retrieved-but-unread record must not be counted as read.
W1549671565,RIVAL_TEST,1993,"Macunovich, The Missing Factor: Variations in the Income Effect of the Female Wage on Fertility",USA,1969-1985,SDT,"income of young males relative to their families' income (logRY), interacted with the female wage",RELATIVE_PROXIED,no,realized,"fertility rate, ages 20-24",aggregate annual time-series regression with a relative-income x female-wage interaction,OLS levels; robustness across end-years 1982-85,no,supports,"relative income logRY +0.175** (SE 0.082); interaction logRY*logW -20.18*** (2.01); female wage logW -14.59*** (1.15); R2 0.95-0.955. Author's claim: relative income plus the female wage explain 97-99% of variation in fertility, female enrolment and FLFP",no,yes,"The horse race run the other way: argues the female wage's effect on fertility is CONDITIONAL on male relative income, and reports the implied female-wage coefficient moving from -3.31 (1969) to -0.58 (1980) as relative income changes. Read from an OCR'd working paper; coefficients need RA verification."
W1989526901,RIVAL_TEST,1996,"Macunovich, Relative Income and Price of Time (PDR)",USA,1963-1993,SDT,"male relative income (RY) and the female wage, with interaction",RELATIVE_PROXIED,no,realized,fertility rate and female labour force participation,"aggregate annual time-series, levels and first differences",OLS and Cochrane-Orcutt,no,supports (contested reading),relative income coefficient -0.65 (t=6.2) in the reported specification with interaction present; female wage +0.29 (5.4); interaction -0.01 (3.8). SIGN OF THE MAIN TERM IS NOT SELF-EXPLANATORY WITHOUT THE INTERACTION - flagged for RA re-read,no,yes,"Successor to the 1993 paper, extended to 1993 and to FLFP. The main relative-income coefficient reads negative in the OCR'd table while the paper's argument is that relative income raises fertility; this is exactly the kind of sign that must be read off the paper rather than the table dump. FLAGGED: do not use this magnitude until a human confirms it."
W1608837277,RIVAL_TEST,2005,"Diebolt & Doliger, Becker vs. Easterlin: Education, Fertility and Growth in France after WWII",France,post-1945,FDT|SDT,"education, fertility, infant mortality, FLFP in a causality/variance-decomposition system",COHORT_SIZE_ONLY (no cohort-relative benchmark measured),no,realized,TFR,time-series causality tests and variance decomposition,VAR-type decomposition with stationarity testing,no,neither,no single effect estimate; reports a variance decomposition of education,no,yes,"Explicitly a Becker-vs-Easterlin horse race and it declines to pick a winner: the authors conclude the two schools are 'similar and complementary'. A null result for the horse race, which is itself informative for Wall 5."
W2950726802,RIVAL_TEST,2019,"Suzuki, Structural Changes in the Patterns of Japanese Fertility",Japan,1965-2015,SDT,"husband's income and wife's wages (Butz-Ward), plus female marriage rate","ABSOLUTE_INCOME (Butz-Ward variables, not cohort-relative)",no,realized,"fertility rate, prefecture panel","prefecture-level panel, 47 prefectures x subperiods, N=506",panel regression with time effects; Chow test for structural break,no,mixed,Chow test F=64.61 (p<0.001) for a structural break between 1975 and 1980; female marriage rate 2.025*** (0.328); female wage x marriage rate -0.146 (0.169) ns; authors note one coefficient's 'sign is the opposite of what we expected',no,yes,"Applies Butz-Ward rather than Easterlin, so it is a rival-model application rather than a head-to-head. The measured STRUCTURAL BREAK at 1975-80 is independently interesting: it is the same hinge at which the scope's own sign test says the Easterlin mechanism stops working."
