work_id,doi,cell,year,oa_status,pdf_url,download_status,detail,bytes,file,title
W2016019417,10.1016/0162-3095(84)90034-7,PROXIMATE_ULTIMATE,1984,closed,,no_oa_url,closed,0,,The reproductive success of wealthy Americans
W2078971449,10.1080/19485565.1986.9988627,PROXIMATE_ULTIMATE,1986,closed,,no_oa_url,closed,0,,"Reproductive success and occupational class in eighteenth‐century lancashire, England"
W2083085551,10.1017/s0140525x00022111,PROXIMATE_ULTIMATE,1986,closed,,no_oa_url,closed,0,,Sexual strategies and social-class differences in fitness in modern industrial societies
W2034017057,10.1017/s0140525x00047981,PROXIMATE_ULTIMATE,1987,closed,,no_oa_url,closed,0,,"Resources, reproduction, and mate competition in human populations"
W2044971057,10.1002/evan.1360010507,PROXIMATE_ULTIMATE,1993,green,,failed,not_pdf_html_paywall,0,,Ecological demography: A synthetic focus in evolutionary anthropology
W2062505457,10.1016/0191-8869(93)90091-g,PROXIMATE_ULTIMATE,1993,closed,,no_oa_url,closed,0,,"Heritable and environmental variables affect reproduction-related behaviors, but not ultimate reproductive success"
W2085844753,10.1017/s0140525x00030089,PROXIMATE_ULTIMATE,1993,closed,,no_oa_url,closed,0,,"Monogamy, contraception and the cultural and reproductive success hypothesis"
W2095194540,10.1017/s0140525x00030107,PROXIMATE_ULTIMATE,1993,closed,,no_oa_url,closed,0,,"Social dominance attainment, testosterone, libido and reproductive success"
W2025712052,10.1017/s0140525x00030053,PROXIMATE_ULTIMATE,1993,closed,,no_oa_url,closed,0,,Some evidence on cultural and reproductive success in the United States
W2163381596,10.1016/0162-3095(93)90027-f,PROXIMATE_ULTIMATE,1993,closed,,no_oa_url,closed,0,,"Status, reproductive success, and marrying polygynously"
W2109418124,10.1111/j.1728-4457.1999.00253.x,PROXIMATE_ULTIMATE,1999,closed,,no_oa_url,closed,0,,Is Fertility Behavior in Our Genes? Findings from a Danish Twin Study
W2120592749,10.1016/s1090-5138(99)00011-2,PROXIMATE_ULTIMATE,1999,closed,,no_oa_url,closed,0,,"More Status or More Children? Social Status, Fertility Reduction, and Long-Term Fitness"
W2033659528,10.1111/j.1533-8525.2003.tb00559.x,PROXIMATE_ULTIMATE,2003,closed,,no_oa_url,closed,0,,Can Evolutionary Psychology Explain Reproductive Behavior in the Contemporary United States?
W4242064462,10.1525/tsq.2003.44.2.291,PROXIMATE_ULTIMATE,2003,closed,,no_oa_url,closed,0,,CAN EVOLUTIONARY PSYCHOLOGY EXPLAIN REPRODUCTIVE BEHAVIOR IN THE CONTEMPORARY UNITED STATES?
W1995884647,10.7202/015043ar,PROXIMATE_ULTIMATE,2003,bronze,,failed,not_pdf_html_paywall,0,,Succès social et succès reproductif dans les sociétés modernes : une analyse sociobiologique
W2146190914,10.1556/jcep.3.2005.3-4.3,PROXIMATE_ULTIMATE,2005,closed,,no_oa_url,closed,0,,An  Empirical Test of a Possible Solution to “the Central Theoretical Problem of Human Sociobiology”
W2149316138,10.1111/j.1533-8525.2005.00033.x,PROXIMATE_ULTIMATE,2005,closed,,no_oa_url,closed,0,,"Money and Sex, The Illusory Universal Sex Difference: Comment on Kanazawa"
W2164643379,10.1111/j.1439-0310.2005.01129.x,PROXIMATE_ULTIMATE,2005,closed,,no_oa_url,closed,0,,Status and Reproduction in Humans: New Evidence for the Validity of Evolutionary Explanations on Basis of a University S
W2137522241,10.1016/j.evolhumbehav.2007.05.004,PROXIMATE_ULTIMATE,2007,closed,,no_oa_url,closed,0,,The effects of sex and childlessness on the association between status and reproductive output in modern society
W2092413559,10.4054/demres.2008.18.5,PROXIMATE_ULTIMATE,2008,diamond,,already_present,skip,389383,W2092413559__fertility-trends-by-social-status.pdf,Fertility trends by social status
W1994304248,10.1016/j.evolhumbehav.2009.07.007,PROXIMATE_ULTIMATE,2009,closed,,no_oa_url,closed,0,,Low fertility in contemporary humans and the mate value of their children: sex-specific effects on social status indicat
W2142274576,10.1016/j.evolhumbehav.2009.03.007,PROXIMATE_ULTIMATE,2009,closed,,no_oa_url,closed,0,,Social and biological determinants of reproductive success in Swedish males and females born 1915–1929
W2152913572,10.1093/beheco/arq078,PROXIMATE_ULTIMATE,2010,closed,,no_oa_url,closed,0,,Serial monogamy increases reproductive success in men but not in women
W1978998822,10.1002/ajhb.21048,PROXIMATE_ULTIMATE,2010,closed,,no_oa_url,closed,0,,"Socioeconomic status, education, and reproduction in modern women: An evolutionary perspective"
W2110080372,10.1007/s10164-011-0274-0,PROXIMATE_ULTIMATE,2011,closed,,no_oa_url,closed,0,,Physical attractiveness influences reproductive success of modern men
W2070189763,10.1016/j.evolhumbehav.2012.03.003,PROXIMATE_ULTIMATE,2012,closed,,no_oa_url,closed,0,,Childlessness drives the sex difference in the association between income and reproductive success of modern Europeans
W2133919918,10.1016/j.evolhumbehav.2012.01.002,PROXIMATE_ULTIMATE,2012,closed,,no_oa_url,closed,0,,Facial attractiveness and fertility in populations with low levels of modern birth control
W2117546824,10.1073/pnas.1118174109,PROXIMATE_ULTIMATE,2012,closed,,no_oa_url,closed,0,,Natural and sexual selection in a monogamous historical human population
W2112724428,10.1093/beheco/art091,PROXIMATE_ULTIMATE,2013,closed,,no_oa_url,closed,0,,An evolutionary approach to change of status–fertility relationship in human fertility transition
W1883333499,10.1111/jsm.12566,PROXIMATE_ULTIMATE,2014,closed,,no_oa_url,closed,0,,Assessment of the Relationship Between the Use of Birth Control Pill and the Characteristics of Mate Selection
W2109548976,10.1098/rspb.2014.1733,PROXIMATE_ULTIMATE,2014,bronze,,failed,not_pdf_html_paywall,0,,Ecological variation in wealth–fertility relationships in Mongolia: the ‘central theoretical problem of sociobiology’ no
W1966706839,10.1016/j.evolhumbehav.2014.10.003,PROXIMATE_ULTIMATE,2014,closed,,no_oa_url,closed,0,,Sex differences in the relationship between status and number of offspring in the contemporary U.S.
W2306841286,10.1098/rstb.2015.0153,PROXIMATE_ULTIMATE,2016,bronze,,failed,not_pdf_html_paywall,0,,"Wealth, fertility and adaptive behaviour in industrial populations"
W2507848855,10.1073/pnas.1606800113,PROXIMATE_ULTIMATE,2016,bronze,,failed,not_pdf_html_paywall,0,,"Men’s status and reproductive success in 33 nonindustrial societies: Effects of subsistence, marriage system, and reprod"
W2520541949,10.1038/hdy.2016.81,PROXIMATE_ULTIMATE,2016,bronze,,already_present,skip,416847,W2520541949__the-effects-of-resource-availability-and-the-demographic-tra.pdf,The effects of resource availability and the demographic transition on the genetic correlation between number of childre
W2752280684,10.2139/ssrn.3014146,PROXIMATE_ULTIMATE,2017,green,,failed,not_pdf_html_paywall,0,,"Sex Differences in the Effects of Personal Resources, Family Resources, and Multiple Partners on Fertility"
W2791607709,10.1017/s0021932018000032,PROXIMATE_ULTIMATE,2018,closed,,no_oa_url,closed,0,,IS FERTILITY AFTER THE DEMOGRAPHIC TRANSITION MALADAPTIVE?
W2859705526,10.3389/fsoc.2018.00022,PROXIMATE_ULTIMATE,2018,gold,,already_present,skip,462050,W2859705526__number-of-childbearing-partners-status-and-the-fertility-of-.pdf,"Number of Childbearing Partners, Status, and the Fertility of Men and Women in the U.S."
W3008004256,10.1080/19485565.2019.1689351,PROXIMATE_ULTIMATE,2020,closed,,no_oa_url,closed,0,,Effects of wife’s and husband’s income on wife’s reproduction: an evolutionary perspective on human mating
W4288083533,10.1101/2020.03.06.980896,PROXIMATE_ULTIMATE,2020,green,,already_present,skip,7560874,W4288083533__is-male-dimorphism-under-sexual-selection-in-humans-a-meta-a.pdf,Is male dimorphism under sexual selection in humans? A meta-analysis
W3040752503,10.17605/osf.io/phc4x,PROXIMATE_ULTIMATE,2020,green,,failed,not_pdf_html_paywall,0,,Is male dimorphism under sexual selection in humans? A meta-analysis
W3189658004,10.1016/j.evolhumbehav.2021.08.001,PROXIMATE_ULTIMATE,2021,closed,,no_oa_url,closed,0,,Contemporary selection pressures in modern societies? Which factors best explain variance in human reproduction and mati
W3124469204,10.1080/10400419.2020.1870816,PROXIMATE_ULTIMATE,2021,closed,,no_oa_url,closed,0,,"Creativity, Mating, and Reproductive Successes Outside the WEIRD World"
W3191001840,10.1017/s0021932021000407,PROXIMATE_ULTIMATE,2021,closed,,no_oa_url,closed,0,,Long-term mating positively predicts both reproductive fitness and parental investment
W4285739789,10.3389/fpsyg.2022.889730,PROXIMATE_ULTIMATE,2022,gold,,already_present,skip,2579990,W4285739789__a-double-track-pathway-to-fast-strategy-in-humans-and-its-pe.pdf,A Double-Track Pathway to Fast Strategy in Humans and Its Personality Correlates
W4281629095,10.31235/osf.io/sdfk2,PROXIMATE_ULTIMATE,2022,gold,,already_present,skip,1536489,W4281629095__a-matter-of-time-bateman-s-principles-and-mating-success-as-.pdf,A matter of time: Bateman’s principles and mating success as count and duration in contemporary Finland
W4213111197,10.7554/elife.65031,PROXIMATE_ULTIMATE,2022,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,A meta-analysis of the association between male dimorphism and fitness outcomes in humans
W4212888291,10.1080/19485565.2022.2037070,PROXIMATE_ULTIMATE,2022,closed,,no_oa_url,closed,0,,"Husband’s income, wife’s income, and number of biological children in the U.S."
W4205087032,10.21203/rs.3.rs-1005378/v1,PROXIMATE_ULTIMATE,2022,green,,already_present,skip,788188,W4205087032__social-status-predicts-different-mating-and-reproductive-out.pdf,Social Status Predicts Different Mating and Reproductive Outcomes for Men and Women in China: Evidence from the 2010-201
W4285098037,10.1007/s00265-022-03209-2,PROXIMATE_ULTIMATE,2022,hybrid,,already_present,skip,1190012,W4285098037__social-status-predicts-different-mating-and-reproductive-suc.pdf,Social status predicts different mating and reproductive success for men and women in China: evidence from the 2010–2017
W4383998759,10.1098/rspb.2023.1061,PROXIMATE_ULTIMATE,2023,hybrid,https://su.diva-portal.org/smash/get/diva2:1821932/FULLTEXT01,downloaded,ok,597312,W4383998759__a-matter-of-time-bateman-s-principles-and-mating-success-as-.pdf,A matter of time: Bateman's principles and mating success as count and duration across social strata in contemporary Fin
W7168297084,10.1016/j.evolhumbehav.2026.106938,PROXIMATE_ULTIMATE,2026,green,,failed,not_pdf_html_paywall,0,,"Sociosexual orientation, life history strategy, and reproductive success: A large-scale cross-cultural analysis across 9"
W2004893837,10.1080/0032472031000146986,PRIMARY_DECOUPLING,1993,closed,,no_oa_url,closed,0,,The Contraceptive Pill and Women's Employment as Factors in Fertility Change in Britain 1963–1980: A Challenge to the Co
W2113366338,10.1093/humupd/dml025,PRIMARY_DECOUPLING,2006,bronze,,failed,not_pdf_html_paywall,0,,Demographic effects of the introduction of steroid contraception in developed countries
W2157459463,,PRIMARY_DECOUPLING,2010,closed,,no_oa_url,closed,0,,"The Contraceptive Revolution and the Second Demographic Transition: An Economic Model of Sex, Fertility, and Marriage"
W2113608106,10.23979/fypr.45065,PRIMARY_DECOUPLING,2011,diamond,,failed,not_pdf_html_paywall,0,,Early History of Oral Contraceptive Pill in Finland: The Diffusion of the New Contraceptive and Fertility Patterns
W2202116867,,PRIMARY_DECOUPLING,2011,closed,,no_oa_url,closed,0,,The Impact of Emergency Contraception on Dating and Marriage
W207698877,,PRIMARY_DECOUPLING,2013,green,https://pure.au.dk/ws/files/53548390/wp13_07.pdf,downloaded,ok,1970369,W207698877__can-technological-change-account-for-the-sexual-revolution.pdf,Can technological change account for the sexual revolution
W2189488620,,PRIMARY_DECOUPLING,2014,closed,,no_oa_url,closed,0,,Innovations and Implications of Life Style Drugs in an Aging Population 1
W2064173477,10.1111/ecin.12147,PRIMARY_DECOUPLING,2014,closed,,no_oa_url,closed,0,,THE POWER OF THE LITTLE BLUE PILL: INNOVATIONS AND IMPLICATIONS OF LIFESTYLE DRUGS IN AN AGING POPULATION
W2049035283,10.1016/j.whi.2014.02.002,PRIMARY_DECOUPLING,2014,hybrid,,failed,not_pdf_html_paywall,0,,"Trends in Ages at Key Reproductive Transitions in the United States, 1951–2010"
W2744471961,10.1086/694293,PRIMARY_DECOUPLING,2017,closed,,no_oa_url,closed,0,,The Power of Abortion Policy: Reexamining the Effects of Young Women’s Access to Reproductive Control
W2911359109,10.3982/ecta14474,PRIMARY_DESIRE_INDEPENDENCE,2019,green,,already_present,skip,1257102,W2911359109__career-and-family-decisions-cohorts-born-1935-1975.pdf,Career and Family Decisions: Cohorts Born 1935-1975
W2056369386,10.1080/19485565.1988.9988704,MOTIVATION_DISTINCTNESS,1988,closed,,no_oa_url,closed,0,,"A model of fertility motivation, desires, and expectations early in women's reproductive careers"
W2090184462,10.2307/2061731,MOTIVATION_DISTINCTNESS,1992,bronze,,failed,not_pdf_html_paywall,0,,Personality traits and developmental experiences as antecedents of childbearing motivation
W2079157741,10.1007/bf02209405,MOTIVATION_DISTINCTNESS,1993,closed,,no_oa_url,closed,0,,Motivational and nonmotivational determinants of child-number desires
W2145503575,10.1017/s0021932000023087,MOTIVATION_DISTINCTNESS,1995,closed,,no_oa_url,closed,0,,Childbearing motivation and its measurement
W2075641763,10.2307/3038288,MOTIVATION_DISTINCTNESS,1997,bronze,,failed,not_pdf_html_paywall,0,,"Couple childbearing desires, intentions, and births"
W108975355,10.1007/978-1-4615-4467-8_7,MOTIVATION_DISTINCTNESS,2000,closed,,no_oa_url,closed,0,,A Heritability Study of Childbearing Motivation
W95434836,10.1007/978-1-4615-4467-8_4,MOTIVATION_DISTINCTNESS,2000,closed,,no_oa_url,closed,0,,Genetic Influences on Childbearing Motivation: Further Testing a Theoretical Framework
W1975944792,10.1300/j013v33n03_08,MOTIVATION_DISTINCTNESS,2001,closed,,no_oa_url,closed,0,,Reproductive and Contraceptive Attitudes as Predictors of Condom Use Among Women in an HIV Prevention Intervention
W1977273192,10.1111/j.1751-9861.2002.tb00073.x,MOTIVATION_DISTINCTNESS,2002,closed,,no_oa_url,closed,0,,The Motivational Substrate of Unintended and Unwanted Pregnancy1
W2160075105,10.1556/jep.2007.1010,MOTIVATION_DISTINCTNESS,2007,closed,,no_oa_url,closed,0,,All that she wants is a(nother) baby’? Longing for children as a fertility incentive of growing importance
W2043680014,10.1080/19485565.2008.9989129,MOTIVATION_DISTINCTNESS,2008,closed,,no_oa_url,closed,0,,The measurement of childbearing motivation in couples considering the use of assisted reproductive technology
W2070206307,10.1080/09540121.2011.596514,MOTIVATION_DISTINCTNESS,2011,closed,,no_oa_url,closed,0,,"Childbearing motivations, pregnancy desires, and perceived partner response to a pregnancy among urban female youth: doe"
W2121104936,10.1037/a0024954,MOTIVATION_DISTINCTNESS,2011,closed,,no_oa_url,closed,0,,Emotional regulation of fertility decision making: What is the nature and structure of “baby fever”?
W2147825262,10.1553/populationyearbook2011s283,MOTIVATION_DISTINCTNESS,2012,bronze,,already_present,skip,291901,W2147825262__baby-longing-and-men-s-reproductive-motivation.pdf,Baby longing and men’s reproductive motivation
W2060394766,10.1007/s10826-013-9824-0,MOTIVATION_DISTINCTNESS,2013,closed,,no_oa_url,closed,0,,Childbearing Motivations Scale: Construction of a New Measure and its Preliminary Psychometric Properties
W2002775668,10.1590/1982-43272354201303,MOTIVATION_DISTINCTNESS,2013,diamond,,already_present,skip,216156,W2002775668__desenvolvimento-e-valida-o-factorial-da-escala-de-motivos-fa.pdf,Desenvolvimento e Validação Factorial da Escala de Motivos face à Parentalidade
W2134830579,10.1080/02646838.2014.910866,MOTIVATION_DISTINCTNESS,2014,closed,,no_oa_url,closed,0,,Childbearing motivational patterns of primiparous women of advanced age and their partners
W1545249723,,MOTIVATION_DISTINCTNESS,2014,closed,,no_oa_url,closed,0,,Pomiar motywacji do posiadania dzieci wśród osób bezdzietnych. Polska adaptacja Kwestionariusza Motywów Rodzicielskich
W2270535203,10.4054/demres.2016.34.7,MOTIVATION_DISTINCTNESS,2016,diamond,,already_present,skip,429609,W2270535203__an-implicit-ambivalence-indifference-dimension-of-childbeari.pdf,An implicit ambivalence-indifference dimension of childbearing desires in the National Survey of Family Growth
W2569471003,10.5937/psistra1602127v,MOTIVATION_DISTINCTNESS,2016,diamond,,already_present,skip,151638,W2569471003__relationship-of-motivation-for-motherhood-with-some-sociodem.pdf,Relationship of motivation for motherhood with some sociodemographic variables and gender identity
W2307439586,10.1098/rstb.2015.0151,MOTIVATION_DISTINCTNESS,2016,green,,failed,not_pdf_html_paywall,0,,The evolved psychological mechanisms of fertility motivation: hunting for causation in a sea of correlation
W2883642277,10.1007/s11524-018-0282-2,MOTIVATION_DISTINCTNESS,2018,bronze,,failed,not_pdf_html_paywall,0,,"Childbearing Motivations and Desires, Fertility Beliefs, and Contraceptive Use among Urban African-American Adolescents "
W2967777227,10.1177/0192513x19868257,MOTIVATION_DISTINCTNESS,2019,closed,,no_oa_url,closed,0,,Fertility Desires of Childless Poles: Which Childbearing Motives Matter for Men and Women?
W3136660395,10.15448/1980-8623.2020.4.36089,MOTIVATION_DISTINCTNESS,2020,diamond,,already_present,skip,675330,W3136660395__childbearing-motivation-questionnaire.pdf,Childbearing Motivation Questionnaire
W3189023842,10.1007/s10508-021-01984-z,MOTIVATION_DISTINCTNESS,2021,green,,failed,not_pdf_html_paywall,0,,Is Reproductive Orientation Associated with Sexual Satisfaction Among Partnered U.S. Women?
W3169288680,10.1590/1982-4327e3112,MOTIVATION_DISTINCTNESS,2021,diamond,,already_present,skip,305138,W3169288680__predictor-variables-of-childbearing-motivations-in-brazilian.pdf,Predictor Variables of Childbearing Motivations in Brazilian Women and Men
W4313047577,10.34019/1982-1247.2022.v16.31757,MOTIVATION_DISTINCTNESS,2021,diamond,,already_present,skip,452212,W4313047577__warren-miller-y-el-modelo-t-d-i-b-de-toma-de-decisiones-repr.pdf,Warren Miller y el Modelo T-D-I-B de toma de decisiones reproductivas: Una revisión teórica
W4281874455,10.1080/13676261.2022.2080536,MOTIVATION_DISTINCTNESS,2022,closed,,no_oa_url,closed,0,,Childbearing motivation at the onset of emerging adulthood
W4300863165,10.22235/cp.v16i2.2266,MOTIVATION_DISTINCTNESS,2022,diamond,,failed,not_pdf_html_paywall,0,,Estudio transcultural Brasil-Perú sobre las motivaciones para la parentalidad y sus variables predictoras
W4308189911,10.1215/00703370-10295826,MOTIVATION_DISTINCTNESS,2022,gold,,failed,not_pdf_html_paywall,0,,What a (Young) Woman Wants: Concurrent Effects of Desire to Avoid Pregnancy and Desire for Sex on Sexual Intercourse and
W4413962581,10.3389/fpsyg.2025.1612384,MOTIVATION_DISTINCTNESS,2025,gold,,already_present,skip,1000180,W4413962581__what-do-we-need-kids-for-childbearing-motivations-personal-v.pdf,"What do we need kids for? Childbearing motivations, personal values, and socio-demographic differences"
W7164505717,10.1177/0192513x261459402,MOTIVATION_DISTINCTNESS,2026,closed,,no_oa_url,closed,0,,"I Do Not Need a Second Child, But My Child Needs a Sibling: A Grounded Theory Study on the Fertility Desire for the Seco"
