openalex_id,doi,year,title,venue,cell,tier,verdict,n_seeds,cited_by,screen_note,RA_DECISION(RETRIEVE/EXCLUDE/UNSURE),RA_NOTE
W2148061866,10.1080/03014460110075657,2002,Does inbreeding lead to decreased human fertility?,Annals of Human Biology,PRIMARY_LOSS_TO_FERTILITY,1,RELEVANT,2,103,"Consanguinity raises fetal loss; asks whether completed fertility falls as a result. Directly the accounting-identity-versus-net-effect question, and a companion to the Ober Hutterite anchor.",,
W2119677073,10.1093/infdis/jir510,2011,Natality Decline and Miscarriages Associated With the 1918 Influenza Pandemic: The Scandinavian and United States Experiences,The Journal of Infectious Diseases,PRIMARY_SHOCK_TO_BIRTHS,1,RELEVANT,2,101,"Bloom-Feshbach: 1918 pandemic -> natality decline attributed to miscarriage, monthly birth series 1911-1930 for the US and three Scandinavian countries. Anchor-quality; the chapter's best non-famine shock design.",,
W2009105027,10.1016/j.jhealeco.2014.10.005,2014,"Civil conflict, gender-specific fetal loss, and selection: A new test of the Trivers–Willard hypothesis",Journal of Health Economics,PRIMARY_SHOCK_TO_BIRTHS,1,RELEVANT,2,84,"Journal of Health Economics: civil conflict and gender-specific fetal loss, framed as a selection test. An economics-grade identification strategy on exactly B.5's channel; no abstract in the index, so retrieval is a priority.",,
W2160348035,10.1093/humrep/deu042,2014,Non-visualized pregnancy losses are prognostically important for unexplained recurrent miscarriage,Human Reproduction,REPLACEMENT_COMPENSATION,1,RELEVANT,3,73,Prior non-visualised losses and the chance of live birth in a subsequent pregnancy.,,
W3119101527,10.1093/humrep/deaa326,2020,"Chance of live birth: a nationwide, registry-based cohort study",Human Reproduction,REPLACEMENT_COMPENSATION,1,RELEVANT,4,64,Registry study of how the sequence of prior losses and births predicts the chance of a live birth in the NEXT pregnancy -- the attenuation parameter measured directly.,,
W2084655908,10.1289/ehp.01109179,2001,Chernobyl fallout and outcome of pregnancy in Finland.,Environmental Health Perspectives,PRIMARY_SHOCK_TO_BIRTHS,2,RELEVANT,1,55,"Chernobyl fallout by Finnish municipality, with live births, stillbirths, pregnancy loss AND induced abortion as outcomes. An exogenous exposure shock with the full outcome set, so the induced/spontaneous separation of Wall 4 is testable here.",,
W1964895048,10.1177/026010609300900106,1993,The Effects of Food Shortage on Human Reproduction,Nutrition and Health,PRIMARY_SHOCK_TO_BIRTHS,2,RELEVANT,1,53,"Food shortage and human reproduction: the post-war Dresden fertility decline attributed to a food-supply collapse, with concurrent epidemics of miscarriage and low birthweight. A famine shock with a BIRTHS outcome and the loss channel named.",,
W2763924693,10.1007/s00404-017-4532-4,2017,Fertility after recurrent miscarriages: results of an observational cohort study,Archives of Gynecology and Obstetrics,REPLACEMENT_COMPENSATION,1,RELEVANT,2,33,"Fertility after recurrent miscarriage, 719 couples; subsequent reproductive outcome given a loss history.",,
W2291269406,10.1097/aog.0000000000001159,2016,Trying to Conceive After an Early Pregnancy Loss,Obstetrics and Gynecology,REPLACEMENT_COMPENSATION,2,RELEVANT,1,31,"Time to pregnancy and live birth by the interval between an early loss and resuming attempts, from the EAGeR trial. The recovery-time parameter measured directly, which is what converts an accounting share into a net effect.",,
W2246670788,10.1080/19485565.2015.1062718,2015,Fertility Decline and the 1918 Influenza Pandemic in Taiwan,Biodemography and Social Biology,PRIMARY_SHOCK_TO_BIRTHS,1,RELEVANT,2,30,"Taiwan 1906-1943 monthly death and birth series, cross-correlating pandemic excess deaths with the subsequent birth deficit. A second setting for the 1918 shock design.",,
W2106251177,10.1093/infdis/jis315,2012,Fertility Fluctuations in Times of War and Pandemic Influenza,The Journal of Infectious Diseases,PRIMARY_SHOCK_TO_BIRTHS,2,RELEVANT,1,21,"Correspondence disputing whether the 1919-20 natality decline was influenza-induced miscarriage rather than wartime behaviour. The identification debate inside the chapter's key shock, so it is read with the paper it contests.",,
W4393204439,10.1016/j.alcr.2024.100612,2024,A crisis in the life course? Pregnancy loss impacts fertility desires and intentions,Advances in Life Course Research,PRIMARY_LOSS_TO_FERTILITY,2,RELEVANT,1,9,"Advances in Life Course Research: whether experiencing a pregnancy loss changes subsequent fertility DESIRES AND INTENTIONS. A stated-intention outcome, so it pools only with other stated-intention estimates, and it is the behavioural half of the replacement question.",,
W4400459106,10.1080/03014460.2024.2369281,2024,"Long-term health outcomes from inbreeding in a historical Swedish population: longevity, fertility, and impairments",Annals of Human Biology,PRIMARY_LOSS_TO_FERTILITY,2,RELEVANT,1,3,"Historical Swedish population: inbreeding against longevity, FERTILITY and impairments, exploiting the 1844 legalisation of consanguineous marriage. Fertility is the outcome and elevated fetal loss is the presumed channel, so the channel needs confirming at full text -- but the design and period are the chapter's.",,
W2994708041,10.3390/epidemiologia1010005,2020,"Stillbirth Risk during the 1918 Influenza Pandemic in Arizona, USA",Epidemiologia,PRIMARY_SHOCK_TO_BIRTHS,1,RELEVANT,2,2,"Stillbirth risk during the 1918 pandemic, 21,334 Maricopa County birth records. Individual-level records for the shock the aggregate series only infers.",,
W4408311166,10.1080/00324728.2025.2462291,2025,"Fertility dynamics through historical pandemics and COVID-19 in Switzerland, 1871–2022",Population Studies,PRIMARY_SHOCK_TO_BIRTHS,2,RELEVANT,1,2,"Population Studies: Swiss general fertility rates 1871-2022 across the 1889-90, 1918-20, 1957 and COVID pandemics, with births falling six to nine months after each peak and MISCARRIAGE offered as the explanation. A repeated shock in one long series, and the closest thing the chapter has to a replication design.",,
W4411676324,10.1016/j.lanepe.2025.101343,2025,"Fertility, time to pregnancy, and pregnancy outcomes among women with recurrent miscarriages in the UK: a prospective observational longitudinal study",The Lancet Regional Health - Europe,REPLACEMENT_COMPENSATION,1,RELEVANT,2,1,"Prospective longitudinal fertility, time-to-pregnancy and outcomes after recurrent miscarriage. Measures the recovery process the net-effect calculation needs.",,
W4283072838,10.25133/jpssv302022.038,2022,Intra-Uterine Mortality in Morocco: Measures and Impact on Fertility,Journal of Population and Social Studies,PRIMARY_LOSS_TO_FERTILITY,1,RELEVANT,3,0,"Morocco: constructs an intrauterine-mortality life table with early and late fetal components AND estimates its effect on women's fertility. Exactly the chapter's primary estimand, in a mid-transition setting. Obscure venue; retrieval and quality check are priorities.",,
W3199897910,10.1111/aogs.14265,2021,"The impact of early pregnancy complications on completed family size—A nationwide, registry‐based cohort study with 40 years of data",Acta Obstetricia Et Gynecologica Scandinavica,PRIMARY_LOSS_TO_FERTILITY,2,RELEVANT,1,0,"Danish national registry, 458,475 women born 1957-72 followed age 20-45, outcome COMPLETED FAMILY SIZE. The strongest primary-cell record found: a BEHAVIORAL_NET estimand in a controlled-fertility population, which is precisely where the scope doc predicts the effect should vanish.",,
W2029305137,10.1016/0140-6736(90)92765-a,1990,"Hypersecretion of luteinising hormone, infertility, and miscarriage",The Lancet,MIXED_FECUNDITY_UNRESOLVED,3,UNCERTAIN,2,455,"LH hypersecretion spanning infertility and miscarriage; no abstract, margins not separated.",,
W2170277678,10.1016/j.bpobgyn.2004.06.001,2004,The pathogenesis of infertility and early pregnancy loss in polycystic ovary syndrome,Best Practice & Research Clinical Obstetrics & Gynaecology,MIXED_FECUNDITY_UNRESOLVED,3,UNCERTAIN,1,123,"PCOS pathogenesis spanning infertility and early loss; no abstract, margins not separated.",,
W2079717291,10.1016/0002-9378(95)90489-1,1995,Infertility and early pregnancy loss,American Journal of Obstetrics and Gynecology,MIXED_FECUNDITY_UNRESOLVED,3,UNCERTAIN,3,112,No abstract. Title spans both the conception and survival margins (Wall 2) with nothing to decompose them on.,,
W2932394106,10.1186/s12884-019-2229-3,2019,"Adverse pregnancy outcomes, ‘stillbirths and early neonatal deaths’ in Mutare district, Zimbabwe (2014): a descriptive study",BMC Pregnancy and Childbirth,MIXED_PERINATAL_UNRESOLVED,1,RELEVANT,2,31,Zimbabwe: stillbirths and early neonatal deaths reported as one perinatal category.,,
W2089575693,10.1017/s002193200300587x,2003,TIME TRENDS AND DETERMINANTS OF COMPLETED FAMILY SIZE IN A RURAL COMMUNITY FROM THE BASQUE AREA OF SPAIN (1800–1969),Journal of Biosocial Science,ROUTING_DEFERRED_TO_FULLTEXT,3,UNCERTAIN,1,14,"Completed family size in a rural Basque community 1800-1969, across the demographic transition. Completed fertility over the FDT is exactly the chapter's outcome and period, but the abstract does not say whether fetal loss enters the analysis. Retrieve before routing.",,
W4225982240,10.4103/ijcm.ijcm_80_21,2022,"Perinatal Mortality and its Causes in a Rural Block in Tamil Nadu, Southern India: A Community-Based Nonconcurrent Cohort Study",Indian Journal of Community Medicine,MIXED_PERINATAL_UNRESOLVED,1,RELEVANT,3,6,"Perinatal mortality, Tamil Nadu; stillbirth and early neonatal components combined.",,
W3196902905,10.12688/hrbopenres.13397.1,2021,Infertility and subsequent recurrent miscarriage: Current state of the literature and future considerations for practice and research,HRB Open Research,MIXED_FECUNDITY_UNRESOLVED,3,UNCERTAIN,3,6,Infertility alongside recurrent miscarriage; the conception and survival margins are the subject and are not separated (Wall 2).,,
W4206179278,10.1590/0102-311x00003121,2022,[Perinatal mortality in Brazil in 2018: an epidemiological analysis according to the modified Wigglesworth classification].,PubMed,MIXED_PERINATAL_UNRESOLVED,2,RELEVANT,1,3,Brazilian perinatal mortality under the modified Wigglesworth classification; fetal and early neonatal combined.,,
W2803617018,10.18203/2320-1770.ijrcog20182338,2018,"A retrospective analysis of the risk factors leading to perinatal mortality at a tertiary care hospital of Sikkim, India",International Journal of Reproduction Contraception Obstetrics and Gynecology,MIXED_PERINATAL_UNRESOLVED,1,RELEVANT,2,2,"Perinatal mortality risk factors, Sikkim; stillbirth and neonatal components not separated.",,
W4413365000,10.1371/journal.pgph.0003326,2025,Predictors of perinatal mortality in the seven major hospitals of Lusaka Zambia: A case control study,PLOS Global Public Health,MIXED_PERINATAL_UNRESOLVED,1,RELEVANT,2,1,"Perinatal mortality predictors, Lusaka; components combined.",,
W3120473262,10.21203/rs.2.13314/v1,2019,"Determinants Of Perinatal Mortality In Bahir Dar Town Governmental Health Institutions, Northwest, Ethiopia, 2019: Prospective Unmatched Case Control Study",Research Square,MIXED_PERINATAL_UNRESOLVED,2,RELEVANT,1,0,"Perinatal mortality case-control, Bahir Dar; preprint.",,
W4414465585,10.1101/2025.09.22.25336421,2025,Magnitude of perinatal mortality in sub-Saharan Africa since 2000: a systematic review and meta-analysis protocol,medRxiv,MIXED_PERINATAL_UNRESOLVED,2,RELEVANT,1,0,"Perinatal mortality meta-analysis protocol, sub-Saharan Africa.",,
W4415705830,10.1111/padr.70030,2025,It's Raining Babies? Flood Exposures and Fertility in Bangladesh,Population and Development Review,ROUTING_DEFERRED_TO_FULLTEXT,3,UNCERTAIN,1,0,"PDR: flood exposure and fertility in Bangladesh. A shock with a fertility outcome, but the abstract does not say whether the channel is fetal loss or behaviour. Wall-2-type ambiguity; defer rather than guess.",,
