work_id,doi,year,venue,title,direction_HEURISTIC_REJECTED,has_abstract,basis,status
W3028664058,10.1016/j.chieco.2020.101496,2020,China Economic Review,"House price, fertility rates and reproductive intentions",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2089747765,10.1007/s00148-010-0345-5,2010,Journal of Population Economics,Housing and children: simultaneous decisions?—a cohort study of young adults’ housing and family formation decision,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2088698809,10.1080/17538963.2013.764675,2012,China Economic Journal,Housing price and fertility rate,MIXED/CONDITIONAL,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W1965997003,10.1016/j.habitatint.2011.10.006,2011,Habitat International,"Housing price, elderly dependency and fertility behaviour",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4381095472,10.1016/j.regsciurbeco.2023.103920,2023,Regional Science and Urban Economics,Do housing booms reduce fertility intentions? Evidence from the new two-child policy in China,NEGATIVE,False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2527731065,10.2139/ssrn.2846173,2016,SSRN Electronic Journal,Short-Term Effects of House Prices on Birth Rates,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3116580741,10.1002/psp.2413,2020,Population Space and Place,"Housing costs, self‐employment, and fertility",NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2219227931,10.1016/j.econmod.2015.10.047,2015,Economic Modelling,Fertility and female wages: A new link via house prices,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3003563339,10.1016/j.eap.2020.01.005,2020,Economic Analysis and Policy,Are housing property rights important for fertility outcomes in China? Empirical evidence and policy issues,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2563198282,10.15709/hswr.2016.36.1.118,2016,Health and Social Welfare Review,Housing Price and the Level and Timing of Fertility in Korea: An Empirical Analysis of 16 Cities and Provinces,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2212981967,,2013,Romanian Journal of Economic Forecasting,Does Housing Cost Affect Birth Rates in Taiwan? The ADL test for Threshold Co-integration.,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4389445056,10.1007/s11113-023-09844-5,2023,Population Research and Policy Review,"The Impact of Supportive Housing Policy Scenarios on Marriage and Fertility Intentions: A Vignette Survey Experimental Study in Shanghai, China",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2791040498,10.17208/jkpa.2018.02.53.1.137,2018,국토계획,The Impact of Regional Housing Price on Marital Status and Childbirth,UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4399789370,10.1177/02685809241257863,2024,International Sociology,Housing prices and family fertility decision-making in China: Effect and mechanism,NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3099296090,10.5934/kjhe.2020.29.5.765,2020,Korean Journal of Human Ecology,The Effects of the Housing Price and Provision on the Total Fertility Rate in Seoul,NEGATIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2365616508,,2008,China Economic Quarterly,Increasing Housing Prices and Secular Fertility Decline in Hong Kong,MIXED/CONDITIONAL,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W2811389373,10.24957/hsr.2018.26.2.163,2018,Korean Association for Housing Policy Studies,The Effects of Regional Housing Prices on the Age at Marriage and the Timing of First and Second Childbirths,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4416223623,10.1007/s10680-025-09754-6,2025,European Journal of Population / Revue européenne de Démographie,"Rising House Prices, Falling Fertility? How Rising House Prices Widen Fertility Differences between Tenure Groups",MIXED/CONDITIONAL,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4415509319,10.1002/psp.70131,2025,Population Space and Place,Housing Expenditure and Births in Italy,POSITIVE,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4322772855,10.1080/13504851.2023.2186350,2023,Applied Economics Letters,The impacts of house prices on floating population’s fertility intentions – evidence from China,UNCLEAR (no direction stated),True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W4404938240,10.1007/s11150-024-09748-z,2024,Review of Economics of the Household,"Housing prices, social security, and fertility rate",UNCLEAR (no abstract),False,title+abstract,"REJECTED - regex classifier failed validation, do not use"
W3163496378,10.46557/001c.22334,2021,Asian Economics Letters,House Prices and China’s Birth Rate: A Note,MIXED/CONDITIONAL,True,title+abstract,"REJECTED - regex classifier failed validation, do not use"
