work_id,doi,year,short_cite,id_strength_confirmed,channel,treatment_unit,estimate,outcome,poolable,note,source,extracted_by,extracted_date
W3024244835,10.1016/j.jpubeco.2013.09.009,2013,House prices and birth rates: The impact of …,QUASI_EXP,cost_renter,"+$10,000 MSA house price",-2.4%,"fertility rate, non-owners",yes,Verified at source.,paper's own text,Shravan/Claude,2026-07-31
W3024244835,10.1016/j.jpubeco.2013.09.009,2013,House prices and birth rates: The impact of …,QUASI_EXP,wealth_owner,"+$10,000 MSA house price",+5.0%,"fertility rate, owners",yes,Verified at source. NB the 2021 HPR proceedings paper misquotes this as 6%.,paper's own text,Shravan/Claude,2026-07-31
W3024244835,10.1016/j.jpubeco.2013.09.009,2013,House prices and birth rates: The impact of …,QUASI_EXP,aggregate,"+$10,000 MSA house price",+0.8%,"fertility rate, net at mean US ownership",no (composition),Explicitly a composition-weighted net; secondary per the pooling rule.,paper's own text,Shravan/Claude,2026-07-31
W3121393843,10.5018/economics-ejournal.ja.2019-38,2015,The Effect of House Prices on Fertility: Evi…,QUASI_EXP,aggregate,"+$10,000 lagged house price",+2.0% odds of birth,"odds of a birth, pooled cross-section",no (not tenure-split),Canada.,paper's own text,Shravan/Claude,2026-07-31
W3121393843,10.5018/economics-ejournal.ja.2019-38,2015,The Effect of House Prices on Fertility: Evi…,QUASI_EXP,aggregate,"+$10,000 lagged house price",+11.8% odds of birth,"odds of a birth, panel IV",no (not tenure-split),"Panel IV specification, col (3). Positive overall.",paper's own text,Shravan/Claude,2026-07-31
W3023795878,10.1177/0160017620922885,2020,Do House Prices Affect Fertility Behavior in…,QUASI_EXP,aggregate,+1% housing price,-0.94 pp,probability of having a child,no (not tenure-split),China. Robustness range 0.82-1.24 pp.,paper's own text,Shravan/Claude,2026-07-31
W3037455063,10.1016/j.jpubeco.2021.104366,2021,"Home prices, fertility, and early-life healt…",QUASI_EXP,wealth_owner,"+$12,000 housing wealth",+1.28% to +2.11%,"fertility, homeowners",NO - BLOCKED,PREPRINT TWIN. Published JPubE version not retrieved; specifications change between versions. Recorded for orientation only; may not enter any pooled estimate until reconciled.,paper's own text,Shravan/Claude,2026-07-31
W4399107829,10.1016/j.labeco.2024.102572,2024,Do surging house prices discourage fertility…,QUASI_EXP,aggregate,+10% real house prices,-0.030 births/woman (10th pctile of fertility),TFR,no (quantile-varying),"Global panel 1870-2012. Effect varies across the fertility distribution, so a single pooled coefficient would misrepresent it. THE ONLY IDENTIFIED FDT-PERIOD ESTIMATE.",paper's own text,Shravan/Claude,2026-07-31
W4400391089,10.1016/j.jhealeco.2024.102915,2024,"Housing wealth, fertility and children's hea…",QUASI_EXP,wealth_owner,+1% housing wealth,+0.18%,fertility rate,yes,"RD design, China. Policy impact on wealth raises fertility likelihood by 7.3%.",paper's own text,Shravan/Claude,2026-07-31
W4395680672,10.2139/ssrn.4808554,2024,The Effect of House Prices on Fertility: Evi…,QUASI_EXP,cost_prospective_buyer,+10% urban house price,"-0.88 births per 1,000",crude birth rate,yes,"Semi-elasticity 8.8. Implies ~2.46m fewer births, ~10.4% of the aggregate post-treatment birth decline. SSRN preprint, no published version.",paper's own text,Shravan/Claude,2026-07-31
W7171437109,10.1073/pnas.2602426123,2026,Can stimulating ownership increase fertility…,QUASI_EXP,wealth_owner,housing-provident-fund credit easing (2014),+2.73 pp (= +20.8% over a 0.1314 baseline),probability of a new child,FLAGGED,"PNAS. Treatment is CREDIT easing, which under the price-variation ruling routes to C.3.e. Boundary call outstanding.",paper's own text,Shravan/Claude,2026-07-31
W3144108245,10.2991/aebmr.k.210319.115,2021,Housing Purchase Restriction and Birth Rates…,QUASI_EXP,aggregate,HPR policy (DiD),birth rate -5.45 'unit' (units not defined),birth rate,NO - QUALITY,"Conference proceedings (Atlantis Press), not peer-reviewed. Authors describe their own coefficients as 'unlikely and ambiguous' and call for replication 'to draw a more accurate and unbiased result'. Units undefined. RECOMMEND DEMOTION from the identified core.",paper's own text,Shravan/Claude,2026-07-31
W4308203433,10.17208/jkpa.2022.10.57.5.136,2022,The Effect of Public Rental Housing on Birth…,UNREADABLE,cost_rent,public rental housing assignment,NOT EXTRACTED,birth interval,NO - UNREADABLE,"Image-only scan, Korean. Needs OCR + translation.",paper's own text,Shravan/Claude,2026-07-31
