work_id,doi,id_strength,cell,year,venue,oa_status,is_oa,pdf_url,download_status,detail,bytes,file,title,version
W2081775216,10.1111/j.1465-7295.2009.00213.x,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2010,Economic Inquiry,closed,False,,no_oa_url,closed,0,,THE EFFECT OF HOUSE PRICE ON FERTILITY: EVIDENCE FROM HONG KONG,
W3024244835,10.1016/j.jpubeco.2013.09.009,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2013,Journal of Public Economics,green,True,http://www.nber.org/papers/w17485.pdf,ok,http_200,496211,W3024244835__house-prices-and-birth-rates-the-impact-of-the-real-estate-m.pdf,House prices and birth rates: The impact of the real estate market on the decision to have a baby,published
W2224046657,,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2014,Repositori digital de la UPF (Universitat Pompeu Fabra),green,True,https://econ-papers.upf.edu/papers/1452.pdf,ok,via_landing http_200,648615,W2224046657__homes-and-husbands-for-all-marriage-housing-and-the-baby-boo.pdf,"Homes and husbands for all: Marriage, housing and the baby boom",published
W3121393843,10.5018/economics-ejournal.ja.2019-38,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2015,DOAJ (DOAJ: Directory of Open Access Journals),green,True,,no_oa_url,green,0,,The Effect of House Prices on Fertility: Evidence from Canada,
W3125001667,10.1177/0042098015615742,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2015,Urban Studies,closed,False,,no_oa_url,closed,0,,Do housing options affect child birth decisions? Evidence from Taiwan,
W2949452997,10.1016/j.jpolmod.2019.05.008,QUASI_EXP,KEEP_PRIMARY_COST_RENT_IDENTIFIED,2019,Journal of Policy Modeling,hybrid,True,,no_oa_url,hybrid,0,,The long-term consequences of youth housing for childbearing and higher education,
W3023795878,10.1177/0160017620922885,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2020,International Regional Science Review,closed,False,,no_oa_url,closed,0,,Do House Prices Affect Fertility Behavior in China? An Empirical Examination,
W3037455063,10.1016/j.jpubeco.2021.104366,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2021,Journal of Public Economics,closed,False,https://doi.org/10.3386/w27469,ok,via_sibling https://doi.org/10.3386/w27469 http_200,783531,W3037455063__home-prices-fertility-and-early-life-health-outcomes.pdf,"Home prices, fertility, and early-life health outcomes",preprint_twin
W3144108245,10.2991/aebmr.k.210319.115,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2021,"Advances in economics, business and management research/Advances in Economics, Business and Management Research",hybrid,True,https://www.atlantis-press.com/article/125954288.pdf,ok,http_200,1688126,W3144108245__housing-purchase-restriction-and-birth-rates-an-unintended-c.pdf,Housing Purchase Restriction and Birth Rates: An Unintended Consequence of Governmental Intervention,published
W4308203433,10.17208/jkpa.2022.10.57.5.136,QUASI_EXP,KEEP_PRIMARY_COST_RENT_IDENTIFIED,2022,국토계획,closed,False,,no_oa_url,closed,0,,The Effect of Public Rental Housing on Birth Interval of Newlyweds and Policy Implications,
W4395481274,10.1002/psp.2787,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2024,Population Space and Place,hybrid,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/psp.2787,fail,not_pdf_http_403,5632,,House prices and fertility: Can the Dutch housing crisis explain the post‐2010 fertility decline?,
W4399107829,10.1016/j.labeco.2024.102572,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2024,Labour Economics,closed,False,,no_oa_url,closed,0,,"Do surging house prices discourage fertility? Global evidence, 1870–2012",
W4395680672,10.2139/ssrn.4808554,QUASI_EXP,KEEP_PRIMARY_COST_RENTER,2024,SSRN Electronic Journal,green,True,,no_oa_url,green,0,,The Effect of House Prices on Fertility: Evidence from House Purchase Restrictions,
W4400391089,10.1016/j.jhealeco.2024.102915,QUASI_EXP,KEEP_PRIMARY_WEALTH_OWNER,2024,Journal of Health Economics,closed,False,,no_oa_url,closed,0,,"Housing wealth, fertility and children's health in China: A regression discontinuity design",
W7171437109,10.1073/pnas.2602426123,QUASI_EXP,KEEP_PRIMARY_WEALTH_OWNER,2026,Proceedings of the National Academy of Sciences,hybrid,True,,no_oa_url,hybrid,0,,Can stimulating ownership increase fertility: Evidence from housing interventions in China,
W2086486830,10.1086/225997,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,1975,American Journal of Sociology,closed,False,,no_oa_url,closed,0,,The Fertility-Inhibiting Effect of Crowded Apartment Living in a Tight Housing Market,
