priority,id_strength,cell,year,venue,doi,doi_url,oa_status,why_automation_failed,title,retrieved_by,retrieved_date,notes
1,QUASI_EXP,PRIMARY_COST_RENTER,2010,Economic Inquiry,10.1111/j.1465-7295.2009.00213.x,https://doi.org/10.1111/j.1465-7295.2009.00213.x,closed,no OA PDF link in OpenAlex,THE EFFECT OF HOUSE PRICE ON FERTILITY: EVIDENCE FROM HONG KONG,,,
2,QUASI_EXP,PRIMARY_COST_RENTER,2015,DOAJ (DOAJ: Directory of Open Access Journals),10.5018/economics-ejournal.ja.2019-38,https://doi.org/10.5018/economics-ejournal.ja.2019-38,green,no OA PDF link in OpenAlex,The Effect of House Prices on Fertility: Evidence from Canada,,,
3,QUASI_EXP,PRIMARY_COST_RENTER,2015,Urban Studies,10.1177/0042098015615742,https://doi.org/10.1177/0042098015615742,closed,no OA PDF link in OpenAlex,Do housing options affect child birth decisions? Evidence from Taiwan,,,
4,QUASI_EXP,PRIMARY_COST_RENT_IDENTIFIED,2019,Journal of Policy Modeling,10.1016/j.jpolmod.2019.05.008,https://doi.org/10.1016/j.jpolmod.2019.05.008,hybrid,no OA PDF link in OpenAlex,The long-term consequences of youth housing for childbearing and higher education,,,
5,QUASI_EXP,PRIMARY_COST_RENTER,2020,International Regional Science Review,10.1177/0160017620922885,https://doi.org/10.1177/0160017620922885,closed,no OA PDF link in OpenAlex,Do House Prices Affect Fertility Behavior in China? An Empirical Examination,,,
6,QUASI_EXP,PRIMARY_COST_RENT_IDENTIFIED,2022,국토계획,10.17208/jkpa.2022.10.57.5.136,https://doi.org/10.17208/jkpa.2022.10.57.5.136,closed,no OA PDF link in OpenAlex,The Effect of Public Rental Housing on Birth Interval of Newlyweds and Policy Implications,,,
7,QUASI_EXP,PRIMARY_COST_RENTER,2024,Population Space and Place,10.1002/psp.2787,https://doi.org/10.1002/psp.2787,hybrid,publisher blocked automated fetch (403),House prices and fertility: Can the Dutch housing crisis explain the post‐2010 fertility decline?,,,
8,QUASI_EXP,PRIMARY_COST_RENTER,2024,Labour Economics,10.1016/j.labeco.2024.102572,https://doi.org/10.1016/j.labeco.2024.102572,closed,no OA PDF link in OpenAlex,"Do surging house prices discourage fertility? Global evidence, 1870–2012",,,
9,QUASI_EXP,PRIMARY_COST_RENTER,2024,SSRN Electronic Journal,10.2139/ssrn.4808554,https://doi.org/10.2139/ssrn.4808554,green,no OA PDF link in OpenAlex,The Effect of House Prices on Fertility: Evidence from House Purchase Restrictions,,,
10,QUASI_EXP,PRIMARY_WEALTH_OWNER,2024,Journal of Health Economics,10.1016/j.jhealeco.2024.102915,https://doi.org/10.1016/j.jhealeco.2024.102915,closed,no OA PDF link in OpenAlex,"Housing wealth, fertility and children's health in China: A regression discontinuity design",,,
11,QUASI_EXP,PRIMARY_WEALTH_OWNER,2026,Proceedings of the National Academy of Sciences,10.1073/pnas.2602426123,https://doi.org/10.1073/pnas.2602426123,hybrid,no OA PDF link in OpenAlex,Can stimulating ownership increase fertility: Evidence from housing interventions in China,,,
12,ASSOCIATIONAL,PRIMARY_SPACE_QUANTITY,1975,American Journal of Sociology,10.1086/225997,https://doi.org/10.1086/225997,closed,no OA PDF link in OpenAlex,The Fertility-Inhibiting Effect of Crowded Apartment Living in a Tight Housing Market,,,
13,ASSOCIATIONAL,PRIMARY_SPACE_QUANTITY,1977,Sociology and social research,,,closed,no OA PDF link in OpenAlex,"Mobility, Fertility, and Residential Crowding.",,,
14,ASSOCIATIONAL,PRIMARY_SPACE_QUANTITY,1978,Demography,10.2307/2061200,https://doi.org/10.2307/2061200,bronze,publisher blocked automated fetch (403),"The relationship between apartment living and fertility for blacks, Mexican-Americans, and other Americans in Racine, Wisconsin",,,
15,ASSOCIATIONAL,PRIMARY_SPACE_QUANTITY,1995,Social Biology,10.1080/19485565.1995.9988902,https://doi.org/10.1080/19485565.1995.9988902,closed,no OA PDF link in OpenAlex,Effects of multi‐family housing on marital fertility in Iran: Population policy implications,,,
16,ASSOCIATIONAL,PRIMARY_COST_RENTER,2008,China Economic Quarterly,,,closed,no OA PDF link in OpenAlex,Increasing Housing Prices and Secular Fertility Decline in Hong Kong,,,
17,ASSOCIATIONAL,PRIMARY_COST_RENT_IDENTIFIED,2008,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2008.08.002,https://doi.org/10.1016/j.regsciurbeco.2008.08.002,closed,no OA PDF link in OpenAlex,"Do higher rents discourage fertility? Evidence from U.S. cities, 1940–2000",,,
18,ASSOCIATIONAL,PRIMARY_COST_RENTER,2010,Journal of Population Economics,10.1007/s00148-010-0345-5,https://doi.org/10.1007/s00148-010-0345-5,closed,no OA PDF link in OpenAlex,Housing and children: simultaneous decisions?—a cohort study of young adults’ housing and family formation decision,,,
19,ASSOCIATIONAL,PRIMARY_SPACE_QUANTITY,2010,Housing Studies,10.1080/02673031003711519,https://doi.org/10.1080/02673031003711519,closed,no OA PDF link in OpenAlex,"Housing and First Births in Sweden, 1972–2005",,,
20,ASSOCIATIONAL,PRIMARY_COST_RENTER,2011,Habitat International,10.1016/j.habitatint.2011.10.006,https://doi.org/10.1016/j.habitatint.2011.10.006,closed,no OA PDF link in OpenAlex,"Housing price, elderly dependency and fertility behaviour",,,
21,ASSOCIATIONAL,PRIMARY_COST_RENTER,2012,China Economic Journal,10.1080/17538963.2013.764675,https://doi.org/10.1080/17538963.2013.764675,closed,no OA PDF link in OpenAlex,Housing price and fertility rate,,,
22,ASSOCIATIONAL,PRIMARY_SPACE_QUANTITY,2012,Population Space and Place,10.1002/psp.1716,https://doi.org/10.1002/psp.1716,closed,no OA PDF link in OpenAlex,A Home to Plan the First Child? Fertility Intentions and Housing Conditions in Italy,,,
23,ASSOCIATIONAL,PRIMARY_COST_RENTER,2013,Romanian Journal of Economic Forecasting,,,closed,no OA PDF link in OpenAlex,Does Housing Cost Affect Birth Rates in Taiwan? The ADL test for Threshold Co-integration.,,,
24,ASSOCIATIONAL,PRIMARY_SPACE_QUANTITY,2015,RePEc: Research Papers in Economics,,,closed,no OA PDF link in OpenAlex,"Youth dwellings, higher education, and childbearing",,,
25,ASSOCIATIONAL,PRIMARY_WEALTH_OWNER,2015,Economics bulletin,,,closed,no OA PDF link in OpenAlex,The Effects of Housing Wealth on Fertility Decisions: Evidence from Japan,,,
26,ASSOCIATIONAL,PRIMARY_COST_RENTER,2016,SSRN Electronic Journal,10.2139/ssrn.2846173,https://doi.org/10.2139/ssrn.2846173,green,no OA PDF link in OpenAlex,Short-Term Effects of House Prices on Birth Rates,,,
27,ASSOCIATIONAL,PRIMARY_COST_RENTER,2016,Health and Social Welfare Review,10.15709/hswr.2016.36.1.118,https://doi.org/10.15709/hswr.2016.36.1.118,diamond,no OA PDF link in OpenAlex,Housing Price and the Level and Timing of Fertility in Korea: An Empirical Analysis of 16 Cities and Provinces,,,
28,ASSOCIATIONAL,PRIMARY_COST_RENT_IDENTIFIED,2016,New Zealand Economic Papers,10.1080/00779954.2016.1199591,https://doi.org/10.1080/00779954.2016.1199591,closed,no OA PDF link in OpenAlex,The effect of the price or rental cost of housing on family size: a theoretical analysis with reference to New Zealand,,,
29,ASSOCIATIONAL,PRIMARY_WEALTH_OWNER,2016,Health and Social Welfare Review,10.15709/hswr.2016.36.3.204,https://doi.org/10.15709/hswr.2016.36.3.204,diamond,no OA PDF link in OpenAlex,Newly Married Couples‘ Housing Assets and Childbirth: Focusing on the Households Married Since 2000,,,
