doi,openalex,year,type,venue,cited_by,title,prescreen_rule,provisional_cell,first_found_round,ra_verdict,ra_note
10.1007/s11113-024-09865-8,W4392854776,2024,article,Population Research and Policy Review,14,Housing Affordability Crisis and Delayed Fertility: Evidence from the USA,affordability,AFFORDABILITY_RATIO,1,,
10.3390/su16219352,W4403835493,2024,article,Sustainability,5,"Housing Inclusion Perspective: The Causal Structure of Housing Cost Burden, Fertility Intentions, and Social Housing in Urban China",affordability,AFFORDABILITY_RATIO,1,,
10.1007/s12546-025-09402-0,W4414514095,2025,article,Journal of Population Research,4,Does urban housing affordability affect fertility in China,affordability,AFFORDABILITY_RATIO,3,,
10.13060/00380288.2009.45.6.02,W2167640214,2009,article,Czech Sociological Review,3,Housing Affordability in Czech Regions and Demographic Behaviour - Does Housing Affordability Impact Fertility?,affordability,AFFORDABILITY_RATIO,2,,
10.17208/jkpa.2024.08.59.4.159,W4403174972,2024,article,국토계획,2,Does the Housing Cost Burden Affect Fertility Intention of Public Housing Residents?: Focusing on the Effect of Rent to Income Ratio,affordability,AFFORDABILITY_RATIO,2,,
10.2478/bjreecm-2023-0007,W4383268449,2023,article,Baltic Journal of Real Estate Economics and Construction Management,2,Study of the Impact of Housing Affordability on the Fertility Rate in Bulgaria (2014–2021): A Regional Aspect,affordability,AFFORDABILITY_RATIO,1,,
10.54691/fq8w9z48,W4406483225,2025,article,Frontiers in Humanities and Social Sciences,1,The Impact of Housing Price-to-Income Ratio on Fertility Rate,affordability,AFFORDABILITY_RATIO,3,,
10.22459/crgmp.2024.08,W4405308010,2024,book-chapter,ANU Press eBooks,0,The trend in China’s urban housing affordability and its impact on the total fertility rate,affordability,AFFORDABILITY_RATIO,4,,
10.1007/s13524-013-0216-2,W2069584552,2013,article,Demography,116,Interrelationships Between Childbearing and Housing Transitions in the Family Life Course,mobility_context,HOUSING_ONLY_MECHANISM,1,,
10.1016/j.alcr.2014.01.001,W1973953484,2014,article,Advances in Life Course Research,104,"Residential context, migration and fertility in a modern urban society",mobility_context,HOUSING_ONLY_MECHANISM,2,,
10.1068/a44558,W1986885532,2012,article,Environment and Planning A Economy and Space,70,Residential Mobility of Urban Middle Classes in the Field of Parenthood,mobility_context,HOUSING_ONLY_MECHANISM,2,,
10.1007/s13524-017-0592-0,W2736179794,2017,article,Demography,57,Fertility Intentions and Residential Relocations,mobility_context,HOUSING_ONLY_MECHANISM,2,,
10.4054/demres.2016.35.54,W2564508074,2016,article,Demographic Research,22,Fertility expectations and residential mobility in Britain,mobility_context,HOUSING_ONLY_MECHANISM,2,,
10.2307/2060634,W2046117869,1972,article,Demography,19,"Residence background, migration, and fertility",mobility_context,HOUSING_ONLY_MECHANISM,4,,
10.14301/llcs.v5i2.276,W2114399866,2014,article,Longitudinal and Life Course Studies,18,Holistic housing pathways for Australian families through the childbearing years,mobility_context,HOUSING_ONLY_MECHANISM,2,,
10.1002/psp.2265,W2962698112,2019,article,Population Space and Place,13,Fertility intention‐induced relocation: The mediating role of housing markets,mobility_context,HOUSING_ONLY_MECHANISM,2,,
10.1002/psp.2367,W3048871367,2020,article,Population Space and Place,11,Residential mobility of couples around family formation in the Netherlands: Stated and revealed preferences,mobility_context,HOUSING_ONLY_MECHANISM,2,,
10.6107/jkha.2024.35.3.013,W4400427936,2024,article,Journal of the Korean housing association,2,Changes in Housing Satisfaction and Fertility Intentions of Married Young Households After Moving into Public Rental Housing,mobility_context,HOUSING_ONLY_MECHANISM,4,,
10.1080/00324728.2025.2478929,W4409119166,2025,article,Population Studies,1,"Belonging to the neighbourhood, residential mobility, and the transition to parenthood",mobility_context,HOUSING_ONLY_MECHANISM,2,,
10.17208/jkpa.2026.06.61.3.23,W7168258898,2026,article,국토계획,0,"Dynamic Interactions among Net Migration of Women of Childbearing Age, Female Employment, Housing Prices, and Fertility: A Comparison between the Capital and Non-Capital Regions",mobility_context,HOUSING_ONLY_MECHANISM,1,,
10.20473/jbk.v12i2.2023.219-229,W4388913919,2023,article,Jurnal Biometrika dan Kependudukan,0,"AGE AT MIGRATION, DURATION OF RESIDENCE, AND FERTILITY AMONG FEMALE MIGRANTS INTO JAVA",mobility_context,HOUSING_ONLY_MECHANISM,4,,
10.1093/rfs/hhaa073,W3007987552,2020,article,Review of Financial Studies,28,The Babies of Mortgage Market Deregulation,credit_treatment,OFF_CREDIT_C3e,1,,
10.17016/ifdp.2005.847,W1597793728,2005,article,International Finance Discussion Paper,28,The Baby Boom: Predictability in House Prices and Interest Rates,credit_treatment,OFF_CREDIT_C3e,5,,
10.1093/restud/rdad034,W3122498213,2023,article,The Review of Economic Studies,17,Monetary Policy and Birth Rates: The Effect of Mortgage Rate Pass-Through on Fertility,credit_treatment,OFF_CREDIT_C3e,1,,
