work_id,doi,year,venue,title,screen_cell,id_strength_screen,id_strength_confirmed,design,treatment_type,tenure_split,outcome_level,period,note,effect_extracted,extracted_by,extracted_date
W3024244835,10.1016/j.jpubeco.2013.09.009,2013,Journal of Public Economics,House prices and birth rates: The impact of the real estate market on the decision to have a baby,KEEP_PRIMARY_COST_RENTER,QUASI_EXP,QUASI_EXP,IV: MSA housing-supply elasticity,price,yes: owners vs non-owners,realized births,SDT,The tenure-split anchor the pooling rule is built on. Opposing signs by tenure.,NO,Shravan/Claude,2026-07-31
W3037455063,10.1016/j.jpubeco.2021.104366,2021,Journal of Public Economics,"Home prices, fertility, and early-life health outcomes",KEEP_PRIMARY_COST_RENTER,QUASI_EXP,QUASI_EXP,"IV: price change of FIRST home purchased, + extensive FE",price,owners only (by construction),realized births,SDT,Danish registers. PREPRINT TWIN in hand -- reconcile against published JPubE before extracting numbers.,NO,Shravan/Claude,2026-07-31
W3023795878,10.1177/0160017620922885,2020,International Regional Science Review,Do House Prices Affect Fertility Behavior in China? An Empirical Examination,KEEP_PRIMARY_COST_RENTER,QUASI_EXP,QUASI_EXP,IV + city FE + time-varying city controls,price,movers vs non-movers,realized births,SDT,China.,NO,Shravan/Claude,2026-07-31
W4399107829,10.1016/j.labeco.2024.102572,2024,Labour Economics,"Do surging house prices discourage fertility? Global evidence, 1870–2012",KEEP_PRIMARY_COST_RENTER,QUASI_EXP,QUASI_EXP,IV: house prices instrumented with construction costs and land prices; dynamic panel,price,no,aggregate fertility rate,FDT+SDT,Global panel 1870-2012. THE FDT CELL NOW RESTS ON THIS STUDY ALONE (see report).,NO,Shravan/Claude,2026-07-31
W4400391089,10.1016/j.jhealeco.2024.102915,2024,Journal of Health Economics,"Housing wealth, fertility and children's health in China: A regression discontinuity design",KEEP_PRIMARY_WEALTH_OWNER,QUASI_EXP,QUASI_EXP,regression discontinuity + placebo tests,housing wealth,owners (pre-2006 purchasers),realized births,SDT,Strongest single identification in the pool.,NO,Shravan/Claude,2026-07-31
W7171437109,10.1073/pnas.2602426123,2026,Proceedings of the National Academy of Sciences,Can stimulating ownership increase fertility: Evidence from housing interventions in China,KEEP_PRIMARY_WEALTH_OWNER,QUASI_EXP,ROUTED_OUT,cohort DiD around the 2014 HPF credit-easing reform + IV + PSM + placebo,"credit terms (down payment, interest rate, loan ceiling)",owners,realized births,SDT,"PNAS. BOUNDARY CALL RESOLVED: treatment is CREDIT, not price -- the reform lowered down payment ratios, cut interest rates and raised loan ceilings. Routes to C.3.e under the price-variation ruling. Strong design; flagged TO C.3.e rather than dropped.",NO,Shravan/Claude,2026-07-31
W4395680672,10.2139/ssrn.4808554,2024,SSRN Electronic Journal,The Effect of House Prices on Fertility: Evidence from House Purchase Restrictions,KEEP_PRIMARY_COST_RENTER,QUASI_EXP,QUASI_EXP,house purchase restriction policy variation,price,unclear,realized births,SDT,SSRN preprint; no published version located.,NO,Shravan/Claude,2026-07-31
W3121393843,10.5018/economics-ejournal.ja.2019-38,2015,DOAJ (DOAJ: Directory of Open Access Journals),The Effect of House Prices on Fertility: Evidence from Canada,KEEP_PRIMARY_COST_RENTER,QUASI_EXP,QUASI_EXP,IV: initial-area house prices for movers,price,yes: owners vs renters,realized births,SDT,Canada. Tenure split present and explicitly predicts opposing signs -- second most useful study for the pooling rule.,NO,Shravan/Claude,2026-07-31
W3144108245,10.2991/aebmr.k.210319.115,2021,"Advances in economics, business and management research/Advances in Economics, Business and Management Research",Housing Purchase Restriction and Birth Rates: An Unintended Consequence of Governmental Intervention,KEEP_PRIMARY_COST_RENTER,QUASI_EXP,QUASI_EXP,"difference-in-differences on national HPR policy, 2000-2018",price,no,aggregate birth rate,SDT,China.,NO,Shravan/Claude,2026-07-31
W2949452997,10.1016/j.jpolmod.2019.05.008,2019,Journal of Policy Modeling,The long-term consequences of youth housing for childbearing and higher education,KEEP_PRIMARY_COST_RENT_IDENTIFIED,QUASI_EXP,WEAK_QUASI,propensity-score matching on youth-housing allocation,rent (policy-allocated),renters,realized births,SDT,"PSM is selection on observables, not exogenous variation. Demoted from QUASI_EXP.",NO,Shravan/Claude,2026-07-31
