openalex_id,study,year,chemical_family,compound,cohort,sampling_frame,exposure_timing,outcome,estimand_level,estimate,ci_low,ci_high,p_value,parity_handling,track,note
W2160568778,"PFAS and time to pregnancy, Greenland/Poland/Ukraine",2014,PFAS_LEGACY,PFNA,INUENDO,"pregnant women, population-based",during pregnancy,time to pregnancy (fecundability),HAZARD_DECREMENT,0.80,0.69,0.94,,none,unrestricted,"Pooled sample, log-scale FR. Exposure measured IN pregnancy, so timing is posterior to the outcome being explained."
W2160568778,"PFAS and time to pregnancy, Greenland/Poland/Ukraine",2014,PFAS_LEGACY,PFNA,INUENDO (Greenland),"pregnant women, population-based",during pregnancy,time to pregnancy (fecundability),HAZARD_DECREMENT,0.72,0.58,0.89,,none,unrestricted,Greenland stratum.
W2160568778,"PFAS and time to pregnancy, Greenland/Poland/Ukraine",2014,PFAS_LEGACY,PFNA,INUENDO,"pregnant women, population-based",during pregnancy,infertility (TTP > 13 months),HAZARD_DECREMENT,1.53,1.08,2.15,,none,unrestricted,Pooled infertility OR.
W2160568778,"PFAS and time to pregnancy, Greenland/Poland/Ukraine",2014,PFAS_LEGACY,PFNA,INUENDO (primiparous),"pregnant women, population-based",during pregnancy,time to pregnancy and infertility,HAZARD_DECREMENT,NOT_REPLICATED,,,,nulliparous_restricted,restricted,THE KEY ROW. The paper's own words: 'in a sensitivity analysis of primiparous women these associations could not be replicated.' No point estimate is given in the abstract; the restricted-track figure must be read off the paper's tables before this row can be pooled.
W2409520153,"PFOSA and fecundability (Brief Report), MoBa",2016,PFAS_LEGACY,PFOSA,MoBa,population-based birth cohort,during pregnancy,time to pregnancy (fecundability odds ratio),HAZARD_DECREMENT,0.91,0.71,1.17,,nulliparous_restricted,restricted,226 primiparous women. NULL. The paper reports no association between any other PFAS and TTP among primiparous women.
W2409520153,"PFOSA and fecundability (Brief Report), MoBa",2016,PFAS_LEGACY,PFOSA,MoBa (all women),population-based birth cohort,during pregnancy,time to pregnancy (fecundability odds ratio),HAZARD_DECREMENT,0.85,0.83,1.09,,none,unrestricted,All women. CI as printed in the source; the lower bound sits implausibly close to the point estimate and should be checked against the published table at second reading.
W4321019748,"PFAS and women's fertility outcomes, Singapore",2023,PFAS_LEGACY,PFDA,S-PRESTO,population-based preconception cohort,preconception,fecundability (per quartile increase),HAZARD_DECREMENT,0.90,0.82,0.98,,parity_adjusted,unrestricted,"Preconception exposure measurement — the timing that identifies. But parity is a COVARIATE, not a restriction, so the reverse-causal channel is only partly closed."
W4321019748,"PFAS and women's fertility outcomes, Singapore",2023,PFAS_LEGACY,PFOS,S-PRESTO,population-based preconception cohort,preconception,fecundability (per quartile increase),HAZARD_DECREMENT,0.88,0.79,0.99,,parity_adjusted,unrestricted,
W4321019748,"PFAS and women's fertility outcomes, Singapore",2023,PFAS_LEGACY,PFOA,S-PRESTO,population-based preconception cohort,preconception,fecundability (per quartile increase),HAZARD_DECREMENT,0.95,0.86,1.06,,parity_adjusted,unrestricted,Null.
W4321019748,"PFAS and women's fertility outcomes, Singapore",2023,PFAS_LEGACY,PFAS mixture,S-PRESTO,population-based preconception cohort,preconception,fecundability (per quartile increase in mixture),HAZARD_DECREMENT,0.89,0.73,1.02,,parity_adjusted,unrestricted,"Mixture WITHIN the PFAS family, so separable — not a Wall 1 case."
