openalex_id,doi,job,chemical_family,oa_status,result,note,title
W4391899831,10.1016/j.envres.2024.118485,A_primary,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=38373549)","Reproductive toxicity of PFOA, PFOS and their substitutes: A review based on epidemiologic"
W2114076003,10.1093/humrep/det382,A_primary,pfas,bronze,FAILED,"no PMC id (inEPMC=N, pmid=24129614)",Long-term effects of prenatal exposure to perfluoroalkyl substances on female reproduction
W2594070972,10.1016/j.envint.2017.03.003,A_primary,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=28283302)",Perfluoroalkyl substances and endometriosis-related infertility in Chinese women
W2909429614,10.1016/j.envpol.2019.01.039,A_primary,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=30731307)",Perfluoroalkyl substances exposure and risk of polycystic ovarian syndrome related inferti
W4321019748,10.1016/j.scitotenv.2023.162267,A_primary,pfas,green,OK_XML,"efetch PMC10234267, 32 KB text",Exposure to perfluoroalkyl substances and women's fertility outcomes in a Singaporean popu
W2514091930,10.1097/ede.0000000000000552,A_primary,pfas,green,OK_XML,"efetch PMC5131715, 28 KB text","Perfluoroalkyl Chemicals, Menstrual Cycle Length, and Fecundity"
W4391359389,10.1111/1471-0528.17756,A_primary,plastic,bronze,FAILED,"no PMC id (inEPMC=N, pmid=38287142)",Exposure to microplastics and human reproductive outcomes: A systematic review
W2179099397,10.1016/j.envres.2015.08.007,A_primary,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=26282225)",Serum perfluoroalkyl acids and time to pregnancy in nulliparous women
W4302024131,10.1016/j.envint.2022.107567,A_primary,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=36240624)",Preconception exposure to perfluoroalkyl and polyfluoroalkyl substances and couple fecundi
W2409520153,10.1097/ede.0000000000000524,A_primary,pfas,green,OK_XML,"efetch PMC5387409, 10 KB text",Brief Report
W4408724716,10.1093/biolre/ioaf054,A_primary,plastic,closed,FAILED,"no PMC id (inEPMC=N, pmid=40114298)",Microplastics and impaired male reproductive health—exploring biological pathways of harm:
W4415689196,10.1111/joim.70038,A_primary,plastic,closed,FAILED,"no PMC id (inEPMC=N, pmid=41164869)",Reproductive toxicity of micro‐ and nanoplastics: Insights from experimental and human stu
W2315733616,10.1016/j.envres.2016.03.001,A_primary,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=27040411)",Response to letter to the editor regarding “Serum perfluoroalkyl acids and time to pregnan
W7117988082,10.3390/microplastics5010003,A_primary,plastic,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)","Plastic Particles and Female Fertility: Pathways, Toxicity, and Analytical Challenges"
W7133525027,10.1016/j.xfnr.2026.100102,A_primary,pfas,closed,FAILED,"no PMC id (inEPMC=None, pmid=none)",Per- and polyfluoroalkyl substances exposure from preconception to lactation: implications
W7202077705,10.1177/26318318261474309,A_primary,plastic,diamond,FAILED,"no PMC id (inEPMC=None, pmid=none)","Invisible Barriers to Male Reproductive Health: Microplastic Toxicity, Fertility, and Psyc"
W2322981968,10.1016/j.reprotox.2011.11.094,A_primary,pfas,closed,FAILED,"no PMC id (inEPMC=None, pmid=none)",P60—Preliminary results on subfecundity and plasma concentrations of perfluorinated compou
W2086662317,10.1021/es1038694,A2_input,pfas,green,FAILED,"no PMC id (inEPMC=N, pmid=21534542)",Association of Perfluorooctanoic Acid (PFOA) and Perfluorooctane Sulfonate (PFOS) with Age
W2105381158,10.1093/humrep/des425,A2_input,pfas,green,FAILED,"no PMC id (inEPMC=N, pmid=23250927)",PFOS (perfluorooctanesulfonate) in serum is negatively associated with testosterone levels
W2053956953,10.1016/j.reprotox.2011.05.024,A2_input,pfas,green,OK_XML,"efetch PMC3214233, 32 KB text",Concentrations of perfluorooctane sulfonate (PFOS) and perfluorooctanoate (PFOA) and their
W2802977343,10.1210/jc.2017-02783,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=29986037)",Association of Perfluoroalkyl and Polyfluoroalkyl Substances With Premature Ovarian Insuff
W3047171475,10.1016/j.envpol.2020.115330,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=32781340)",Exposure to per- and polyfluoroalkyl substances (PFASs) in serum versus semen and their as
W1971918593,10.1016/j.fertnstert.2015.02.001,A2_input,pfas,green,OK_XML,"efetch PMC4417395, 31 KB text",Perfluoroalkyl substances and ovarian hormone concentrations in naturally cycling women
W2884311292,10.1016/j.ijheh.2018.07.009,A2_input,pfas,green,FAILED,"no PMC id (inEPMC=N, pmid=30037723)",Perfluorinated alkyl acids in the serum and follicular fluid of UK women with and without 
W2981772479,10.1016/j.chemosphere.2019.125208,A2_input,pfas,green,FAILED,"no PMC id (inEPMC=N, pmid=31896193)",Perfluorooctanoic acid alters progesterone activity in human endometrial cells and induces
W3127248205,10.1016/j.envint.2021.106408,A2_input,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=33548847)",Perfluoroalkyl substances and sex hormones in postmenopausal women: NHANES 2013–2016
W3139203073,10.1016/j.envint.2021.106496,A2_input,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=33744484)",Environmental exposure to per- and polyfluoroalkyl substances mixture and male reproductiv
W2575956297,10.1016/j.reprotox.2017.01.006,A2_input,pfas,green,OK_XML,"efetch PMC5690561, 26 KB text","Effects of perfluorinated chemicals on thyroid function, markers of ovarian reserve, and n"
W2517826705,10.1016/j.reprotox.2016.08.009,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=27544573)",Perfluoroalkyl substances and endometriosis in US women in NHANES 2003–2006
W2120610521,10.1093/humrep/det390,A2_input,pfas,bronze,FAILED,"no PMC id (inEPMC=N, pmid=24163265)","Menstrual cycle characteristics in fertile women from Greenland, Poland and Ukraine expose"
W2017429754,10.1097/ede.0b013e31826cc0cf,A2_input,pfas,closed,OK_XML,"efetch PMC4122261, 18 KB text",Perfluorochemicals and Endometriosis
W3138031597,10.1186/s12302-021-00508-9,A2_input,pfas,gold,OK_XML,"efetch PMC9440377, 30 KB text",Perfluoroalkyl and polyfluoroalkyl substance exposure and association with sex hormone con
W1992065546,10.1111/and.12371,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=25382683)",Chromosomal aneuploidies and DNA fragmentation of human spermatozoa from patients exposed 
W2105638582,10.1002/em.21874,A2_input,pfas,green,FAILED,"no PMC id (inEPMC=N, pmid=24889506)",Exposure to Perfluoroalkyl Substances and Sperm DNA Global Methylation in <scp>Arctic</scp
W3032002623,10.1210/clinem/dgaa303,A2_input,pfas,bronze,FAILED,efetch returned no body (14234 B),Associations of Perfluoroalkyl Substances with Incident Natural Menopause: The Study of Wo
W3046713908,10.1080/10937404.2020.1798315,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=32741292)",Per- and polyfluoroalkyl substances and male reproductive health: a systematic review of t
W3175004850,10.1210/clinem/dgab476,A2_input,pfas,bronze,FAILED,efetch returned no body (14839 B),Per- and Polyfluoroalkyl Substances and Hormone Levels During the Menopausal Transition
W4220733007,10.1016/j.envres.2022.113157,A2_input,pfas,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=35318009)",Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in young adultho
W4405747510,10.1016/j.envint.2024.109236,A2_input,plastic,gold,FAILED,"no PMC id (inEPMC=N, pmid=39729868)",Polyethylene microplastic exposure adversely affects oocyte quality in human and mouse
W4223636188,10.1016/j.scitotenv.2022.155158,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=35421474)","Environmental exposure to legacy poly/perfluoroalkyl substances, emerging alternatives and"
