openalex_id,doi,job,chemical_family,oa_status,host,result,note,title
W3135440421,10.3390/ijerph18052392,A_primary,plastic,gold,International Journal of Environmental Research and Public Health,OK/OK,already present,Microplastics: A Threat for Male Fertility
W4391899831,10.1016/j.envres.2024.118485,A_primary,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Reproductive toxicity of PFOA, PFOS and their substitutes: A review based on epidemiologic"
W2114076003,10.1093/humrep/det382,A_primary,pfas,bronze,Human Reproduction,FAILED,"Human Reproduction:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Long-term effects of prenatal exposure to perfluoroalkyl substances on female reproduction
W3140213654,10.3390/ijerph18073794,A_primary,pfas,gold,International Journal of Environmental Research and Public Health,OK/OK,already present,Perfluoroalkyl Chemicals and Male Reproductive Health: Do PFOA and PFOS Increase Risk for 
W4390585131,10.3389/fendo.2023.1330396,A_primary,plastic,gold,Frontiers in Endocrinology,OK/OK,already present,"Microplastics exposure: implications for human fertility, pregnancy and child health"
W2594070972,10.1016/j.envint.2017.03.003,A_primary,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Perfluoroalkyl substances and endometriosis-related infertility in Chinese women
W4282937467,10.1177/15579883221096549,A_primary,plastic,gold,American Journal of Men s Health,OK/OK,already present,Microplastics May Be a Significant Cause of Male Infertility
W2909429614,10.1016/j.envpol.2019.01.039,A_primary,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Perfluoroalkyl substances exposure and risk of polycystic ovarian syndrome related inferti
W4321019748,10.1016/j.scitotenv.2023.162267,A_primary,pfas,green,PubMed Central,FAILED,"PubMed Central:http 200, body too small; europepmc:epmc hit but not OA (pmcid=PMC10234267)",Exposure to perfluoroalkyl substances and women's fertility outcomes in a Singaporean popu
W4404222776,10.1186/s12958-024-01314-7,A_primary,plastic,gold,Reproductive Biology and Endocrinology,OK/OK,already present,Concerning influences of micro/nano plastics on female reproductive health: focusing on ce
