openalex_id,doi,year,title,venue,cell,chemical_family,screen_family,tier,verdict,n_seeds,cited_by,screen_note,RA_DECISION(RETRIEVE/EXCLUDE/UNSURE),RA_NOTE
W3135440421,10.3390/ijerph18052392,2021,Microplastics: A Threat for Male Fertility,International Journal of Environmental Research and Public Health,PRIMARY_MALE_FECUNDITY,plastic,plastic,1,RELEVANT,2,181,Review on MP and male fertility.,,
W4391899831,10.1016/j.envres.2024.118485,2024,"Reproductive toxicity of PFOA, PFOS and their substitutes: A review based on epidemiological and toxicological evidence",Environmental Research,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,7,156,"Reproductive toxicity review covering PFOA, PFOS and their substitutes, epidemiological and toxicological.",,
W2114076003,10.1093/humrep/det382,2013,Long-term effects of prenatal exposure to perfluoroalkyl substances on female reproduction,Human Reproduction,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,6,153,"Prenatal exposure, long-term female reproductive function.",,
W3140213654,10.3390/ijerph18073794,2021,Perfluoroalkyl Chemicals and Male Reproductive Health: Do PFOA and PFOS Increase Risk for Male Infertility?,International Journal of Environmental Research and Public Health,PRIMARY_MALE_FECUNDITY,pfas,pfas,1,RELEVANT,6,146,Narrative review framed on male infertility risk; no primary estimate.,,
W4390585131,10.3389/fendo.2023.1330396,2024,"Microplastics exposure: implications for human fertility, pregnancy and child health",Frontiers in Endocrinology,PRIMARY_EXPOSURE_TO_FERTILITY,plastic,plastic,1,RELEVANT,4,138,Review explicitly on human fertility; the pregnancy and child-health portions are Wall 2.,,
W2594070972,10.1016/j.envint.2017.03.003,2017,Perfluoroalkyl substances and endometriosis-related infertility in Chinese women,Environment International,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,8,98,Endometriosis-related infertility outcome.,,
W4282937467,10.1177/15579883221096549,2022,Microplastics May Be a Significant Cause of Male Infertility,American Journal of Men s Health,PRIMARY_MALE_FECUNDITY,plastic,plastic,1,RELEVANT,2,84,Review/opinion arguing MP causes male infertility; assess what human evidence it actually cites.,,
W2909429614,10.1016/j.envpol.2019.01.039,2019,Perfluoroalkyl substances exposure and risk of polycystic ovarian syndrome related infertility in Chinese women,Environmental Pollution,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,6,79,PCOS-related infertility.,,
W4321019748,10.1016/j.scitotenv.2023.162267,2023,Exposure to perfluoroalkyl substances and women's fertility outcomes in a Singaporean population-based preconception cohort,The Science of The Total Environment,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,8,64,"Singaporean cohort, women's fertility outcomes.",,
W4404222776,10.1186/s12958-024-01314-7,2024,Concerning influences of micro/nano plastics on female reproductive health: focusing on cellular and molecular pathways from animal models to human studies,Reproductive Biology and Endocrinology,PRIMARY_EXPOSURE_TO_FERTILITY,plastic,plastic,1,RELEVANT,2,53,Review explicitly spanning animal models to human studies; the human portion must be extracted separately.,,
W2514091930,10.1097/ede.0000000000000552,2016,"Perfluoroalkyl Chemicals, Menstrual Cycle Length, and Fecundity",Epidemiology,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,9,51,Fecundity outcome modelled jointly with cycle length.,,
W2160568778,10.1186/1476-069x-13-116,2014,"Perfluoroalkyl substances and time to pregnancy in couples from Greenland, Poland and Ukraine",Environmental Health,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,13,50,"PFAS and TTP, three-country pregnant-women sample; exposure measured in pregnancy, so timing is posterior to the outcome.",,
W4391359389,10.1111/1471-0528.17756,2024,Exposure to microplastics and human reproductive outcomes: A systematic review,BJOG An International Journal of Obstetrics & Gynaecology,PRIMARY_EXPOSURE_TO_FERTILITY,plastic,plastic,1,RELEVANT,4,42,IMPORTANT — a systematic review of microplastic exposure and HUMAN reproductive outcomes. The reconnaissance found no such review; this is channel 1 for the microplastics half and it exists. Leakage wall applies.,,
