screen_id,verdict,cell,note,title_only
C2F0000,CONTEXT,THEORY,"Veblen, positional canon, no estimate",False
C2F0001,CONTEXT,THEORY,Hirsch Social Limits to Growth; title only,True
C2F0002,EXCLUDE,OFF_OTHER,no C.2.f exposure or no fertility outcome,False
C2F0003,EXCLUDE,OFF_OTHER,"economics of women, men and work; textbook",False
C2F0004,EXCLUDE,OFF_OTHER,no C.2.f exposure or no fertility outcome,False
C2F0005,CONTEXT,THEORY,"de la Croix & Doepke; model, and inequality is the OUTCOME",False
C2F0006,EXCLUDE,OFF_OTHER,"general income-inequality literature, no C.2.f exposure",False
C2F0007,CONTEXT,THEORY,"Schor, positional canon",False
C2F0008,EXCLUDE,INEQ_INVESTMENT,"Kornrich & Furstenberg; link 1, outcome is spending",False
C2F0009,EXCLUDE,OFF_OTHER,Wilkinson relative deprivation; health outcomes,True
C2F0010,BOUNDARY,QQ_BOUNDARY,Becker & Lewis; Wall 1; title only,True
C2F0011,EXCLUDE,OFF_OTHER,"general income-inequality literature, no C.2.f exposure",False
C2F0012,EXCLUDE,OFF_OTHER,"general income-inequality literature, no C.2.f exposure",True
C2F0013,CONTEXT,THEORY,Doepke & Zilibotti parenting style; no fertility outcome,False
C2F0014,EXCLUDE,OFF_OTHER,"general income-inequality literature, no C.2.f exposure",False
C2F0015,CONTEXT,WRONG_DIRECTION,sorting -> inequality; Wall 9,False
C2F0016,EXCLUDE,OFF_OTHER,"general income-inequality literature, no C.2.f exposure",False
C2F0017,EXCLUDE,OFF_OTHER,"general income-inequality literature, no C.2.f exposure",False
C2F0018,EXCLUDE,OFF_OTHER,"general income-inequality literature, no C.2.f exposure",False
C2F0019,EXCLUDE,INEQ_INVESTMENT,"Schneider et al; link 1, outcome is investment",False
C2F0020,EXCLUDE,OFF_OTHER,teen childbearing / socioeconomic disadvantage -> route D.3.c (Wall 7),False
C2F0021,EXCLUDE,OFF_OTHER,"general income-inequality literature, no C.2.f exposure",False
C2F0022,EXCLUDE,OFF_OTHER,"general income-inequality literature, no C.2.f exposure",False
C2F0023,CONTEXT,THEORY,"demographic transition, income distribution, growth; title only",True
C2F0024,CONTEXT,THEORY,Doepke et al survey,False
