work_id,doi,band,estimand_cell,identification,sub_mechanism,year,cited_by_count,oa_status,pdf_url,download_status,detail,bytes,file,title
W2114628399,https://doi.org/10.1162/qjec.2009.124.3.1057,identified_core,PRIMARY_NORM_INTENSITY,NATURAL_EXPERIMENT,NORM_INTENSITY,2009,808,closed,,failed,not_pdf_html_paywall,0,,The Power of TV: Cable Television and Women's Status in India *
W1953626533,https://doi.org/10.1086/653830,identified_core,PRIMARY_DIFFERENTIAL_STOPPING,REVEALED_STOPPING,STOPPING,2010,542,closed,,no_oa_url,closed,0,,Multiple Experiments for the Causal Link between the Quantity and Quality of Children
W1969699349,https://doi.org/10.2307/2061752,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,NATURAL_EXPERIMENT,SEXSEL_ABORTION,1994,453,bronze,,failed,not_pdf_html_paywall,0,,Five Decades of Missing Females in China
W2081239273,https://doi.org/10.1080/0032472031000150486,identified_core,PRIMARY_DIFFERENTIAL_STOPPING,REVEALED_STOPPING,STOPPING,1998,425,closed,,no_oa_url,closed,0,,"Son Preference, the Family-building Process and Child Mortality in India"
W2028267091,https://doi.org/10.1111/j.1467-937x.2008.00514.x,identified_core,PRIMARY_DIFFERENTIAL_STOPPING,REVEALED_STOPPING,STOPPING,2008,419,closed,,no_oa_url,closed,0,,The Demand for Sons
W2753884747,https://doi.org/10.1257/aer.20151282,identified_core,PRIMARY_DIFFERENTIAL_STOPPING,REVEALED_STOPPING,STOPPING,2017,411,closed,,no_oa_url,closed,0,,Why Are Indian Children So Short? The Role of Birth Order and Son Preference
W1967651727,https://doi.org/10.1080/0032472031000150076,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,NATURAL_EXPERIMENT,SEXSEL_ABORTION,1997,386,closed,,no_oa_url,closed,0,,Fertility Decline and Increased Manifestation of Sex Bias in India
W2095306122,https://doi.org/10.3368/jhr.45.1.87,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,NATURAL_EXPERIMENT,SEXSEL_ABORTION,2010,361,closed,,no_oa_url,closed,0,,The “Missing Girls” of China and the Unintended Consequences of the One Child Policy
W2078703033,https://doi.org/10.1111/j.1728-4457.2007.00196.x,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,NATURAL_EXPERIMENT,SEXSEL_ABORTION,2007,305,green,,failed,empty_or_tiny,0,,The Decline of Son Preference in South Korea: The Roles of Development and Public Policy
W2099051375,https://doi.org/10.1111/j.1728-4457.2013.00574.x,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,REVEALED_STOPPING,SEXSEL_ABORTION,2013,229,closed,,no_oa_url,closed,0,,Son Preference and the Persistence of Culture: Evidence from South and East Asian Immigrants to Canada
W2057390815,https://doi.org/10.1007/s13524-011-0055-y,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,NATURAL_EXPERIMENT,SEXSEL_ABORTION,2011,224,bronze,,failed,not_pdf_html_paywall,0,,Estimating the Effect of the One-Child Policy on the Sex Ratio Imbalance in China: Identification Based on the Differenc
W1982754848,https://doi.org/10.1111/j.1728-4457.2005.00082.x,identified_core,PRIMARY_DIFFERENTIAL_STOPPING,REVEALED_STOPPING,STOPPING,2005,219,closed,,no_oa_url,closed,0,,Explaining Asia's “Missing Women”: A New Look at the Data
W2125803901,https://doi.org/10.1353/dem.2006.0010,identified_core,PRIMARY_DIFFERENTIAL_STOPPING,REVEALED_STOPPING,STOPPING,2006,177,closed,,no_oa_url,closed,0,,Gendering family composition: Sex preferences for children and childbearing behavior in the Nordic countries
W2939493992,https://doi.org/10.1086/701030,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,NATURAL_EXPERIMENT,SEXSEL_ABORTION,2018,167,closed,,no_oa_url,closed,0,,Land Reform and Sex Selection in China
W2080037483,https://doi.org/10.1353/jhr.2013.0003,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,NATURAL_EXPERIMENT,SEXSEL_ABORTION,2013,166,closed,,no_oa_url,closed,0,,Prenatal Sex Selection and Missing Girls in China: Evidence from the Diffusion of Diagnostic Ultrasound
W1982250044,https://doi.org/10.1007/s13524-011-0030-7,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,NATURAL_EXPERIMENT,SEXSEL_ABORTION,2011,145,bronze,,failed,not_pdf_html_paywall,0,,Estimating a Dynamic Model of Sex Selection in China
W2058483567,https://doi.org/10.1111/j.1728-4457.2007.00173.x,identified_core,PRIMARY_SEXSEL_SUBSTITUTION,REVEALED_STOPPING,SEXSEL_ABORTION,2007,145,closed,,no_oa_url,closed,0,,An Increase in the Sex Ratio of Births to India‐born Mothers in England and Wales: Evidence for Sex‐Selective Abortion
