effect_id,study_id,study,pdf_filename,cell,region,phenomenon,estimand,predictor,outcome,sample,period,design,isolates_from_parity_A8,isolates_from_mortality_A1,effect_type,effect_value,ci_lower,ci_upper,se,direction,significant,is_primary_estimate,poolable,sign_vs_d2c,source_locator,source_type,verified_by,notes
d2c_001,dahl_moretti_2008,"Dahl & Moretti (2008), The Demand for Sons, Review of Economic Studies 75(4):1085-1120",W2166888609__the-demand-for-sons-evidence-from-divorce-fertility-and-shot.pdf,PRIMARY_DIFFERENTIAL_STOPPING,US (+ international),SDT,son preference -> P(another birth) via differential stopping,first two children both girls vs both boys,"P(3rd child), families with 2+ children","US Census currently-married mothers 18-40, N=2,326,339",1940-2000,"revealed stopping, sex composition as-good-as-random",yes,yes,"marginal effect, linear probability",0.0089,,,0.0009,supports,True,True,True,+,Table 8 col (2) p.52,pdf_table_or_text,ai_extraction_agent_2026-09-24,"all-boy baseline P=0.382, so +2.34%; the headline US differential-stopping estimate"
d2c_002,dahl_moretti_2008,"Dahl & Moretti (2008), The Demand for Sons, Review of Economic Studies 75(4):1085-1120",W2166888609__the-demand-for-sons-evidence-from-divorce-fertility-and-shot.pdf,PRIMARY_DIFFERENTIAL_STOPPING,US (+ international),SDT,"son preference -> P(another birth), near-completed fertility",first two children both girls vs both boys,"P(3rd child), families with 2+ children","Longitudinal CA birth certificates, N=231,811",1989-2001,"revealed stopping, longitudinal near-completed fertility",yes,yes,"marginal effect, linear probability",0.0126,,,0.0026,supports,True,False,True,+,Table 9 col (2) p.54,pdf_table_or_text,ai_extraction_agent_2026-09-24,"baseline 0.308, +4.08%; larger than Census because fertility is near-complete"
d2c_003,dahl_moretti_2008,"Dahl & Moretti (2008), The Demand for Sons, Review of Economic Studies 75(4):1085-1120",W2166888609__the-demand-for-sons-evidence-from-divorce-fertility-and-shot.pdf,PRIMARY_DIFFERENTIAL_STOPPING,US (+ international),SDT,"son preference -> P(another birth), cleanest identification","3rd child girl vs boy conditional on first two = Girl,Boy (GBG vs GBB; 3rd sex random)",P(4th child),US Census,1940-2000,"revealed stopping, conditional on sib-sex order (least endogenous)",yes,yes,difference in marginal effects,0.0069,,,,supports,True,False,False,+,Table 8 col (3) p.52 / text p.25,pdf_table_or_text,ai_extraction_agent_2026-09-24,the least-endogenous estimate; combined SE not reported so not poolable
d2c_004,dahl_moretti_2008,"Dahl & Moretti (2008), The Demand for Sons, Review of Economic Studies 75(4):1085-1120",W2166888609__the-demand-for-sons-evidence-from-divorce-fertility-and-shot.pdf,PRIMARY_DIFFERENTIAL_STOPPING,US (+ international),SDT,"son preference -> P(another birth), CHINA (international extension)",first two children both girls vs both boys,"P(3rd child), families with 2+ children",China census microdata,c.1990s,revealed stopping (same estimand as US),yes,yes,"marginal effect, linear probability",0.199,,,0.0061,supports,True,False,True,+,Table 14 p.60,pdf_table_or_text,ai_extraction_agent_2026-09-24,"baseline 0.365, +54%; the magnitude gradient — Asia an order of magnitude above the US"
d2c_005,dahl_moretti_2008,"Dahl & Moretti (2008), The Demand for Sons, Review of Economic Studies 75(4):1085-1120",W2166888609__the-demand-for-sons-evidence-from-divorce-fertility-and-shot.pdf,PRIMARY_DIFFERENTIAL_STOPPING,US (+ international),SDT,"son preference -> P(another birth), VIETNAM (international extension)",first two children both girls vs both boys,P(3rd child),Vietnam census,c.1990s,revealed stopping (same estimand as US),yes,yes,"marginal effect, linear probability",0.0871,,,,supports,True,False,False,+,Table 14 p.60,pdf_table_or_text,ai_extraction_agent_2026-09-24,"baseline 0.4875; Mexico +2.30pp, Kenya +2.02pp, Colombia +0.50pp reported too"
d2c_006,dahl_moretti_2008,"Dahl & Moretti (2008), The Demand for Sons, Review of Economic Studies 75(4):1085-1120",W2166888609__the-demand-for-sons-evidence-from-divorce-fertility-and-shot.pdf,PRIMARY_NORM_INTENSITY,US (+ international),SDT,son preference norm intensity (stated preference),respondent is male vs female,P(states preference for a boy | has a preference),"Gallup 2000/2003 US, N=1,325",2000-2003,probit on stated preference,n/a,n/a,probit marginal effect,0.2335,,,,supports,True,False,False,+,Table 11 p.57,pdf_table_or_text,ai_extraction_agent_2026-09-24,the demand for sons is father-driven; corroborates but does not measure realized fertility
d2c_007,almond_li_zhang_2013,"Almond, Li & Zhang (2013/2017), Land Reform and Sex Selection in China, NBER WP 19153",W1934462296__land-reform-and-sex-selection-in-china.pdf,PRIMARY_SEXSEL_SUBSTITUTION,Rural China,SDT,son preference (economic value of sons) -> sex ratio at birth via sex selection,land reform x first child is girl,P(2nd child is male | first is girl),"914 rural counties, 1% 1990 Census",births 1974-1986; reform 1978-1984,county event-study / DiD (natural experiment),yes,yes,LPM effect on fraction male,0.03,0.0222,0.0378,0.004,supports-substitution,True,True,False,+,Table 1 Panel B col (2) p.13,pdf_table_or_text,ai_extraction_agent_2026-09-24,"+3.0pp probability 2nd child male after a firstborn girl; LPM on fraction-male, not log-SRB, so not directly poolable"
d2c_008,almond_li_zhang_2013,"Almond, Li & Zhang (2013/2017), Land Reform and Sex Selection in China, NBER WP 19153",W1934462296__land-reform-and-sex-selection-in-china.pdf,PRIMARY_SEXSEL_SUBSTITUTION,Rural China,SDT,placebo: sex selection at first birth (should be null),"land reform x event time, first child",P(first child male),914 rural counties,1974-1986,county event-study placebo,yes,yes,trend break in fraction male,-0.001,-0.0029,0.001,0.001,null,False,False,False,0,Table 1 Panel A col (1) p.13,pdf_table_or_text,ai_extraction_agent_2026-09-24,no sex selection at first birth (not subject to son preference given stopping) — validates design
d2c_009,almond_li_zhang_2013,"Almond, Li & Zhang (2013/2017), Land Reform and Sex Selection in China, NBER WP 19153",W1934462296__land-reform-and-sex-selection-in-china.pdf,PRIMARY_DIFFERENTIAL_STOPPING,Rural China,SDT,son preference -> differential fertility continuation (should be null here),land reform x first child is girl,ln(number of second births),914 rural counties,1974-1986,OLS county-by-year,yes,yes,OLS coefficient (log births),-0.027,-0.0976,0.0436,0.036,null,False,True,False,0,Table 3 col (3) p.17,pdf_table_or_text,ai_extraction_agent_2026-09-24,"KEY NULL: land reform raises sex selection but NOT differential continuation — son preference here works through the sex ratio, not extra births (regime-dependence)"
d2c_010,almond_li_zhang_2013,"Almond, Li & Zhang (2013/2017), Land Reform and Sex Selection in China, NBER WP 19153",W1934462296__land-reform-and-sex-selection-in-china.pdf,PRIMARY_SEXSEL_SUBSTITUTION,Rural China,SDT,aggregate demographic contribution,land reform (economic value of sons),share of 1978-86 rural sex-ratio rise attributable to land reform,rural China,1978-1986,decomposition,yes,yes,share of aggregate SRB change,0.58,,,,supports-substitution,True,False,False,+,text p.15 / fn 19,pdf_table_or_text,ai_extraction_agent_2026-09-24,"~58% of the 1978-86 rise in rural sex ratios (~1 million missing girls); derived quantity, no SE"
