id,title,year,doi,oa_status,n_candidate_urls,source,status,detail,words,path
W2885614896,Factors influencing adolescents’ access to and utilisation of safe abortion services in the Upper East region of Ghana,2016,,closed,1,cached,retrieved,,19613,literature/pdfs/stigma-reduction-contraception-abortion/W2885614896__factors-influencing-adolescents-access-to-and-utilisation-of-s.txt
W7168518835,Tailored and Interactive Mobile Telehealth Contraceptive Counseling Compared With In-Person Care: Systematic Review and Meta-Analysis of Randomized Co,2026,10.2196/88887,gold,3,europepmc_xml,retrieved,"7,738 words","7,738",literature/pdfs/stigma-reduction-contraception-abortion/W7168518835__tailored-and-interactive-mobile-telehealth-contraceptive-couns.txt
W7165854256,Tailored and Interactive Mobile Telehealth Contraceptive Counseling Compared With In-Person Care: Systematic Review and Meta-Analysis of Randomized Co,2025,10.2196/preprints.88887,gold,1,,unavailable,all 1 candidate url(s) failed,,
W4231166027,Family Planning Programs for the 21st Century: Rationale and Design,2012,10.31899/rh11.1016,gold,1,,unavailable,all 1 candidate url(s) failed,,
W2571358951,Correlates of Contraceptive Use and Health Facility Choice among Young Women in Malawi,2016,10.1177/0002716216678591,green,2,,unavailable,all 2 candidate url(s) failed,,
W2109708169,"Knowledge and use of family planning methods and services in west Yimbo division, Bondo district, western Kenya",2012,10.14989/169672,green,4,dspace_rest,retrieved,"http 200, 213 KB; 8,932 words","8,932",literature/pdfs/stigma-reduction-contraception-abortion/W2109708169__knowledge-and-use-of-family-planning-methods-and-services-in-w.txt
W3153104329,Effects of family planning on fertility behaviour across the demographic transition,2021,10.1038/s41598-021-86180-8,gold,2,best_oa_location,retrieved,"http 200, 1999 KB; 9,632 words","9,632",literature/pdfs/stigma-reduction-contraception-abortion/W3153104329__effects-of-family-planning-on-fertility-behaviour-across-the-d.txt
W171539392,Excess Fertility and Family Planning in Rwanda : Understanding the shift to a high contraceptive prevalence country,2014,,closed,0,,unavailable,no candidate url,,
W2284204841,The public and private sector family planning supply environments and their influence on contraceptive use in urban Nigeria,2019,10.17615/0fk7-fr51,green,1,,unavailable,all 1 candidate url(s) failed,,
W2805409943,"Community and health systems barriers and enablers to family planning and contraceptive services provision and use in Kabwe District, Zambia",2018,10.1186/s12913-018-3136-4,gold,2,europepmc_xml,retrieved,"5,637 words","5,637",literature/pdfs/stigma-reduction-contraception-abortion/W2805409943__community-and-health-systems-barriers-and-enablers-to-family-p.txt
W2124099101,Barriers to family planning service use among the urban poor in Pakistan,2005,10.18356/e54a6ab6-en,closed,0,,unavailable,no candidate url,,
W2086018683,The Long-term Demographic Role of Community-based Family Planning in Rural Bangladesh,1996,10.2307/2137954,closed,0,,unavailable,no candidate url,,
W4220840589,Modern contraceptive use among adolescent girls and young women in Benin: a mixed-methods study,2022,10.1136/bmjopen-2021-054188,gold,1,,unavailable,all 1 candidate url(s) failed,,
W1567212772,Modern contraceptive use among women in the Asuogyaman district of Ghana: is reliability more important than health concerns?,2013,,green,2,best_oa_location,retrieved,"http 200, 843 KB; 8,114 words","8,114",literature/pdfs/stigma-reduction-contraception-abortion/W1567212772__modern-contraceptive-use-among-women-in-the-asuogyaman-distric.txt
W2121978793,"Factors that influence contraceptive use amongst women in Vanga health district, Democratic Republic of Congo",2014,10.4102/phcfm.v6i1.599,gold,1,best_oa_location,retrieved,"http 200, 563 KB; 5,146 words","5,146",literature/pdfs/stigma-reduction-contraception-abortion/W2121978793__factors-that-influence-contraceptive-use-amongst-women-in-vang.txt
W4387670899,Enablers and barriers of male involvement in the use of modern family planning methods in Eastern Uganda: a qualitative study,2023,10.1186/s40834-023-00251-x,gold,3,europepmc_xml,retrieved,"6,375 words","6,375",literature/pdfs/stigma-reduction-contraception-abortion/W4387670899__enablers-and-barriers-of-male-involvement-in-the-use-of-modern.txt
