id,batch,stratum,read_mode,cell,outcome_level,dose_unit,phenomenon_window,estimator_class,stigma_object,stigma_bearer,second_read_required,note
W108787496,1,S1_DECISIVE,exhaustive,LINK_NORM_USE,USE,NONE,FDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,done,"FULL TEXT READ (40,538 words, DSpace REST). Rajan, Duke 2014. Ch4 'Community Norms and the Use of Contraception to Space or Stop' is A.6's exposure almost exactly - community norms, community-borne, method availability not the varying quantity - estimated by multilevel logit with community-level predictors. But its dependent variable (sec 4.4.1) is CONTRACEPTIVE USE, reported as odds of spacing and odds of stopping. Ch3's dependent variable is Desired Family Size (education exposure, two-way FE). Ch2 has a fertility outcome but its exposure is an accounting decomposition, not a norm. So ruling 2 makes this LINK_NORM_USE: the best-designed record in the chapter, and not the chapter's parameter. Second read flagged because reclassifying the highest-prior record in the pool should not rest on one reader. SECOND READ CONFIRMED: only DVs are Desired Family Size (Poisson) and Contraceptive Use (multilevel logit, Tables 15-18); no table pairs a norm regressor with a fertility outcome."
W2971700421,1,S2_BRIDGE,exhaustive,CONTEXT_STIGMA_MEASURE,STATED_ATTITUDE,NONE,SDT,DESCRIPTIVE,MIXED,SELF,no,"Rubric rule 6: scale development and validation is explicitly not an effect estimate. Constructs and validates a contraception/abortion stigma scale in Kenya. Instrument paper - likely the right instrument for a future study, not a study."
W2895044036,1,S2_BRIDGE,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,SELF,no,"Rule 6: qualitative study of 	women's experiences of decision-making preceding induced abortion, Kisumu. No outcome across units."
W2965713629,1,S2_BRIDGE,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,SELF,no,"Rule 6: qualitative, sixteen Tibetan women in Lhasa. Explicitly notes abortion is legal, safe and available there, so legality and supply are not the binding constraint - substantively interesting for ruling 1 but not an estimate."
W61288844,1,S2_BRIDGE,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,OTHER_LOUD,ABORTION,SELF,no,Rule 6: presents a conceptual framework for pathways to abortion care. estimator_class OTHER_LOUD - a framework is not a design and must not be silently coded DESCRIPTIVE.
W4403613268,1,S2_BRIDGE,exhaustive,INSUFFICIENT_INFO,NONE,NONE,SDT,OTHER_LOUD,ABORTION,COMMUNITY,blocked,"SECOND READ CHANGED THIS CALL: was CONTEXT_STIGMA_MEASURE assigned on the title alone, since OpenAlex holds no abstract. The second read establishes only that it cannot be established - oa_status closed at Springer (10.1007/s12116-024-09444-0), no OA copy anywhere. A title-based cell behind a permanent second-read flag would be a false resolution, so this reverts to unresolved and goes on the library wantlist."
W3127358436,1,S2_BRIDGE,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,NEITHER,OTHER_LOUD,FAMILY_PLANNING,INSTITUTIONAL,no,"ICPD 1994 Programme of Action. Rule 6: policy declaration. Appears as a bridge because both canons cite it, which is a fact about the field's shared reference points and not about evidence."
W2885614896,1,S2_BRIDGE,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,OTHER_LOUD,ABORTION,PROVIDER,no,"FULL TEXT READ (19,613 words). Aladago 2016, KIT/VU Amsterdam MPH thesis, literature-based. Outcome is access to and utilisation of safe abortion services; stigma appears as one barrier bundled with distance, cost, provider attitudes and legal awareness, with no separate dose on the norm component. Rule 5 fires before rule 6: MIXED_NORM_SUPPLY, routed to A.5. estimator_class OTHER_LOUD - an MPH review thesis is not one of the listed designs."
W1483679835,1,S2_BRIDGE,exhaustive,OFF_OTHER,NONE,NONE,NEITHER,OTHER_LOUD,MIXED,SELF,no,Handbook of Social Psychology. Fails rule 1: fertility control is not the behaviour at issue. A bridge only because the stigma canon cites general stigma theory through it - this is the citation-structure analogue of the 148-record HIV-stigma contamination in scope section 8.
W4224236986,1,S3_DESIGN_USE,exhaustive,LINK_NORM_USE,USE,DERIVABLE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,done,"VERIFIED FULL-TEXT READ (9,619 words, Europe PMC PMC9177776). Supersedes the note written by 418, which reached the right cell from keyword greps and ~2,500 characters of context and asserted more than it had read. McLoughlin Brooks and Weitzman, Demography 59(3) 2022. DESIGN: RDSL, women 18-19 at baseline, Genesee County MI, weekly journal surveys over 2.5 years with attitudes refreshed every 12 weeks; analytic sample 39,806 person-weeks across 680 women, Christian denominations, unmarried and non-pregnant weeks. Mediation is the paper's own framing. MEASURES, corrected: the 0-4 item is 'birth control is MORALLY WRONG', an internal moral belief and therefore nearer D.1.a under wall 5. The measure that is squarely A.6's construct is one 418 never saw - 'friends' approval of sex WITHOUT birth control' on a 0-5 scale, with parents' and friends' approval of sex - the normative-environment block, i.e. social cost borne by others' judgment. The record therefore contains BOTH sides of wall 5, separately measured, which is a stronger basis for LINK_NORM_USE than 418 gave and the cleanest empirical statement of the A.6/D.1.a distinction in the corpus. Outcome remains weekly intercourse, hormonal contraceptive use and condom use, so ruling 2 keeps it link evidence. WRINKLE FOR SECTION 11: the paper's 'contraceptive work-around' runs against A.6's predicted sign - religious women who do have sex may use hormonal contraception MORE, to conceal stigmatised nonmarital activity, so stigma of premarital sex raises use while stigma of contraception lowers it."
W7168518835,1,S3_DESIGN_USE,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,OTHER_LOUD,CONTRACEPTION,PROVIDER,no,"Rule 5: exposure is telehealth counselling provision, which is programme supply and therefore A.5. Also a systematic review under rule 6. VERSION PAIR with W7165854256 - see log, an instance of TICK-084."
W7165854256,1,S3_DESIGN_USE,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,OTHER_LOUD,CONTRACEPTION,PROVIDER,no,"Duplicate version of W7168518835 - same title, 2025 and 2026, both zero cites. Retained as its own row so the version pair is visible in the data rather than silently merged; an instance of TICK-084."
W4231166027,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W4252152958,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,Arabic translation of position 4; both are duplicate versions of seed Casterline 2000 that 409 could not exclude because their ids differ. TICK-084 shape.
W3004368032,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"Turnaway Study. Exposure is abortion denial and the outcome is psychological wellbeing, not fertility - fails rule 7 on the outcome, not on the exposure."
W4252042267,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,Duplicate version of seed Casterline 2000.
W4240894379,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,Duplicate version of seed Casterline 2001.
W2562118812,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4288385626,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2129457044,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W2233086909,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2073112486,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,Kohler-style social-interaction account; A.3 owns arrival of the idea.
W2780441707,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W2112312272,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,REALIZED,NONE,FDT,OTHER_LOUD,CONTRACEPTION,COMMUNITY,no,"FULL TEXT READ after OCR (19,183 words, 548/page). Caldwell, PDR 1999 - note OpenAlex and the Wiley filename disagree on the year; the watermark and DOI say 1999. A historical-interpretive essay arguing that MORAL AND RELIGIOUS disapproval of contraception delayed the decline in English-speaking countries below what economic conditions had already made inevitable: 'moral' 39 times, 'religious'/'religion' 22, 'taboo' 3, 'acceptability' 4. Zero regressions and one table, so rule 6 gives context. Matters anyway as the ONLY substantial FDT-phenomenon treatment of A.6 in the corpus; belongs in chapter section 2 beside Prettner and Strulik."
W2571358951,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W4311349480,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,Survey-methodology study of abortion under-reporting.
W2156577278,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W4390231138,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4211053950,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2895706017,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,Version pair with position 17.
W2109708169,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
