id,cell,year,title,recovered,route,n_alt_locations,pmcid,text
W4281381859,PRIMARY_OFFSET_STOPPING,2022,Mothers with higher twinning propensity had lower fertility in pre-industrial Europe,YES,citation_pdf_url:https://www.nature.com/articles/s41467-022-30366-9,10,-,OK
W2121466085,PRIMARY_OFFSET_STOPPING,2011,Twinning in humans: maternal heterogeneity in reproduction and survival,no,-,3,-,-
W2035695174,PRIMARY_OFFSET_STOPPING,2012,Why is lifetime fertility higher in twinning women?,no,-,3,-,-
W4244451480,PRIMARY_OFFSET_STOPPING,2020,Testing the twin testosterone transfer hypothesis—intergenerational analysis of 317 dizygo,no,-,4,-,-
W2922591672,PRIMARY_OFFSET_STOPPING,2019,Evidence that prenatal testosterone transfer from male twins reduces the fertility and soc,no,-,5,-,-
W2127779850,PRIMARY_OFFSET_STOPPING,2001,The fitness of twin mothers: evidence from rural Gambia,YES,alt_location:http://eprints.lse.ac.uk/248/1/Sear_twins_eprint.pdf,6,-,OK
W2131169732,PRIMARY_OFFSET_STOPPING,2007,Male twins reduce fitness of female co-twins in humans,no,-,3,-,-
W4391730891,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2024,Human Capital Investments and Family Size in Italy: IV Estimates Using Twin Births as an I,no,-,2,-,-
W3203445415,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2021,The casual effect of fertility: The multiple problems with instrumental variables for the ,no,-,3,-,-
W3006048519,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2017,Instrumental variables based on twin births are by definition not valid (v.3.0),no,-,3,-,-
W2189593527,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2016,Testing the quantity-quality model of fertility: Estimation using unrestricted family size,no,-,3,-,-
W2286204193,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2015,The impact of children on women’s labour supply and earnings in the UK: evidence using twi,no,-,4,-,-
W2159089697,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2012,The Changing Impact of Family Size on Adolescents’ Schooling: Assessing the Exogenous Vari,no,-,4,-,-
W2904285627,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2019,The Twin Instrument: Fertility and Human Capital Investment,no,-,2,-,-
W4415313865,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2025,The Heterogeneous Impact of Children on Maternal Employment: Evidence From East and West G,no,-,5,-,-
W2611194184,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2017,The Effects of Gender Composition and Fertility on Motherss Marital Status and Labor Suppl,no,-,1,-,-
W2466738581,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2005,The more the merrier? The effect of family size and birth children’s education,no,-,2,-,-
W2119175127,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2008,The quantity-Quality trade-Off of children In a developing country: Identification using c,no,-,5,-,-
W585763576,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2013,When a Little Dirt Doesn’t Hurt : The Effect of Family Size on Child Health Outcomes,no,-,2,-,-
W2107668267,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2009,"Impact of Sibship Size, Birth Order and Sex Composition on School Enrolment in Urban Turke",no,-,3,-,-
W2497065997,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2016,The Causal Effects of the Number of Children on Female Employment - Do European Institutio,no,-,3,-,-
W2010791397,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2012,Can We Still Learn Something From the Relationship Between Fertility and Mother’s Employme,no,-,3,-,-
W1602351443,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2009,Essays on Labor and Demographic Economics: Dissertation Summary,no,-,2,-,-
W2569158017,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2017,A dilemma of fertility and female labor supply: Identification using Taiwanese twins,YES,citation_pdf_url:https://repositorio.unal.edu.co/bitstreams/5d1bc4a,3,-,OK
W3080682166,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2020,Twice the Trouble: Twinning and the Cost of Voting,YES,alt_location:https://curis.ku.dk/ws/files/313055885/711301.pdf,3,-,OK
W4205368078,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2022,Family Size and Men’s Labor Market Outcomes: Do Social Beliefs About Men’s Roles in the Fa,YES,alt_location:https://umu.diva-portal.org/smash/get/diva2:1630958/FULLTEXT,4,-,OK
W7164887640,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2026,Family first: the causal effect of family size on cultural participation,no,-,1,-,-
W2905386454,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2018,THE LABOR MARKET CONSEQUENCES OF TEENAGE CHILDBEARING,no,-,3,-,-
W2145563781,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2007,The causal effect of family size on child labor and education,no,-,4,-,-
W2253718681,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2019,The effect of family size on education: new evidence from China's one-child policy,YES,alt_location:https://docs.iza.org/dp9196.pdf,7,-,OK
W2087987337,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,1980,Life-Cycle Labor Supply and Fertility: Causal Inferences from Household Models,no,-,3,-,-
W2120316448,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2007,Fertility in Developing Countries,YES,citation_pdf_url:https://ageconsearch.umn.edu/record/10119/files/dp,2,-,OK
W2587029746,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2017,The effect of number of siblings on adult mortality: Evidence from Swedish registers for c,YES,alt_location:http://eprints.lse.ac.uk/67372/7/Barclay_Effect_of_the_Numbe,5,-,OK
W1512459336,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2009,The Impact of Sibling Sex Composition on Women's Educational Achievements: A Unique Natura,no,-,2,-,-
W4206199864,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2021,Essays in Applied Microeconomics,no,-,1,-,-
W3025328423,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2020,The Effect of Sibling Size on Children’s Educational Attainment: Evidence From Indonesia,no,-,2,-,-
W1492634214,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2008,BIRTH SPACING EFFECT ON CHILDREN’S ATTAINMENTS: INDENTIFICATION USING INSTRUMENT VARIABLES,no,-,4,-,-
W4416339302,SECONDARY_ART_MULTIPLES,2025,Multiple births in an era of assisted reproduction and delayed motherhood: Evidence from C,YES,alt_location:https://publications.cuni.cz/bitstream/20.500.14178/3514/1/2,3,-,OK
W2150715287,SECONDARY_ART_MULTIPLES,2007,"Increasing twinning rates in Norway, 1967–2004: the influence of maternal age and assisted",no,-,2,-,-
W2156036089,SECONDARY_ART_MULTIPLES,2010,"RE: ""ESTIMATION OF THE CONTRIBUTION OF NON-ASSISTED REPRODUCTIVE TECHNOLOGY OVULATION STIM",no,-,2,-,-
W2129365860,SECONDARY_ART_MULTIPLES,2008,Monozygotic twinning associated with assisted reproductive technologies: a review,no,-,2,-,-
W4367669110,SECONDARY_ART_MULTIPLES,2023,Twin birth rates and obstetric interventions in Iceland: A nationwide study from 1997 to 2,YES,alt_location:https://opinvisindi.is/bitstreams/42bdaa96-2db0-4ff1-b3ac-17,4,-,OK
W2134088873,SECONDARY_ART_MULTIPLES,2004,"Multiple gestation and infertility treatment: registration, reflection and reaction—the Be",no,-,5,-,-
W2094795239,SECONDARY_ART_MULTIPLES,2015,Embryo transfer practices and multiple births resulting from assisted reproductive technol,no,-,3,-,-
W1974932887,SECONDARY_ART_MULTIPLES,2007,Multiple-Gestation Pregnancies after Assisted Reproductive Technology Treatment: Populatio,no,-,2,-,-
W4379509030,SECONDARY_ART_MULTIPLES,2023,Evaluation of Assisted Reproductive Technology Health Insurance Coverage for Multiple Preg,no,-,4,-,-
W2012722597,SECONDARY_ART_MULTIPLES,2007,The relative contribution of assisted reproductive technologies and ovulation induction to,no,-,2,-,-
W1989325480,SECONDARY_ART_MULTIPLES,2012,Ovarian stimulation and intrauterine insemination at the quarter centennial: implications ,no,-,2,-,-
W3181904105,SECONDARY_ART_MULTIPLES,2021,"Trend of medically induced monozygotic twin deliveries according to age, parity, and type ",no,-,5,-,-
W2118961481,SECONDARY_ART_MULTIPLES,2005,"Trends in embryo transfer practices and multiple gestation for IVF procedures in the USA, ",no,-,2,-,-
W2086970734,SECONDARY_ART_MULTIPLES,2003,Infertility therapy-associated multiple pregnancies (births): an ongoing epidemic,no,-,2,-,-
W2430933230,SECONDARY_ART_MULTIPLES,2015,Assisted reproductive medicine in Poland – Fertility and Sterility Special Interest Group ,no,-,3,-,-
W2521861472,SECONDARY_ART_MULTIPLES,2016,Population trends and live birth rates associated with common ART treatment strategies,no,-,3,-,-
W3046588085,SECONDARY_ART_MULTIPLES,2020,"ART in Europe, 2016: results generated from European registries by ESHRE†",no,-,6,-,-
W4395466609,SECONDARY_ART_MULTIPLES,2024,Multifetal Pregnancy After Implementation of a Publicly Funded Fertility Program,no,-,3,-,-
W2601559204,SECONDARY_ART_MULTIPLES,2017,Re-Thinking Elective Single Embryo Transfer: Increased Risk of Monochorionic Twinning - A ,no,-,2,-,-
W2086723251,SECONDARY_ART_MULTIPLES,2008,Impact of blastocyst transfer on offspring sex ratio and the monozygotic twinning rate: a ,no,-,3,-,-
W2159003695,SECONDARY_ART_MULTIPLES,2005,Randomized single versus double embryo transfer: obstetric and paediatric outcome and a co,no,-,3,-,-
W2052612486,SECONDARY_ART_MULTIPLES,2009,Single-embryo transfer reduces clinical pregnancy rates and live births in fresh IVF and I,no,-,8,-,-
W2110106024,SECONDARY_ART_MULTIPLES,2013,Number of embryos for transfer following in vitro fertilisation or intra-cytoplasmic sperm,no,-,6,-,-
