id,doi,cell,year,title,oa_status,fetch,fetch_note,text,text_note,url
W4281381859,10.1038/s41467-022-30366-9,PRIMARY_OFFSET_STOPPING,2022,Mothers with higher twinning propensity had lower fertility in pre-industrial Europe,gold,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://doi.org/10.1038/s41467-022-30366-9
W2121466085,10.1098/rspb.2011.0573,PRIMARY_OFFSET_STOPPING,2011,Twinning in humans: maternal heterogeneity in reproduction and survival,green,FAILED,"not a PDF — publisher returned b'\n<!D' (http 200); route blocked, not closed",-,-,https://www.ncbi.nlm.nih.gov/pmc/articles/3203505
W2035695174,10.1098/rspb.2012.0191,PRIMARY_OFFSET_STOPPING,2012,Why is lifetime fertility higher in twinning women?,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2012.0191
W4391400456,10.1017/thg.2024.2,PRIMARY_OFFSET_STOPPING,2024,Family History of Twinning and Fertility Traits in Nigerian Mothers of Dizygotic Twins,hybrid,OK,"http 200, 807kb",OK,29kb text,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/75E98D054CD657A6653A41DC5BD3DD2B/S1832427424000021a.pdf/div-class-title-family-history-of-twinning-and-fertility-traits-in-nigerian-mothers-of-dizygotic-twins-div.pdf
W2017392762,10.1002/ajmg.a.32585,PRIMARY_OFFSET_STOPPING,2008,Familial twinning and fertility in Dutch mothers of twins,green,OK,"http 200, 120kb",OK,50kb text,https://research.vu.nl/ws/files/2326112/Hoekstra%20American%20Journal%20of%20Human%20Genetics%20146A(24)%202008%20u.pdf
W2099637660,10.4054/demres.2004.11.15,PRIMARY_OFFSET_STOPPING,2004,"Childbearing patterns for Swedish mothers of twins, 1961-1999",diamond,OK,"http 200, 275kb",OK,52kb text,https://www.demographic-research.org/volumes/vol11/15/11-15.pdf
W4244451480,10.1093/humrep/deaa091,PRIMARY_OFFSET_STOPPING,2020,Testing the twin testosterone transfer hypothesis—intergenerational analysis of 317 dizygo,hybrid,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://academic.oup.com/humrep/article-pdf/35/7/1702/33660433/deaa091.pdf
W3139670921,10.51964/hlcs9576,PRIMARY_OFFSET_STOPPING,2021,Maternal Life-Histories of Multiple Birth Mothers Compared to Singleton Only Mothers in 19,diamond,OK,"http 200, 198kb",OK,21kb text,https://hlcs.nl/article/download/9576/10104
W2922591672,10.1073/pnas.1812786116,PRIMARY_OFFSET_STOPPING,2019,Evidence that prenatal testosterone transfer from male twins reduces the fertility and soc,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://www.pnas.org/content/pnas/116/14/6749.full.pdf
W2127779850,10.1046/j.1420-9101.2001.00287.x,PRIMARY_OFFSET_STOPPING,2001,The fitness of twin mothers: evidence from rural Gambia,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1420-9101.2001.00287.x
W2131169732,10.1073/pnas.0605875104,PRIMARY_OFFSET_STOPPING,2007,Male twins reduce fitness of female co-twins in humans,green,FAILED,"not a PDF — publisher returned b'\n<!D' (http 200); route blocked, not closed",-,-,https://www.ncbi.nlm.nih.gov/pmc/articles/1904168
W4391730891,10.1515/bejeap-2022-0461,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2024,Human Capital Investments and Family Size in Italy: IV Estimates Using Twin Births as an I,hybrid,FAILED,empty body (http 202),-,-,https://www.degruyterbrill.com/document/doi/10.1515/bejeap-2022-0461/pdf
