id,job,doi,rung,ok,note,url
W2108883609,A1_COUNTERFACTUAL,10.1093/humrep/12.7.1582,none,False,route_blocked,
W2098199441,A1_COUNTERFACTUAL,10.1093/humrep/deh365,none,False,route_blocked,
W2507139686,A1_COUNTERFACTUAL,10.1016/j.rbmo.2016.08.010,none,False,route_blocked,
W3122787169,A1_COUNTERFACTUAL,10.1002/rmb2.12377,none,False,route_blocked,
W2284249410,A1_COUNTERFACTUAL,10.1186/s40738-015-0013-2,cached,True,already on disk,
W2056546771,A1_COUNTERFACTUAL,10.1016/j.fertnstert.2003.03.003,none,False,route_blocked,
W2081677772,A1_COUNTERFACTUAL,10.1016/j.fertnstert.2008.05.067,none,False,route_blocked,
W2017877508,A1_COUNTERFACTUAL,10.1007/s10815-005-6655-y,none,False,route_blocked,
W2134032204,A1_COUNTERFACTUAL,10.1093/humupd/dms045,none,False,route_blocked,
W2589554180,A1_COUNTERFACTUAL,10.1093/humupd/dmx001,none,False,route_blocked,
W2118329020,A1_COUNTERFACTUAL,10.1093/humrep/dep340,none,False,no_route,
W4415618346,A1_COUNTERFACTUAL,10.1186/s12905-025-04016-3,cached,True,already on disk,
W2168108597,A1_COUNTERFACTUAL,10.1093/humrep/deq152,none,False,route_blocked,
W2133367106,A1_COUNTERFACTUAL,10.1093/humrep/dep087,none,False,route_blocked,
W2990530582,A2_IDENTIFIED,10.1257/app.20180780,none,False,route_blocked,
W2564237600,A2_IDENTIFIED,,none,False,route_blocked,
W3048610328,A2_IDENTIFIED,10.1016/j.euroecorev.2020.103645,none,False,route_blocked,
W2314649439,A2_IDENTIFIED,10.1056/nejmc1213687,none,False,route_blocked,
W2123939717,A2_IDENTIFIED,10.1007/s10815-015-0530-2,none,False,route_blocked,
W2959688822,A2_IDENTIFIED,10.12927/hcpol.2019.25855,cached,True,already on disk,
W1781338173,A2_IDENTIFIED,10.3233/ppl-2007-00168,none,False,no_route,
W2134649289,A2_IDENTIFIED,10.1186/1472-6963-12-142,cached,True,already on disk,
W2100587346,A2_IDENTIFIED,10.1093/humrep/det302,none,False,no_route,
W3115571668,A2_IDENTIFIED,10.3897/popecon.4.e59062,cached,True,already on disk,
W4393989606,A2_IDENTIFIED,10.1038/s41598-024-58640-4,cached,True,already on disk,
W1576616858,A2_IDENTIFIED,10.1016/j.jhealeco.2006.10.012,none,False,route_blocked,
W2058178715,A2_IDENTIFIED,10.3386/w17668,cached,True,already on disk,
W1860640930,A2_IDENTIFIED,10.3386/w12820,cached,True,already on disk,
W1490189814,A2_IDENTIFIED,10.2139/ssrn.1867052,none,False,route_blocked,
