id,tier,design,route,title,doi,rung,outcome,note,url
W7161410500,T1_wall1_packet,cannot_tell,MIXED_PRICE_ARRANGEMENT,"Infrastructure and the American Family: Material Conditions, Household",10.2139/ssrn.6754062,none,route_blocked,route_blocked:403:words=3:sections=0,
W7164878078,T1_wall1_packet,cannot_tell,MIXED_PRICE_ARRANGEMENT,"Housing Careers and Demographic Change: Life Courses, Inequality, and ",10.1016/b978-0-443-44207-0.00009-2,none,no_url,no_candidate_url,
W4409225230,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,Aging Population and Lower Fertility Affect Housing Market,10.62986/pn2025.07,none,no_url,no_candidate_url,
W4389069534,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,Why do young adults coreside with their parents?,10.1111/1540-6229.12467,none,route_blocked,route_blocked:403:words=3:sections=0,
W4386826586,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,"The trifecta of adulthood: Housing, partnering and childbearing trajec",10.1016/j.alcr.2023.100577,none,route_blocked,route_blocked:200:words=1:sections=0,
W4391348501,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,Households and families,10.1332/policypress/9781447357667.003.0003,none,no_url,no_candidate_url,
W4385496510,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,LIVING ARRANGEMENT AND HOMEOWNERSHIP IMPACTS ON FERTILITY INTENTION TO,10.7454/jessd.v6i1.1145,none,route_blocked,route_blocked:403:words=124:sections=1,
W4311207666,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,"The Effect of Financial Resources on Homeownership, Marriage, and Fert",10.3386/w30743,0_deterministic,pdf,pdf:200,https://www.nber.org/system/files/working_papers/w30743/w30743.pdf
W3160060909,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,Childbearing Behavior in the Light of Different Housing Regimes: First,10.17045/sthlmuni.14555868.v1,none,route_blocked,route_blocked:202:words=0:sections=0,
W4226201035,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,ЖИЛИЩНЫЕ УСЛОВИЯ И ДЕТНОСТЬ: СВЯЗЬ И ВОЗМОЖНОСТИ ВЛИЯНИЯ,10.36004/nier.cdr.2021.15-20,none,empty_or_tiny,empty_or_tiny:000,
W3025493284,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,"Housing as a Fertility Trap: The Inability of States, Markets, or Fami",10.1177/0888325419897748,none,no_url,no_candidate_url,
W2791040281,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,Subsidized Housing and the Transition to Adulthood,10.1007/s13524-018-0656-9,none,route_blocked,route_blocked:403:words=3:sections=0,
W3125671386,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,Waking Up from the American Dream: On the Experience of Young American,10.1111/jmcb.12408,none,route_blocked,route_blocked:403:words=3:sections=0,
W4254615941,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,Housing Multigenerational Households in Australian Cities: Evidence fr,10.4324/9781315587110-8,none,no_url,no_candidate_url,
W2544536248,T1_wall1_packet,theory,MIXED_PRICE_ARRANGEMENT,Delayed and depressed: from expensive housing to smaller families,10.1080/14616718.2016.1241936,none,empty_or_tiny,empty_or_tiny:000,
W2548705618,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,The Impact of Housing Welfare System on Family Formation and Family Di,10.5339/qfarc.2016.sshapp2665,none,no_url,no_candidate_url,
W7111954011,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,A study on the characteristic of Household Living Arrangements in Taip,,none,no_url,no_candidate_url,
W3125001667,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,Do housing options affect child birth decisions? Evidence from Taiwan,10.1177/0042098015615742,none,no_url,no_candidate_url,
W1983947289,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,Fostering Household Formation: Evidence from a Spanish Rental Subsidy,10.1515/bejeap-2014-0003,none,route_blocked,route_blocked:202:words=0:sections=0,
W2230722406,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,The Marginal Cost of a Bedroom: An Australian Case Study,10.1080/14445921.2014.11104385,none,route_blocked,route_blocked:202:words=0:sections=0,
