id,doi,cell,year,title,oa_status,rung,fetch,fetch_note,text,text_note,url
W2177382657,10.1086/651235,MECHANISM_CHOICE_FRICTION,2010,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,green,2,OK,"rung 2 (citation_pdf_url): http 200, 440kb",OK,84kb text,https://archive-ouverte.unige.ch/unige:76440
W2794330477,10.1080/01972243.2017.1414093,PRIMARY_APP_UNION,2018,From swiping to casual sex and/or committed relationships: Exploring the experiences of Ti,green,2,OK,"rung 2 (citation_pdf_url): http 200, 472kb",OK,57kb text,https://pure.eur.nl/en/publications/c207288c-c529-499a-a026-ae9dece5ba75
W2268820160,10.1007/s00148-016-0605-0,SECONDARY_TECH_FERTILITY,2016,Offline effects of online connecting: the impact of broadband diffusion on teen fertility ,green,0,FAILED,"not a PDF — got b'<!DO' (http 200); route blocked, not closed",-,-,https://stars.library.ucf.edu/scopus2015/6142
W2754073159,10.1177/1440783317728584,PRIMARY_APP_UNION,2017,"Forming connections in the digital era: Tinder, a new tool in young Australian intimate li",green,0,FAILED,empty body (http 202),-,-,https://figshare.com/articles/journal_contribution/Forming_connections_in_the_digital_era_tinder_a_new_tool_in_young_Australian_intimate_life/23009228
W2124308317,10.1017/s1930297500000772,MECHANISM_CHOICE_FRICTION,2008,Changing her ways: The number of options and mate-standard strength impact mate choice str,gold,0,OK,"http 200, 185kb",OK,50kb text,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CECF3583785F35A00264D9998311123C/S1930297500000772a.pdf/div-class-title-changing-her-ways-the-number-of-options-and-mate-standard-strength-impact-mate-choice-strategy-and-satisfaction-div.pdf
W2968915836,10.3389/fpsyg.2019.02010,MECHANISM_CHOICE_FRICTION,2019,Polar Similars: Using Massive Mobile Dating Data to Predict Synchronization and Similarity,gold,0,OK,"http 200, 8578kb",OK,141kb text,https://www.frontiersin.org/articles/10.3389/fpsyg.2019.02010/pdf
W1613075924,10.1089/cyber.2013.0408,PRIMARY_APP_UNION,2014,"First Comes Social Networking, Then Comes Marriage? Characteristics of Americans Married 2",green,2,OK,"rung 2 (citation_pdf_url): http 200, 918kb",NO_TEXT_LAYER,under 500 bytes — likely a scan,http://hdl.handle.net/1808/16399
W2053775881,10.5964/ijpr.v3isupp2.78,PRIMARY_APP_UNION,2009,Enhancing Mate Selection through the Internet: A Comparison of Relationship Quality betwee,diamond,2,OK,"rung 2 (citation_pdf_url): http 200, 228kb",OK,42kb text,https://interpersona.psychopen.eu/index.php/interpersona/article/download/3297/3297.pdf
W2290529214,,PRIMARY_APP_UNION,2015,Online dating technology effects on interpersonal relationships,green,0,FAILED,"not a PDF — got b'\n<!D' (http 200); route blocked, not closed",-,-,https://scholarcommons.scu.edu/engl_176/4
W2902982992,10.1007/s10680-018-9503-3,SECONDARY_TECH_FERTILITY,2018,Online Distance Education and Transition to Parenthood Among Female University Students in,hybrid,0,OK,"http 200, 881kb",OK,82kb text,https://link.springer.com/content/pdf/10.1007/s10680-018-9503-3.pdf
