candidate_id,authors,year,title,doi_or_identifier,evidence_cell,design_or_role,setting,abstract_level_finding,source_url,verification_status
MM001,"Becker, Gary S.",1973,"A Theory of Marriage: Part I",10.1086/260084,THEORY_MATCHING,"formal matching and household-production theory",general,"Foundational model of gains from marriage and equilibrium matching; fertility connection requires later models or empirical tests.",https://doi.org/10.1086/260084,bibliographic_identity_verified
MM002,"Wilson, William Julius",1987,"The Truly Disadvantaged",ISBN:9780226901312,THEORY_MATCHING,"sociological mechanism and descriptive evidence",United States,"Introduces the economic marriageability account for declining marriage among disadvantaged populations; fertility effect requires separate evidence.",https://press.uchicago.edu/ucp/books/book/chicago/T/bo13375722.html,bibliographic_identity_to_verify_full_text
MM003,"Schwartz, Christine R.; Mare, Robert D.",2005,"Trends in Educational Assortative Marriage from 1940 to 2003",10.1353/dem.2005.0036,MECHANISM_UNION,"repeated cross-sectional census and CPS analysis",United States 1940-2003,"Documents changing educational homogamy; contains no identified fertility effect in the inspected abstract.",https://pubmed.ncbi.nlm.nih.gov/16463914/,publisher_metadata_verified
MM004,"Raymo, James M.; Iwasawa, Miho",2005,"Marriage Market Mismatches in Japan: An Alternative View of the Relationship between Women's Education and Marriage",10.1177/000312240507000504,MECHANISM_UNION,"decomposition using National Fertility Survey rounds",Japan,"Tests whether educational composition and matching propensities account for declining marriage; fertility outcome not established in the inspected record.",https://doi.org/10.1177/000312240507000504,bibliographic_identity_verified
MM005,"Greenwood, Jeremy; Guner, Nezih; Kocharkov, Georgi; Santos, Cezar",2014,"Marry Your Like: Assortative Mating and Income Inequality",10.1257/aer.104.5.348,MECHANISM_UNION,"quantitative model and census description",United States 1960-2005,"Documents educational sorting and studies household inequality, not a fertility effect.",https://www.aeaweb.org/articles?id=10.1257/aer.104.5.348,publisher_metadata_verified
MM006,"Schaller, Jessamyn",2016,"Booms, Busts, and Fertility: Testing the Becker Model Using Gender-Specific Labor Demand",10.3368/jhr.51.1.1,PRIMARY_QUALITY_FERTILITY,"shift-share gender-specific labor-demand design",United States,"Better male labor-market conditions are associated with higher birth rates; better female conditions have smaller negative effects.",https://doi.org/10.3368/jhr.51.1.1,publisher_or_institutional_abstract_verified
MM007,"Kearney, Melissa S.; Wilson, Riley",2018,"Male Earnings, Marriageable Men, and Nonmarital Fertility: Evidence from the Fracking Boom",10.1162/rest_a_00739,PRIMARY_QUALITY_FERTILITY,"localized fracking-boom reduced form",United States,"Fracking raised noncollege male earnings and both marital and nonmarital births, with no detected rise in marriage.",https://www.nber.org/papers/w23408,working_paper_and_published_doi_verified
MM008,"Autor, David; Dorn, David; Hanson, Gordon",2019,"When Work Disappears: Manufacturing Decline and the Falling Marriage Market Value of Young Men",10.1257/aeri.20180010,PRIMARY_QUALITY_FERTILITY,"gender-specific trade-shock design",United States 1990-2014,"Trade shocks that reduced young men's relative employment and earnings also reduced marriage and fertility.",https://pubs.aeaweb.org/doi/abs/10.1257/aeri.20180010,publisher_abstract_verified
MM009,"Charles, Kerwin Kofi; Luoh, Ming Ching",2010,"Male Incarceration, the Marriage Market, and Female Outcomes",10.1162/REST_a_00022,MECHANISM_UNION,"fixed effects and IV using incarceration policy variation",United States,"Higher male imprisonment reduced women's marriage and spouse quality; the inspected abstract reports schooling and labor supply rather than fertility.",https://doi.org/10.1162/REST_a_00022,bibliographic_identity_and_abstract_verified
MM010,"Geruso, Michael; Royer, Heather",2018,"The Impact of Education on Family Formation: Quasi-Experimental Evidence from the UK",10.3386/w24332,MEDIATION_MATCH,"regression discontinuity around compulsory-schooling reform",United Kingdom,"The reform reduced teen fertility but not completed fertility and changed spouse education and cohort matching; direct schooling incapacitation remains a competing channel.",https://www.nber.org/papers/w24332,working_paper_abstract_verified
MM011,"Lavy, Victor; Zablotsky, Alexander",2015,"Women's Schooling and Fertility under Low Female Labor Force Participation: Evidence from Mobility Restrictions in Israel",10.1016/j.jpubeco.2015.02.009,MEDIATION_MATCH,"natural experiment from eased mobility restrictions",Israel,"Female schooling rose and completed fertility fell; spousal education also rose through assortative matching, but the inspected summary does not establish a formal mediation decomposition.",https://wrap.warwick.ac.uk/85068/,published_identity_and_repository_summary_verified
MM012,"Silva, José Henrique Costa Monteiro da; Lima, Everton E.; Oliveira, Maria Coleta Ferreira Albino de",2022,"Educational Pairings and Fertility Decline in Brazil: An Analysis Using Cohort Fertility",10.4054/DemRes.2022.46.6,DESCRIPTIVE_SORTING_FERTILITY,"cohort fertility by educational pairing",Brazil,"Relates changes in educational pairings to the fertility transition; causal selection into unions remains unresolved.",https://www.demographic-research.org/articles/volume/46/6,publisher_abstract_verified
MM013,"Lichter, Daniel T.; Price, Joseph P.; Swigert, Jeffrey M.",2020,"Mismatches in the Marriage Market",10.1111/jomf.12603,MECHANISM_UNION,"ACS construction of multidimensional partner shortages",United States,"Finds deficits of potential spouses defined by socioeconomic traits; fertility is not an outcome.",https://doi.org/10.1111/jomf.12603,bibliographic_identity_and_abstract_verified
MM014,"Leesch, Julia; Hiekel, Nicole",2026,"No Partner, No Children? Union Formation, Assortative Mating, and Educational Inequalities in Fertility in Germany",10.1007/s10680-026-09766-w,DESCRIPTIVE_SORTING_FERTILITY,"mediation analysis of union formation and partner education",Germany,"Examines how union formation and assortative mating mediate educational differences in first- and second-birth probabilities; causal interpretation requires full-text review.",https://link.springer.com/article/10.1007/s10680-026-09766-w,publisher_abstract_verified

