paperId,doi,title,year,verdict,estimand_cell,evidence_type,treatment,outcome,direction,reason,ra_decision,ra_note
W3186482413,10.1007/s00148-021-00858-x,Minimum working age and the gender mortality gap,2021,UNCERTAIN,OFF_OUTCOME,other,potential covered policy,n/a,n/a,title is plausibly relevant but no abstract is supplied,,
W3096933072,10.1016/j.labeco.2020.101935,"Laws, educational outcomes, and returns to schooling evidence from the first wave of U.S. state compulsory attendance laws",2020,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2883868403,10.1016/j.econedurev.2018.07.003,Improving educational and labor outcomes through child labor regulation,2018,UNCERTAIN,OFF_OUTCOME,other,potential covered policy,n/a,n/a,title is plausibly relevant but no abstract is supplied,,
W2210684062,10.1111/ecoj.12624,Nation-building Through Compulsory Schooling during the Age of Mass Migration,2018,RELEVANT,OFF_OUTCOME,quasi-experimental,compulsory-schooling reform,schooling outcomes,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W2185731654,10.3386/w24332,The Impact of Education on Family Formation: Quasi-Experimental Evidence from the UK,2018,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling law,fertility,forward,Estimates a covered legal-policy effect on fertility.,,
W2411634914,10.1111/ecoj.12394,Is Education Always Reducing Fertility? Evidence from Compulsory Schooling Reforms,2016,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling reform,fertility quantum,forward,covered legal reform is linked to fertility or family formation,,
W3124286696,10.1257/aer.20121607,"Education, HIV, and Early Fertility: Experimental Evidence from Kenya",2015,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2074004773,10.1257/aer.104.6.1777,Compulsory Education and the Benefits of Schooling,2014,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2152754212,10.1257/aer.104.11.3701,Fertility Transitions Along the Extensive and Intensive Margins,2014,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2792481980,10.1016/j.labeco.2013.04.015,The effect of education on fertility: Evidence from a compulsory schooling reform,2013,UNCERTAIN,OFF_OUTCOME,other,potential covered policy,n/a,n/a,title is plausibly relevant but no abstract is supplied,,
W1574542113,10.3386/w18623,The Impact of Minimum Age of Employment Regulation on Child Labor and Schooling: Evidence from UNICEF MICS Countries,2012,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W3125451060,10.1257/aer.101.1.158,The Effect of Female Education on Fertility and Infant Health: Evidence from School Entry Policies Using Exact Date of Birth,2011,NOT_RELEVANT,NA,quasi-experimental,n/a,female fertility and infant health,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2028140859,10.1007/s00148-010-0334-8,The effect of schooling on teenage childbearing: evidence using changes in compulsory education laws,2010,UNCERTAIN,TEMPO,quasi-experimental,compulsory education laws,teenage childbearing,forward,"Title suggests a potentially covered relationship, but the missing or ambiguous abstract prevents confident routing.",,
W2090316201,10.1007/s00199-009-0495-4,Cheap home goods and persistent inequality,2009,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
