paperId,doi,title,year,authors,venue,verdict,estimand_cell,evidence_type,treatment,outcome,direction,reason,abstract,discovery_channels,ra_decision,ra_corrected_verdict,ra_corrected_estimand_cell,ra_note,strict_gate_status,strict_gate_reason,retrieval_candidate
W2073343854,10.1257/mic.4.4.1,A Theory of Occupational Choice with Endogenous Fertility,2012,Dilip Mookherjee; Silvia Prina; Debraj Ray,American Economic Journal Microeconomics,RELEVANT,PRIMARY_CL_QUANTUM,quasi-experimental,child-labor or minimum-age regulation,fertility quantum,forward,covered legal reform is linked to fertility or family formation,"Theories based on partial equilibrium reasoning alone cannot explain the widespread negative cross-sectional correlation between parental wages and fertility, without restrictive assumptions on preferences and childcare costs. We argue that incorporating a dynamic general equilibrium analysis of returns to human capital can help explain observed empirical patterns. Other by-products of this theory include explanations for intergenerational mobility without stochastic shocks, connections between mobility and fertility patterns, and locally determinate steady states. Comparative statics exercises on steady states shed light on the effects of education, childcare subsidies, child labor regulations, and income redistribution policy on long run living standards. (JEL H23, I31, J13, J24, J62, J82)",forward_citation,FIX,,THEORY,,KEEP_RA_CORRECTED_THEORY,Preserve RA correction to THEORY; no empirical policy estimate.,YES
W4409029977,10.1093/ereh/heae023,The Causal Effects of Education on Age at Marriage and Marital Fertility,2025,Neil Cummins,European Review of Economic History,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling law,fertility,forward,Estimates a covered legal-policy effect on fertility.,"Abstract The negative association of education and fertility, over time and between countries, is a central stylized fact of social science. Yet we have scant evidence on whether this is, or is not, causal. Using the universe of vital registration index data from England, 1912 to 2007, I first show that it is possible, using unique names, to construct a demographically and socioeconomically representative sample of 1.5 million women. Historical record linkage of women is typically not attempted but is possible here because of the unique characteristics of English civil registration. I then exploit the natural experiment of sharp discontinuities in who was affected by compulsory schooling law changes in 1947 and in 1972, which exogenously and effectively raised the minimum school leaving age. A Regression Discontinuity design, executed on the individual data, identifies the causal effect of education on age at marriage and fertility. Education may have raised age at marriage in 1972. However one extra year of education at 15 or 16 has a zero causal effect on marital fertility.",forward_citation,,,,,KEEP,"Compulsory-schooling discontinuities identify marital fertility, including a zero estimate.",YES
W4405602751,10.1093/oso/9780198903000.003.0010,Internal Policy,2024,Alessandro Cigno; Furio C. Rosati,,RELEVANT,PRIMARY_CS_QUANTUM,observational,compulsory-schooling law,fertility,forward,Estimates a covered legal-policy effect on fertility.,"Abstract Single measures such as a ban on child labour, or compulsory education, are unlikely to be self-enforcing, and may be inefficient even if they are self-enforcing. If information is asymmetric (e.g., the use children make of their time when they are neither at school, nor working overtly in the labour market, is not observable by the government), neither a ban on child labour, nor compulsory education, is enforceable. The Second-Best policy package may include a ban on overt child labour, and compulsory school attendance nonetheless, but it will include direct or indirect taxes and subsidies designed to make it possible and desirable for parents to invest in their children’s education. A public pension system may be usefully added to the package because it discourages fertility.",forward_citation,FIX,,THEORY,,KEEP_RA_CORRECTED_THEORY,Preserve RA correction to THEORY; not an empirical policy-fertility estimate.,YES
W2185731654,10.3386/w24332,The Impact of Education on Family Formation: Quasi-Experimental Evidence from the UK,2018,Michael Geruso; Heather Royer,National Bureau of Economic Research,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling law,fertility,forward,Estimates a covered legal-policy effect on fertility.,"We examine the impact of educational attainment on fertility and mating market outcomes. Using a regression discontinuity design, we exploit an extension of the compulsory schooling age from 15 to 16 in 1972 in the UK. The change was binding for a quarter of the population. Simple plots of the raw data show substantially lower teen fertility rates across the threshold of the reform, but no impacts on abortions and no impact on completed fertility by age 45. In the mating market, the reform induced both men and women to marry more educated mates, consistent with positive assortative mating. We show that timing of the teen fertility reduction coincided with the timing of the extra induced schooling and that the probability of marrying a peer in the same academic cohort rose. These results suggest that school attendance may have important direct effects, in addition to and separate from the human capital effects of education.",backward_reference;forward_citation,,,,,KEEP,UK reform study explicitly reports teen and completed fertility.,YES
W2752104534,10.1111/ecin.12492,THE EFFECTS OF EDUCATION ON FERTILITY: EVIDENCE FROM TAIWAN,2017,Kamhon Kan; Myoung‐jae Lee,Economic Inquiry,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling law,fertility,forward,Estimates a covered legal-policy effect on fertility.,"This study investigates the impact of women's education on fertility. For identification, we use the 1968 compulsory education law change in Taiwan, which generated a regression discontinuity design (RDD) setting. We use the whole population of women from the 1980 and 2010 Population Censuses. Results of our RDD estimation using the exact date of birth suggest that the law change was effective in boosting women's education, but it did not have any impact on fertility. This is in stark contrast to most previous studies using only the birth year as the running variable or using it to construct instruments, which find that women's education depresses fertility. This study demonstrates that using a discrete running variable in RDD may generate a false discontinuity for an otherwise continuous regression function. ( JEL J13, C21, I2)",forward_citation,,,,,KEEP,"Taiwan law study explicitly estimates fertility, including a null effect.",YES
W2411634914,10.1111/ecoj.12394,Is Education Always Reducing Fertility? Evidence from Compulsory Schooling Reforms,2016,Margherita Fort; Nicole Schneeweis; Rudolf Winter‐Ebmer,The Economic Journal,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling reform,fertility quantum,forward,covered legal reform is linked to fertility or family formation,"We study the relationship between education and fertility, exploiting compulsory schooling reforms in England and Continental Europe, implemented between 1936 and 1975. We assess the causal effect of education on the number of biological children and the incidence of childlessness. While we find a negative relationship between education and fertility in England, this result cannot be confirmed for Continental Europe. The additional education generated by schooling expansions on the Continent did not lead to a decrease in the number of biological children nor to an increase in childlessness. These findings are robust to a number of sensitivity and falsification checks.",backward_reference;forward_citation,,,,,KEEP,Compulsory-schooling reforms explicitly estimate fertility.,YES
W2122096529,10.6092/unibo/amsacta/4451,"More Schooling, More Children: Compulsory Schooling Reforms and Fertility in Europe",2014,"Margherita Fort; Schneeweis, Nicole; Rudolf Winter‐Ebmer",RePEc: Research Papers in Economics,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory schooling reforms,fertility,forward,Estimates a covered legal-policy effect on fertility.,"We study the relationship between education and fertility, exploiting compulsory schooling reforms in England and Continental Europe, implemented between 1936 and 1975. We assess the causal effect of education on the number of biological children and the incidence of childlessness. We find surprising results for Continental Europe: the additional education generated by compulsory schooling expansions led to an increase in the number of biological children per woman and a decrease in childlessness. The results for England point in the opposite direction. Moreover, for the Continent we find that education during this time led to fewer women who remained unmarried over their life course. Our findings are robust to a number of sensitivity and falsification checks.",forward_citation,,,,,KEEP,Compulsory-schooling reforms explicitly estimate fertility.,YES
W2188242424,,Compulsory Schooling Reforms and Fertility in Europe,2012,Margherita Fort; Nicole Schneeweis; Rudolf Winter‐Ebmer,,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling reform,fertility quantum,forward,covered legal reform is linked to fertility or family formation,"We study the relationship between education and fertility, ex-ploiting compulsory schooling reforms in Europe as source of exogenous variation in education. Using data from 8 European countries, we assess the causal effect of education on the num-ber of biological kids and the incidence of childlessness. We find that more education causes a substantial decrease in child-lessness and an increase in the average number of children per woman. Our findings are robust to a number of falsification checks and we can provide complementary empirical evidence on the mechanisms leading to these surprising results. JEL: I2, J13",forward_citation,,,,,KEEP,Compulsory-schooling reforms explicitly estimate fertility.,YES
W4415043415,10.1016/j.jce.2025.09.002,"Education, desired fertility, and HIV/AIDS: Evidence from China’s compulsory schooling law",2025,Xiaoyan Lei; Guangjun Shen; Ang Sun; Wang Xiang; Huili Zhang,Journal of Comparative Economics,UNCERTAIN,PRIMARY_CS_QUANTUM,other,covered schooling or child-labor law,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,forward_citation,,,,,KEEP_UNCERTAIN_FULLTEXT,Title explicitly names fertility and China's compulsory-schooling law; abstract missing.,YES
W4224284165,10.1016/j.econedurev.2022.102257,The effect of female education on fertility: Evidence from China’s compulsory schooling reform,2022,Jiwei Chen; Jiangying Guo,Economics of Education Review,UNCERTAIN,PRIMARY_CS_QUANTUM,quasi-experimental,China compulsory schooling reform,fertility,forward,"Title suggests a potentially covered relationship, but the missing or ambiguous abstract prevents confident routing.",,forward_citation,,,,,KEEP_UNCERTAIN_FULLTEXT,Title explicitly names fertility and China's compulsory-schooling reform; abstract missing.,YES
