set_id,mechanism_set,parent_hypothesis_slug,evidence_stream,paperId,doi,title,year,authors,venue,effective_estimand_cell,evidence_type,evidence_role,mechanism_status,route_reason,ra_decision,ra_note,alternate_paperIds,shared_across_sets
VALUE-001,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,EMPIRICAL_QUANTUM,W2411634914,10.1111/ecoj.12394,Is Education Always Reducing Fertility? Evidence from Compulsory Schooling Reforms,2016,Margherita Fort; Nicole Schneeweis; Rudolf Winter‐Ebmer,The Economic Journal,PRIMARY_CS_QUANTUM,quasi-experimental,REDUCED_FORM_QUANTUM,NOT_YET_SHOWN_FULLTEXT_REQUIRED,RA-approved compulsory-policy record with a quantum outcome; child-value mechanism not established by title/abstract.,APPROVED_BLANK,,W2122096529;W2188242424,NO
VALUE-002,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,EMPIRICAL_QUANTUM,W2752104534,10.1111/ecin.12492,THE EFFECTS OF EDUCATION ON FERTILITY: EVIDENCE FROM TAIWAN,2017,Kamhon Kan; Myoung‐jae Lee,Economic Inquiry,PRIMARY_CS_QUANTUM,quasi-experimental,REDUCED_FORM_QUANTUM,NOT_YET_SHOWN_FULLTEXT_REQUIRED,RA-approved compulsory-policy record with a quantum outcome; child-value mechanism not established by title/abstract.,APPROVED_BLANK,,,NO
VALUE-003,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,EMPIRICAL_QUANTUM,W2185731654,10.3386/w24332,The Impact of Education on Family Formation: Quasi-Experimental Evidence from the UK,2018,Michael Geruso; Heather Royer,National Bureau of Economic Research,PRIMARY_CS_QUANTUM,quasi-experimental,REDUCED_FORM_QUANTUM,NOT_YET_SHOWN_FULLTEXT_REQUIRED,RA-approved compulsory-policy record with a quantum outcome; child-value mechanism not established by title/abstract.,APPROVED_BLANK,,,YES
VALUE-004,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,EMPIRICAL_QUANTUM,W4224284165,10.1016/j.econedurev.2022.102257,The effect of female education on fertility: Evidence from China’s compulsory schooling reform,2022,Jiwei Chen; Jiangying Guo,Economics of Education Review,PRIMARY_CS_QUANTUM,quasi-experimental,REDUCED_FORM_QUANTUM,NOT_YET_SHOWN_FULLTEXT_REQUIRED,RA-approved compulsory-policy record with a quantum outcome; child-value mechanism not established by title/abstract.,APPROVED_BLANK,,,NO
VALUE-005,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,EMPIRICAL_QUANTUM,W4415043415,10.1016/j.jce.2025.09.002,"Education, desired fertility, and HIV/AIDS: Evidence from China’s compulsory schooling law",2025,Xiaoyan Lei; Guangjun Shen; Ang Sun; Wang Xiang; Huili Zhang,Journal of Comparative Economics,PRIMARY_CS_QUANTUM,other,REDUCED_FORM_QUANTUM,NOT_YET_SHOWN_FULLTEXT_REQUIRED,RA-approved compulsory-policy record with a quantum outcome; child-value mechanism not established by title/abstract.,APPROVED_BLANK,,,NO
VALUE-006,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,EMPIRICAL_QUANTUM,W4409029977,10.1093/ereh/heae023,The Causal Effects of Education on Age at Marriage and Marital Fertility,2025,Neil Cummins,European Review of Economic History,PRIMARY_CS_QUANTUM,quasi-experimental,REDUCED_FORM_QUANTUM,NOT_YET_SHOWN_FULLTEXT_REQUIRED,RA-approved compulsory-policy record with a quantum outcome; child-value mechanism not established by title/abstract.,APPROVED_BLANK,,,NO
VALUE-007,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,THEORY_AND_MECHANISM,W2152406420,10.1086/316097,Is Child Labor Inefficient?,2000,Jean‐Marie Baland; James A. Robinson,Journal of Political Economy,THEORY,theory,THEORY_MECHANISM,DIRECT_OR_FORMAL_THEORY_PENDING_FULLTEXT,RA-approved theory record directly linking child labor/schooling policy and fertility.,APPROVED_BLANK,,,NO
VALUE-008,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,THEORY_AND_MECHANISM,W1525462723,10.2139/ssrn.288943,"Child Labor, Fertility and Economic Growth",2001,Moshe Hazan; Byniamin Berdugo,SSRN Electronic Journal,THEORY,theory,THEORY_MECHANISM,DIRECT_OR_FORMAL_THEORY_PENDING_FULLTEXT,RA-approved theory record directly linking child labor/schooling policy and fertility.,APPROVED_BLANK,,,NO
VALUE-009,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,THEORY_AND_MECHANISM,W3125141375,10.3386/w10765,Technological Progress and Economic Transformation,2004,Jeremy Greenwood; Ananth Seshadri,National Bureau of Economic Research,THEORY,theory,THEORY_MECHANISM,DIRECT_OR_FORMAL_THEORY_PENDING_FULLTEXT,RA-approved theory record directly linking child labor/schooling policy and fertility.,APPROVED_BLANK,,,NO
VALUE-010,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,THEORY_AND_MECHANISM,W1961684553,10.1093/0199264457.001.0001,The Economics of Child Labour,2005,Alessandro Cigno; Furio C. Rosati,,THEORY,theory,THEORY_MECHANISM,DIRECT_OR_FORMAL_THEORY_PENDING_FULLTEXT,RA-approved theory record directly linking child labor/schooling policy and fertility.,APPROVED_BLANK,,,NO
VALUE-011,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,THEORY_AND_MECHANISM,W2073343854,10.1257/mic.4.4.1,A Theory of Occupational Choice with Endogenous Fertility,2012,Dilip Mookherjee; Silvia Prina; Debraj Ray,American Economic Journal Microeconomics,THEORY,quasi-experimental,THEORY_MECHANISM,DIRECT_OR_FORMAL_THEORY_PENDING_FULLTEXT,RA-approved theory record directly linking child labor/schooling policy and fertility.,FIX,,,NO
VALUE-012,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,THEORY_AND_MECHANISM,W2117090144,10.1111/caje.12032,"Bounded rationality, expectations, and child labour",2013,Patrick M. Emerson; Shawn D. Knabb,Canadian Journal of Economics/Revue canadienne d économique,THEORY,theory,THEORY_MECHANISM,DIRECT_OR_FORMAL_THEORY_PENDING_FULLTEXT,RA-approved theory record directly linking child labor/schooling policy and fertility.,APPROVED_BLANK,,,NO
VALUE-013,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,THEORY_AND_MECHANISM,W2753276478,,Human capital and fertility: child vs adult survival,2017,Tamara Fioroni,Economics bulletin,THEORY,theory,THEORY_MECHANISM,DIRECT_OR_FORMAL_THEORY_PENDING_FULLTEXT,RA-approved theory record directly linking child labor/schooling policy and fertility.,APPROVED_BLANK,,,NO
VALUE-014,DECREASED_CHILD_ECONOMIC_VALUE,compulsory-education-child-economic-value,THEORY_AND_MECHANISM,W3093523732,10.1016/j.econmod.2023.106452,"Child mortality, child labor, fertility, and demographics",2023,Kei Takakura,Economic Modelling,THEORY,theory,THEORY_MECHANISM,DIRECT_OR_FORMAL_THEORY_PENDING_FULLTEXT,RA-approved theory record directly linking child labor/schooling policy and fertility.,APPROVED_BLANK,,,NO
