paperId,doi,title,pdf_path,text_path,pages,characters,status,reason
W2152406420,10.1086/316097,Is Child Labor Inefficient?,literature/pdfs/compulsory-education/W2152406420__is-child-labor-inefficient.pdf,temp/compulsory-education-fulltext/W2152406420.txt,,44937,OK,cached extracted text
W1525462723,10.2139/ssrn.288943,"Child Labor, Fertility and Economic Growth",literature/pdfs/compulsory-education/W1525462723__child-labor-fertility-economic-growth.pdf,temp/compulsory-education-fulltext/W1525462723.txt,,53839,OK,cached extracted text
W2169373049,10.3386/w10911,Fast Times at Ridgemont High? The Effect of Compulsory Schooling Laws on Teenage Births,literature/pdfs/compulsory-education/W2169373049__fast-times-at-ridgemont-high-the-effect-of-compulsory-schooling-laws-on-.pdf,temp/compulsory-education-fulltext/W2169373049.txt,,72683,OK,cached extracted text
W3125141375,10.3386/w10765,Technological Progress and Economic Transformation,literature/pdfs/compulsory-education/W3125141375__technological-progress-and-economic-transformation.pdf,temp/compulsory-education-fulltext/W3125141375.txt,,106968,OK,cached extracted text
W1961684553,10.1093/0199264457.001.0001,The Economics of Child Labour,literature/pdfs/compulsory-education/W1961684553__chapter-3-fertility-infant-mortality-and-gender.pdf,temp/compulsory-education-fulltext/W1961684553.txt,,42253,OK,cached extracted text
W2028140859,10.1007/s00148-010-0334-8,The effect of schooling on teenage childbearing: evidence using changes in compulsory education laws,literature/pdfs/compulsory-education/W2028140859__effect-schooling-teenage-childbearing-silles.pdf,temp/compulsory-education-fulltext/W2028140859.txt,,41202,OK,cached extracted text
W2073343854,10.1257/mic.4.4.1,A Theory of Occupational Choice with Endogenous Fertility,literature/pdfs/compulsory-education/W2073343854__theory-occupational-choice-endogenous-fertility.pdf,temp/compulsory-education-fulltext/W2073343854.txt,,100036,OK,cached extracted text
W2117090144,10.1111/caje.12032,"Bounded rationality, expectations, and child labour",literature/pdfs/compulsory-education/W2117090144__bounded-rationality-expectations-child-labour.pdf,temp/compulsory-education-fulltext/W2117090144.txt,,85219,OK,cached extracted text
W2411634914,10.1111/ecoj.12394,Is Education Always Reducing Fertility? Evidence from Compulsory Schooling Reforms,literature/pdfs/compulsory-education/W2411634914__is-education-always-reducing-fertility.pdf,temp/compulsory-education-fulltext/W2411634914.txt,,112735,OK,cached extracted text
W2186769068,,Compulsory Education and Teenage Motherhood,literature/pdfs/compulsory-education/W2186769068__compulsory-education-and-teenage-motherhood.pdf,temp/compulsory-education-fulltext/W2186769068.txt,,85185,OK,cached extracted text
