paperId,doi,title,year,authors,sets,evidence_roles,status,pdf_path,source_url,attempted_urls,reason
W2152406420,10.1086/316097,Is Child Labor Inefficient?,2000,Jean‐Marie Baland; James A. Robinson,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,,no open-access candidate URL
W1525462723,10.2139/ssrn.288943,"Child Labor, Fertility and Economic Growth",2001,Moshe Hazan; Byniamin Berdugo,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,,no open-access candidate URL
W1961684553,10.1093/0199264457.001.0001,The Economics of Child Labour,2005,Alessandro Cigno; Furio C. Rosati,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,,no open-access candidate URL
W2028140859,10.1007/s00148-010-0334-8,The effect of schooling on teenage childbearing: evidence using changes in compulsory education laws,2010,Mary A. Silles,DECREASED_TEEN_PREGNANCY_OR_BIRTH,EMPIRICAL_TEMPO,NEEDS_INSTITUTIONAL_OR_MANUAL,,,http://link.springer.com/content/pdf/10.1007/s00148-010-0334-8.pdf,no candidate URL returned a validated PDF
W2073343854,10.1257/mic.4.4.1,A Theory of Occupational Choice with Endogenous Fertility,2012,Dilip Mookherjee; Silvia Prina; Debraj Ray,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,,no open-access candidate URL
W2117090144,10.1111/caje.12032,"Bounded rationality, expectations, and child labour",2013,Patrick M. Emerson; Shawn D. Knabb,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fcaje.12032;https://onlinelibrary.wiley.com/doi/pdf/10.1111/caje.12032,no candidate URL returned a validated PDF
W2753276478,,Human capital and fertility: child vs adult survival,2017,Tamara Fioroni,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,,no open-access candidate URL
W2752104534,10.1111/ecin.12492,THE EFFECTS OF EDUCATION ON FERTILITY: EVIDENCE FROM TAIWAN,2017,Kamhon Kan; Myoung‐jae Lee,DECREASED_CHILD_ECONOMIC_VALUE,REDUCED_FORM_QUANTUM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fecin.12492,no candidate URL returned a validated PDF
W4224284165,10.1016/j.econedurev.2022.102257,The effect of female education on fertility: Evidence from China’s compulsory schooling reform,2022,Jiwei Chen; Jiangying Guo,DECREASED_CHILD_ECONOMIC_VALUE,REDUCED_FORM_QUANTUM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,,no open-access candidate URL
W3093523732,10.1016/j.econmod.2023.106452,"Child mortality, child labor, fertility, and demographics",2023,Kei Takakura,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,http://hdl.handle.net/11094/77261,no candidate URL returned a validated PDF
W4405603403,10.1093/oso/9780198903000.003.0008,"Child Labour, Fertility, and Gender",2024,Alessandro Cigno; Furio C. Rosati,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,,no open-access candidate URL
W4405602751,10.1093/oso/9780198903000.003.0010,Internal Policy,2024,Alessandro Cigno; Furio C. Rosati,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,,no open-access candidate URL
W4415043415,10.1016/j.jce.2025.09.002,"Education, desired fertility, and HIV/AIDS: Evidence from China’s compulsory schooling law",2025,Xiaoyan Lei; Guangjun Shen; Ang Sun; Wang Xiang; Huili Zhang,DECREASED_CHILD_ECONOMIC_VALUE,REDUCED_FORM_QUANTUM,NEEDS_INSTITUTIONAL_OR_MANUAL,,,,no open-access candidate URL
