paperId,doi,title,year,authors,sets,evidence_roles,status,pdf_path,source_url,attempted_urls,reason
W2152406420,10.1086/316097,Is Child Labor Inefficient?,2000,Jean‐Marie Baland; James A. Robinson,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,RETRIEVED,literature/pdfs/compulsory-education/W2152406420__is-child-labor-inefficient.pdf,,,existing validated PDF
W1525462723,10.2139/ssrn.288943,"Child Labor, Fertility and Economic Growth",2001,Moshe Hazan; Byniamin Berdugo,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,RETRIEVED,literature/pdfs/compulsory-education/W1525462723__child-labor-fertility-economic-growth.pdf,,,existing validated PDF
W2169373049,10.3386/w10911,Fast Times at Ridgemont High? The Effect of Compulsory Schooling Laws on Teenage Births,2004,Sandra E. Black; Paul Devereaux; Kjell G. Salvanes,DECREASED_TEEN_PREGNANCY_OR_BIRTH,EMPIRICAL_TEMPO,RETRIEVED,literature/pdfs/compulsory-education/W2169373049__fast-times-at-ridgemont-high-the-effect-of-compulsory-schooling-laws-on-.pdf,,https://www.nber.org/system/files/working_papers/w10911/w10911.pdf;https://doi.org/10.3386/w10911,existing validated PDF
W3125141375,10.3386/w10765,Technological Progress and Economic Transformation,2004,Jeremy Greenwood; Ananth Seshadri,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,RETRIEVED,literature/pdfs/compulsory-education/W3125141375__technological-progress-and-economic-transformation.pdf,,https://www.nber.org/system/files/working_papers/w10765/w10765.pdf;https://doi.org/10.3386/w10765,existing validated PDF
W1961684553,10.1093/0199264457.001.0001,The Economics of Child Labour,2005,Alessandro Cigno; Furio C. Rosati,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,RETRIEVED,literature/pdfs/compulsory-education/W1961684553__chapter-3-fertility-infant-mortality-and-gender.pdf,,,existing validated PDF
W2028140859,10.1007/s00148-010-0334-8,The effect of schooling on teenage childbearing: evidence using changes in compulsory education laws,2010,Mary A. Silles,DECREASED_TEEN_PREGNANCY_OR_BIRTH,EMPIRICAL_TEMPO,RETRIEVED,literature/pdfs/compulsory-education/W2028140859__effect-schooling-teenage-childbearing-silles.pdf,,http://link.springer.com/content/pdf/10.1007/s00148-010-0334-8.pdf,existing validated PDF
W2073343854,10.1257/mic.4.4.1,A Theory of Occupational Choice with Endogenous Fertility,2012,Dilip Mookherjee; Silvia Prina; Debraj Ray,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,RETRIEVED,literature/pdfs/compulsory-education/W2073343854__theory-occupational-choice-endogenous-fertility.pdf,,,existing validated PDF
W2117090144,10.1111/caje.12032,"Bounded rationality, expectations, and child labour",2013,Patrick M. Emerson; Shawn D. Knabb,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,RETRIEVED,literature/pdfs/compulsory-education/W2117090144__bounded-rationality-expectations-child-labour.pdf,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fcaje.12032;https://onlinelibrary.wiley.com/doi/pdf/10.1111/caje.12032,existing validated PDF
W2411634914,10.1111/ecoj.12394,Is Education Always Reducing Fertility? Evidence from Compulsory Schooling Reforms,2016,Margherita Fort; Nicole Schneeweis; Rudolf Winter‐Ebmer,DECREASED_CHILD_ECONOMIC_VALUE,REDUCED_FORM_QUANTUM,RETRIEVED,literature/pdfs/compulsory-education/W2411634914__is-education-always-reducing-fertility.pdf,,,existing validated PDF
W2186769068,,Compulsory Education and Teenage Motherhood,2017,Tanya Wilson,DECREASED_TEEN_PREGNANCY_OR_BIRTH,EMPIRICAL_TEMPO,RETRIEVED,literature/pdfs/compulsory-education/W2186769068__compulsory-education-and-teenage-motherhood.pdf,,http://hdl.handle.net/1893/25614,existing validated PDF
W2753276478,,Human capital and fertility: child vs adult survival,2017,Tamara Fioroni,DECREASED_CHILD_ECONOMIC_VALUE,THEORY_MECHANISM,RETRIEVED,literature/pdfs/compulsory-education/W2753276478__human-capital-and-fertility-child-vs-adult-survival.pdf,,,existing validated PDF
W2752104534,10.1111/ecin.12492,THE EFFECTS OF EDUCATION ON FERTILITY: EVIDENCE FROM TAIWAN,2017,Kamhon Kan; Myoung‐jae Lee,DECREASED_CHILD_ECONOMIC_VALUE,REDUCED_FORM_QUANTUM,RETRIEVED,literature/pdfs/compulsory-education/W2752104534__effects-education-fertility-taiwan.pdf,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fecin.12492,existing validated PDF
