priority,paperId,doi,title,year,venue,verdict,cell,diffusion_channel,identification_of_diffusion,evidence_type,both_channel,reason,ra_decision,ra_note
1,W2586491076,10.1257/app.20150540,Persuasion: A Case Study of Papal Influences on Fertility-Related Beliefs and Behavior,2017,American Economic Journal Applied Economics,RELEVANT,PRIMARY_LEGITIMATION_SPREAD,CULTURAL_LINGUISTIC_RELIGIOUS,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,yes,papal authority persuasion reduces contraceptive intentions and increases births; timing around Papal visit isolates persuasion effect from confounders,,
1,W2051432816,10.1111/j.1728-4457.2014.00695.x,Spatial Analysis of the Causes of Fertility Decline in Prussia,2014,Population and Development Review,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,yes,Spatial econometric models show geographic clustering of fertility decline persists after controlling for economic and cultural variables; adjacency effects isolate socio-geographic diffusion from common shocks,,
1,W1966808359,10.1080/00324728.2013.774435,The effects of social interactions on fertility decline in nineteenth-century France: An agent-based simulation experiment,2013,Population Studies,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,structural,yes,agent-based simulation with empirical calibration shows social interactions drive fertility decline beyond common economic shocks; identifies social contagion mechanism,,
1,W2039205983,10.1353/dem.2001.0005,"The density of social networks and fertility decisions: Evidence from South Nyanza district, Kenya",2001,Demography,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,yes,Studies how social network density and peer contraceptive use interact to affect women's contraceptive decisions; distinguishes social learning from social influence through network structure variation,,
1,W7136620518,10.12688/verixiv.2838.1,Protocol for cluster randomized control trial of a social network-based intervention to increase contraceptive use among married adolescent girls in rural Niger,2026,,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,RCT of social-network-based intervention testing peer exposure to increase contraceptive adoption,,
1,W7133940025,10.1016/j.socscimed.2026.119145,"Social influence on women's contraceptive use: Population-based, sociocentric network study in rural Uganda",2026,Social Science & Medicine,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,network study explicitly isolates social-influence effect on contraceptive adoption from homophily using stochastic actor-oriented model,,
1,W4406189953,10.1080/1081602x.2024.2438171,Did migration alter the path of the demographic transition for French Canadians in the United States?,2025,The History of the Family,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,SEPARATES_FROM_COMMON_SHOCK,observational,,Documents convergence of French-Canadian fertility toward English-Canadian levels upon migration; identifies migration and cultural assimilation via language acquisition and residential integration as drivers,,
1,W4414662257,10.1257/aer.20231286,Diffusion of Reproductive Health Behavior through International Migration: Effects on Origin-Country Fertility,2025,American Economic Review,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,title states: diffusion of reproductive health behavior through international migration; migrants exposed to liberalized policies bring knowledge back to origin communities; uses temporal×spatial variation in migration intensity and destination policies to identify migrant-carried diffusion separate from direct policy effects,,
1,W4414135234,10.1111/sifp.70032,Unveiling Mexico's Demographic Transitions,2025,Studies in Family Planning,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,SEPARATES_FROM_COMMON_SHOCK,historical,,explicitly models spatial diffusion (concentric pattern from urban/high-SES outward) and social-influence mechanisms (prestige and conformism bias) driving fertility transition; separates macro forces from diffusion,,
1,W4401595574,10.1002/soej.12727,"Harmony in diplomacy, convergence in choices: Low fertility diffusion through Sino‐Korean normalization",2024,Southern Economic Journal,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,CULTURAL_LINGUISTIC_RELIGIOUS,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,Uses China-South Korea diplomatic normalization (1992) as exogenous shock to social exposure; identifies convergence of Korean Chinese fertility norms toward South Korea's low-fertility pattern,,
1,W4392231579,10.1111/padr.12609,"Rural–Urban Migration and Fertility Ideation in Senegal: Comparing Returned, Current, and Future Migrants to Dakar to Rural Nonmigrants",2024,Population and Development Review,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,temporary migration carries urban fertility beliefs to rural areas via adaptation; time in city and ties to urban residents predict belief shifts net of selection,,
1,W4366351506,10.1007/s10680-023-09655-6,Explaining Residential Clustering of Large Families,2023,European Journal of Population / Revue européenne de Démographie,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,Uses sex composition and twin births as IVs to isolate causal effect of neighbor fertility on own fertility; examines social interaction vs selection mechanisms,,
1,W3036455314,10.1093/jeea/jvad025,Spillovers in Childbearing Decisions and Fertility Transitions: Evidence from China,2023,Journal of the European Economic Association,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,"estimates spillover effect of peers' fertility decline (driven by exogenous policy shock) on minority women's fertility through cultural proximity and education, identifying social multiplier net of economic shock",,
1,W4285406628,10.1596/1813-9450-10107,Bring a Friend: Strengthening Women's Social Networks and Reproductive Autonomy in India,2022,World Bank policy research working paper,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,Experimental test isolates peer-network exposure (joint clinic visits) from individual access in driving contraceptive adoption,,
1,W4210517329,10.1002/psp.2550,Decline in fertility in Paris: An intraurban spatial analysis,2022,Population Space and Place,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,SEPARATES_FROM_COMMON_SHOCK,observational,,Explicitly studies spread of birth control on intraurban scale using spatial panel models to distinguish diffusion from socioeconomic adaptation; strong neighbor effects on fertility change,,
1,W4223963695,10.25133/jpssv302022.032,Diffusion Test of Fertility Decline in Arab Countries of the Middle East and North Africa (MENA) Region,2022,Journal of Population and Social Studies,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,SEPARATES_FROM_COMMON_SHOCK,observational,,tests spatiotemporal diffusion of fertility decline across MENA using Knox statistic; finds contagion process,,
1,W4210892400,10.1002/psp.2555,Low fertility spread in China: A blended adaptation and diffusion explanation,2022,Population Space and Place,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,SEPARATES_FROM_COMMON_SHOCK,observational,,applies blended diffusion theory to China's fertility decline using spatial econometrics; separates adaptation from ideational diffusion effects,,
1,W3134978614,10.1017/dem.2020.8,"Segregation, fertility, and son preference: the case of the Roma in Serbia",2021,Journal of Demographic Economics,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,CULTURAL_LINGUISTIC_RELIGIOUS,SEPARATES_FROM_COMMON_SHOCK,observational,,residential segregation variation isolates differential exposure to majority-culture fertility norms affecting Roma fertility and gender preferences,,
1,W3132085944,10.1111/padr.12395,The Contribution of Diffusion to the Fertility Transition in Belgium (1887–1934),2021,Population and Development Review,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,"Multilevel event-history models identify spatial diffusion effect on geography and speed of fertility transition, separating from development shocks via neighborhood proximity variation",,
1,W2997788989,10.1007/s13524-019-00841-y,"Family, Firms, and Fertility: A Study of Social Interaction Effects",2020,Demography,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,"Instrumental variables isolate colleague and sibling fertility effects on individual decisions, demonstrating spillover across network boundaries.",,
1,W3088494297,10.1017/dem.2020.6,"Social interactions, ethnicity, religion, and fertility in Kenya",2020,Journal of Demographic Economics,RELEVANT,PRIMARY_CULTURAL_BOUNDARY_CONTENT,CULTURAL_LINGUISTIC_RELIGIOUS,SEPARATES_FROM_COMMON_SHOCK,observational,,Social interaction effects by ethnicity on fertility significant beyond individual religion or characteristics; GMM methods identify causal effect net of common shocks,,
1,W3026054265,10.1007/s13524-020-00884-6,The Examination of Diffusion Effects on Modern Contraceptive Use in Nigeria,2020,Demography,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,"Dynamic causal model identifies strong social multiplier effects through social learning on contraceptive adoption, separate from mass communications and social influence.",,
1,W2940085245,10.3386/w25752,"Censorship, Family Planning, and the Historical Fertility Transition",2019,National Bureau of Economic Research,RELEVANT,PRIMARY_CULTURAL_BOUNDARY_CONTENT,CULTURAL_LINGUISTIC_RELIGIOUS,SEPARATES_FROM_COMMON_SHOCK,historical,,"Shows British fertility-control norm diffusion via cultural/linguistic ties (e.g., 1877 Bradlaugh-Besant trial on family planning); populations with British links experience same fertility timing, separating cultural transmission from independent economic shocks",,
1,W2619544758,10.1093/sf/sox044,Globalization and Contemporary Fertility Convergence,2017,Social Forces,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,"globalisation-driven transmission of fertility schemas across countries via trade, IGOs, regional blocs; identifies cross-country connectedness as diffusion mechanism net of common development",,
1,W2750569904,10.1002/psp.2098,Residential segregation and the fertility of immigrants and their descendants,2017,Population Space and Place,RELEVANT,PRIMARY_CULTURAL_BOUNDARY_CONTENT,CULTURAL_LINGUISTIC_RELIGIOUS,SEPARATES_FROM_COMMON_SHOCK,observational,,"Longitudinal design measures childhood residential segregation (before fertility), finding immigrants in less segregated areas converge to native fertility; childhood socialization hypothesis isolates diffusion of native fertility norms from selection",,
1,W2296278882,10.1080/17441692.2016.1147589,Moving from theory to practice: A participatory social network mapping approach to address unmet need for family planning in Benin,2016,Global Public Health,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,"Program-identified social network diffusion of family planning ideas through influential community actors; spillover mechanism (Wall 5 shock, A.3 estimand)",,
1,W2610405201,10.1111/iere.12177,PLAYING THE FERTILITY GAME AT WORK: AN EQUILIBRIUM MODEL OF PEER EFFECTS,2016,International Economic Review,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,Game-theoretic model of workplace peer effects on fertility decisions isolates strategic interactions from confounding,,
1,W2119420594,10.1098/rspb.2013.2732,Community-level education accelerates the cultural evolution of fertility decline,2014,Proceedings of the Royal Society B Biological Sciences,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,Less educated women adopt lower fertility when living among highly educated neighbors; community education effect independent of economic modernization and individual education,,
1,W2142548216,10.1177/0003122414531596,Does Fertility Behavior Spread among Friends?,2014,American Sociological Review,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,Friends' childbearing causally increases individual's fertility; design separates peer effects from selection and contextual confounding,,
1,W3121628933,10.1080/21632324.2013.800701,Cultural transmission and contraceptive use: evidence from USA-Mexico migration,2013,Migration and Development,RELEVANT,PRIMARY_CULTURAL_BOUNDARY_CONTENT,CULTURAL_LINGUISTIC_RELIGIOUS,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,migration-based cultural exposure increases contraceptive adoption; instrumented by return migration history,,
1,W3124025479,10.1111/caje.12062,"International migration, transfer of norms and home country fertility",2013,Canadian Journal of Economics/Revue canadienne d économique,RELEVANT,PRIMARY_LEGITIMATION_SPREAD,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,migrants transfer lower fertility norms from destination countries back to origin; quantified effect of norm diffusion on home country fertility (0.3% per 1% decrease in migrant-exposure norm),,
1,W2090995792,10.1016/j.alcr.2013.10.001,Is fertility contagious? Using panel data to disentangle mechanisms of social network influences on fertility decisions,2013,Advances in Life Course Research,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,Title explicitly states estimand: 'social network influences on fertility decisions' using panel data to 'disentangle mechanisms'; identifies contagion effect net of common shocks via longitudinal design,,
