effect_id,study_id,mechanism_cell,outcome_family,harmonized_outcome_unit,effect_harmonized,meta_analysis_group,poolability_reason,needs_pi
danzer_zyska_2023_brazil_pensions_e01,danzer_zyska_2023_brazil_pensions,A,birth_probability,probability_of_birth,-0.009,cell_a_birth_probability,poolable_birth_probability_if_followup_windows_match,no
rossi_godard_2022_namibia_pensions_e01,rossi_godard_2022_namibia_pensions,A,birth_probability,probability_of_birth,-0.173,cell_a_birth_probability,poolable_birth_probability_if_followup_windows_match,no
billari_galasso_2009_italy_pension_reforms_e01,billari_galasso_2009_italy_pension_reforms,A,birth_probability,probability_of_birth,0.00664,cell_a_birth_probability,poolable_birth_probability_if_followup_windows_match,no
han_tao_wang_zhang_2025_china_ltci_e01,han_tao_wang_zhang_2025_china_ltci,A,birth_probability,probability_of_birth,0.04,not_poolable,missing_standard_error_or_wrong_cell,yes
guinnane_streb_2021_prussia_social_security_e01,guinnane_streb_2021_prussia_social_security,A,other,,,not_poolable,unsupported_outcome_family_or_unit,yes
shen_zheng_yang_2020_china_nrps_e01,shen_zheng_yang_2020_china_nrps,A,completed_fertility,births_per_woman,-0.169,cell_a_completed_fertility,poolable_completed_fertility_if_treatment_scales_match,no
ci_2024_children_insurance_e01,ci_2024_children_insurance,B,other,,,not_poolable,unsupported_outcome_family_or_unit,no
fenge_scheubel_2017_germany_pensions_e01,fenge_scheubel_2017_germany_pensions,A,crude_birth_rate,marital_births_per_1000,-0.453,not_poolable,aggregate_or_historical_unit_not_pooled_with_micro_estimates,no
basso_bodenhorn_cuberes_2014_us_financial_development_e01,basso_bodenhorn_cuberes_2014_us_financial_development,A,child_woman_ratio,log_child_woman_ratio,-0.04,not_poolable,aggregate_or_historical_unit_not_pooled_with_micro_estimates,no
galofre_vila_2023_us_baby_boom_e01,galofre_vila_2023_us_baby_boom,A,other,,,not_poolable,unsupported_outcome_family_or_unit,no
