Rank,Score (0-10),Title,Authors,Journal,Year,DOI,Confidence,Score Rationale (AI),Screen Reason (AI),RA Decision,RA Notes
1,10,Pensions and Fertility: Microeconomic Evidence,Danzer; Zyska,,2023,10.1257/pol.20200440,HIGH,"Abstract confirms a DID/IV/event-study design exploiting Brazil's quasi-experimental pension expansion to rural workers, finding reform reduces childbearing propensity by 8% — textbook Tier 1 causal identification with OAS-fertility as the sole primary question.",Causal study of pension generosity effects on women's fertility using Brazilian pension expansion to rural workers.,RETRIEVE,
2,10,The Old-Age Security Motive for Fertility: Evidence from the Extension of Social Pensions in Namibia,Rossi; Godard,,2022,10.1257/pol.20200466,HIGH,"Abstract confirms quasi-experimental DID exploiting extension of social pensions in Namibia across regions and cohorts to estimate causal effect of pensions on fertility; gold-standard identification, OAS-fertility is the sole research question.",Causal identification of old-age security motive using natural experiment of pension expansion reducing fertility.,RETRIEVE,
3,10,What Explains Fertility? Evidence from Italian Pension Reforms,Billari; Galasso,,2009,10.2139/ssrn.1406946,HIGH,Natural experiment using Italian pension reforms to identify causal effect on fertility — the primary research question; highest possible score on all dimensions.,Title directly indicates causal study of Italian pension reforms on fertility.,RETRIEVE,
4,10,The impact of long-term care insurance on family fertility behaviour: evidence from China,Han; Tao; Wang; Zhang,,2025,10.1080/00036846.2025.2490215,HIGH,"Quasi-experimental DiD exploiting China's long-term care insurance pilot rollout to estimate causal effect on fertility behavior, with OAS-fertility link as the primary research question — top-scoring paper in the batch.",Long-term care insurance reduces fertility through old-age security effect,RETRIEVE,
5,10,The Introduction of Bismarck's Social Security System and its Effects on Marriage and Fertility in Prussia,Guinnane; Streb,,2021,10.1111/padr.12426,HIGH,Natural experiment exploiting Bismarck's 1881 social insurance introduction to test causal effect on Prussian marriage and fertility 1881–1910 — directly targets the OAS–fertility hypothesis; abstract missing but title and llm_reason are unambiguous.,Directly tests whether Bismarck's social insurance introduction reduced fertility; tests old-age security hypothesis as mechanism for fertility decline in Prussia 1881-1910.,RETRIEVE,
6,10,The fertility effects of public pension: Evidence from the new rural pension scheme in China,Shen; Zheng; Yang,,2020,10.1371/journal.pone.0234657,HIGH,"DID with propensity score matching, fixed effects, and IV approach estimating the causal effect of China's New Rural Pension Scheme expansion on married women's fertility in rural China — directly tests the core hypothesis with strong identification and OAS-fertility as the primary research question.",Directly estimates causal effects of public pension expansion (NRPS) on fertility of rural Chinese women using difference-in-differences; core test of hypothesis.,RETRIEVE,
7,9,The intergenerational education spillovers of pension reform,Yuan; Li; Johnston,,2018,10.1007/s00148-018-0690-3,HIGH,"Uses Chilean pension reform as a natural experiment to causally identify intergenerational spillovers on children's education enrollment — credible quasi-experimental identification of OAS-reform effects on family investment behavior, with OAS-fertility as a main tested hypothesis.","Studies causal effect of pension reform (Chile) on family investments, including children's education enrollment. Demonstrates behavioral response to pension generosity change, consistent with old-age security motive.",EXCLUDE,Treats fertility as exogenous
8,9,"Retirement, intergenerational time transfers, and fertility",Eibich; Siedler,,2020,10.1016/j.euroecorev.2020.103392,HIGH,"Uses RDD on retirement eligibility ages and DID on German pension reforms to estimate causal effect of parental retirement on adult children's fertility; quasi-experimental identification is credible, though the primary outcome is intergenerational time transfers rather than pension-as-OAS crowdout per se.",Directly studies how parental retirement affects adult children's fertility through intergenerational time transfers (childcare); uses German panel data with pension reform identification strategy.,EXCLUDE,Different mechanism (retired parents reduce the cost of children)
9,9,Children as insurance revisited: Impact of children on private insurance adoption among older parents,Ci,,2024,10.1111/jori.12492,HIGH,"Uses the 'Later, Longer, Fewer' campaign as an IV for number of children to estimate the causal effect on private insurance adoption — directly tests the children-as-insurance substitution hypothesis with credible quasi-experimental identification.",Paper explicitly discusses government/state substituting for family/children in old-age support context.,,
10,9,Fertility and parental retirement,Ilciukas,,2023,10.1016/j.jpubeco.2023.104928,HIGH,Uses a sharp RDD on the 2006 Dutch pension reform (birth-date cutoff) to show that delayed parental retirement reduces daughters' fertility through reduced grandparental childcare supply — credible quasi-experimental identification with pension reform as the exogenous shock; OAS–fertility is a primary finding though the mechanism is grandchild-care rather than classic crowdout.,Studies how pension reform (affecting parental retirement) reduces fertility; direct causal test.,,
11,9,Are children substitutes for assets? Evidence from Bangladesh,Ruthbah,,2022,10.1080/19439342.2022.2111588,HIGH,Uses a family planning programme as an IV for fertility to test the children-as-assets substitution hypothesis in Bangladesh — credible quasi-experimental identification with OAS-fertility substitution as a central hypothesis.,Directly tests whether children substitute for financial assets as old-age insurance. Uses family planning program as IV for fertility and finds households with lower fertility accumulate more assets. Explicitly models children-as-retirement-insurance and tests substitution.,,
12,8,Children's education and parental old age survival - Quasi-experimental evidence on the intergenerational effects of human capital investment,Neve; Fink,,2018,10.1016/j.jhealeco.2018.01.008,HIGH,"Quasi-experimental study using the 1974 Tanzania education reform as an IV to estimate effects of children's schooling on parental survival — strong identification but OAS-fertility crowdout is a secondary implication, not the primary question (focus is child education → parental health).","Uses quasi-experimental design (Tanzania education reform) to estimate effects of children's education on parental survival. Tests intergenerational human capital effects in old-age context, supporting children-as-old-age-insurance mechanism.",,
13,8,Grandparental availability for child care and maternal labor force participation: pension reform evidence from Italy,Bratti; Frattini; Scervini,,2017,10.1007/s00148-017-0683-7,HIGH,"Exploits pension reform-induced variation in grandmothers' retirement eligibility in Italy to identify the effect on daughters' labor force participation (not directly fertility); strong quasi-experimental design but fertility is not the outcome, making OAS–fertility centrality secondary.",Uses pension reform to study childcare availability effects on fertility; pension-fertility link.,,
14,7,Grandmothers and Granddaughters: Old Age Pension and Intra-household Allocation in South Africa,Duflo,,2000,10.3386/w8061,HIGH,"Exploits the 1990s expansion of South Africa's social pension as a natural experiment to estimate effects on child anthropometric outcomes; strong quasi-experimental identification but fertility is not an outcome — pension effects on child welfare are studied, not OAS crowdout of fertility.","Studies effects of old-age pension expansion on household allocation and child welfare; indirect test of pension's role in supporting children, though fertility not primary outcome.",,
