year,cpi_all_items,us_tfr,real_books_supplies,real_school_tuition,real_college_tuition,real_medical,real_apparel,real_daycare,arm_education_only_equal,arm_education_only_usda,arm_long_run_1967_equal,arm_long_run_1967_usda,arm_with_education_equal,arm_with_education_usda,arm_without_education_equal,arm_without_education_usda
1941,14.725,,,,,,100.00,,,,,,,,,
1942,16.333,,,,,,105.50,,,,,,,,,
1943,17.308,,,,,,103.87,,,,,,,,,
1944,17.592,,,,,,109.35,,,,,,,,,
1945,17.992,,,,,,112.42,,,,,,,,,
1946,19.517,,,,,,113.72,,,,,,,,,
1947,22.325,,,,,100.00,115.22,,,,,,,,100.00,100.00
1948,24.042,,,,,98.57,114.11,,,,,,,,98.80,98.76
1949,23.808,,,,,102.77,110.69,,,,,,,,99.36,100.03
1950,24.067,,,,,103.55,108.02,,,,,,,,98.53,99.51
1951,25.958,,,,,100.56,109.20,,,,,,,,97.63,98.20
1952,26.550,,,,,103.70,105.62,,,,,,,,97.50,98.71
1953,26.767,,,,,106.50,104.10,,,,,,,,98.09,99.72
1954,26.850,,,,,109.45,103.39,,,,,,,,99.10,101.09
1955,26.775,,,,,112.32,103.36,,,,,,,,100.38,102.66
1956,27.183,,,,,114.68,103.87,,,,,,,,101.67,104.15
1957,28.092,,,,,115.52,102.23,,,,,,,,101.24,103.95
1958,28.858,,,,,117.83,99.91,,,,,,,,101.08,104.22
1959,29.150,,,,,121.55,99.68,,,,,,,,102.55,106.09
1960,29.575,3.654,,,,124.03,99.72,,,,,,,,103.61,107.40
1961,29.892,3.620,,,,126.44,99.44,,,,,,,,104.46,108.53
1962,30.250,3.461,,,,128.26,98.81,,,,,,,,104.88,109.18
1963,30.625,3.319,,,,129.69,98.80,,,,,,,,105.45,109.91
1964,31.017,3.190,,,,130.67,98.38,,,,,,,,105.63,110.22
1965,31.508,2.913,,,,131.77,97.77,,,,,,,,105.74,110.50
1966,32.458,2.721,,,,133.58,97.46,,,,,,,,106.30,111.27
1967,33.358,2.558,100.00,,,139.12,98.70,,,,100.00,100.00,,,109.17,114.59
1968,34.783,2.464,100.93,,,141.52,99.71,,,,101.23,101.18,,,110.67,116.24
1969,36.683,2.456,100.97,,,143.48,99.99,,,,101.80,101.66,,,111.58,117.34
1970,38.825,2.480,98.93,,,144.16,98.36,,,,100.72,100.41,,,110.94,116.90
1971,40.492,2.266,101.34,,,147.18,97.37,,,,101.89,102.08,,,111.53,117.89
1972,41.817,2.010,104.56,,,147.12,96.24,,,,102.54,103.50,,,110.85,117.31
1973,44.400,1.879,101.64,,,143.91,93.96,,,,100.03,100.87,,,108.33,114.66
1974,49.308,1.835,94.85,,,141.65,90.88,,,,96.16,96.27,,,105.70,112.07
1975,53.817,1.774,92.52,,,145.43,86.97,,,,94.81,94.96,,,104.77,111.88
1976,56.908,1.738,93.36,,,150.62,85.33,,,,95.60,96.03,,,105.61,113.38
1977,60.608,1.790,92.98,,,154.93,83.70,,,,95.76,96.25,,,106.09,114.44
1978,65.233,1.760,93.56,100.00,100.00,156.10,80.50,,100.00,100.00,94.96,96.04,100.00,100.00,104.43,113.17
1979,72.575,1.808,89.64,97.86,97.02,153.30,75.53,,96.90,96.90,91.09,92.31,96.53,96.78,100.24,109.13
1980,82.408,1.839,85.80,96.52,93.59,149.79,71.22,,93.92,93.92,87.35,88.62,93.20,93.67,96.22,105.13
1981,90.925,1.812,87.43,97.97,95.36,150.36,67.62,,95.57,95.57,86.51,88.69,93.28,94.51,93.94,103.20
