country,year,relative_cohort_size,tfr
USA,1960,0.305279,3.654
USA,1961,0.305436,3.62
USA,1962,0.310006,3.461
USA,1963,0.318040,3.319
USA,1964,0.326150,3.19
USA,1965,0.333104,2.913
USA,1966,0.343622,2.721
USA,1967,0.358834,2.558
USA,1968,0.374128,2.464
USA,1969,0.388521,2.456
USA,1970,0.402905,2.48
USA,1971,0.416518,2.266
USA,1972,0.427504,2.01
USA,1973,0.436421,1.879
USA,1974,0.446232,1.835
USA,1975,0.457718,1.774
USA,1976,0.464711,1.738
USA,1977,0.465137,1.79
USA,1978,0.464976,1.76
USA,1979,0.465682,1.808
USA,1980,0.466211,1.8395
USA,1981,0.466187,1.812
USA,1982,0.464289,1.8275
USA,1983,0.459971,1.799
USA,1984,0.453552,1.8065
USA,1985,0.444678,1.844
USA,1986,0.433474,1.8375
USA,1987,0.420379,1.872
USA,1988,0.406132,1.934
USA,1989,0.392150,2.014
USA,1990,0.380536,2.081
USA,1991,0.369810,2.0625
USA,1992,0.357973,2.046
USA,1993,0.345955,2.0195
USA,1994,0.334559,2.0015
USA,1995,0.325094,1.978
USA,1996,0.317886,1.976
USA,1997,0.312809,1.971
USA,1998,0.309305,1.999
USA,1999,0.306263,2.0075
USA,2000,0.303081,2.056
USA,2001,0.299961,2.0305
USA,2002,0.298737,2.0205
USA,2003,0.299499,2.0475
USA,2004,0.300533,2.0515
USA,2005,0.301780,2.057
USA,2006,0.303294,2.108
USA,2007,0.304464,2.12
USA,2008,0.305628,2.072
USA,2009,0.306694,2.002
USA,2010,0.307459,1.931
USA,2011,0.308504,1.8945
USA,2012,0.309467,1.8805
USA,2013,0.309862,1.8575
USA,2014,0.309652,1.8625
USA,2015,0.308625,1.8435
USA,2016,0.307213,1.8205
USA,2017,0.305714,1.7655
USA,2018,0.303879,1.7295
USA,2019,0.301730,1.706
USA,2020,0.298708,1.6415
USA,2021,0.295441,1.664
USA,2022,0.292596,1.6565
USA,2023,0.290243,1.6165
USA,2024,0.290637,1.6265
GBR,1960,0.275790,2.69
GBR,1961,0.275395,2.78
GBR,1962,0.277040,2.86
GBR,1963,0.280785,2.88
GBR,1964,0.285688,2.93
GBR,1965,0.290897,2.86
GBR,1966,0.298294,2.78
GBR,1967,0.308714,2.68
GBR,1968,0.318458,2.6
GBR,1969,0.325794,2.51
GBR,1970,0.332679,2.44
GBR,1971,0.339939,2.41
GBR,1972,0.345612,2.2
GBR,1973,0.348906,2.04
GBR,1974,0.350879,1.92
GBR,1975,0.352709,1.81
GBR,1976,0.351772,1.74
GBR,1977,0.346392,1.69
GBR,1978,0.341897,1.75
GBR,1979,0.341403,1.86
GBR,1980,0.343758,1.9
GBR,1981,0.347464,1.82
GBR,1982,0.351445,1.78
GBR,1983,0.356577,1.77
GBR,1984,0.363375,1.77
GBR,1985,0.371210,1.79
GBR,1986,0.377357,1.78
GBR,1987,0.380668,1.81
GBR,1988,0.373748,1.82
GBR,1989,0.365400,1.79
GBR,1990,0.363402,1.83
GBR,1991,0.359313,1.82
GBR,1992,0.355026,1.79
GBR,1993,0.349071,1.76
GBR,1994,0.340763,1.74
GBR,1995,0.331227,1.71
GBR,1996,0.320795,1.73
GBR,1997,0.309908,1.72
GBR,1998,0.299894,1.71
GBR,1999,0.291777,1.68
GBR,2000,0.286341,1.64
GBR,2001,0.282176,1.63
GBR,2002,0.277889,1.63
GBR,2003,0.275851,1.7
GBR,2004,0.277381,1.75
GBR,2005,0.281929,1.76
GBR,2006,0.287446,1.82
GBR,2007,0.292142,1.86
GBR,2008,0.293515,1.91
GBR,2009,0.292941,1.89
GBR,2010,0.293549,1.92
GBR,2011,0.295177,1.91
GBR,2012,0.296507,1.92
GBR,2013,0.296562,1.83
GBR,2014,0.296017,1.81
GBR,2015,0.294237,1.8
GBR,2016,0.291901,1.79
GBR,2017,0.290180,1.74
GBR,2018,0.290068,1.68
GBR,2019,0.289329,1.632
GBR,2020,0.287010,1.571
GBR,2021,0.284547,1.583
GBR,2022,0.279201,1.56
GBR,2023,0.272700,1.56
GBR,2024,0.269849,1.551
FRA,1960,0.315172,2.85
FRA,1961,0.305679,2.87
FRA,1962,0.298040,2.89
FRA,1963,0.294354,2.89
FRA,1964,0.292980,2.87
FRA,1965,0.292296,2.84
FRA,1966,0.297482,2.8
FRA,1967,0.309001,2.75
FRA,1968,0.322516,2.69
FRA,1969,0.336695,2.62
FRA,1970,0.352502,2.55
FRA,1971,0.370062,2.47
FRA,1972,0.386053,2.38
FRA,1973,0.398848,2.28
FRA,1974,0.410085,2.18
FRA,1975,0.420344,2.09
FRA,1976,0.422513,2.01
FRA,1977,0.416488,1.94
FRA,1978,0.409055,1.89
FRA,1979,0.401681,1.87
FRA,1980,0.393335,1.85
FRA,1981,0.384583,1.85
FRA,1982,0.376753,1.86
